Community College,UCSD Articulated,UCSD Unarticulated,UCSB Articulated,UCSB Unarticulated,UCSC Articulated,UCSC Unarticulated,UCLA Articulated,UCLA Unarticulated,UCB Articulated,UCB Unarticulated,UCI Articulated,UCI Unarticulated,UCD Articulated,UCD Unarticulated,UCR Articulated,UCR Unarticulated,UCM Articulated,UCM Unarticulated
Merced_Community_College_District.csv,1.75,2.0,2.73,1.0,2.25,0.0,2.0,1.0,1.12,0.0,1.98,0.0,3.43,1.0,1.38,0.0,1.75,0.0
Marin_Community_College_District.csv,2.25,1.0,3.25,0.0,2.12,0.0,2.68,0.0,1.12,0.0,0.68,0.0,4.0,0.0,1.38,0.0,1.62,0.0
Siskiyou_Joint_Community_College_District.csv,1.12,3.0,2.5,2.0,1.62,1.0,2.0,1.0,1.12,0.0,0.12,3.0,3.0,2.0,1.5,0.0,1.75,0.0
Imperial_Community_College_District.csv,3.77,0.0,2.21,2.0,0.91,2.0,2.0,1.0,1.12,0.0,0.12,3.0,2.41,3.0,0.88,1.0,2.0,0.0
Kern_Community_College_District.csv,1.38,2.88,3.5,1.0,3.12,0.88,2.75,0.0,1.38,0.0,0.38,3.0,4.0,2.0,1.62,0.0,1.88,0.0
Lassen_Community_College_District.csv,0.12,4.88,0.12,5.0,0.12,2.88,0.12,5.0,0.12,2.0,0.12,3.0,0.12,6.0,0.0,2.0,0.12,3.0
Cabrillo_Community_College_District.csv,3.45,0.0,2.65,0.0,2.23,0.0,2.62,0.0,1.25,0.0,0.6,0.0,3.61,0.0,1.36,0.0,1.85,0.0
San_Mateo_County_Community_College_District.csv,4.6,0.0,3.38,0.0,2.27,0.0,2.51,0.0,1.12,0.0,0.56,0.0,4.49,0.0,1.37,0.0,1.77,0.0
West_Kern_Community_College_District.csv,0.62,3.88,4.5,0.0,0.12,2.88,1.25,2.0,1.25,0.0,0.12,3.0,1.38,4.0,0.75,1.0,1.25,1.0
Desert_Community_College_District.csv,1.75,2.0,3.62,0.0,2.25,0.0,2.0,1.0,1.12,0.0,0.12,3.0,2.75,2.0,1.88,0.0,1.75,0.0
San_Jose-Evergreen_Community_College_District.csv,3.25,1.0,3.75,0.0,2.12,0.0,3.0,0.0,1.12,0.0,0.62,0.0,3.75,1.0,1.26,0.0,1.62,0.0
Shasta-Tehama-Trinity_Joint_Community_College_District.csv,1.12,3.0,3.63,0.0,1.75,1.0,2.0,1.0,1.12,0.0,0.12,3.0,3.62,1.0,1.38,0.0,1.75,0.0
Palo_Verde_Community_College_District.csv,0.75,5.88,0.0,7.0,0.0,4.88,0.75,6.0,0.0,4.0,0.0,5.0,0.0,8.0,0.0,5.0,0.75,4.0
San_Luis_Obispo_County_Community_College_District.csv,2.25,0.0,2.14,1.0,2.12,0.0,1.12,1.0,1.12,0.0,0.12,3.0,2.62,0.0,1.39,0.0,1.62,0.0
San_Francisco_Community_College_District.csv,3.43,0.0,2.5,0.0,2.19,0.0,1.91,0.0,1.25,0.0,1.12,0.0,2.1,0.0,0.63,0.0,1.81,0.0
Santa_Clarita_Community_College_District.csv,3.27,0.0,3.31,0.0,2.39,0.0,2.62,0.0,1.12,0.0,0.12,3.0,2.75,2.0,1.38,0.0,1.76,0.0
Long_Beach_Community_College_District.csv,1.79,2.0,2.44,0.0,1.54,1.0,1.62,0.0,1.12,0.0,0.62,0.0,3.66,1.0,1.29,0.0,1.79,0.0
Santa_Barbara_Community_College_District.csv,3.04,0.0,2.59,0.0,2.21,0.0,2.41,0.0,1.12,0.0,0.53,0.0,3.24,1.0,1.36,0.0,1.76,0.0
Coast_Community_College_District.csv,4.04,0.0,2.32,0.0,2.0,0.0,1.95,0.0,1.25,0.0,2.12,0.0,6.59,0.0,0.96,0.0,1.62,0.0
Napa_Valley_Community_College_District.csv,1.12,2.88,3.25,1.0,0.88,1.88,2.0,1.0,1.12,0.0,0.12,3.0,2.12,3.0,0.75,1.0,1.88,0.0
Redwoods_Community_College_District.csv,1.12,2.88,1.5,3.0,0.12,2.88,2.0,1.0,1.12,0.0,0.12,3.0,1.5,4.0,0.88,1.0,1.12,1.0
Mendocino-Lake_Community_College_District.csv,1.92,1.88,2.52,2.0,0.15,2.88,2.08,1.0,1.08,0.0,0.15,3.0,2.55,3.0,1.62,0.0,1.92,0.0
Santa_Monica_Community_College_District.csv,3.05,0.0,3.75,0.0,1.99,0.0,3.07,0.0,1.32,0.0,2.09,0.0,2.82,2.0,1.56,0.0,1.82,0.0
San_Joaquin_Delta_Community_College_District.csv,1.25,3.0,3.59,0.0,2.58,0.0,2.65,0.0,1.25,0.0,0.12,3.0,2.29,3.0,1.43,0.0,1.74,0.0
Feather_River_Community_College_District.csv,0.0,4.88,1.25,4.0,0.25,2.88,0.25,5.0,1.12,1.0,0.25,3.0,0.25,6.0,0.0,2.0,1.12,2.0
Cerritos_Community_College_District.csv,3.46,0.0,1.75,1.0,2.25,0.0,1.75,0.0,1.25,0.0,0.62,0.0,3.48,0.0,1.38,0.0,1.88,0.0
Riverside_Community_College_District.csv,2.69,1.0,3.48,0.0,2.14,0.0,2.79,0.0,1.12,0.0,1.74,0.0,3.42,0.0,1.12,0.0,1.69,0.0
South_Orange_County_Community_College_District.csv,3.95,0.0,3.0,0.0,2.02,0.0,2.55,0.0,1.12,0.0,1.36,0.0,4.06,0.0,0.88,0.0,1.4,0.0
Mt._San_Antonio_Community_College_District.csv,3.2,0.0,2.5,0.0,2.48,0.0,1.64,0.0,1.12,0.0,0.12,3.0,2.74,2.0,0.5,0.0,1.85,0.0
Monterey_Peninsula_Community_College_District.csv,1.75,2.0,2.69,1.0,2.14,0.0,2.56,0.0,1.12,0.0,0.53,0.0,3.25,1.0,1.12,0.0,1.64,0.0
Glendale_Community_College_District.csv,2.87,1.0,3.38,0.0,1.62,1.0,2.5,0.0,1.12,0.0,0.62,0.0,4.25,0.0,1.37,0.0,1.75,0.0
Los_Angeles_Community_College_District.csv,3.88,0.0,3.38,0.0,2.12,0.0,2.62,0.0,1.12,0.0,1.12,0.0,4.0,0.0,1.38,0.0,1.62,0.0
San_Diego_Community_College_District.csv,2.95,0.0,3.41,0.0,1.75,1.0,2.5,0.0,1.12,0.0,0.62,0.0,2.75,2.0,1.38,0.0,1.91,0.0
Chaffey_Community_College_District.csv,1.25,2.88,3.77,0.0,0.0,2.88,2.59,0.0,1.25,0.0,0.75,0.0,2.88,2.0,0.74,1.0,1.75,0.0
Compton_Community_College_District.csv,3.41,0.0,2.0,1.0,0.75,2.0,1.25,1.0,1.25,0.0,0.88,0.0,0.75,4.0,0.0,2.0,1.25,1.0
Rio_Hondo_Community_College_District.csv,3.05,1.0,2.38,1.0,1.88,1.0,2.88,0.0,1.36,0.0,0.88,3.0,2.12,3.0,1.5,0.0,1.93,0.0
Peralta_Community_College_District.csv,3.75,1.0,3.62,0.0,2.38,0.0,2.0,1.0,1.12,0.0,0.12,3.0,2.88,1.0,1.75,0.0,1.88,0.0
Antelope_Valley_Community_College_District.csv,3.34,0.0,2.8,1.0,2.23,0.0,2.12,1.0,1.25,0.0,0.59,0.0,2.23,2.0,0.0,2.0,1.71,0.0
West_Valley-Mission_Community_College_District.csv,3.62,0.0,3.4,0.0,2.27,0.0,2.75,0.0,1.25,0.0,2.12,0.0,4.9,0.0,1.28,0.0,2.0,0.0
Victor_Valley_Community_College_District.csv,2.12,2.0,3.25,0.0,1.0,2.0,2.12,1.0,0.62,1.0,0.12,3.0,2.38,3.0,1.62,0.0,1.25,1.0
Pasadena_Area_Community_College_District.csv,3.22,0.0,3.3,0.0,2.29,0.0,2.66,0.0,1.25,0.0,0.59,0.0,2.84,1.0,1.21,0.0,1.92,0.0
MiraCosta_Community_College_District.csv,2.89,0.0,3.17,0.0,2.12,0.0,2.56,0.0,1.12,0.0,1.49,0.0,3.85,0.0,1.21,0.0,1.62,0.0
Contra_Costa_Community_College_District.csv,3.62,0.0,3.54,0.0,2.5,0.0,2.75,0.0,1.05,0.0,0.84,0.0,5.27,0.0,1.77,0.0,1.8,0.0
Allan_Hancock_Joint_Community_College_District.csv,2.25,1.0,2.62,0.0,2.12,0.0,1.12,1.0,1.12,0.0,0.12,3.0,2.12,3.0,1.38,0.0,1.62,0.0
Ventura_County_Community_College_District.csv,4.25,0.0,4.0,0.0,2.25,0.0,2.96,0.0,1.12,0.0,1.75,0.0,5.38,0.0,0.71,1.0,1.75,0.0
North_Orange_County_Community_College_District.csv,3.0,0.0,2.42,0.0,2.19,0.0,1.8,0.0,1.12,0.0,1.0,0.0,5.62,0.0,0.67,0.0,1.56,0.0
State_Center_Community_College_District.csv,3.03,0.0,2.26,0.0,1.89,0.0,2.17,0.0,1.16,0.0,0.39,0.0,5.11,0.0,1.0,0.0,1.41,0.0
Chabot-Las_Positas_Community_College_District.csv,3.07,0.0,3.5,0.0,2.12,0.0,2.75,0.0,1.12,0.0,1.0,0.0,6.18,0.0,1.59,0.0,1.62,0.0
Sonoma_County_Junior_College_District.csv,2.62,1.0,2.62,1.0,2.12,0.0,2.12,1.0,0.62,0.0,0.12,3.0,3.5,1.0,1.25,0.0,1.75,0.0
Citrus_Community_College_District.csv,1.12,3.0,2.88,1.0,1.75,1.0,2.62,0.0,1.12,0.0,0.12,3.0,2.88,2.0,1.62,0.0,1.12,1.0
Lake_Tahoe_Community_College_District.csv,2.75,1.0,1.5,3.0,0.62,2.0,3.0,1.0,1.25,0.0,0.62,0.0,1.0,5.0,1.5,0.0,1.75,0.0
Sierra_Joint_Community_College_District.csv,2.62,0.0,2.72,0.0,2.18,0.0,2.29,0.0,1.37,0.0,0.12,3.0,3.75,0.0,0.65,0.0,1.85,0.0
Southwestern_Community_College_District.csv,3.39,0.0,2.77,1.0,2.31,0.0,2.65,0.0,1.12,0.0,1.12,0.0,2.73,2.0,0.49,1.0,1.81,0.0
El_Camino_Community_College_District.csv,3.35,0.0,2.25,0.0,2.25,0.0,1.75,0.0,1.25,0.0,0.62,0.0,2.61,1.0,1.36,0.0,1.75,0.0
Yosemite_Community_College_District.csv,2.5,1.0,2.38,2.0,2.0,0.0,3.0,0.0,1.25,0.0,0.62,0.0,3.62,1.0,1.25,0.0,1.62,0.0
Sequoias_Community_College_District.csv,1.12,2.88,3.62,0.0,0.5,1.88,2.0,1.0,1.12,0.0,0.5,0.0,2.75,2.0,1.12,0.0,1.5,0.0
Butte-Glenn_Community_College_District.csv,1.25,3.0,3.75,0.0,1.5,1.0,2.12,1.0,1.25,0.0,0.12,3.0,2.38,2.0,1.38,0.0,1.75,0.0
San_Bernardino_Community_College_District.csv,1.75,2.0,3.75,0.0,2.25,0.0,3.0,0.0,1.25,0.0,1.12,0.0,4.05,0.0,1.68,0.0,1.75,0.0
Foothill-De_Anza_Community_College_District.csv,3.89,0.0,4.08,0.0,2.33,0.0,3.64,0.0,0.89,0.0,1.41,0.0,3.86,0.0,1.89,0.0,1.5,0.0
Copper_Mountain_Community_College_District.csv,1.75,2.0,3.38,0.0,1.62,1.0,2.0,1.0,1.12,0.0,0.62,0.0,3.38,1.0,1.25,0.0,1.62,0.0
Grossmont-Cuyamaca_Community_College_District.csv,3.35,0.0,3.25,0.0,2.11,0.0,3.0,0.0,1.12,0.0,1.12,0.0,3.25,1.0,1.12,0.0,1.61,0.0
Barstow_Community_College_District.csv,2.75,0.0,3.12,1.0,0.88,2.0,0.75,3.0,1.38,0.0,0.12,3.0,0.12,5.0,1.62,0.0,2.0,0.0
Los_Rios_Community_College_District.csv,3.11,0.0,3.25,0.0,2.12,0.0,2.68,0.0,1.12,0.0,0.68,0.0,3.93,0.0,1.3,0.0,1.62,0.0
Mt._San_Jacinto_Community_College_District.csv,3.16,0.0,3.12,0.0,2.12,0.0,2.5,0.0,1.12,0.0,0.61,0.0,3.93,0.0,1.38,0.0,1.62,0.0
Rancho_Santiago_Community_College_District.csv,3.08,0.88,2.76,0.0,1.62,0.88,1.76,0.0,1.25,0.0,0.64,0.0,1.62,3.0,1.14,0.0,1.88,0.0
Palomar_Community_College_District.csv,2.89,0.0,3.35,0.0,2.05,0.0,2.72,0.0,1.12,0.0,0.54,0.0,3.93,0.0,1.31,0.0,1.55,0.0
West_Hills_Community_College_District.csv,1.12,2.88,2.38,2.0,0.12,2.88,2.0,1.0,1.12,0.0,0.12,3.0,0.62,5.0,0.88,1.0,1.12,1.0
Ohlone_Community_College_District.csv,3.0,0.0,3.25,0.0,2.12,0.0,2.62,0.0,1.12,0.0,0.12,3.0,4.0,0.0,1.38,0.0,1.62,0.0
Gavilan_Community_College_District.csv,1.75,2.0,3.5,0.0,2.25,0.0,2.0,1.0,1.12,0.0,0.12,3.0,3.88,1.0,1.38,0.0,1.75,0.0
Hartnell_Community_College_District.csv,1.98,2.0,3.68,0.0,2.52,0.0,2.0,1.0,1.12,0.0,0.12,3.0,1.89,3.0,0.75,1.0,1.79,0.0
Solano_Community_College_District.csv,1.75,2.0,2.25,2.0,2.38,0.0,2.75,0.0,1.12,0.0,0.12,3.0,3.62,0.0,0.75,1.0,1.75,0.0
Yuba_Community_College_District.csv,2.08,2.0,3.66,0.0,2.5,0.0,2.66,0.0,1.18,0.0,0.12,3.0,3.76,1.0,1.43,0.0,2.0,0.0
AVERAGE,2.51,1.2,2.92,0.65,1.78,0.69,2.23,0.6,1.12,0.11,0.61,1.32,3.09,1.6,1.16,0.32,1.65,0.21
TRANSFERABLE AVERAGE,3.33,0.0,3.26,0.0,2.21,0.0,2.54,0.0,1.16,0.0,0.95,0.0,4.23,0.0,1.33,0.0,1.74,0.0
