cc,system_type,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
foothill,quarter,UCSD,1,IGETC,success,5,75.5,False,19.5,20,20,11,5,0,
foothill,quarter,UCLA,1,IGETC,success,6,105.5,False,20,20,14,15,18.5,18.0,
foothill,quarter,UCI,1,IGETC,success,5,91.5,False,20,20,15,18.5,18.0,0,
foothill,quarter,UCR,1,IGETC,success,6,103.0,False,20,18,9,18.5,18.0,19.5,
foothill,quarter,UCSB,1,IGETC,success,6,106.5,False,20,20,20,10,18.5,18.0,
foothill,quarter,UCD,1,IGETC,success,6,105.5,False,20,20,20,9,18.5,18.0,
foothill,quarter,UCB,1,IGETC,success,6,97.5,False,20,20,11,10,18.5,18.0,
foothill,quarter,UCSC,1,IGETC,success,5,91.5,False,20,20,15,18.5,18.0,0,
foothill,quarter,UCM,1,IGETC,success,6,100.5,False,20,20,14,10,18.5,18.0,
foothill,quarter,UCLA+UCSD,2,IGETC,success,5,88.5,False,19.5,20,20,14,15,0,
foothill,quarter,UCI+UCSD,2,IGETC,success,5,84.5,False,19.5,20,20,20,5,0,
foothill,quarter,UCR+UCSD,2,IGETC,success,5,78.5,False,19.5,20,20,14,5,0,
foothill,quarter,UCSB+UCSD,2,IGETC,success,5,86.5,False,19.5,20,20,17,10,0,
foothill,quarter,UCD+UCSD,2,IGETC,success,5,87.5,False,19.5,20,20,20,8,0,
foothill,quarter,UCB+UCSD,2,IGETC,success,5,80.5,False,19.5,20,20,11,10,0,
foothill,quarter,UCSC+UCSD,2,IGETC,success,5,84.5,False,19.5,20,20,20,5,0,
foothill,quarter,UCM+UCSD,2,IGETC,success,5,83.5,False,19.5,20,20,14,10,0,
foothill,quarter,UCI+UCLA,2,IGETC,success,5,96.5,False,20,20,20,18,18.5,0,
foothill,quarter,UCLA+UCR,2,IGETC,success,5,93.5,False,20,20,20,15,18.5,0,
foothill,quarter,UCLA+UCSB,2,IGETC,success,5,93.5,False,20,20,20,15,18.5,0,
foothill,quarter,UCD+UCLA,2,IGETC,success,6,105.5,False,20,20,20,18,9,18.5,
foothill,quarter,UCB+UCLA,2,IGETC,success,6,105.5,False,20,20,14,15,18.5,18.0,
foothill,quarter,UCLA+UCSC,2,IGETC,success,5,96.5,False,20,20,20,18,18.5,0,
foothill,quarter,UCLA+UCM,2,IGETC,success,5,90.5,False,20,20,17,15,18.5,0,
foothill,quarter,UCI+UCR,2,IGETC,success,6,97.5,False,20,20,18,3,18.5,18.0,
foothill,quarter,UCI+UCSB,2,IGETC,success,5,97.5,False,20,20,20,19,18.5,0,
foothill,quarter,UCD+UCI,2,IGETC,success,5,96.5,False,20,20,20,18,18.5,0,
foothill,quarter,UCB+UCI,2,IGETC,success,6,106.5,False,20,20,20,10,18.5,18.0,
foothill,quarter,UCI+UCSC,2,IGETC,success,6,97.5,False,20,20,18,3,18.5,18.0,
foothill,quarter,UCI+UCM,2,IGETC,success,5,91.5,False,20,20,20,13,18.5,0,
foothill,quarter,UCR+UCSB,2,IGETC,success,5,94.5,False,20,20,20,16,18.5,0,
foothill,quarter,UCD+UCR,2,IGETC,success,6,105.5,False,20,20,20,9,18.5,18.0,
foothill,quarter,UCB+UCR,2,IGETC,success,6,103.5,False,20,20,17,10,18.5,18.0,
foothill,quarter,UCR+UCSC,2,IGETC,success,6,97.5,False,20,20,18,3,18.5,18.0,
foothill,quarter,UCM+UCR,2,IGETC,success,6,106.5,False,20,20,20,10,18.5,18.0,
foothill,quarter,UCD+UCSB,2,IGETC,success,5,97.5,False,20,20,20,19,18.5,0,
foothill,quarter,UCB+UCSB,2,IGETC,success,6,106.5,False,20,20,20,10,18.5,18.0,
