cc,system_type,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
los_angeles_pierce,semester,UCSD,1,IGETC,success,4,66,False,17,17,17,15,0,0,
los_angeles_pierce,semester,UCLA,1,IGETC,success,4,63,False,17,17,17,12,0,0,
los_angeles_pierce,semester,UCI,1,IGETC,success,4,67,False,17,17,15,18,0,0,
los_angeles_pierce,semester,UCR,1,IGETC,success,4,68,False,17,18,15,18,0,0,
los_angeles_pierce,semester,UCSB,1,IGETC,success,4,61,False,17,17,18,9,0,0,
los_angeles_pierce,semester,UCD,1,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCB,1,IGETC,success,5,75,True,17,17,17,6,18,0,
los_angeles_pierce,semester,UCSC,1,IGETC,success,5,76,True,17,17,18,6,18,0,
los_angeles_pierce,semester,UCM,1,IGETC,success,4,63,False,17,17,17,12,0,0,
los_angeles_pierce,semester,UCLA+UCSD,2,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCI+UCSD,2,IGETC,success,4,66,False,17,17,17,15,0,0,
los_angeles_pierce,semester,UCR+UCSD,2,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCSB+UCSD,2,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCD+UCSD,2,IGETC,success,5,72,True,17,17,17,18,3,0,
los_angeles_pierce,semester,UCB+UCSD,2,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCSC+UCSD,2,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCM+UCSD,2,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCI+UCLA,2,IGETC,success,4,63,False,17,17,17,12,0,0,
los_angeles_pierce,semester,UCLA+UCR,2,IGETC,success,4,66,False,17,17,17,15,0,0,
los_angeles_pierce,semester,UCLA+UCSB,2,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCD+UCLA,2,IGETC,success,5,75,True,17,17,17,18,6,0,
los_angeles_pierce,semester,UCB+UCLA,2,IGETC,success,4,63,False,17,17,17,12,0,0,
los_angeles_pierce,semester,UCLA+UCSC,2,IGETC,success,5,72,True,17,17,17,18,3,0,
los_angeles_pierce,semester,UCLA+UCM,2,IGETC,success,4,66,False,17,17,17,15,0,0,
los_angeles_pierce,semester,UCI+UCR,2,IGETC,success,5,73,True,17,17,18,3,18,0,
los_angeles_pierce,semester,UCI+UCSB,2,IGETC,success,4,61,False,17,17,18,9,0,0,
los_angeles_pierce,semester,UCD+UCI,2,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCB+UCI,2,IGETC,success,4,60,False,17,17,17,9,0,0,
los_angeles_pierce,semester,UCI+UCSC,2,IGETC,success,5,76,True,17,17,18,6,18,0,
los_angeles_pierce,semester,UCI+UCM,2,IGETC,success,4,63,False,17,17,17,12,0,0,
los_angeles_pierce,semester,UCR+UCSB,2,IGETC,success,4,67,False,17,17,18,15,0,0,
los_angeles_pierce,semester,UCD+UCR,2,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCB+UCR,2,IGETC,success,4,66,False,17,17,17,15,0,0,
los_angeles_pierce,semester,UCR+UCSC,2,IGETC,success,4,64,False,17,18,17,12,0,0,
los_angeles_pierce,semester,UCM+UCR,2,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCD+UCSB,2,IGETC,success,5,75,True,17,17,17,18,6,0,
los_angeles_pierce,semester,UCB+UCSB,2,IGETC,success,4,66,False,17,17,17,15,0,0,
los_angeles_pierce,semester,UCSB+UCSC,2,IGETC,success,4,64,False,17,17,18,12,0,0,
los_angeles_pierce,semester,UCM+UCSB,2,IGETC,success,4,66,False,17,17,17,15,0,0,
los_angeles_pierce,semester,UCB+UCD,2,IGETC,success,5,72,True,17,17,17,18,3,0,
los_angeles_pierce,semester,UCD+UCSC,2,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCD+UCM,2,IGETC,success,5,72,True,17,17,17,18,3,0,
los_angeles_pierce,semester,UCB+UCSC,2,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCB+UCM,2,IGETC,success,4,63,False,17,17,17,12,0,0,
los_angeles_pierce,semester,UCM+UCSC,2,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCI+UCLA+UCSD,3,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCLA+UCR+UCSD,3,IGETC,success,5,72,True,17,17,17,18,3,0,
los_angeles_pierce,semester,UCLA+UCSB+UCSD,3,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCD+UCLA+UCSD,3,IGETC,success,5,75,True,17,17,17,18,6,0,
los_angeles_pierce,semester,UCB+UCLA+UCSD,3,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCLA+UCSC+UCSD,3,IGETC,success,5,72,True,17,17,17,18,3,0,
los_angeles_pierce,semester,UCLA+UCM+UCSD,3,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCI+UCR+UCSD,3,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCI+UCSB+UCSD,3,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCD+UCI+UCSD,3,IGETC,success,5,72,True,17,17,17,18,3,0,
los_angeles_pierce,semester,UCB+UCI+UCSD,3,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCI+UCSC+UCSD,3,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCI+UCM+UCSD,3,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCR+UCSB+UCSD,3,IGETC,success,5,72,True,17,17,17,18,3,0,
los_angeles_pierce,semester,UCD+UCR+UCSD,3,IGETC,success,5,72,True,17,17,17,18,3,0,
los_angeles_pierce,semester,UCB+UCR+UCSD,3,IGETC,success,5,72,True,17,17,17,18,3,0,
los_angeles_pierce,semester,UCR+UCSC+UCSD,3,IGETC,success,5,72,True,17,17,17,18,3,0,
los_angeles_pierce,semester,UCM+UCR+UCSD,3,IGETC,success,5,72,True,17,17,17,18,3,0,
los_angeles_pierce,semester,UCD+UCSB+UCSD,3,IGETC,success,5,75,True,17,17,17,18,6,0,
los_angeles_pierce,semester,UCB+UCSB+UCSD,3,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCSB+UCSC+UCSD,3,IGETC,success,5,72,True,17,17,17,18,3,0,
los_angeles_pierce,semester,UCM+UCSB+UCSD,3,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCB+UCD+UCSD,3,IGETC,success,5,72,True,17,17,17,18,3,0,
los_angeles_pierce,semester,UCD+UCSC+UCSD,3,IGETC,success,5,72,True,17,17,17,18,3,0,
los_angeles_pierce,semester,UCD+UCM+UCSD,3,IGETC,success,5,72,True,17,17,17,18,3,0,
los_angeles_pierce,semester,UCB+UCSC+UCSD,3,IGETC,success,5,72,True,17,17,17,18,3,0,
los_angeles_pierce,semester,UCB+UCM+UCSD,3,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCM+UCSC+UCSD,3,IGETC,success,5,72,True,17,17,17,18,3,0,
los_angeles_pierce,semester,UCI+UCLA+UCR,3,IGETC,success,4,66,False,17,17,17,15,0,0,
los_angeles_pierce,semester,UCI+UCLA+UCSB,3,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCD+UCI+UCLA,3,IGETC,success,5,75,True,17,17,17,18,6,0,
los_angeles_pierce,semester,UCB+UCI+UCLA,3,IGETC,success,4,63,False,17,17,17,12,0,0,
los_angeles_pierce,semester,UCI+UCLA+UCSC,3,IGETC,success,5,72,True,17,17,17,18,3,0,
los_angeles_pierce,semester,UCI+UCLA+UCM,3,IGETC,success,4,66,False,17,17,17,15,0,0,
los_angeles_pierce,semester,UCLA+UCR+UCSB,3,IGETC,success,5,72,True,17,17,17,18,3,0,
los_angeles_pierce,semester,UCD+UCLA+UCR,3,IGETC,success,5,75,True,17,17,17,18,6,0,
los_angeles_pierce,semester,UCB+UCLA+UCR,3,IGETC,success,4,66,False,17,17,17,15,0,0,
los_angeles_pierce,semester,UCLA+UCR+UCSC,3,IGETC,success,5,75,True,17,17,17,18,6,0,
los_angeles_pierce,semester,UCLA+UCM+UCR,3,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCD+UCLA+UCSB,3,IGETC,success,5,75,True,17,17,17,18,6,0,
los_angeles_pierce,semester,UCB+UCLA+UCSB,3,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCLA+UCSB+UCSC,3,IGETC,success,5,72,True,17,17,17,18,3,0,
los_angeles_pierce,semester,UCLA+UCM+UCSB,3,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCB+UCD+UCLA,3,IGETC,success,5,75,True,17,17,17,18,6,0,
los_angeles_pierce,semester,UCD+UCLA+UCSC,3,IGETC,success,5,75,True,17,17,17,18,6,0,
los_angeles_pierce,semester,UCD+UCLA+UCM,3,IGETC,success,5,75,True,17,17,17,18,6,0,
los_angeles_pierce,semester,UCB+UCLA+UCSC,3,IGETC,success,5,72,True,17,17,17,18,3,0,
los_angeles_pierce,semester,UCB+UCLA+UCM,3,IGETC,success,4,66,False,17,17,17,15,0,0,
los_angeles_pierce,semester,UCLA+UCM+UCSC,3,IGETC,success,5,72,True,17,17,17,18,3,0,
los_angeles_pierce,semester,UCI+UCR+UCSB,3,IGETC,success,4,67,False,17,17,18,15,0,0,
los_angeles_pierce,semester,UCD+UCI+UCR,3,IGETC,success,4,69,False,17,17,17,18,0,0,
los_angeles_pierce,semester,UCB+UCI+UCR,3,IGETC,success,4,66,False,17,17,17,15,0,0,
los_angeles_pierce,semester,UCI+UCR+UCSC,3,IGETC,success,4,64,False,17,17,18,12,0,0,
