cc,system_type,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
cabrillo,semester,UCSD,1,IGETC,success,5,82,True,16,18,16,17,15,0,
cabrillo,semester,UCLA,1,IGETC,success,4,61,False,18,17,17,9,0,0,
cabrillo,semester,UCI,1,IGETC,success,5,70,True,16,17,18,3,16,0,
cabrillo,semester,UCR,1,IGETC,success,4,65,False,16,18,15,16,0,0,
cabrillo,semester,UCSB,1,IGETC,success,4,69,False,16,18,17,18,0,0,
cabrillo,semester,UCD,1,IGETC,success,5,78,True,16,18,16,16,12,0,
cabrillo,semester,UCB,1,IGETC,success,5,73,True,17,17,17,6,16,0,
cabrillo,semester,UCSC,1,IGETC,success,5,74,True,16,18,16,18,6,0,
cabrillo,semester,UCM,1,IGETC,success,5,73,True,18,18,17,14,6,0,
cabrillo,semester,UCLA+UCSD,2,IGETC,success,5,85,True,16,18,16,17,18,0,
cabrillo,semester,UCI+UCSD,2,IGETC,success,5,82,True,16,18,16,17,15,0,
cabrillo,semester,UCR+UCSD,2,IGETC,success,5,82,True,16,18,16,17,15,0,
cabrillo,semester,UCSB+UCSD,2,IGETC,success,5,85,True,16,18,16,17,18,0,
cabrillo,semester,UCD+UCSD,2,IGETC,success,5,86,True,16,18,16,18,18,0,
cabrillo,semester,UCB+UCSD,2,IGETC,success,5,85,True,16,18,16,17,18,0,
cabrillo,semester,UCSC+UCSD,2,IGETC,success,5,86,True,16,18,16,18,18,0,
cabrillo,semester,UCM+UCSD,2,IGETC,success,5,85,True,16,18,16,17,18,0,
cabrillo,semester,UCI+UCLA,2,IGETC,success,4,65,False,16,17,17,15,0,0,
cabrillo,semester,UCLA+UCR,2,IGETC,success,4,65,False,16,17,17,15,0,0,
cabrillo,semester,UCLA+UCSB,2,IGETC,success,4,69,False,16,18,17,18,0,0,
cabrillo,semester,UCD+UCLA,2,IGETC,success,6,89,True,16,18,16,18,18,3,
cabrillo,semester,UCB+UCLA,2,IGETC,success,4,61,False,18,17,17,9,0,0,
cabrillo,semester,UCLA+UCSC,2,IGETC,success,5,85,True,16,18,16,17,18,0,
cabrillo,semester,UCLA+UCM,2,IGETC,success,5,73,True,18,18,17,14,6,0,
cabrillo,semester,UCI+UCR,2,IGETC,success,4,62,False,16,16,18,12,0,0,
cabrillo,semester,UCI+UCSB,2,IGETC,success,4,69,False,16,18,17,18,0,0,
cabrillo,semester,UCD+UCI,2,IGETC,success,5,78,True,16,18,16,16,12,0,
cabrillo,semester,UCB+UCI,2,IGETC,success,4,65,False,16,17,17,15,0,0,
cabrillo,semester,UCI+UCSC,2,IGETC,success,5,74,True,16,18,16,18,6,0,
cabrillo,semester,UCI+UCM,2,IGETC,success,5,73,True,18,18,17,14,6,0,
cabrillo,semester,UCR+UCSB,2,IGETC,success,5,73,True,16,16,17,18,6,0,
cabrillo,semester,UCD+UCR,2,IGETC,success,5,78,True,16,18,16,16,12,0,
cabrillo,semester,UCB+UCR,2,IGETC,success,4,65,False,16,17,17,15,0,0,
cabrillo,semester,UCR+UCSC,2,IGETC,success,5,74,True,16,18,16,18,6,0,
cabrillo,semester,UCM+UCR,2,IGETC,success,5,73,True,18,18,17,14,6,0,
cabrillo,semester,UCD+UCSB,2,IGETC,success,6,89,True,16,18,16,18,18,3,
cabrillo,semester,UCB+UCSB,2,IGETC,success,4,69,False,16,18,17,18,0,0,
cabrillo,semester,UCSB+UCSC,2,IGETC,success,6,89,True,16,18,16,18,18,3,
cabrillo,semester,UCM+UCSB,2,IGETC,success,5,85,True,16,18,16,17,18,0,
cabrillo,semester,UCB+UCD,2,IGETC,success,6,89,True,16,18,16,18,18,3,
cabrillo,semester,UCD+UCSC,2,IGETC,success,5,78,True,16,18,16,16,12,0,
cabrillo,semester,UCD+UCM,2,IGETC,success,6,89,True,16,18,16,18,18,3,
cabrillo,semester,UCB+UCSC,2,IGETC,success,5,85,True,16,18,16,17,18,0,
cabrillo,semester,UCB+UCM,2,IGETC,success,5,73,True,18,18,17,14,6,0,
cabrillo,semester,UCM+UCSC,2,IGETC,success,6,93,True,16,18,16,16,18,9,
cabrillo,semester,UCI+UCLA+UCSD,3,IGETC,success,5,85,True,16,18,16,17,18,0,
