cc,system_type,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
foothill,quarter,UCSD,1,IGETC,success,6,75.5,False,15.0,14,12.5,14,14,6,
foothill,quarter,UCLA,1,IGETC,success,7,96.5,True,14,14,14,13,14,14.0,
foothill,quarter,UCI,1,IGETC,success,7,93.0,True,14,14,15,9,14.0,13.5,
foothill,quarter,UCR,1,IGETC,success,8,103.0,True,14,15,15,3,14.0,13.5,
foothill,quarter,UCSB,1,IGETC,success,7,97.5,True,14,14,14,13,15,14.0,
foothill,quarter,UCD,1,IGETC,success,7,96.5,True,14,14,14,15,12,14.0,
foothill,quarter,UCB,1,IGETC,success,8,102.0,True,14,14,14,13,6,14.0,
foothill,quarter,UCSC,1,IGETC,success,7,96.0,True,14,14,15,12,14.0,13.5,
foothill,quarter,UCM,1,IGETC,success,7,91.5,True,14,14,14,13,9,14.0,
foothill,quarter,UCLA+UCSD,2,IGETC,success,7,88.5,True,15.0,14,12.5,14,13,14,
foothill,quarter,UCI+UCSD,2,IGETC,success,6,78.5,False,15.0,14,12.5,14,14,9,
foothill,quarter,UCR+UCSD,2,IGETC,success,6,78.5,False,15.0,14,12.5,14,14,9,
foothill,quarter,UCSB+UCSD,2,IGETC,success,7,86.5,True,15.0,14,14,12.5,13,15,
foothill,quarter,UCD+UCSD,2,IGETC,success,7,87.5,True,15.0,14,14,14,12.5,15,
foothill,quarter,UCB+UCSD,2,IGETC,success,6,80.5,False,15.0,14,12.5,14,13,12,
foothill,quarter,UCSC+UCSD,2,IGETC,success,6,81.5,False,15.0,14,14,12.5,14,12,
foothill,quarter,UCM+UCSD,2,IGETC,success,6,83.5,False,15.0,14,12.5,14,13,15,
foothill,quarter,UCI+UCLA,2,IGETC,success,8,99.5,True,14,14,14,13,14,3,
foothill,quarter,UCLA+UCR,2,IGETC,success,8,102.5,True,14,14,14,13,14,6,
foothill,quarter,UCLA+UCSB,2,IGETC,success,8,102.5,True,14,14,14,13,14,6,
