UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Allan Hancock College,MATH 1A,MATH 181 (4.00),,
University of California Berkeley,Allan Hancock College,MATH 1B,MATH 182 (4.00),,
University of California Berkeley,Allan Hancock College,MATH 53,MATH 183 (4.00),,
University of California Berkeley,Allan Hancock College,MATH 54,MATH 184 (5.00),,
University of California Berkeley,Allan Hancock College,PHYSICS 7A,PHYS 161 (4.00),,
University of California Berkeley,Allan Hancock College,PHYSICS 7B,PHYS 163 (4.00),,
University of California Berkeley,Allan Hancock College,ENGLISH R1A,ENGL 101 (4.00),,
University of California Berkeley,Allan Hancock College,ENGLISH R1B,ENGL 102 (3.00),,
University of California Berkeley,Allan Hancock College,ASTRON 7A,Not Articulated,,
University of California Berkeley,Allan Hancock College,ASTRON 7B,Not Articulated,,
University of California Berkeley,Allan Hancock College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 150 (5.00); BIOL 155 (5.00),,
University of California Berkeley,Allan Hancock College,BIOLOGY 1B,BIOL 150 (5.00); BIOL 154 (5.00),,
University of California Berkeley,Allan Hancock College,CHEM 1A; CHEM 1AL,CHEM 150 (5.00),,
University of California Berkeley,Allan Hancock College,CHEM 1B,CHEM 151 (5.00),,
University of California Berkeley,Allan Hancock College,CHEM 3A; CHEM 3AL,CHEM 180 (5.00),,
University of California Berkeley,Allan Hancock College,CHEM 3B; CHEM 3BL,CHEM 181 (5.00),,
University of California Berkeley,Allan Hancock College,MCELLBI 32; MCELLBI 32L,BIOL 125 (4.00),,
University of California Berkeley,Allan Hancock College,PHYSICS 7C,PHYS 162 (4.00),,
University of California Berkeley,Allan Hancock College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,Allan Hancock College,COMPSCI 61B,CS 112 (4.00),,
University of California Berkeley,Allan Hancock College,COMPSCI 61C,Not Articulated,,
University of California Berkeley,Allan Hancock College,COMPSCI 70,Not Articulated,,
University of California Berkeley,Allan Hancock College,EECS 16A,ENGR 170 (3.00); ENGR 171 (1.00); MATH 184 (5.00),,
University of California Berkeley,Allan Hancock College,EECS 16B,Not Articulated,,
University of California Davis,Allan Hancock College,ECS 020,CS 161 (3.00),,
University of California Davis,Allan Hancock College,ECS 036A,Not Articulated,,
University of California Davis,Allan Hancock College,ECS 036B,Not Articulated,,
University of California Davis,Allan Hancock College,ECS 036C,Not Articulated,,
University of California Davis,Allan Hancock College,ECS 050,CS 131 (3.00),,
University of California Davis,Allan Hancock College,MAT 021A,MATH 181 (4.00),,
University of California Davis,Allan Hancock College,MAT 021B,MATH 182 (4.00),,
University of California Davis,Allan Hancock College,MAT 021C; MAT 021D,MATH 183 (4.00),,
University of California Davis,Allan Hancock College,MAT 022A; MAT 022B,MATH 183 (4.00); MATH 184 (5.00),,
University of California Davis,Allan Hancock College,MAT 027A,Not Articulated,,
University of California Davis,Allan Hancock College,MAT 067,Not Articulated,,
University of California Davis,Allan Hancock College,BIS 002A,BIOL 150 (5.00),,
University of California Davis,Allan Hancock College,BIS 002B,BIOL 154 (5.00); BIOL 155 (5.00),,
University of California Davis,Allan Hancock College,BIS 002C,BIOL 154 (5.00); BIOL 155 (5.00),,
University of California Davis,Allan Hancock College,CHE 002A; CHE 002B; CHE 002C,CHEM 150 (5.00); CHEM 151 (5.00),,
University of California Davis,Allan Hancock College,CHE 004A,Not Articulated,,
University of California Davis,Allan Hancock College,CHE 004B,Not Articulated,,
University of California Davis,Allan Hancock College,CHE 004C,Not Articulated,,
University of California Davis,Allan Hancock College,PHY 009A,PHYS 161 (4.00),,
University of California Davis,Allan Hancock College,PHY 009B,PHYS 162 (4.00),,
University of California Davis,Allan Hancock College,PHY 009C,PHYS 163 (4.00),,
University of California Irvine,Allan Hancock College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,
University of California Irvine,Allan Hancock College,MATH 2A,MATH 181 (4.00),,
University of California Irvine,Allan Hancock College,MATH 2B,MATH 182 (4.00),,
University of California Irvine,Allan Hancock College,MATH 3A,MATH 184 (5.00),,
University of California Irvine,Allan Hancock College,I&C SCI 6N,Not Articulated,,
University of California Irvine,Allan Hancock College,I&C SCI 6B,CS 161 (3.00),,
University of California Irvine,Allan Hancock College,I&C SCI 6D,Not Articulated,,
University of California Irvine,Allan Hancock College,I&C SCI 45C,Not Articulated,,
University of California Irvine,Allan Hancock College,I&C SCI 46,Not Articulated,,
University of California Irvine,Allan Hancock College,I&C SCI 51,CS 131 (3.00),,
University of California Irvine,Allan Hancock College,I&C SCI 53,Not Articulated,,
University of California Irvine,Allan Hancock College,IN4MATX 43,Not Articulated,,
University of California Irvine,Allan Hancock College,STATS 67,Not Articulated,,
University of California Los Angeles,Allan Hancock College,COM SCI 31,Not Articulated,,
University of California Los Angeles,Allan Hancock College,COM SCI 32,Not Articulated,,
University of California Los Angeles,Allan Hancock College,COM SCI 33,Not Articulated,,
University of California Los Angeles,Allan Hancock College,COM SCI 35L,Not Articulated,,
University of California Los Angeles,Allan Hancock College,COM SCI M51A,Not Articulated,,
University of California Los Angeles,Allan Hancock College,EC ENGR M16,Not Articulated,,
University of California Los Angeles,Allan Hancock College,MATH 31A,MATH 181 (4.00),,
University of California Los Angeles,Allan Hancock College,MATH 31B,MATH 182 (4.00),,
University of California Los Angeles,Allan Hancock College,MATH 32A,MATH 183 (4.00),,
University of California Los Angeles,Allan Hancock College,MATH 32B,MATH 183 (4.00),,
University of California Los Angeles,Allan Hancock College,MATH 33A,MATH 184 (5.00),,
University of California Los Angeles,Allan Hancock College,MATH 33B,MATH 184 (5.00),,
University of California Los Angeles,Allan Hancock College,MATH 61,CS 161 (3.00),,
University of California Los Angeles,Allan Hancock College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 161 (4.00); PHYS 162 (4.00); PHYS 163 (4.00),,
University of California Los Angeles,Allan Hancock College,PHYSICS 4AL,Not Articulated,,
University of California Los Angeles,Allan Hancock College,PHYSICS 4BL,Not Articulated,,
University of California Los Angeles,Allan Hancock College,ENGCOMP 3,ENGL 101 (4.00),,
University of California Los Angeles,Allan Hancock College,,ENGL 102 (3.00),ENGL 103 (3.00),PHIL 114 (3.00)
University of California Los Angeles,Allan Hancock College,,CS 111 (4.00),,
University of California Merced,Allan Hancock College,CSE 022,CS 111 (4.00),,
University of California Merced,Allan Hancock College,CSE 030,CS 112 (4.00),,
University of California Merced,Allan Hancock College,MATH 021,MATH 181 (4.00),,
University of California Merced,Allan Hancock College,MATH 022,MATH 182 (4.00),,
University of California Merced,Allan Hancock College,MATH 023,MATH 183 (4.00),,
University of California Merced,Allan Hancock College,MATH 024,MATH 184 (5.00),,
University of California Merced,Allan Hancock College,PHYS 008; PHYS 008L,PHYS 161 (4.00),,
University of California Merced,Allan Hancock College,PHYS 009; PHYS 009L,PHYS 163 (4.00),,
University of California Merced,Allan Hancock College,CSE 015,CS 161 (3.00),,
University of California Merced,Allan Hancock College,CSE 022,CS 111 (4.00),,
University of California Merced,Allan Hancock College,CSE 024,Not Articulated,,
University of California Merced,Allan Hancock College,CSE 030,CS 112 (4.00),,
University of California Merced,Allan Hancock College,CSE 031,CS 131 (3.00),,
