UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Antelope Valley College,MATH 1A,MATH 150 (5.00),,
University of California Berkeley,Antelope Valley College,MATH 1B,MATH 160 (4.00),,
University of California Berkeley,Antelope Valley College,MATH 53,MATH 250 (4.00),,
University of California Berkeley,Antelope Valley College,MATH 54,MATH 220 (4.00); MATH 230 (4.00),,
University of California Berkeley,Antelope Valley College,PHYSICS 7A,PHYS 110 (4.00),,
University of California Berkeley,Antelope Valley College,PHYSICS 7B,PHYS 120 (4.00),,
University of California Berkeley,Antelope Valley College,ENGLISH R1A,ENGL 101 (3.00),ENGL 102 (3.00),
University of California Berkeley,Antelope Valley College,ENGLISH R1B,ENGL 103 (3.00),,
University of California Berkeley,Antelope Valley College,ASTRON 7A,Not Articulated,,
University of California Berkeley,Antelope Valley College,ASTRON 7B,Not Articulated,,
University of California Berkeley,Antelope Valley College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOL 110 (5.00); BIOL 120 (5.00),,
University of California Berkeley,Antelope Valley College,CHEM 1A; CHEM 1AL,CHEM 110 (5.00),,
University of California Berkeley,Antelope Valley College,CHEM 1B,CHEM 120 (5.00),,
University of California Berkeley,Antelope Valley College,CHEM 3A; CHEM 3AL,CHEM 210 (4.00),,
University of California Berkeley,Antelope Valley College,CHEM 3B; CHEM 3BL,CHEM 220 (4.00),,
University of California Berkeley,Antelope Valley College,MCELLBI 32; MCELLBI 32L,BIOL 202 (4.00),,
University of California Berkeley,Antelope Valley College,PHYSICS 7C,PHYS 211 (5.00),,
University of California Berkeley,Antelope Valley College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,Antelope Valley College,COMPSCI 61B,Not Articulated,,
University of California Berkeley,Antelope Valley College,COMPSCI 61C,Not Articulated,,
University of California Berkeley,Antelope Valley College,COMPSCI 70,Not Articulated,,
University of California Berkeley,Antelope Valley College,EECS 16A,Not Articulated,,
University of California Berkeley,Antelope Valley College,EECS 16B,Not Articulated,,
University of California Davis,Antelope Valley College,ECS 020,CS 150 (3.00),,
University of California Davis,Antelope Valley College,ECS 036A,Not Articulated,,
University of California Davis,Antelope Valley College,ECS 036B,Not Articulated,,
University of California Davis,Antelope Valley College,ECS 036C,CS 131 (3.00),,
University of California Davis,Antelope Valley College,ECS 050,CS 140 (3.00),,
University of California Davis,Antelope Valley College,MAT 021A,MATH 150 (5.00),MATH 150H (5.00),
University of California Davis,Antelope Valley College,MAT 021B,MATH 150 (5.00); MATH 160 (4.00),MATH 150H (5.00); MATH 160 (4.00),
University of California Davis,Antelope Valley College,MAT 021C,MATH 160 (4.00); MATH 250 (4.00),,
University of California Davis,Antelope Valley College,MAT 022A,MATH 220 (4.00),,
University of California Davis,Antelope Valley College,MAT 027A,Not Articulated,,
University of California Davis,Antelope Valley College,MAT 067,Not Articulated,,
University of California Davis,Antelope Valley College,BIS 002A,BIOL 110 (5.00),,
University of California Davis,Antelope Valley College,BIS 002B,BIOL 120 (5.00),,
University of California Davis,Antelope Valley College,BIS 002C,BIOL 120 (5.00),,
University of California Davis,Antelope Valley College,CHE 002A; CHE 002B; CHE 002C,CHEM 110 (5.00); CHEM 120 (5.00),,
University of California Davis,Antelope Valley College,CHE 004A,Not Articulated,,
University of California Davis,Antelope Valley College,CHE 004B,Not Articulated,,
University of California Davis,Antelope Valley College,CHE 004C,Not Articulated,,
University of California Davis,Antelope Valley College,PHY 009A,PHYS 110 (4.00),,
University of California Davis,Antelope Valley College,PHY 009B,PHYS 211 (5.00),,
University of California Davis,Antelope Valley College,PHY 009C,PHYS 120 (4.00),,
University of California Irvine,Antelope Valley College,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 120 (3.00); CS 130 (3.00); CS 230 (3.00),CS 121 (3.00); CS 131 (3.00); CS 231 (3.00),
University of California Irvine,Antelope Valley College,MATH 2A,MATH 150 (5.00); MATH 150H (5.00),,
University of California Irvine,Antelope Valley College,MATH 2B,MATH 160 (4.00),,
University of California Irvine,Antelope Valley College,MATH 3A,MATH 220 (4.00),,
University of California Irvine,Antelope Valley College,I&C SCI 6N,Not Articulated,,
University of California Irvine,Antelope Valley College,I&C SCI 6B,CS 150 (3.00),,
University of California Irvine,Antelope Valley College,I&C SCI 6D,CS 150 (3.00),,
University of California Irvine,Antelope Valley College,I&C SCI 45C,CS 120 (3.00); CS 130 (3.00); CS 230 (3.00),,
University of California Irvine,Antelope Valley College,I&C SCI 46,Not Articulated,,
University of California Irvine,Antelope Valley College,I&C SCI 51,CS 140 (3.00),,
University of California Irvine,Antelope Valley College,I&C SCI 53,Not Articulated,,
University of California Irvine,Antelope Valley College,IN4MATX 43,Not Articulated,,
University of California Irvine,Antelope Valley College,STATS 67,Not Articulated,,
University of California Los Angeles,Antelope Valley College,COM SCI 31,Not Articulated,,
University of California Los Angeles,Antelope Valley College,COM SCI 32,CS 131 (3.00),,
University of California Los Angeles,Antelope Valley College,COM SCI 33,CS 140 (3.00),,
University of California Los Angeles,Antelope Valley College,COM SCI 35L,Not Articulated,,
University of California Los Angeles,Antelope Valley College,COM SCI M51A,Not Articulated,,
University of California Los Angeles,Antelope Valley College,EC ENGR M16,Not Articulated,,
University of California Los Angeles,Antelope Valley College,MATH 31A,MATH 150 (5.00),,
University of California Los Angeles,Antelope Valley College,MATH 31B,MATH 160 (4.00),,
University of California Los Angeles,Antelope Valley College,MATH 32A,MATH 250 (4.00),,
University of California Los Angeles,Antelope Valley College,MATH 32B,MATH 250 (4.00),,
University of California Los Angeles,Antelope Valley College,MATH 33A,MATH 220 (4.00),,
University of California Los Angeles,Antelope Valley College,MATH 33B,MATH 230 (4.00),,
University of California Los Angeles,Antelope Valley College,MATH 61,CS 150 (3.00),,
University of California Los Angeles,Antelope Valley College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 110 (4.00); PHYS 120 (4.00); PHYS 211 (5.00),,
University of California Los Angeles,Antelope Valley College,PHYSICS 4AL,Not Articulated,,
University of California Los Angeles,Antelope Valley College,PHYSICS 4BL,Not Articulated,,
University of California Los Angeles,Antelope Valley College,ENGCOMP 3,ENGL 101 (3.00),,
University of California Los Angeles,Antelope Valley College,,ENGL 102 (3.00),ENGL 103 (3.00),PHIL 201 (3.00)
University of California Los Angeles,Antelope Valley College,,Not Articulated,,
University of California Merced,Antelope Valley College,CSE 022,CS 110 (3.00),CS 121 (3.00),
University of California Merced,Antelope Valley College,CSE 030,CS 130 (3.00),CS 131 (3.00),CS 132 (3.00)
University of California Merced,Antelope Valley College,MATH 021,MATH 150 (5.00),,
University of California Merced,Antelope Valley College,MATH 022,MATH 160 (4.00),,
University of California Merced,Antelope Valley College,MATH 023,MATH 250 (4.00),,
University of California Merced,Antelope Valley College,MATH 024,MATH 220 (4.00); MATH 230 (4.00),,
University of California Merced,Antelope Valley College,PHYS 008; PHYS 008L,PHYS 110 (4.00),,
University of California Merced,Antelope Valley College,PHYS 009; PHYS 009L,PHYS 120 (4.00),,
University of California Merced,Antelope Valley College,CSE 015,CS 150 (3.00),,
University of California Merced,Antelope Valley College,CSE 022,CS 110 (3.00),CS 121 (3.00),
University of California Merced,Antelope Valley College,CSE 024,CS 230 (3.00),,
University of California Merced,Antelope Valley College,CSE 030,CS 130 (3.00),CS 131 (3.00),CS 132 (3.00)
University of California Merced,Antelope Valley College,CSE 031,CS 140 (3.00),,
University of California Merced,Antelope Valley College,ENGR 065,ENGR 230 (4.00),,
University of California Merced,Antelope Valley College,ENGR 091,Not Articulated,,
University of California Merced,Antelope Valley College,MATH 032,Not Articulated,,
University of California Merced,Antelope Valley College,ENGR 080,Not Articulated,,
University of California Merced,Antelope Valley College,WRI 001,ENGL 101 (3.00),,
University of California Merced,Antelope Valley College,WRI 010,ENGL 102 (3.00),ENGL 103 (3.00),PHIL 201 (3.00)
University of California Riverside,Antelope Valley College,CS 10A,Not Articulated,,
University of California Riverside,Antelope Valley College,CS 10B,Not Articulated,,
University of California Riverside,Antelope Valley College,MATH 9A; MATH 9B; MATH 9C,MATH 150 (5.00); MATH 160 (4.00),,
University of California Riverside,Antelope Valley College,PHYS 40A,PHYS 110 (4.00),,
University of California Riverside,Antelope Valley College,CS 11,CS 150 (3.00),,
University of California Riverside,Antelope Valley College,CS 10C,CS 131 (3.00),,
University of California Riverside,Antelope Valley College,CS 61,CS 140 (3.00),,
University of California Riverside,Antelope Valley College,MATH 10A,MATH 250 (4.00),,
University of California Riverside,Antelope Valley College,PHYS 40B,PHYS 110 (4.00); PHYS 211 (5.00),,
University of California Riverside,Antelope Valley College,PHYS 40C,PHYS 120 (4.00),,
University of California Riverside,Antelope Valley College,EE 20B,Not Articulated,,
University of California Riverside,Antelope Valley College,MATH 31,MATH 220 (4.00),,
University of California San Diego,Antelope Valley College,CSE 8A,CS 120 (3.00); CS 121 (3.00); CS 122 (3.00),,
University of California San Diego,Antelope Valley College,CSE 8B,Not Articulated,,
University of California San Diego,Antelope Valley College,CSE 11,CS 230 (3.00); CS 231 (3.00),,
University of California San Diego,Antelope Valley College,CSE 12,CS 130 (3.00); CS 131 (3.00); CS 132 (3.00),,
University of California San Diego,Antelope Valley College,CSE 15L,Not Articulated,,
University of California San Diego,Antelope Valley College,CSE 20,CS 150 (3.00),,
University of California San Diego,Antelope Valley College,CSE 21,Not Articulated,,
University of California San Diego,Antelope Valley College,CSE 30,CS 140 (3.00),,
University of California San Diego,Antelope Valley College,MATH 18,MATH 220 (4.00),,
University of California San Diego,Antelope Valley College,MATH 20A,MATH 150 (5.00),,
University of California San Diego,Antelope Valley College,MATH 20B,MATH 160 (4.00),,
University of California San Diego,Antelope Valley College,MATH 20C,MATH 250 (4.00),,
University of California San Diego,Antelope Valley College,BILD 1,BIOL 110 (5.00); BIOL 120 (5.00),,
University of California San Diego,Antelope Valley College,BILD 2,BIOL 110 (5.00); BIOL 120 (5.00),,
University of California San Diego,Antelope Valley College,BILD 3,BIOL 110 (5.00); BIOL 120 (5.00),,
University of California San Diego,Antelope Valley College,CHEM 6A,CHEM 110 (5.00),,
University of California San Diego,Antelope Valley College,CHEM 6B,CHEM 110 (5.00); CHEM 120 (5.00),,
University of California San Diego,Antelope Valley College,PHYS 2A,PHYS 110 (4.00),,
University of California San Diego,Antelope Valley College,PHYS 2B,PHYS 120 (4.00),,
University of California San Diego,Antelope Valley College,PHYS 4A,Not Articulated,,
University of California San Diego,Antelope Valley College,PHYS 4B,Not Articulated,,
University of California Santa Barbara,Antelope Valley College,MATH 3A,MATH 150 (5.00),MATH 150H (5.00),
University of California Santa Barbara,Antelope Valley College,MATH 3B,MATH 160 (4.00),,
University of California Santa Barbara,Antelope Valley College,MATH 4A,MATH 220 (4.00),,
University of California Santa Barbara,Antelope Valley College,MATH 4B,MATH 230 (4.00),,
University of California Santa Barbara,Antelope Valley College,CMPSC 16,Not Articulated,,
University of California Santa Barbara,Antelope Valley College,CMPSC 24,CS 130 (3.00),,
University of California Santa Barbara,Antelope Valley College,CMPSC 40,CS 150 (3.00),,
University of California Santa Barbara,Antelope Valley College,CMPSC 32,Not Articulated,,
University of California Santa Barbara,Antelope Valley College,CMPSC 64,CS 140 (3.00); ENGR 185 (4.00),,
University of California Santa Barbara,Antelope Valley College,MATH 6A,MATH 250 (4.00),,
University of California Santa Barbara,Antelope Valley College,PHYS 1,PHYS 110 (4.00),,
University of California Santa Barbara,Antelope Valley College,PHYS 2,PHYS 110 (4.00); PHYS 211 (5.00),,
University of California Santa Barbara,Antelope Valley College,PHYS 3; PHYS 3L,PHYS 120 (4.00),,
University of California Santa Barbara,Antelope Valley College,PHYS 6A; PHYS 6AL; PHYS 6B; PHYS 6BL; PHYS 6C; PHYS 6CL,PHYS 101 (4.00); PHYS 102 (4.00),,
University of California Santa Barbara,Antelope Valley College,PHYS 7A,PHYS 110 (4.00),,
University of California Santa Barbara,Antelope Valley College,PHYS 7B,PHYS 120 (4.00),,
University of California Santa Barbara,Antelope Valley College,PHYS 7C,PHYS 120 (4.00),,
University of California Santa Barbara,Antelope Valley College,PHYS 7D,PHYS 211 (5.00),,
University of California Santa Barbara,Antelope Valley College,PHYS 7L,PHYS 120 (4.00); PHYS 211 (5.00),,
University of California Santa Barbara,Antelope Valley College,CHEM 1A; CHEM 1AL; CHEM 1B; CHEM 1BL; CHEM 1C; CHEM 1CL,CHEM 110 (5.00); CHEM 120 (5.00),CHEM 110H (5.00); CHEM 120 (5.00),
University of California Santa Barbara,Antelope Valley College,MCDB 1A; MCDB 1LL,BIOL 110 (5.00); BIOL 120 (5.00),,
University of California Santa Barbara,Antelope Valley College,MCDB 1B,BIOL 110 (5.00); BIOL 120 (5.00),,
University of California Santa Barbara,Antelope Valley College,PSTAT 120A,Not Articulated,,
University of California Santa Cruz,Antelope Valley College,CSE 12,CS 140 (3.00),,
University of California Santa Cruz,Antelope Valley College,CSE 16,CS 150 (3.00),,
University of California Santa Cruz,Antelope Valley College,CSE 30,CS 131 (3.00),CS 132 (3.00),
University of California Santa Cruz,Antelope Valley College,MATH 19A,MATH 150 (5.00),,
University of California Santa Cruz,Antelope Valley College,MATH 19B,MATH 160 (4.00),,
University of California Santa Cruz,Antelope Valley College,AM 10,MATH 220 (4.00),,
University of California Santa Cruz,Antelope Valley College,MATH 21,MATH 220 (4.00),,
University of California Santa Cruz,Antelope Valley College,AM 30,MATH 250 (4.00),,
University of California Santa Cruz,Antelope Valley College,MATH 23A,MATH 250 (4.00),,
