UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
University of California Berkeley,Bakersfield College,MATH 1A,MATH B6A (4.00),,,,
University of California Berkeley,Bakersfield College,MATH 1B,MATH B6B (4.00),,,,
University of California Berkeley,Bakersfield College,MATH 53,MATH B6C (4.00),,,,
University of California Berkeley,Bakersfield College,MATH 54,MATH B6D (3.00); MATH B6E (3.00),,,,
University of California Berkeley,Bakersfield College,PHYSICS 7A,PHYS B4A (4.00),,,,
University of California Berkeley,Bakersfield College,PHYSICS 7B,PHYS B4B (4.00),,,,
University of California Berkeley,Bakersfield College,ENGLISH R1A,ENGL B1A (3.00),ENGL B2 (4.00),,,
University of California Berkeley,Bakersfield College,ENGLISH R1B,ENGL B2 (4.00),ENGL B3 (4.00),,,
University of California Berkeley,Bakersfield College,ASTRON 7A,Not Articulated,,,,
University of California Berkeley,Bakersfield College,ASTRON 7B,Not Articulated,,,,
University of California Berkeley,Bakersfield College,BIOLOGY 1A; BIOLOGY 1AL,BIOL B3A (5.00); BIOL B3B (5.00),,,,
University of California Berkeley,Bakersfield College,BIOLOGY 1B,BIOL B3A (5.00),,,,
University of California Berkeley,Bakersfield College,CHEM 1A; CHEM 1AL,CHEM B1A (5.00),,,,
University of California Berkeley,Bakersfield College,CHEM 1B,CHEM B1B (5.00),,,,
University of California Berkeley,Bakersfield College,CHEM 3A; CHEM 3AL,CHEM B30A (5.00),,,,
University of California Berkeley,Bakersfield College,CHEM 3B; CHEM 3BL,CHEM B30B (5.00),,,,
University of California Berkeley,Bakersfield College,MCELLBI 32; MCELLBI 32L,Not Articulated,,,,
University of California Berkeley,Bakersfield College,PHYSICS 7C,PHYS B4C (4.00),,,,
University of California Berkeley,Bakersfield College,COMPSCI 61A,Not Articulated,,,,
University of California Berkeley,Bakersfield College,COMPSCI 61B,COMP B12 (3.00),,,,
University of California Berkeley,Bakersfield College,COMPSCI 61C,Not Articulated,,,,
University of California Berkeley,Bakersfield College,COMPSCI 70,Not Articulated,,,,
University of California Berkeley,Bakersfield College,EECS 16A,Not Articulated,,,,
University of California Berkeley,Bakersfield College,EECS 16B,Not Articulated,,,,
University of California Davis,Bakersfield College,ECS 020,COMP B14 (3.00),,,,
University of California Davis,Bakersfield College,ECS 036A,Not Articulated,,,,
University of California Davis,Bakersfield College,ECS 036B,COMP B12 (3.00),,,,
University of California Davis,Bakersfield College,ECS 036C,Not Articulated,,,,
University of California Davis,Bakersfield College,ECS 050,Not Articulated,,,,
University of California Davis,Bakersfield College,MAT 021A; MAT 021B,MATH B6A (4.00); MATH B6B (4.00),,,,
University of California Davis,Bakersfield College,MAT 021C; MAT 021D,MATH B6C (4.00),,,,
University of California Davis,Bakersfield College,MAT 022A,MATH B6E (3.00),,,,
University of California Davis,Bakersfield College,MAT 027A,Not Articulated,,,,
University of California Davis,Bakersfield College,MAT 067,Not Articulated,,,,
University of California Davis,Bakersfield College,BIS 002A,BIOL B3B (5.00),,,,
University of California Davis,Bakersfield College,BIS 002B,BIOL B3A (5.00),,,,
University of California Davis,Bakersfield College,BIS 002C,BIOL B3A (5.00),,,,
University of California Davis,Bakersfield College,CHE 002A; CHE 002B; CHE 002C,CHEM B1A (5.00); CHEM B1B (5.00),,,,
University of California Davis,Bakersfield College,CHE 004A,Not Articulated,,,,
University of California Davis,Bakersfield College,CHE 004B,Not Articulated,,,,
University of California Davis,Bakersfield College,CHE 004C,Not Articulated,,,,
University of California Davis,Bakersfield College,PHY 009A,PHYS B4A (4.00); PHYS B4B (4.00); PHYS B4C (4.00),,,,
University of California Davis,Bakersfield College,PHY 009B,PHYS B4A (4.00); PHYS B4B (4.00); PHYS B4C (4.00),,,,
University of California Davis,Bakersfield College,PHY 009C,PHYS B4A (4.00); PHYS B4B (4.00); PHYS B4C (4.00),,,,
University of California Irvine,Bakersfield College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,,,
University of California Irvine,Bakersfield College,MATH 2A,MATH B6A (4.00),,,,
University of California Irvine,Bakersfield College,MATH 2B,MATH B6B (4.00),,,,
University of California Irvine,Bakersfield College,MATH 3A,MATH B6E (3.00),,,,
University of California Irvine,Bakersfield College,I&C SCI 6N,Not Articulated,,,,
University of California Irvine,Bakersfield College,I&C SCI 6B,COMP B14 (3.00),,,,
University of California Irvine,Bakersfield College,I&C SCI 6D,COMP B14 (3.00),,,,
University of California Irvine,Bakersfield College,I&C SCI 45C,Not Articulated,,,,
University of California Irvine,Bakersfield College,I&C SCI 46,Not Articulated,,,,
University of California Irvine,Bakersfield College,I&C SCI 51,Not Articulated,,,,
University of California Irvine,Bakersfield College,I&C SCI 53,Not Articulated,,,,
University of California Irvine,Bakersfield College,IN4MATX 43,Not Articulated,,,,
University of California Irvine,Bakersfield College,STATS 67,Not Articulated,,,,
University of California Los Angeles,Bakersfield College,COM SCI 31,COMP B12 (3.00),,,,
University of California Los Angeles,Bakersfield College,COM SCI 32,Not Articulated,,,,
University of California Los Angeles,Bakersfield College,COM SCI 33,COMP B13 (3.00),,,,
University of California Los Angeles,Bakersfield College,COM SCI 35L,Not Articulated,,,,
University of California Los Angeles,Bakersfield College,COM SCI M51A,ENGR B18 (4.00),,,,
University of California Los Angeles,Bakersfield College,EC ENGR M16,ENGR B18 (4.00),,,,
