UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Barstow Community College,MATH 1A,MATH 4A (4.00),,
University of California Berkeley,Barstow Community College,MATH 1B,MATH 4B (4.00),,
University of California Berkeley,Barstow Community College,MATH 53,MATH 4C (4.00),,
University of California Berkeley,Barstow Community College,MATH 54,MATH 9 (3.00); MATH 10 (3.00),,
University of California Berkeley,Barstow Community College,PHYSICS 7A,PHYS 2A (4.00),,
University of California Berkeley,Barstow Community College,PHYSICS 7B,PHYS 2B (4.00),,
University of California Berkeley,Barstow Community College,ENGLISH R1A,ENGL 1A (4.00); ENGL 1B (3.00),,
University of California Berkeley,Barstow Community College,ENGLISH R1B,ENGL 1B (3.00); ENGL 1C (4.00),,
University of California Berkeley,Barstow Community College,ASTRON 7A,Not Articulated,,
University of California Berkeley,Barstow Community College,ASTRON 7B,Not Articulated,,
University of California Berkeley,Barstow Community College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOL 20A (4.00); BIOL 20B (4.00),,
University of California Berkeley,Barstow Community College,CHEM 1A; CHEM 1AL,CHEM 2A (5.00),,
University of California Berkeley,Barstow Community College,CHEM 1B,CHEM 2B (5.00),,
University of California Berkeley,Barstow Community College,CHEM 3A; CHEM 3AL,CHEM 3A (5.00),,
University of California Berkeley,Barstow Community College,CHEM 3B; CHEM 3BL,CHEM 3B (5.00),,
University of California Berkeley,Barstow Community College,MCELLBI 32; MCELLBI 32L,BIOL 5 (5.00),,
University of California Berkeley,Barstow Community College,PHYSICS 7C,Not Articulated,,
University of California Berkeley,Barstow Community College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,Barstow Community College,COMPSCI 61B,Not Articulated,,
University of California Berkeley,Barstow Community College,COMPSCI 61C,Not Articulated,,
University of California Berkeley,Barstow Community College,COMPSCI 70,Not Articulated,,
University of California Berkeley,Barstow Community College,EECS 16A,Not Articulated,,
University of California Berkeley,Barstow Community College,EECS 16B,Not Articulated,,
University of California Davis,Barstow Community College,ECS 020,Not Articulated,,
University of California Davis,Barstow Community College,ECS 036A,Not Articulated,,
University of California Davis,Barstow Community College,ECS 036B,Not Articulated,,
University of California Davis,Barstow Community College,ECS 036C,Not Articulated,,
University of California Davis,Barstow Community College,ECS 050,Not Articulated,,
University of California Davis,Barstow Community College,MAT 021A,MATH 4A (4.00),,
University of California Davis,Barstow Community College,MAT 021B; MAT 021C; MAT 021D,MATH 4B (4.00); MATH 4C (4.00),,
University of California Davis,Barstow Community College,MAT 022A,MATH 10 (3.00),,
University of California Davis,Barstow Community College,MAT 027A,Not Articulated,,
University of California Davis,Barstow Community College,MAT 067,Not Articulated,,
University of California Davis,Barstow Community College,BIS 002A,BIOL 20A (4.00),,
University of California Davis,Barstow Community College,BIS 002B,BIOL 20B (4.00),,
University of California Davis,Barstow Community College,BIS 002C,Not Articulated,,
University of California Davis,Barstow Community College,CHE 002A; CHE 002B; CHE 002C,CHEM 2A (5.00); CHEM 2B (5.00),,
University of California Davis,Barstow Community College,CHE 004A,Not Articulated,,
University of California Davis,Barstow Community College,CHE 004B,Not Articulated,,
University of California Davis,Barstow Community College,CHE 004C,Not Articulated,,
University of California Davis,Barstow Community College,PHY 009A,Not Articulated,,
University of California Davis,Barstow Community College,PHY 009B,Not Articulated,,
University of California Davis,Barstow Community College,PHY 009C,Not Articulated,,
University of California Irvine,Barstow Community College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,
University of California Irvine,Barstow Community College,MATH 2A,MATH 4A (4.00),,
University of California Irvine,Barstow Community College,MATH 2B,MATH 4B (4.00),,
University of California Irvine,Barstow Community College,MATH 3A,MATH 10 (3.00),,
University of California Irvine,Barstow Community College,I&C SCI 6N,Not Articulated,,
University of California Irvine,Barstow Community College,I&C SCI 6B,Not Articulated,,
University of California Irvine,Barstow Community College,I&C SCI 6D,Not Articulated,,
University of California Irvine,Barstow Community College,I&C SCI 45C,Not Articulated,,
University of California Irvine,Barstow Community College,I&C SCI 46,Not Articulated,,
University of California Irvine,Barstow Community College,I&C SCI 51,Not Articulated,,
University of California Irvine,Barstow Community College,I&C SCI 53,Not Articulated,,
University of California Irvine,Barstow Community College,IN4MATX 43,Not Articulated,,
University of California Irvine,Barstow Community College,STATS 67,Not Articulated,,
University of California Los Angeles,Barstow Community College,COM SCI 31,Not Articulated,,
University of California Los Angeles,Barstow Community College,COM SCI 32,Not Articulated,,
University of California Los Angeles,Barstow Community College,COM SCI 33,Not Articulated,,
University of California Los Angeles,Barstow Community College,COM SCI 35L,Not Articulated,,
University of California Los Angeles,Barstow Community College,COM SCI M51A,Not Articulated,,
University of California Los Angeles,Barstow Community College,EC ENGR M16,Not Articulated,,
University of California Los Angeles,Barstow Community College,MATH 31A,MATH 4A (4.00),,
University of California Los Angeles,Barstow Community College,MATH 31B,MATH 4B (4.00),,
University of California Los Angeles,Barstow Community College,MATH 32A,MATH 4C (4.00),,
University of California Los Angeles,Barstow Community College,MATH 32B,MATH 4C (4.00),,
University of California Los Angeles,Barstow Community College,MATH 33A,Not Articulated,,
University of California Los Angeles,Barstow Community College,MATH 33B,Not Articulated,,
University of California Los Angeles,Barstow Community College,MATH 61,Not Articulated,,
University of California Los Angeles,Barstow Community College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 2A (4.00); PHYS 2B (4.00); PHYS 2C (4.00),,
University of California Los Angeles,Barstow Community College,PHYSICS 4AL,Not Articulated,,
University of California Los Angeles,Barstow Community College,PHYSICS 4BL,Not Articulated,,
University of California Los Angeles,Barstow Community College,ENGCOMP 3,ENGL 1A (4.00),,
University of California Los Angeles,Barstow Community College,,ENGL 1B (3.00),ENGL 1C (4.00),
University of California Los Angeles,Barstow Community College,,Not Articulated,,
University of California Merced,Barstow Community College,CSE 022,CSIS 33 (3.00),,
University of California Merced,Barstow Community College,CSE 030,CSIS 35 (3.00),,
University of California Merced,Barstow Community College,MATH 021,MATH 4A (4.00),,
University of California Merced,Barstow Community College,MATH 022,MATH 4B (4.00),,
University of California Merced,Barstow Community College,MATH 023,MATH 4C (4.00),,
University of California Merced,Barstow Community College,MATH 024,MATH 9 (3.00); MATH 10 (3.00),,
University of California Merced,Barstow Community College,PHYS 008; PHYS 008L,PHYS 2A (4.00),,
University of California Merced,Barstow Community College,PHYS 009; PHYS 009L,PHYS 2B (4.00),,
University of California Merced,Barstow Community College,CSE 015,CSIS 18 (3.00),,
University of California Merced,Barstow Community College,CSE 022,CSIS 33 (3.00),,
University of California Merced,Barstow Community College,CSE 024,Not Articulated,,
University of California Merced,Barstow Community College,CSE 030,CSIS 35 (3.00),,
University of California Merced,Barstow Community College,CSE 031,CSIS 10 (3.00),,
University of California Merced,Barstow Community College,ENGR 065,Not Articulated,,
University of California Merced,Barstow Community College,ENGR 091,Not Articulated,,
University of California Merced,Barstow Community College,MATH 032,Not Articulated,,
University of California Merced,Barstow Community College,ENGR 080,Not Articulated,,
University of California Merced,Barstow Community College,WRI 001,ENGL 1A (4.00),,
University of California Merced,Barstow Community College,WRI 010,ENGL 1B (3.00),ENGL 1C (4.00),PHIL 1C (3.00)
University of California Riverside,Barstow Community College,CS 10A,CSIS 33 (3.00),,
University of California Riverside,Barstow Community College,CS 10B,CSIS 35 (3.00),,
University of California Riverside,Barstow Community College,MATH 9A; MATH 9B; MATH 9C,MATH 4A (4.00); MATH 4B (4.00),,
University of California Riverside,Barstow Community College,PHYS 40A,PHYS 2A (4.00),,
University of California Riverside,Barstow Community College,CS 11,CSIS 18 (3.00),,
University of California Riverside,Barstow Community College,CS 10C,CSIS 35 (3.00),,
University of California Riverside,Barstow Community College,CS 61,Not Articulated,,
University of California Riverside,Barstow Community College,MATH 10A,MATH 4C (4.00),,
University of California Riverside,Barstow Community College,PHYS 40B,PHYS 2A (4.00); PHYS 2B (4.00),,
University of California Riverside,Barstow Community College,PHYS 40C,PHYS 2B (4.00),,
University of California Riverside,Barstow Community College,EE 20B,Not Articulated,,
University of California Riverside,Barstow Community College,MATH 31,Not Articulated,,
University of California San Diego,Barstow Community College,CSE 8A,Not Articulated,,
University of California San Diego,Barstow Community College,CSE 8B,Not Articulated,,
University of California San Diego,Barstow Community College,CSE 11,CSIS 33 (3.00); CSIS 35 (3.00),,
University of California San Diego,Barstow Community College,CSE 12,CSIS 35 (3.00),,
University of California San Diego,Barstow Community College,CSE 15L,Not Articulated,,
University of California San Diego,Barstow Community College,CSE 20,CSIS 18 (3.00),,
University of California San Diego,Barstow Community College,CSE 21,Not Articulated,,
University of California San Diego,Barstow Community College,CSE 30,CSIS 10 (3.00),,
University of California San Diego,Barstow Community College,MATH 18,MATH 10 (3.00),,
University of California San Diego,Barstow Community College,MATH 20A,MATH 4A (4.00),,
University of California San Diego,Barstow Community College,MATH 20B,MATH 4B (4.00),,
University of California San Diego,Barstow Community College,MATH 20C,MATH 4C (4.00),,
University of California San Diego,Barstow Community College,BILD 1,BIOL 20A (4.00); BIOL 20B (4.00),,
University of California San Diego,Barstow Community College,BILD 2,BIOL 20A (4.00); BIOL 20B (4.00),,
University of California San Diego,Barstow Community College,BILD 3,BIOL 20A (4.00); BIOL 20B (4.00),,
University of California San Diego,Barstow Community College,CHEM 6A,CHEM 2A (5.00),,
University of California San Diego,Barstow Community College,CHEM 6B,CHEM 2A (5.00); CHEM 2A (5.00); CHEM 2B (5.00),,
University of California San Diego,Barstow Community College,PHYS 2A,Not Articulated,,
University of California San Diego,Barstow Community College,PHYS 2B,PHYS 2B (4.00),,
University of California San Diego,Barstow Community College,PHYS 4A,Not Articulated,,
University of California San Diego,Barstow Community College,PHYS 4B,Not Articulated,,
University of California Santa Barbara,Barstow Community College,MATH 3A,MATH 4A (4.00),,
University of California Santa Barbara,Barstow Community College,MATH 3B,MATH 4B (4.00),,
University of California Santa Barbara,Barstow Community College,MATH 4A,MATH 10 (3.00),,
University of California Santa Barbara,Barstow Community College,MATH 4B,MATH 9 (3.00),,
University of California Santa Barbara,Barstow Community College,CMPSC 16,Not Articulated,,
University of California Santa Barbara,Barstow Community College,CMPSC 24,CSIS 35 (3.00),,
University of California Santa Barbara,Barstow Community College,CMPSC 40,CSIS 18 (3.00),,
University of California Santa Barbara,Barstow Community College,CMPSC 32,Not Articulated,,
University of California Santa Barbara,Barstow Community College,CMPSC 64,CSIS 10 (3.00),,
University of California Santa Barbara,Barstow Community College,MATH 6A,MATH 4C (4.00),,
University of California Santa Barbara,Barstow Community College,PHYS 1,Not Articulated,,
University of California Santa Barbara,Barstow Community College,PHYS 2,Not Articulated,,
University of California Santa Barbara,Barstow Community College,PHYS 3; PHYS 3L,Not Articulated,,
University of California Santa Barbara,Barstow Community College,PHYS 6A; PHYS 6AL; PHYS 6B; PHYS 6BL; PHYS 6C; PHYS 6CL,Not Articulated,,
University of California Santa Barbara,Barstow Community College,PHYS 7A,PHYS 2A (4.00),,
University of California Santa Barbara,Barstow Community College,PHYS 7B,PHYS 2A (4.00); PHYS 2B (4.00); PHYS 2C (4.00),,
University of California Santa Barbara,Barstow Community College,PHYS 7C,PHYS 2B (4.00); PHYS 2C (4.00),,
University of California Santa Barbara,Barstow Community College,PHYS 7D,Not Articulated,,
University of California Santa Barbara,Barstow Community College,PHYS 7L,PHYS 2B (4.00); PHYS 2C (4.00),,
University of California Santa Barbara,Barstow Community College,CHEM 1A; CHEM 1AL; CHEM 1B; CHEM 1BL; CHEM 1C; CHEM 1CL,CHEM 2A (5.00); CHEM 2B (5.00),,
University of California Santa Barbara,Barstow Community College,MCDB 1A; MCDB 1LL,BIOL 20A (4.00); BIOL 20B (4.00),,
University of California Santa Barbara,Barstow Community College,MCDB 1B,BIOL 20A (4.00); BIOL 20B (4.00),,
University of California Santa Barbara,Barstow Community College,PSTAT 120A,Not Articulated,,
University of California Santa Cruz,Barstow Community College,CSE 12,Not Articulated,,
University of California Santa Cruz,Barstow Community College,CSE 16,CSIS 18 (3.00),,
University of California Santa Cruz,Barstow Community College,CSE 30,Not Articulated,,
University of California Santa Cruz,Barstow Community College,MATH 19A,MATH 4A (4.00),,
University of California Santa Cruz,Barstow Community College,MATH 19B,MATH 4B (4.00),,
University of California Santa Cruz,Barstow Community College,AM 10,Not Articulated,,
