UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
University of California Berkeley,Butte College,MATH 1A,MATH 30 (5.00),,,,
University of California Berkeley,Butte College,MATH 1B,MATH 31 (4.00),,,,
University of California Berkeley,Butte College,MATH 53,MATH 32 (4.00),,,,
University of California Berkeley,Butte College,MATH 54,MATH 40 (4.00); MATH 42 (3.00),,,,
University of California Berkeley,Butte College,PHYSICS 7A,PHYS 41 (4.00),,,,
University of California Berkeley,Butte College,PHYSICS 7B,PHYS 42 (4.00),,,,
University of California Berkeley,Butte College,ENGLISH R1A,ENGL 2 (4.00),ENGL 3 (4.00),,,
University of California Berkeley,Butte College,ENGLISH R1B,ENGL 4 (3.00),ENGL 11 (3.00),,,
University of California Berkeley,Butte College,ASTRON 7A,Not Articulated,,,,
University of California Berkeley,Butte College,ASTRON 7B,Not Articulated,,,,
University of California Berkeley,Butte College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 41 (5.00); BIOL 42 (5.00),,,,
University of California Berkeley,Butte College,BIOLOGY 1B,BIOL 42 (5.00); BIOL 43 (5.00),,,,
University of California Berkeley,Butte College,CHEM 1A; CHEM 1AL,CHEM 1 (5.00),,,,
University of California Berkeley,Butte College,CHEM 1B,CHEM 2 (5.00),,,,
University of California Berkeley,Butte College,CHEM 3A; CHEM 3AL,CHEM 21 (5.00),,,,
University of California Berkeley,Butte College,CHEM 3B; CHEM 3BL,CHEM 22 (5.00),,,,
University of California Berkeley,Butte College,MCELLBI 32; MCELLBI 32L,BIOL 21 (4.00),,,,
University of California Berkeley,Butte College,PHYSICS 7C,PHYS 43 (4.00),,,,
University of California Berkeley,Butte College,COMPSCI 61A,Not Articulated,,,,
University of California Berkeley,Butte College,COMPSCI 61B,CSCI 21 (3.00),,,,
University of California Berkeley,Butte College,COMPSCI 61C,Not Articulated,,,,
University of California Berkeley,Butte College,COMPSCI 70,Not Articulated,,,,
University of California Berkeley,Butte College,EECS 16A,Not Articulated,,,,
