UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7,Courses Group 8
University of California Berkeley,Cabrillo College,MATH 1A,MATH 5A (5.00),,,,,,,
University of California Berkeley,Cabrillo College,MATH 1B,MATH 5B (5.00),,,,,,,
University of California Berkeley,Cabrillo College,MATH 53,MATH 5C (5.00),,,,,,,
University of California Berkeley,Cabrillo College,MATH 54,MATH 6 (3.00); MATH 7 (3.00),,,,,,,
University of California Berkeley,Cabrillo College,PHYSICS 7A,PHYS 4A (5.00),,,,,,,
University of California Berkeley,Cabrillo College,PHYSICS 7B,PHYS 4B (5.00),,,,,,,
University of California Berkeley,Cabrillo College,ENGLISH R1A,ENGL 1A (3.00),ENGL 1AH (3.00),ENGL 1AMC (3.00),ENGL 1AMCH (3.00),ESL 1A (3.00),,,
University of California Berkeley,Cabrillo College,ENGLISH R1B,ENGL 1B (3.00),ENGL 1BH (3.00),ENGL 1BMC (3.00),,,,,
University of California Berkeley,Cabrillo College,ASTRON 7A,Not Articulated,,,,,,,
University of California Berkeley,Cabrillo College,ASTRON 7B,Not Articulated,,,,,,,
University of California Berkeley,Cabrillo College,BIOLOGY 1A; BIOLOGY 1AL,BIO 9A (5.00),,,,,,,
University of California Berkeley,Cabrillo College,BIOLOGY 1B,BIO 9B (5.00); BIO 11C (5.00),,,,,,,
University of California Berkeley,Cabrillo College,CHEM 1A; CHEM 1AL,CHEM 1A (5.00),,,,,,,
University of California Berkeley,Cabrillo College,CHEM 1B,CHEM 1B (5.00),,,,,,,
University of California Berkeley,Cabrillo College,CHEM 3A; CHEM 3AL,CHEM 12A (3.00); CHEM 12AL (2.00),,,,,,,
University of California Berkeley,Cabrillo College,CHEM 3B; CHEM 3BL,CHEM 12B (3.00); CHEM 12BL (2.00),,,,,,,
University of California Berkeley,Cabrillo College,MCELLBI 32; MCELLBI 32L,BIO 5 (4.00),,,,,,,
University of California Berkeley,Cabrillo College,PHYSICS 7C,PHYS 4C (5.00); PHYS 4D (3.00),,,,,,,
University of California Berkeley,Cabrillo College,COMPSCI 61A,Not Articulated,,,,,,,
University of California Berkeley,Cabrillo College,COMPSCI 61B,CS 21 (4.00),,,,,,,
University of California Berkeley,Cabrillo College,COMPSCI 61C,CS 24 (4.00),,,,,,,
University of California Berkeley,Cabrillo College,COMPSCI 70,Not Articulated,,,,,,,
University of California Berkeley,Cabrillo College,EECS 16A,Not Articulated,,,,,,,
University of California Berkeley,Cabrillo College,EECS 16B,Not Articulated,,,,,,,
University of California Davis,Cabrillo College,ECS 020,CS 23 (4.00),MATH 23 (4.00),,,,,,
University of California Davis,Cabrillo College,ECS 036A,CS 11 (4.00),CS 12GP (4.00),CS 12J (4.00),CS 20P (4.00),,,,
University of California Davis,Cabrillo College,ECS 036B,CS 19 (4.00),,,,,,,
University of California Davis,Cabrillo College,ECS 036C,CS 21 (4.00),,,,,,,
University of California Davis,Cabrillo College,ECS 050,CS 24 (4.00),,,,,,,
University of California Davis,Cabrillo College,MAT 021A,MATH 5A (5.00),,,,,,,
University of California Davis,Cabrillo College,MAT 021B,MATH 5A (5.00); MATH 5B (5.00),,,,,,,
University of California Davis,Cabrillo College,MAT 021C,MATH 5B (5.00); MATH 5C (5.00),,,,,,,
University of California Davis,Cabrillo College,MAT 022A,MATH 6 (3.00),,,,,,,
University of California Davis,Cabrillo College,MAT 027A,Not Articulated,,,,,,,
University of California Davis,Cabrillo College,MAT 067,Not Articulated,,,,,,,
University of California Davis,Cabrillo College,BIS 002A,BIO 9A (5.00),,,,,,,
University of California Davis,Cabrillo College,BIS 002B,BIO 9B (5.00),,,,,,,
University of California Davis,Cabrillo College,BIS 002C,BIO 9A (5.00); BIO 9B (5.00),,,,,,,
University of California Davis,Cabrillo College,CHE 002A; CHE 002B; CHE 002C,CHEM 1A (5.00); CHEM 1B (5.00),,,,,,,
University of California Davis,Cabrillo College,CHE 004A,Not Articulated,,,,,,,
University of California Davis,Cabrillo College,CHE 004B,Not Articulated,,,,,,,
University of California Davis,Cabrillo College,CHE 004C,Not Articulated,,,,,,,
University of California Davis,Cabrillo College,PHY 009A,PHYS 4A (5.00),,,,,,,
University of California Davis,Cabrillo College,PHY 009B,PHYS 4C (5.00),,,,,,,
University of California Davis,Cabrillo College,PHY 009C,PHYS 4B (5.00),,,,,,,
University of California Irvine,Cabrillo College,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 12P (4.00); CS 20P (4.00),CS 12J (4.00); CS 20J (4.00),CS 11 (4.00); CS 19 (4.00),CS 11M (4.00); CS 19 (4.00),,,,
University of California Irvine,Cabrillo College,MATH 2A,MATH 5A (5.00),,,,,,,
University of California Irvine,Cabrillo College,MATH 2B,MATH 5B (5.00),,,,,,,
University of California Irvine,Cabrillo College,MATH 3A,MATH 6 (3.00),,,,,,,
University of California Irvine,Cabrillo College,I&C SCI 6N,Not Articulated,,,,,,,
University of California Irvine,Cabrillo College,I&C SCI 6B,Not Articulated,,,,,,,
University of California Irvine,Cabrillo College,I&C SCI 6D,CS 23 (4.00),,,,,,,
University of California Irvine,Cabrillo College,I&C SCI 45C,Not Articulated,,,,,,,
University of California Irvine,Cabrillo College,I&C SCI 46,Not Articulated,,,,,,,
University of California Irvine,Cabrillo College,I&C SCI 51,CS 24 (4.00),,,,,,,
University of California Irvine,Cabrillo College,I&C SCI 53,Not Articulated,,,,,,,
University of California Irvine,Cabrillo College,IN4MATX 43,Not Articulated,,,,,,,
University of California Irvine,Cabrillo College,STATS 67,Not Articulated,,,,,,,
University of California Los Angeles,Cabrillo College,COM SCI 31,CS 11 (4.00),CS 19 (4.00),,,,,,
University of California Los Angeles,Cabrillo College,COM SCI 32,CS 21 (4.00),,,,,,,
University of California Los Angeles,Cabrillo College,COM SCI 33,CS 24 (4.00),,,,,,,
University of California Los Angeles,Cabrillo College,COM SCI 35L,Not Articulated,,,,,,,
University of California Los Angeles,Cabrillo College,COM SCI M51A,Not Articulated,,,,,,,
University of California Los Angeles,Cabrillo College,EC ENGR M16,Not Articulated,,,,,,,
University of California Los Angeles,Cabrillo College,MATH 31A,MATH 5A (5.00),,,,,,,
University of California Los Angeles,Cabrillo College,MATH 31B,MATH 5B (5.00),,,,,,,
University of California Los Angeles,Cabrillo College,MATH 32A,MATH 5C (5.00),,,,,,,
University of California Los Angeles,Cabrillo College,MATH 32B,MATH 5C (5.00),,,,,,,
University of California Los Angeles,Cabrillo College,MATH 33A,MATH 6 (3.00),,,,,,,
University of California Los Angeles,Cabrillo College,MATH 33B,MATH 7 (3.00),,,,,,,
University of California Los Angeles,Cabrillo College,MATH 61,MATH 23 (4.00),,,,,,,
University of California Los Angeles,Cabrillo College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 4A (5.00); PHYS 4B (5.00); PHYS 4C (5.00),,,,,,,
University of California Los Angeles,Cabrillo College,PHYSICS 4AL,Not Articulated,,,,,,,
University of California Los Angeles,Cabrillo College,PHYSICS 4BL,Not Articulated,,,,,,,
University of California Los Angeles,Cabrillo College,ENGCOMP 3,ENGL 1A (3.00); ENGL 1AH (3.00),ESL 1A (3.00),,,,,,
University of California Los Angeles,Cabrillo College,,ENGL 1C (3.00),PHILO 49 (3.00),ENGL 1B (3.00),ENGL 1BMC (3.00),ENGL 2 (3.00),,,
University of California Los Angeles,Cabrillo College,,CS 11 (4.00),,,,,,,
University of California Merced,Cabrillo College,CSE 022,CS 11 (4.00),CS 11M (4.00),CS 12J (4.00),CS 12P (4.00),,,,
University of California Merced,Cabrillo College,CSE 030,CS 21 (4.00),,,,,,,
University of California Merced,Cabrillo College,MATH 021,MATH 5A (5.00),,,,,,,
University of California Merced,Cabrillo College,MATH 022,MATH 5B (5.00),,,,,,,
University of California Merced,Cabrillo College,MATH 023,MATH 5C (5.00),,,,,,,
University of California Merced,Cabrillo College,MATH 024,MATH 6 (3.00); MATH 7 (3.00),,,,,,,
University of California Merced,Cabrillo College,PHYS 008; PHYS 008L,PHYS 4A (5.00),,,,,,,
University of California Merced,Cabrillo College,PHYS 009; PHYS 009L,PHYS 4B (5.00),,,,,,,
University of California Merced,Cabrillo College,CSE 015,CS 23 (4.00),,,,,,,
University of California Merced,Cabrillo College,CSE 022,CS 11 (4.00),CS 11M (4.00),CS 12J (4.00),CS 12P (4.00),,,,
University of California Merced,Cabrillo College,CSE 024,CS 19 (4.00),,,,,,,
University of California Merced,Cabrillo College,CSE 030,CS 21 (4.00),,,,,,,
University of California Merced,Cabrillo College,CSE 031,CS 24 (4.00),,,,,,,
University of California Merced,Cabrillo College,ENGR 065,ENGR 15 (4.00),,,,,,,
University of California Merced,Cabrillo College,ENGR 091,Not Articulated,,,,,,,
University of California Merced,Cabrillo College,MATH 032,Not Articulated,,,,,,,
University of California Merced,Cabrillo College,ENGR 080,Not Articulated,,,,,,,
University of California Merced,Cabrillo College,WRI 001,ENGL 1A (3.00),ENGL 1AH (3.00),ENGL 1AMC (3.00),ENGL 1AMCH (3.00),ESL 1A (3.00),,,
University of California Merced,Cabrillo College,WRI 010,ENGL 1B (3.00),ENGL 1BMC (3.00),ENGL 1C (3.00),ENGL 2 (3.00),ENGL 2H (3.00),ENGL 2MC (3.00),ENGL 2MCH (3.00),PHILO 49 (3.00)
University of California Riverside,Cabrillo College,CS 10A,CS 11 (4.00),CS 11M (4.00),CS 12GP (4.00),CS 12J (4.00),CS 20J (4.00),,,
