UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7
University of California Berkeley,Cerritos College,MATH 1A,MATH 170 (4.00),,,,,,
University of California Berkeley,Cerritos College,MATH 1B,MATH 190 (4.00),,,,,,
University of California Berkeley,Cerritos College,MATH 53,MATH 225 (5.00),,,,,,
University of California Berkeley,Cerritos College,MATH 54,MATH 250 (5.00),,,,,,
University of California Berkeley,Cerritos College,PHYSICS 7A,PHYS 201 (4.00),,,,,,
University of California Berkeley,Cerritos College,PHYSICS 7B,PHYS 202 (4.00),,,,,,
University of California Berkeley,Cerritos College,ENGLISH R1A,ENGL 100 (4.00),ENGL 100S (4.50),,,,,
University of California Berkeley,Cerritos College,ENGLISH R1B,ENGL 102 (3.00),ENGL 103 (4.00),ENGL 110 (4.00),,,,
University of California Berkeley,Cerritos College,ASTRON 7A,Not Articulated,,,,,,
University of California Berkeley,Cerritos College,ASTRON 7B,Not Articulated,,,,,,
University of California Berkeley,Cerritos College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 201 (5.00),,,,,,
University of California Berkeley,Cerritos College,BIOLOGY 1B,BIOL 200 (5.00),,,,,,
University of California Berkeley,Cerritos College,CHEM 1A; CHEM 1AL,CHEM 111 (5.00),,,,,,
University of California Berkeley,Cerritos College,CHEM 1B,CHEM 112 (5.00),,,,,,
University of California Berkeley,Cerritos College,CHEM 3A; CHEM 3AL; CHEM 3B; CHEM 3BL,CHEM 211 (5.00); CHEM 212 (5.00),,,,,,
University of California Berkeley,Cerritos College,MCELLBI 32; MCELLBI 32L,A&P 201 (5.00),,,,,,
University of California Berkeley,Cerritos College,PHYSICS 7C,PHYS 203 (4.00),,,,,,
University of California Berkeley,Cerritos College,COMPSCI 61A,Not Articulated,,,,,,
University of California Berkeley,Cerritos College,COMPSCI 61B,CIS 292 (3.00),,,,,,
University of California Berkeley,Cerritos College,COMPSCI 61C,Not Articulated,,,,,,
University of California Berkeley,Cerritos College,COMPSCI 70,Not Articulated,,,,,,
