UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,Cerro Coso Community College,MATH 1A,MATH C151 (4.00),,,
University of California Berkeley,Cerro Coso Community College,MATH 1B,MATH C152 (4.00); MATH C255 (4.00),,,
University of California Berkeley,Cerro Coso Community College,MATH 53,MATH C152 (4.00); MATH C251 (4.00),,,
University of California Berkeley,Cerro Coso Community College,MATH 54,MATH C255 (4.00); MATH C257 (4.00),,,
University of California Berkeley,Cerro Coso Community College,PHYSICS 7A,PHYS C111 (5.00),,,
University of California Berkeley,Cerro Coso Community College,PHYSICS 7B,PHYS C113 (5.00); PHYS C211 (5.00),,,
University of California Berkeley,Cerro Coso Community College,ENGLISH R1A,ENGL C101 (4.00),,,
University of California Berkeley,Cerro Coso Community College,ENGLISH R1B,ENGL C102 (4.00),,,
University of California Berkeley,Cerro Coso Community College,ASTRON 7A,Not Articulated,,,
University of California Berkeley,Cerro Coso Community College,ASTRON 7B,Not Articulated,,,
University of California Berkeley,Cerro Coso Community College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOL C111 (5.00); BIOL C112 (5.00),BIOL C111H (6.00); BIOL C112 (5.00),,
University of California Berkeley,Cerro Coso Community College,CHEM 1A; CHEM 1AL,CHEM C111 (5.00),,,
University of California Berkeley,Cerro Coso Community College,CHEM 1B,CHEM C113 (5.00),CHEM C113H (6.00),,
University of California Berkeley,Cerro Coso Community College,CHEM 3A; CHEM 3AL; CHEM 3B; CHEM 3BL,CHEM C221 (5.00); CHEM C223 (5.00),CHEM C221 (5.00); CHEM C223H (6.00),,
University of California Berkeley,Cerro Coso Community College,MCELLBI 32; MCELLBI 32L,Not Articulated,,,
University of California Berkeley,Cerro Coso Community College,PHYSICS 7C,PHYS C113 (5.00); PHYS C211 (5.00),,,
University of California Berkeley,Cerro Coso Community College,COMPSCI 61A,Not Articulated,,,
University of California Berkeley,Cerro Coso Community College,COMPSCI 61B,Not Articulated,,,
University of California Berkeley,Cerro Coso Community College,COMPSCI 61C,Not Articulated,,,
University of California Berkeley,Cerro Coso Community College,COMPSCI 70,Not Articulated,,,
University of California Berkeley,Cerro Coso Community College,EECS 16A,Not Articulated,,,
University of California Berkeley,Cerro Coso Community College,EECS 16B,Not Articulated,,,
University of California Davis,Cerro Coso Community College,ECS 020,CSCI C255 (3.00),,,
University of California Davis,Cerro Coso Community College,ECS 036A,Not Articulated,,,
University of California Davis,Cerro Coso Community College,ECS 036B,Not Articulated,,,
University of California Davis,Cerro Coso Community College,ECS 036C,Not Articulated,,,
University of California Davis,Cerro Coso Community College,ECS 050,CSCI C257 (3.00),,,
University of California Davis,Cerro Coso Community College,MAT 021A; MAT 021B,MATH C151 (4.00); MATH C152 (4.00),,,
University of California Davis,Cerro Coso Community College,MAT 021C; MAT 021D,MATH C251 (4.00),,,
University of California Davis,Cerro Coso Community College,MAT 022A,MATH C257 (4.00),,,
University of California Davis,Cerro Coso Community College,MAT 027A,Not Articulated,,,
University of California Davis,Cerro Coso Community College,MAT 067,Not Articulated,,,
University of California Davis,Cerro Coso Community College,BIS 002A,BIOL C111 (5.00),BIOL C111H (6.00),,
University of California Davis,Cerro Coso Community College,BIS 002B,BIOL C112 (5.00),BIOL C112H (6.00),,
University of California Davis,Cerro Coso Community College,BIS 002C,BIOL C112 (5.00),BIOL C112H (6.00),,
University of California Davis,Cerro Coso Community College,CHE 002A; CHE 002B; CHE 002C,CHEM C111 (5.00); CHEM C113 (5.00),CHEM C111 (5.00); CHEM C113H (6.00),,
University of California Davis,Cerro Coso Community College,CHE 004A,Not Articulated,,,
University of California Davis,Cerro Coso Community College,CHE 004B,Not Articulated,,,
University of California Davis,Cerro Coso Community College,CHE 004C,Not Articulated,,,
University of California Davis,Cerro Coso Community College,PHY 009A,PHYS C111 (5.00),,,
University of California Davis,Cerro Coso Community College,PHY 009B,PHYS C211 (5.00),,,
University of California Davis,Cerro Coso Community College,PHY 009C,PHYS C113 (5.00),,,
