UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Chabot College,MATH 1A,MTH 1 (5.00),,
University of California Berkeley,Chabot College,MATH 1B,MTH 2 (5.00),,
University of California Berkeley,Chabot College,MATH 53,MTH 3 (5.00),,
University of California Berkeley,Chabot College,MATH 54,MTH 4 (3.00); MTH 6 (3.00),,
University of California Berkeley,Chabot College,PHYSICS 7A,PHYS 4A (5.00),,
University of California Berkeley,Chabot College,PHYSICS 7B,PHYS 4B (5.00); PHYS 4C (5.00),,
University of California Berkeley,Chabot College,PHYSICS 7A; PHYSICS 7B; PHYSICS 7C,PHYS 7A (5.00); PHYS 7B (5.00); PHYS 7C (5.00); PHYS 7D (3.00),,
University of California Berkeley,Chabot College,ENGLISH R1A,ENGL 1 (4.00),,
University of California Berkeley,Chabot College,ENGLISH R1B,ENGL 4A (4.00),ENGL 7A (4.00),
University of California Berkeley,Chabot College,ASTRON 7A,Not Articulated,,
University of California Berkeley,Chabot College,ASTRON 7B,Not Articulated,,
University of California Berkeley,Chabot College,BIOLOGY 1A; BIOLOGY 1AL,BIOS 21C (5.00); BIOS 21B (4.00),,
University of California Berkeley,Chabot College,BIOLOGY 1B,BIOS 21C (5.00); BIOS 21B (4.00); BIOS 21A (4.00),,
University of California Berkeley,Chabot College,CHEM 1A; CHEM 1AL,CHEM 1A (5.00),,
University of California Berkeley,Chabot College,CHEM 1B,CHEM 1B (5.00),,
University of California Berkeley,Chabot College,CHEM 3A; CHEM 3AL,CHEM 12A (5.00),,
University of California Berkeley,Chabot College,CHEM 3B; CHEM 3BL,CHEM 12B (5.00),,
University of California Berkeley,Chabot College,MCELLBI 32; MCELLBI 32L,BIOS 43 (5.00),,
University of California Berkeley,Chabot College,PHYSICS 7C,PHYS 4C (5.00); PHYS 5 (3.00),,
University of California Berkeley,Chabot College,PHYSICS 7A; PHYSICS 7B; PHYSICS 7C,PHYS 7A (5.00); PHYS 7B (5.00); PHYS 7C (5.00); PHYS 7D (3.00),,
University of California Berkeley,Chabot College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,Chabot College,COMPSCI 61B,CSCI 20 (4.00),,
University of California Berkeley,Chabot College,COMPSCI 61C,Not Articulated,,
University of California Berkeley,Chabot College,COMPSCI 70,Not Articulated,,
University of California Berkeley,Chabot College,EECS 16A,ENGR 16 (4.00),,
University of California Berkeley,Chabot College,EECS 16B,ENGR 43 (4.00),,
University of California Davis,Chabot College,ECS 020,CSCI 28 (3.00),MTH 8 (3.00),
University of California Davis,Chabot College,ECS 036A,CSCI 14 (4.00),,
University of California Davis,Chabot College,ECS 036B,CSCI 15 (4.00),CSCI 20 (4.00),
University of California Davis,Chabot College,ECS 036C,CSCI 20 (4.00),,
University of California Davis,Chabot College,ECS 050,CSCI 21 (4.00),,
University of California Davis,Chabot College,MAT 021A; MAT 021B,MTH 1 (5.00); MTH 2 (5.00),,
University of California Davis,Chabot College,MAT 021C; MAT 021D,MTH 3 (5.00),,
University of California Davis,Chabot College,MAT 022A,MTH 6 (3.00),,
