UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Chaffey College,MATH 1A,MATH 65A (4.00),,
University of California Berkeley,Chaffey College,MATH 1B,MATH 65B (4.00),,
University of California Berkeley,Chaffey College,MATH 53,MATH 75 (5.00),,
University of California Berkeley,Chaffey College,MATH 54,MATH 81 (4.00); MATH 85 (4.00),,
University of California Berkeley,Chaffey College,PHYSICS 7A,PHYS 45 (5.00),,
University of California Berkeley,Chaffey College,PHYSICS 7B,PHYS 46 (5.00),,
University of California Berkeley,Chaffey College,ENGLISH R1A,ENGL 1A (3.00),,
University of California Berkeley,Chaffey College,ENGLISH R1B,ENGL 1B (3.00),,
University of California Berkeley,Chaffey College,ASTRON 7A,Not Articulated,,
University of California Berkeley,Chaffey College,ASTRON 7B,Not Articulated,,
University of California Berkeley,Chaffey College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 40 (4.00); BIOL 62 (5.00),,
University of California Berkeley,Chaffey College,BIOLOGY 1B,BIOL 62 (5.00); BIOL 63 (4.00),,
University of California Berkeley,Chaffey College,CHEM 1A; CHEM 1AL,CHEM 24A (5.00),,
University of California Berkeley,Chaffey College,CHEM 1B,CHEM 24B (5.00),,
University of California Berkeley,Chaffey College,CHEM 3A; CHEM 3AL,CHEM 76A (4.00),,
University of California Berkeley,Chaffey College,CHEM 3B; CHEM 3BL,CHEM 76B (4.00),,
University of California Berkeley,Chaffey College,MCELLBI 32; MCELLBI 32L,BIOL 22 (4.00),,
University of California Berkeley,Chaffey College,PHYSICS 7C,PHYS 47 (5.00),,
University of California Berkeley,Chaffey College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,Chaffey College,COMPSCI 61B,Not Articulated,,
University of California Berkeley,Chaffey College,COMPSCI 61C,Not Articulated,,
University of California Berkeley,Chaffey College,COMPSCI 70,Not Articulated,,
University of California Berkeley,Chaffey College,EECS 16A,Not Articulated,,
University of California Berkeley,Chaffey College,EECS 16B,Not Articulated,,
University of California Davis,Chaffey College,ECS 020,COMPSCI 4 (3.00),,
University of California Davis,Chaffey College,ECS 036A,ENGIN 30 (3.00),,
