UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
University of California Berkeley,Citrus College,MATH 1A,MATH 190 (5.00),,,,
University of California Berkeley,Citrus College,MATH 1B,MATH 191 (5.00),,,,
University of California Berkeley,Citrus College,MATH 53,MATH 210 (5.00),,,,
University of California Berkeley,Citrus College,MATH 54,MATH 211 (5.00); MATH 212 (4.00),,,,
University of California Berkeley,Citrus College,PHYSICS 7A,PHYS 201 (5.00),,,,
University of California Berkeley,Citrus College,PHYSICS 7B,PHYS 202 (5.00),,,,
University of California Berkeley,Citrus College,ENGLISH R1A,ENGL 101 (4.00),ENGL 101H (4.00),ENGL 101E (5.00),ENGL 102 (3.00),
University of California Berkeley,Citrus College,ENGLISH R1B,ENGL 103 (3.00),ENGL 103H (3.00),ENGL 104 (3.00),ENGL 104H (3.00),
University of California Berkeley,Citrus College,ASTRON 7A,Not Articulated,,,,
University of California Berkeley,Citrus College,ASTRON 7B,Not Articulated,,,,
University of California Berkeley,Citrus College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 124 (5.00); BIOL 125 (5.00),,,,
University of California Berkeley,Citrus College,BIOLOGY 1B,BIOL 124 (5.00); BIOL 125 (5.00),,,,
University of California Berkeley,Citrus College,CHEM 1A; CHEM 1AL,CHEM 111 (5.00),,,,
University of California Berkeley,Citrus College,CHEM 1B,CHEM 112 (5.00),,,,
University of California Berkeley,Citrus College,CHEM 3A; CHEM 3AL,CHEM 210 (3.00); CHEM 211L (1.00),,,,
University of California Berkeley,Citrus College,CHEM 3B; CHEM 3BL,CHEM 220 (3.00); CHEM 221L (1.00),,,,
University of California Berkeley,Citrus College,MCELLBI 32; MCELLBI 32L,Not Articulated,,,,
University of California Berkeley,Citrus College,PHYSICS 7C,PHYS 203 (5.00),,,,
University of California Berkeley,Citrus College,COMPSCI 61A,Not Articulated,,,,
University of California Berkeley,Citrus College,COMPSCI 61B,CS 232 (3.00),,,,
University of California Berkeley,Citrus College,COMPSCI 61C,Not Articulated,,,,
University of California Berkeley,Citrus College,COMPSCI 70,Not Articulated,,,,
University of California Berkeley,Citrus College,EECS 16A,Not Articulated,,,,
University of California Berkeley,Citrus College,EECS 16B,Not Articulated,,,,
University of California Davis,Citrus College,ECS 020,CS 252 (3.00),,,,
University of California Davis,Citrus College,ECS 036A,CS 140 (3.00),CS 225 (3.00),,,
University of California Davis,Citrus College,ECS 036B,Not Articulated,,,,
University of California Davis,Citrus College,ECS 036C,Not Articulated,,,,
University of California Davis,Citrus College,ECS 050,CS 242 (3.00),,,,
University of California Davis,Citrus College,MAT 021A,MATH 190 (5.00),,,,
University of California Davis,Citrus College,MAT 021B,MATH 191 (5.00),,,,
University of California Davis,Citrus College,MAT 021C,MATH 210 (5.00),,,,
University of California Davis,Citrus College,MAT 022A,MATH 212 (4.00),,,,
University of California Davis,Citrus College,MAT 027A,Not Articulated,,,,
