UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,City College of San Francisco,MATH 1A,MATH 110A (5.00),,
University of California Berkeley,City College of San Francisco,MATH 1B,MATH 110B (5.00),,
University of California Berkeley,City College of San Francisco,MATH 53,MATH 110C (5.00),,
University of California Berkeley,City College of San Francisco,MATH 54,MATH 120 (3.00); MATH 125 (3.00),MATH 130 (5.00),
University of California Berkeley,City College of San Francisco,PHYSICS 7A,PHYC 4A (3.00); PHYC 4AL (1.00),,
University of California Berkeley,City College of San Francisco,PHYSICS 7B,PHYC 4B (3.00); PHYC 4BL (1.00),,
University of California Berkeley,City College of San Francisco,ENGLISH R1A,ENGL 1A (4.00),,
University of California Berkeley,City College of San Francisco,ENGLISH R1B,ENGL 1B (4.00),ENGL 1C (4.00),CMST 2 (3.00)
University of California Berkeley,City College of San Francisco,ASTRON 7A,Not Articulated,,
University of California Berkeley,City College of San Francisco,ASTRON 7B,Not Articulated,,
University of California Berkeley,City College of San Francisco,BIOLOGY 1A; BIOLOGY 1AL,BIO 100A (5.00),,
University of California Berkeley,City College of San Francisco,BIOLOGY 1B,BIO 100B (5.00),,
University of California Berkeley,City College of San Francisco,CHEM 1A; CHEM 1AL,CHEM 101A (6.00),,
University of California Berkeley,City College of San Francisco,CHEM 1B,CHEM 101B (5.00),,
University of California Berkeley,City College of San Francisco,CHEM 3A; CHEM 3AL,CHEM 212A (6.00),,
University of California Berkeley,City College of San Francisco,CHEM 3B; CHEM 3BL,CHEM 212B (6.00),,
University of California Berkeley,City College of San Francisco,MCELLBI 32; MCELLBI 32L,BIO 111 (5.00),,
University of California Berkeley,City College of San Francisco,PHYSICS 7C,PHYC 4C (3.00); PHYC 4CL (1.00); PHYC 4D (3.00); PHYC 4DL (1.00),,
University of California Berkeley,City College of San Francisco,COMPSCI 61A,Not Articulated,,
University of California Berkeley,City College of San Francisco,COMPSCI 61B,CS 110C (4.00),CS 111C (4.00),
University of California Berkeley,City College of San Francisco,COMPSCI 61C,Not Articulated,,
University of California Berkeley,City College of San Francisco,COMPSCI 70,Not Articulated,,
University of California Berkeley,City College of San Francisco,EECS 16A,Not Articulated,,
University of California Berkeley,City College of San Francisco,EECS 16B,Not Articulated,,
University of California Davis,City College of San Francisco,ECS 020,MATH 115 (3.00),,
University of California Davis,City College of San Francisco,ECS 036A; ECS 036B; ECS 036C,CS 110B (4.00); CS 110C (4.00),CS 111B (4.00); CS 111C (4.00),
University of California Davis,City College of San Francisco,ECS 050,CS 270 (4.00),,
University of California Davis,City College of San Francisco,MAT 021A,MATH 110A (5.00),,
University of California Davis,City College of San Francisco,MAT 021B,MATH 110A (5.00); MATH 110B (5.00),,
University of California Davis,City College of San Francisco,MAT 021C,MATH 110B (5.00); MATH 110C (5.00),,
University of California Davis,City College of San Francisco,MAT 022A; MAT 022B,MATH 130 (5.00),,
University of California Davis,City College of San Francisco,MAT 022A,MATH 120 (3.00),,
University of California Davis,City College of San Francisco,MAT 027A,Not Articulated,,
University of California Davis,City College of San Francisco,MAT 067,Not Articulated,,
University of California Davis,City College of San Francisco,BIS 002A,BIO 100A (5.00),,
University of California Davis,City College of San Francisco,BIS 002B,BIO 100B (5.00),,
University of California Davis,City College of San Francisco,BIS 002C,BIO 100B (5.00),,
University of California Davis,City College of San Francisco,CHE 002A; CHE 002B; CHE 002C,CHEM 101A (6.00); CHEM 101B (5.00),,
University of California Davis,City College of San Francisco,CHE 004A,Not Articulated,,
University of California Davis,City College of San Francisco,CHE 004B,Not Articulated,,
University of California Davis,City College of San Francisco,CHE 004C,Not Articulated,,
University of California Davis,City College of San Francisco,PHY 009A,PHYC 4A (3.00); PHYC 4AL (1.00),,
University of California Davis,City College of San Francisco,PHY 009B,PHYC 4C (3.00); PHYC 4CL (1.00),,
University of California Davis,City College of San Francisco,PHY 009C,PHYC 4B (3.00); PHYC 4BL (1.00),,
University of California Irvine,City College of San Francisco,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 131B (4.00); CS 231 (3.00),,
University of California Irvine,City College of San Francisco,MATH 2A,MATH 100A (3.00),MATH 110A (5.00),
University of California Irvine,City College of San Francisco,MATH 2B,MATH 100B (3.00),MATH 110B (5.00),
University of California Irvine,City College of San Francisco,MATH 3A,MATH 120 (3.00),MATH 130 (5.00),
University of California Irvine,City College of San Francisco,I&C SCI 6N,Not Articulated,,
University of California Irvine,City College of San Francisco,I&C SCI 6B,Not Articulated,,
University of California Irvine,City College of San Francisco,I&C SCI 6D,MATH 115 (3.00),,
University of California Irvine,City College of San Francisco,I&C SCI 45C,Not Articulated,,
University of California Irvine,City College of San Francisco,I&C SCI 46,Not Articulated,,
University of California Irvine,City College of San Francisco,I&C SCI 51,Not Articulated,,
University of California Irvine,City College of San Francisco,I&C SCI 53,Not Articulated,,
University of California Irvine,City College of San Francisco,IN4MATX 43,Not Articulated,,
University of California Irvine,City College of San Francisco,STATS 67,Not Articulated,,
University of California Los Angeles,City College of San Francisco,COM SCI 31,CS 110B (4.00),,
University of California Los Angeles,City College of San Francisco,COM SCI 32,CS 110C (4.00),CS 111C (4.00),
University of California Los Angeles,City College of San Francisco,COM SCI 33,Not Articulated,,
University of California Los Angeles,City College of San Francisco,COM SCI 35L,Not Articulated,,
University of California Los Angeles,City College of San Francisco,COM SCI M51A,Not Articulated,,
University of California Los Angeles,City College of San Francisco,EC ENGR M16,Not Articulated,,
University of California Los Angeles,City College of San Francisco,MATH 31A,MATH 110A (5.00),,
University of California Los Angeles,City College of San Francisco,MATH 31B,MATH 110B (5.00),,
University of California Los Angeles,City College of San Francisco,MATH 32A,MATH 110C (5.00),,
University of California Los Angeles,City College of San Francisco,MATH 32B,MATH 110C (5.00),,
University of California Los Angeles,City College of San Francisco,MATH 33A,MATH 120 (3.00),MATH 130 (5.00),
University of California Los Angeles,City College of San Francisco,MATH 33B,MATH 125 (3.00),MATH 130 (5.00),
University of California Los Angeles,City College of San Francisco,MATH 61,MATH 115 (3.00),,
University of California Los Angeles,City College of San Francisco,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYC 4A (3.00); PHYC 4B (3.00); PHYC 4C (3.00),,
University of California Los Angeles,City College of San Francisco,PHYSICS 4AL,PHYC 4AL (1.00),,
University of California Los Angeles,City College of San Francisco,PHYSICS 4BL,PHYC 4BL (1.00),,
University of California Los Angeles,City College of San Francisco,ENGCOMP 3,ENGL 1A (4.00),,
University of California Los Angeles,City College of San Francisco,,ENGL 1B (4.00),ENGL 1C (4.00),
University of California Los Angeles,City College of San Francisco,,CS 110B (4.00),ENGN 38 (3.00),
University of California Merced,City College of San Francisco,CSE 022,CS 110A (4.00),,
University of California Merced,City College of San Francisco,CSE 030,CS 110C (4.00),CS 111C (4.00),
University of California Merced,City College of San Francisco,MATH 021,MATH 110A (5.00),,
University of California Merced,City College of San Francisco,MATH 022,MATH 110B (5.00),,
University of California Merced,City College of San Francisco,MATH 023,MATH 110C (5.00),,
University of California Merced,City College of San Francisco,MATH 024,MATH 120 (3.00); MATH 125 (3.00),MATH 130 (5.00),
University of California Merced,City College of San Francisco,PHYS 008; PHYS 008L,PHYC 4A (3.00); PHYC 4AL (1.00),,
University of California Merced,City College of San Francisco,PHYS 009; PHYS 009L,PHYC 4B (3.00); PHYC 4BL (1.00); PHYC 4C (3.00); PHYC 4CL (1.00),,
University of California Merced,City College of San Francisco,CSE 015,MATH 115 (3.00),,
University of California Merced,City College of San Francisco,CSE 022,CS 110A (4.00),,
University of California Merced,City College of San Francisco,CSE 024,CS 110B (4.00),,
University of California Merced,City College of San Francisco,CSE 030,CS 110C (4.00),CS 111C (4.00),
University of California Merced,City College of San Francisco,CSE 031,CS 270 (4.00),,
University of California Merced,City College of San Francisco,ENGR 065,ENGN 20 (3.00); ENGN 20L (1.00),,
University of California Merced,City College of San Francisco,ENGR 091,Not Articulated,,
University of California Merced,City College of San Francisco,MATH 032,Not Articulated,,
University of California Merced,City College of San Francisco,ENGR 080,Not Articulated,,
University of California Merced,City College of San Francisco,WRI 001,ENGL 1A (4.00),,
University of California Merced,City College of San Francisco,WRI 010,CMST 2 (3.00),ENGL 1B (4.00),ENGL 1C (4.00)
University of California Riverside,City College of San Francisco,CS 10A,CS 110A (4.00),CS 110B (4.00),
University of California Riverside,City College of San Francisco,CS 10B,CS 110B (4.00),,
University of California Riverside,City College of San Francisco,MATH 9A; MATH 9B; MATH 9C,MATH 110A (5.00); MATH 110B (5.00),,
University of California Riverside,City College of San Francisco,PHYS 40A,PHYC 4A (3.00); PHYC 4AL (1.00),,
University of California Riverside,City College of San Francisco,CS 11,MATH 115 (3.00),,
University of California Riverside,City College of San Francisco,CS 10C,CS 110C (4.00),,
University of California Riverside,City College of San Francisco,CS 61,CS 270 (4.00),,
University of California Riverside,City College of San Francisco,MATH 10A,MATH 110C (5.00),,
University of California Riverside,City College of San Francisco,PHYS 40B,PHYC 4A (3.00); PHYC 4AL (1.00); PHYC 4C (3.00); PHYC 4CL (1.00),,
University of California Riverside,City College of San Francisco,PHYS 40C,PHYC 4B (3.00); PHYC 4BL (1.00),,
University of California Riverside,City College of San Francisco,EE 20B,Not Articulated,,
University of California Riverside,City College of San Francisco,MATH 31,MATH 120 (3.00),MATH 130 (5.00),
University of California San Diego,City College of San Francisco,CSE 8A,Not Articulated,,
University of California San Diego,City College of San Francisco,CSE 8B,CS 111B (4.00),,
University of California San Diego,City College of San Francisco,CSE 11,CS 111B (4.00),,
University of California San Diego,City College of San Francisco,CSE 12,CS 110C (4.00),CS 111C (4.00),
University of California San Diego,City College of San Francisco,CSE 15L,Not Articulated,,
University of California San Diego,City College of San Francisco,CSE 20,MATH 115 (3.00),,
University of California San Diego,City College of San Francisco,CSE 21,Not Articulated,,
University of California San Diego,City College of San Francisco,CSE 30,CS 270 (4.00),,
University of California San Diego,City College of San Francisco,MATH 18,MATH 120 (3.00),MATH 130 (5.00),
University of California San Diego,City College of San Francisco,MATH 20A,MATH 110A (5.00),,
University of California San Diego,City College of San Francisco,MATH 20B,MATH 110B (5.00),,
University of California San Diego,City College of San Francisco,MATH 20C,MATH 110C (5.00),,
University of California San Diego,City College of San Francisco,BILD 1,BIO 100A (5.00); BIO 100B (5.00),,
University of California San Diego,City College of San Francisco,BILD 2,BIO 100A (5.00); BIO 100B (5.00),,
University of California San Diego,City College of San Francisco,BILD 3,BIO 100A (5.00); BIO 100B (5.00),,
University of California San Diego,City College of San Francisco,CHEM 6A,CHEM 101A (6.00),CHEM 103A (5.00),
University of California San Diego,City College of San Francisco,CHEM 6B,CHEM 101A (6.00); CHEM 101B (5.00),,
University of California San Diego,City College of San Francisco,PHYS 2A,PHYC 4A (3.00),,
University of California San Diego,City College of San Francisco,PHYS 2B,PHYC 4B (3.00),,
University of California San Diego,City College of San Francisco,PHYS 4A,Not Articulated,,
University of California San Diego,City College of San Francisco,PHYS 4B,Not Articulated,,
University of California Santa Barbara,City College of San Francisco,MATH 3A,MATH 110A (5.00),,
University of California Santa Barbara,City College of San Francisco,MATH 3B,MATH 110B (5.00),,
University of California Santa Barbara,City College of San Francisco,MATH 4A,MATH 120 (3.00),MATH 130 (5.00),
University of California Santa Barbara,City College of San Francisco,MATH 4B,MATH 125 (3.00),MATH 130 (5.00),
University of California Santa Barbara,City College of San Francisco,CMPSC 16,CS 110B (4.00),,
University of California Santa Barbara,City College of San Francisco,CMPSC 24,CS 110C (4.00),,
University of California Santa Barbara,City College of San Francisco,CMPSC 40,MATH 115 (3.00),,
University of California Santa Barbara,City College of San Francisco,CMPSC 32,Not Articulated,,
University of California Santa Barbara,City College of San Francisco,CMPSC 64,CS 270 (4.00),,
University of California Santa Barbara,City College of San Francisco,MATH 6A,MATH 110C (5.00),,
