UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2
University of California Berkeley,Coastline Community College,MATH 1A,MATH C180 (5.00),
University of California Berkeley,Coastline Community College,MATH 1B,MATH C185 (5.00),
University of California Berkeley,Coastline Community College,MATH 53,MATH C280 (5.00),
University of California Berkeley,Coastline Community College,MATH 54,MATH C285 (5.00),
University of California Berkeley,Coastline Community College,PHYSICS 7A,PHYS C185 (4.00),
University of California Berkeley,Coastline Community College,PHYSICS 7B,PHYS C280 (4.00),
University of California Berkeley,Coastline Community College,ENGLISH R1A,ENGL C100 (4.00),
University of California Berkeley,Coastline Community College,ENGLISH R1B,ENGL C101 (4.00),ENGL C102 (3.00)
University of California Berkeley,Coastline Community College,ASTRON 7A,Not Articulated,
University of California Berkeley,Coastline Community College,ASTRON 7B,Not Articulated,
University of California Berkeley,Coastline Community College,BIOLOGY 1A; BIOLOGY 1AL,BIOL C180 (4.00); BIOL C283 (4.00),
University of California Berkeley,Coastline Community College,BIOLOGY 1B,Not Articulated,
University of California Berkeley,Coastline Community College,CHEM 1A; CHEM 1AL,CHEM C130 (4.00),
University of California Berkeley,Coastline Community College,CHEM 1B,Not Articulated,
University of California Berkeley,Coastline Community College,CHEM 1A; CHEM 1AL; CHEM 1B,CHEM C180 (4.00); CHEM C180L (1.00); CHEM C185 (4.00); CHEM C185L (1.00),
University of California Berkeley,Coastline Community College,CHEM 3A; CHEM 3AL,CHEM C220 (3.00); CHEM C220L (2.00),
University of California Berkeley,Coastline Community College,CHEM 3B; CHEM 3BL,CHEM C225 (3.00); CHEM C225L (2.00),
University of California Berkeley,Coastline Community College,MCELLBI 32; MCELLBI 32L,Not Articulated,
University of California Berkeley,Coastline Community College,PHYSICS 7C,Not Articulated,
University of California Berkeley,Coastline Community College,COMPSCI 61A,Not Articulated,
University of California Berkeley,Coastline Community College,COMPSCI 61B,Not Articulated,
University of California Berkeley,Coastline Community College,COMPSCI 61C,Not Articulated,
University of California Berkeley,Coastline Community College,COMPSCI 70,Not Articulated,
University of California Berkeley,Coastline Community College,EECS 16A,Not Articulated,
University of California Berkeley,Coastline Community College,EECS 16B,Not Articulated,
University of California Davis,Coastline Community College,ECS 020,Not Articulated,
University of California Davis,Coastline Community College,ECS 036A,Not Articulated,
University of California Davis,Coastline Community College,ECS 036B,Not Articulated,
University of California Davis,Coastline Community College,ECS 036C,ICS C123 (3.00),
University of California Davis,Coastline Community College,ECS 050,Not Articulated,
University of California Davis,Coastline Community College,MAT 021A,MATH C180 (5.00),
University of California Davis,Coastline Community College,MAT 021B,MATH C185 (5.00),
University of California Davis,Coastline Community College,MAT 021C; MAT 021D,MATH C280 (5.00),
University of California Davis,Coastline Community College,MAT 022A; MAT 022B,MATH C285 (5.00),
University of California Davis,Coastline Community College,MAT 027A,Not Articulated,
University of California Davis,Coastline Community College,MAT 067,Not Articulated,
University of California Davis,Coastline Community College,BIS 002A,BIOL C180 (4.00),
University of California Davis,Coastline Community College,BIS 002B,Not Articulated,
University of California Davis,Coastline Community College,BIS 002C,Not Articulated,
University of California Davis,Coastline Community College,CHE 002A; CHE 002B; CHE 002C,CHEM C180 (4.00); CHEM C180L (1.00); CHEM C185 (4.00); CHEM C185L (1.00),
University of California Davis,Coastline Community College,CHE 004A,Not Articulated,
University of California Davis,Coastline Community College,CHE 004B,Not Articulated,
University of California Davis,Coastline Community College,CHE 004C,Not Articulated,
University of California Davis,Coastline Community College,PHY 009A,PHYS C185 (4.00),
