UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,College of Alameda,MATH 1A,MATH 3A (5.00),,
University of California Berkeley,College of Alameda,MATH 1B,MATH 3B (5.00),,
University of California Berkeley,College of Alameda,MATH 53,MATH 3C (5.00),,
University of California Berkeley,College of Alameda,MATH 54,MATH 3E (3.00); MATH 3F (3.00),,
University of California Berkeley,College of Alameda,PHYSICS 7A,PHYS 4A (5.00),,
University of California Berkeley,College of Alameda,PHYSICS 7B,PHYS 4B (5.00),,
University of California Berkeley,College of Alameda,ENGLISH R1A,ENGL 1A (4.00),ENGL 1AS (5.00),
University of California Berkeley,College of Alameda,ENGLISH R1B,ENGL 1B (4.00),,
University of California Berkeley,College of Alameda,ASTRON 7A,Not Articulated,,
University of California Berkeley,College of Alameda,ASTRON 7B,Not Articulated,,
University of California Berkeley,College of Alameda,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOL 1A (5.00); BIOL 1B (5.00),,
University of California Berkeley,College of Alameda,CHEM 1A; CHEM 1AL,CHEM 1A (5.00),,
University of California Berkeley,College of Alameda,CHEM 1B,CHEM 1B (5.00),,
University of California Berkeley,College of Alameda,CHEM 3A; CHEM 3AL,Not Articulated,,
University of California Berkeley,College of Alameda,CHEM 3B; CHEM 3BL,Not Articulated,,
University of California Berkeley,College of Alameda,MCELLBI 32; MCELLBI 32L,BIOL 4 (5.00),,
University of California Berkeley,College of Alameda,PHYSICS 7C,PHYS 4C (5.00),,
University of California Berkeley,College of Alameda,COMPSCI 61A,Not Articulated,,
University of California Berkeley,College of Alameda,COMPSCI 61B,Not Articulated,,
University of California Berkeley,College of Alameda,COMPSCI 61C,Not Articulated,,
University of California Berkeley,College of Alameda,COMPSCI 70,Not Articulated,,
University of California Berkeley,College of Alameda,EECS 16A,Not Articulated,,
University of California Berkeley,College of Alameda,EECS 16B,Not Articulated,,
University of California Davis,College of Alameda,ECS 020,MATH 11 (4.00),,
University of California Davis,College of Alameda,ECS 036A,Not Articulated,,
University of California Davis,College of Alameda,ECS 036B,CIS 25 (4.00),,
University of California Davis,College of Alameda,ECS 036C,Not Articulated,,
University of California Davis,College of Alameda,ECS 050,Not Articulated,,
University of California Davis,College of Alameda,MAT 021A,MATH 3A (5.00),,
University of California Davis,College of Alameda,MAT 021B,MATH 3B (5.00),,
University of California Davis,College of Alameda,MAT 021C; MAT 021D,MATH 3B (5.00); MATH 3C (5.00),,
University of California Davis,College of Alameda,MAT 022A,MATH 3E (3.00),,
University of California Davis,College of Alameda,MAT 027A,Not Articulated,,
University of California Davis,College of Alameda,MAT 067,Not Articulated,,
University of California Davis,College of Alameda,BIS 002A; BIS 002B; BIS 002C,BIOL 1A (5.00); BIOL 1B (5.00),,
University of California Davis,College of Alameda,CHE 002A; CHE 002B; CHE 002C,CHEM 1A (5.00); CHEM 1B (5.00),,
University of California Davis,College of Alameda,CHE 004A,Not Articulated,,
University of California Davis,College of Alameda,CHE 004B,Not Articulated,,
University of California Davis,College of Alameda,CHE 004C,Not Articulated,,
University of California Davis,College of Alameda,PHY 009A,PHYS 4A (5.00); PHYS 4B (5.00); PHYS 4C (5.00),,
University of California Davis,College of Alameda,PHY 009B,PHYS 4A (5.00); PHYS 4B (5.00); PHYS 4C (5.00),,
University of California Davis,College of Alameda,PHY 009C,PHYS 4A (5.00); PHYS 4B (5.00); PHYS 4C (5.00),,
University of California Irvine,College of Alameda,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,
University of California Irvine,College of Alameda,MATH 2A,MATH 3A (5.00),,
University of California Irvine,College of Alameda,MATH 2B,MATH 3B (5.00),,
University of California Irvine,College of Alameda,MATH 3A,MATH 3E (3.00),,
University of California Irvine,College of Alameda,I&C SCI 6N,Not Articulated,,
University of California Irvine,College of Alameda,I&C SCI 6B,Not Articulated,,
University of California Irvine,College of Alameda,I&C SCI 6D,MATH 11 (4.00),,
University of California Irvine,College of Alameda,I&C SCI 45C,Not Articulated,,
University of California Irvine,College of Alameda,I&C SCI 46,Not Articulated,,
University of California Irvine,College of Alameda,I&C SCI 51,Not Articulated,,
University of California Irvine,College of Alameda,I&C SCI 53,Not Articulated,,
University of California Irvine,College of Alameda,IN4MATX 43,Not Articulated,,
University of California Irvine,College of Alameda,STATS 67,Not Articulated,,
University of California Los Angeles,College of Alameda,COM SCI 31,Not Articulated,,
University of California Los Angeles,College of Alameda,COM SCI 32,Not Articulated,,
University of California Los Angeles,College of Alameda,COM SCI 33,Not Articulated,,
University of California Los Angeles,College of Alameda,COM SCI 35L,Not Articulated,,
University of California Los Angeles,College of Alameda,COM SCI M51A,Not Articulated,,
University of California Los Angeles,College of Alameda,EC ENGR M16,Not Articulated,,
University of California Los Angeles,College of Alameda,MATH 31A,MATH 3A (5.00),,
University of California Los Angeles,College of Alameda,MATH 31B,MATH 3B (5.00),,
University of California Los Angeles,College of Alameda,MATH 32A,MATH 3C (5.00),,
University of California Los Angeles,College of Alameda,MATH 32B,MATH 3C (5.00),,
University of California Los Angeles,College of Alameda,MATH 33A,MATH 3E (3.00),,
University of California Los Angeles,College of Alameda,MATH 33B,MATH 3F (3.00),,
University of California Los Angeles,College of Alameda,MATH 61,MATH 11 (4.00),,
University of California Los Angeles,College of Alameda,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 4A (5.00); PHYS 4B (5.00); PHYS 4C (5.00),,
University of California Los Angeles,College of Alameda,PHYSICS 4AL,Not Articulated,,
University of California Los Angeles,College of Alameda,PHYSICS 4BL,Not Articulated,,
University of California Los Angeles,College of Alameda,ENGCOMP 3,ENGL 1A (4.00),,
University of California Los Angeles,College of Alameda,,COMM 5 (3.00),ENGL 1B (4.00),ENGL 5 (3.00)
University of California Los Angeles,College of Alameda,,Not Articulated,,
University of California Merced,College of Alameda,CSE 022,CIS 6 (5.00),CIS 23 (4.00),
University of California Merced,College of Alameda,CSE 030,Not Articulated,,
University of California Merced,College of Alameda,MATH 021,MATH 3A (5.00),,
University of California Merced,College of Alameda,MATH 022,MATH 3B (5.00),,
University of California Merced,College of Alameda,MATH 023,MATH 3C (5.00),,
University of California Merced,College of Alameda,MATH 024,MATH 3E (3.00); MATH 3F (3.00),,
University of California Merced,College of Alameda,PHYS 008; PHYS 008L,PHYS 4A (5.00),,
University of California Merced,College of Alameda,PHYS 009; PHYS 009L,PHYS 4B (5.00),,
University of California Merced,College of Alameda,CSE 015,Not Articulated,,
University of California Merced,College of Alameda,CSE 022,CIS 6 (5.00),CIS 23 (4.00),
University of California Merced,College of Alameda,CSE 024,CIS 26 (4.00),,
University of California Merced,College of Alameda,CSE 030,Not Articulated,,
University of California Merced,College of Alameda,CSE 031,Not Articulated,,
University of California Merced,College of Alameda,ENGR 065,Not Articulated,,
University of California Merced,College of Alameda,ENGR 091,Not Articulated,,
University of California Merced,College of Alameda,MATH 032,Not Articulated,,
University of California Merced,College of Alameda,ENGR 080,Not Articulated,,
University of California Merced,College of Alameda,WRI 001,ENGL 1A (4.00),ENGL 1AS (5.00),
University of California Merced,College of Alameda,WRI 010,COMM 5 (3.00),ENGL 1B (4.00),ENGL 5 (3.00)
University of California Riverside,College of Alameda,CS 10A,CIS 25 (4.00),,
University of California Riverside,College of Alameda,CS 10B,Not Articulated,,
University of California Riverside,College of Alameda,MATH 9A; MATH 9B; MATH 9C,MATH 3A (5.00); MATH 3B (5.00),,
University of California Riverside,College of Alameda,PHYS 40A,PHYS 4A (5.00),,
University of California Riverside,College of Alameda,CS 11,MATH 11 (4.00),,
University of California Riverside,College of Alameda,CS 10C,Not Articulated,,
University of California Riverside,College of Alameda,CS 61,Not Articulated,,
University of California Riverside,College of Alameda,MATH 10A,MATH 3C (5.00),,
University of California Riverside,College of Alameda,PHYS 40B,PHYS 4A (5.00); PHYS 4B (5.00),,
University of California Riverside,College of Alameda,PHYS 40C,PHYS 4B (5.00),,
University of California Riverside,College of Alameda,EE 20B,Not Articulated,,
University of California Riverside,College of Alameda,MATH 31,MATH 3E (3.00),,
University of California San Diego,College of Alameda,CSE 8A,Not Articulated,,
University of California San Diego,College of Alameda,CSE 8B,Not Articulated,,
University of California San Diego,College of Alameda,CSE 11,Not Articulated,,
University of California San Diego,College of Alameda,CSE 12,Not Articulated,,
University of California San Diego,College of Alameda,CSE 15L,Not Articulated,,
University of California San Diego,College of Alameda,CSE 20,MATH 11 (4.00),,
University of California San Diego,College of Alameda,CSE 21,Not Articulated,,
University of California San Diego,College of Alameda,CSE 30,Not Articulated,,
University of California San Diego,College of Alameda,MATH 18,MATH 3E (3.00),,
University of California San Diego,College of Alameda,MATH 20A,MATH 3A (5.00),,
University of California San Diego,College of Alameda,MATH 20B,MATH 3B (5.00),,
University of California San Diego,College of Alameda,MATH 20C,MATH 3C (5.00),,
University of California San Diego,College of Alameda,BILD 1,BIOL 1A (5.00); BIOL 1B (5.00),,
University of California San Diego,College of Alameda,BILD 2,BIOL 1A (5.00); BIOL 1B (5.00),,
University of California San Diego,College of Alameda,BILD 3,BIOL 1A (5.00); BIOL 1B (5.00),,
University of California San Diego,College of Alameda,CHEM 6A,CHEM 1A (5.00),,
University of California San Diego,College of Alameda,CHEM 6B,CHEM 1A (5.00); CHEM 1B (5.00),,
University of California San Diego,College of Alameda,PHYS 2A,PHYS 4A (5.00),,
University of California San Diego,College of Alameda,PHYS 2B,PHYS 4B (5.00),,
University of California San Diego,College of Alameda,PHYS 4A,Not Articulated,,
University of California San Diego,College of Alameda,PHYS 4B,Not Articulated,,
University of California Santa Barbara,College of Alameda,MATH 3A,MATH 3A (5.00),,
University of California Santa Barbara,College of Alameda,MATH 3B,MATH 3B (5.00),,
University of California Santa Barbara,College of Alameda,MATH 4A,MATH 3E (3.00),,
University of California Santa Barbara,College of Alameda,MATH 4B,MATH 3F (3.00),,
University of California Santa Barbara,College of Alameda,CMPSC 16,CIS 25 (4.00),,
University of California Santa Barbara,College of Alameda,CMPSC 24,Not Articulated,,
University of California Santa Barbara,College of Alameda,CMPSC 40,MATH 11 (4.00),,
University of California Santa Barbara,College of Alameda,CMPSC 32,Not Articulated,,
