UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2
University of California Berkeley,College of Marin,MATH 1A,MATH 123 (5.00),
University of California Berkeley,College of Marin,MATH 1B,MATH 124 (5.00),
University of California Berkeley,College of Marin,MATH 53,MATH 223 (5.00),
University of California Berkeley,College of Marin,MATH 54,MATH 116 (4.00); MATH 224 (4.00),
University of California Berkeley,College of Marin,PHYSICS 7A,PHYS 207A (5.00),
University of California Berkeley,College of Marin,PHYSICS 7B,PHYS 207B (5.00),
University of California Berkeley,College of Marin,ENGLISH R1A,ENGL 150 (4.00),
University of California Berkeley,College of Marin,ENGLISH R1B,ENGL 151 (4.00),ENGL 155 (4.00)
University of California Berkeley,College of Marin,ASTRON 7A,Not Articulated,
University of California Berkeley,College of Marin,ASTRON 7B,Not Articulated,
University of California Berkeley,College of Marin,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOL 112A (5.00); BIOL 112B (5.00); BIOL 112C (5.00),
University of California Berkeley,College of Marin,CHEM 1A; CHEM 1AL,CHEM 131 (5.00),
University of California Berkeley,College of Marin,CHEM 1B,CHEM 132 (5.00),
University of California Berkeley,College of Marin,CHEM 3A; CHEM 3AL,CHEM 231 (5.00),
University of California Berkeley,College of Marin,CHEM 3B; CHEM 3BL,CHEM 232 (5.00),
University of California Berkeley,College of Marin,MCELLBI 32; MCELLBI 32L,BIOL 224 (5.00),
University of California Berkeley,College of Marin,PHYSICS 7C,PHYS 207C (5.00),
University of California Berkeley,College of Marin,COMPSCI 61A,Not Articulated,
University of California Berkeley,College of Marin,COMPSCI 61B,COMP 220 (4.00),
University of California Berkeley,College of Marin,COMPSCI 61C,Not Articulated,
University of California Berkeley,College of Marin,COMPSCI 70,Not Articulated,
University of California Berkeley,College of Marin,EECS 16A,Not Articulated,
University of California Berkeley,College of Marin,EECS 16B,Not Articulated,
University of California Davis,College of Marin,ECS 020,COMP 117 (3.00),MATH 117 (3.00)
University of California Davis,College of Marin,ECS 036A,COMP 130 (4.00),COMP 135 (4.00)
University of California Davis,College of Marin,ECS 036B,COMP 232 (4.00),COMP 235 (4.00)
University of California Davis,College of Marin,ECS 036C,COMP 220 (4.00),
University of California Davis,College of Marin,ECS 050,COMP 160 (3.00),
University of California Davis,College of Marin,MAT 021A,MATH 123 (5.00),
University of California Davis,College of Marin,MAT 021B,MATH 124 (5.00),
University of California Davis,College of Marin,MAT 021C; MAT 021D,MATH 223 (5.00),
University of California Davis,College of Marin,MAT 022A,MATH 116 (4.00),
University of California Davis,College of Marin,MAT 027A,Not Articulated,
University of California Davis,College of Marin,MAT 067,Not Articulated,
University of California Davis,College of Marin,BIS 002A,BIOL 112C (5.00),
University of California Davis,College of Marin,BIS 002B,BIOL 112A (5.00); BIOL 112B (5.00); BIOL 112C (5.00),
University of California Davis,College of Marin,BIS 002C,BIOL 112A (5.00); BIOL 112B (5.00),
University of California Davis,College of Marin,CHE 002A; CHE 002B; CHE 002C,CHEM 131 (5.00); CHEM 132 (5.00),
University of California Davis,College of Marin,CHE 004A,Not Articulated,
University of California Davis,College of Marin,CHE 004B,Not Articulated,
University of California Davis,College of Marin,CHE 004C,Not Articulated,
University of California Davis,College of Marin,PHY 009A,PHYS 207A (5.00),
University of California Davis,College of Marin,PHY 009B,PHYS 207C (5.00),
University of California Davis,College of Marin,PHY 009C,PHYS 207B (5.00),
University of California Irvine,College of Marin,I&C SCI 31; I&C SCI 32; I&C SCI 33,COMP 135 (4.00); COMP 232 (4.00),COMP 130 (4.00); COMP 235 (4.00)
University of California Irvine,College of Marin,MATH 2A,MATH 123 (5.00),
University of California Irvine,College of Marin,MATH 2B,MATH 124 (5.00),
University of California Irvine,College of Marin,MATH 3A,MATH 116 (4.00),
University of California Irvine,College of Marin,I&C SCI 6N,Not Articulated,
University of California Irvine,College of Marin,I&C SCI 6B,Not Articulated,
University of California Irvine,College of Marin,I&C SCI 6D,MATH 117 (3.00),COMP 117 (3.00)
University of California Irvine,College of Marin,I&C SCI 45C,Not Articulated,
University of California Irvine,College of Marin,I&C SCI 46,Not Articulated,
University of California Irvine,College of Marin,I&C SCI 51,Not Articulated,
University of California Irvine,College of Marin,I&C SCI 53,Not Articulated,
University of California Irvine,College of Marin,IN4MATX 43,Not Articulated,
University of California Irvine,College of Marin,STATS 67,Not Articulated,
University of California Los Angeles,College of Marin,COM SCI 31,COMP 235 (4.00),
University of California Los Angeles,College of Marin,COM SCI 32,COMP 220 (4.00),
University of California Los Angeles,College of Marin,COM SCI 33,Not Articulated,
University of California Los Angeles,College of Marin,COM SCI 35L,Not Articulated,
University of California Los Angeles,College of Marin,COM SCI M51A,Not Articulated,
University of California Los Angeles,College of Marin,EC ENGR M16,Not Articulated,
University of California Los Angeles,College of Marin,MATH 31A,MATH 123 (5.00),
University of California Los Angeles,College of Marin,MATH 31B,MATH 124 (5.00),
University of California Los Angeles,College of Marin,MATH 32A,MATH 223 (5.00),
University of California Los Angeles,College of Marin,MATH 32B,MATH 223 (5.00),
University of California Los Angeles,College of Marin,MATH 33A,MATH 116 (4.00),
University of California Los Angeles,College of Marin,MATH 33B,MATH 224 (4.00),
University of California Los Angeles,College of Marin,MATH 61,MATH 117 (3.00),
University of California Los Angeles,College of Marin,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 207A (5.00); PHYS 207B (5.00); PHYS 207C (5.00),
University of California Los Angeles,College of Marin,PHYSICS 4AL,Not Articulated,
University of California Los Angeles,College of Marin,PHYSICS 4BL,Not Articulated,
University of California Los Angeles,College of Marin,ENGCOMP 3,ENGL 150 (4.00),
University of California Los Angeles,College of Marin,,ENGL 151 (4.00),ENGL 155 (4.00)
University of California Los Angeles,College of Marin,,Not Articulated,
University of California Merced,College of Marin,CSE 022,COMP 130 (4.00),COMP 135 (4.00)
University of California Merced,College of Marin,CSE 030,COMP 220 (4.00),
University of California Merced,College of Marin,MATH 021,MATH 123 (5.00),
University of California Merced,College of Marin,MATH 022,MATH 124 (5.00),
University of California Merced,College of Marin,MATH 023,MATH 223 (5.00),
University of California Merced,College of Marin,MATH 024,MATH 116 (4.00); MATH 224 (4.00),
University of California Merced,College of Marin,PHYS 008; PHYS 008L,PHYS 207A (5.00),
University of California Merced,College of Marin,PHYS 009; PHYS 009L,PHYS 207B (5.00),
University of California Merced,College of Marin,CSE 015,Not Articulated,
University of California Merced,College of Marin,CSE 022,COMP 130 (4.00),COMP 135 (4.00)
University of California Merced,College of Marin,CSE 024,Not Articulated,
University of California Merced,College of Marin,CSE 030,COMP 220 (4.00),
University of California Merced,College of Marin,CSE 031,COMP 160 (3.00),
University of California Merced,College of Marin,ENGR 065,ENGG 220 (3.00); ENGG 220L (1.00),
University of California Merced,College of Marin,ENGR 091,Not Articulated,
University of California Merced,College of Marin,MATH 032,Not Articulated,
University of California Merced,College of Marin,ENGR 080,Not Articulated,
University of California Merced,College of Marin,WRI 001,ENGL 150 (4.00),
University of California Merced,College of Marin,WRI 010,ENGL 151 (4.00),ENGL 155 (4.00)
University of California Riverside,College of Marin,CS 10A,COMP 130 (4.00),COMP 135 (4.00)
University of California Riverside,College of Marin,CS 10B,COMP 235 (4.00),
University of California Riverside,College of Marin,MATH 9A; MATH 9B; MATH 9C,MATH 123 (5.00); MATH 124 (5.00),
University of California Riverside,College of Marin,PHYS 40A,PHYS 207A (5.00),
University of California Riverside,College of Marin,CS 11,COMP 117 (3.00),
University of California Riverside,College of Marin,CS 10C,COMP 220 (4.00),
University of California Riverside,College of Marin,CS 61,COMP 160 (3.00),
University of California Riverside,College of Marin,MATH 10A,MATH 223 (5.00),
University of California Riverside,College of Marin,PHYS 40B,PHYS 207C (5.00),
University of California Riverside,College of Marin,PHYS 40C,PHYS 207B (5.00),
