UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,College of San Mateo,MATH 1A,MATH 251 (5.00),,,
University of California Berkeley,College of San Mateo,MATH 1B,MATH 252 (5.00),,,
University of California Berkeley,College of San Mateo,MATH 53,MATH 253 (5.00),,,
University of California Berkeley,College of San Mateo,MATH 54,MATH 270 (3.00); MATH 275 (3.00),,,
University of California Berkeley,College of San Mateo,PHYSICS 7A,PHYS 250 (4.00),,,
University of California Berkeley,College of San Mateo,PHYSICS 7B,PHYS 260 (4.00),,,
University of California Berkeley,College of San Mateo,ENGLISH R1A,ENGL 100 (3.00),ENGL 105 (5.00),,
University of California Berkeley,College of San Mateo,ENGLISH R1B,ENGL 110 (3.00),ENGL 165 (3.00),,
University of California Berkeley,College of San Mateo,ASTRON 7A,Not Articulated,,,
University of California Berkeley,College of San Mateo,ASTRON 7B,Not Articulated,,,
University of California Berkeley,College of San Mateo,BIOLOGY 1A; BIOLOGY 1AL,BIOL 230 (4.00); BIOL 210 (5.00),,,
University of California Berkeley,College of San Mateo,BIOLOGY 1B,BIOL 220 (5.00),,,
University of California Berkeley,College of San Mateo,CHEM 1A; CHEM 1AL,CHEM 210 (5.00),,,
University of California Berkeley,College of San Mateo,CHEM 1B,CHEM 220 (5.00),,,
University of California Berkeley,College of San Mateo,CHEM 3A; CHEM 3AL,CHEM 231 (5.00),,,
University of California Berkeley,College of San Mateo,CHEM 3B; CHEM 3BL,CHEM 232 (5.00),,,
University of California Berkeley,College of San Mateo,MCELLBI 32; MCELLBI 32L,BIOL 260 (5.00),,,
University of California Berkeley,College of San Mateo,PHYSICS 7C,PHYS 270 (4.00),,,
University of California Berkeley,College of San Mateo,COMPSCI 61A,CIS 117 (4.00); CIS 502 (4.00),,,
University of California Berkeley,College of San Mateo,COMPSCI 61B,CIS 256 (4.00),CIS 279 (4.00),,
University of California Berkeley,College of San Mateo,COMPSCI 61C,CIS 264 (4.00),,,
University of California Berkeley,College of San Mateo,COMPSCI 70,Not Articulated,,,
University of California Berkeley,College of San Mateo,EECS 16A,Not Articulated,,,
University of California Berkeley,College of San Mateo,EECS 16B,Not Articulated,,,
University of California Davis,College of San Mateo,ECS 020,CIS 262 (3.00),MATH 268 (4.00),,
University of California Davis,College of San Mateo,ECS 036A,Not Articulated,,,
University of California Davis,College of San Mateo,ECS 036B,CIS 278 (4.00),,,
University of California Davis,College of San Mateo,ECS 036C,CIS 256 (4.00),CIS 279 (4.00),,
University of California Davis,College of San Mateo,ECS 050,CIS 264 (4.00),,,
University of California Davis,College of San Mateo,MAT 021A,MATH 251 (5.00),,,
University of California Davis,College of San Mateo,MAT 021B,MATH 251 (5.00); MATH 252 (5.00),,,
University of California Davis,College of San Mateo,MAT 021C,MATH 252 (5.00),,,
University of California Davis,College of San Mateo,MAT 022A,MATH 270 (3.00),,,
University of California Davis,College of San Mateo,MAT 027A,Not Articulated,,,
University of California Davis,College of San Mateo,MAT 067,Not Articulated,,,
University of California Davis,College of San Mateo,BIS 002A,BIOL 230 (4.00),,,
University of California Davis,College of San Mateo,BIS 002B,BIOL 210 (5.00); BIOL 220 (5.00),,,
University of California Davis,College of San Mateo,BIS 002C,BIOL 210 (5.00); BIOL 220 (5.00),,,
University of California Davis,College of San Mateo,CHE 002A; CHE 002B; CHE 002C,CHEM 210 (5.00); CHEM 220 (5.00),,,
University of California Davis,College of San Mateo,CHE 004A,Not Articulated,,,
University of California Davis,College of San Mateo,CHE 004B,Not Articulated,,,
University of California Davis,College of San Mateo,CHE 004C,Not Articulated,,,
University of California Davis,College of San Mateo,PHY 009A,PHYS 250 (4.00); PHYS 260 (4.00); PHYS 270 (4.00),,,
University of California Davis,College of San Mateo,PHY 009B,PHYS 250 (4.00); PHYS 260 (4.00); PHYS 270 (4.00),,,
University of California Davis,College of San Mateo,PHY 009C,PHYS 250 (4.00); PHYS 260 (4.00); PHYS 270 (4.00),,,
University of California Irvine,College of San Mateo,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 117 (4.00); CIS 502 (4.00),CIS 501 (4.00); CIS 502 (4.00),CIS 255 (4.00); CIS 256 (4.00),
University of California Irvine,College of San Mateo,MATH 2A,MATH 251 (5.00),,,
University of California Irvine,College of San Mateo,MATH 2B,MATH 252 (5.00),,,
University of California Irvine,College of San Mateo,MATH 3A,MATH 270 (3.00),,,
University of California Irvine,College of San Mateo,I&C SCI 6N,Not Articulated,,,
University of California Irvine,College of San Mateo,I&C SCI 6B,CIS 262 (3.00),,,
University of California Irvine,College of San Mateo,I&C SCI 6D,CIS 262 (3.00),MATH 268 (4.00),,
University of California Irvine,College of San Mateo,I&C SCI 45C,CIS 278 (4.00),,,
University of California Irvine,College of San Mateo,I&C SCI 46,CIS 279 (4.00),,,
University of California Irvine,College of San Mateo,I&C SCI 51,CIS 264 (4.00),,,
University of California Irvine,College of San Mateo,I&C SCI 53,Not Articulated,,,
University of California Irvine,College of San Mateo,IN4MATX 43,Not Articulated,,,
University of California Irvine,College of San Mateo,STATS 67,Not Articulated,,,
University of California Los Angeles,College of San Mateo,COM SCI 31,CIS 278 (4.00),,,
University of California Los Angeles,College of San Mateo,COM SCI 32,CIS 279 (4.00),,,
University of California Los Angeles,College of San Mateo,COM SCI 33,CIS 264 (4.00),,,
University of California Los Angeles,College of San Mateo,COM SCI 35L,Not Articulated,,,
University of California Los Angeles,College of San Mateo,COM SCI M51A,Not Articulated,,,
University of California Los Angeles,College of San Mateo,EC ENGR M16,Not Articulated,,,
University of California Los Angeles,College of San Mateo,MATH 31A,MATH 251 (5.00),,,
University of California Los Angeles,College of San Mateo,MATH 31B,MATH 252 (5.00),,,
University of California Los Angeles,College of San Mateo,MATH 32A,MATH 253 (5.00),,,
University of California Los Angeles,College of San Mateo,MATH 32B,MATH 253 (5.00),,,
University of California Los Angeles,College of San Mateo,MATH 33A,MATH 270 (3.00),,,
University of California Los Angeles,College of San Mateo,MATH 33B,MATH 275 (3.00),,,
University of California Los Angeles,College of San Mateo,MATH 61,MATH 268 (4.00),CIS 262 (3.00),,
University of California Los Angeles,College of San Mateo,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 250 (4.00); PHYS 260 (4.00); PHYS 270 (4.00),,,
University of California Los Angeles,College of San Mateo,PHYSICS 4AL,Not Articulated,,,
University of California Los Angeles,College of San Mateo,PHYSICS 4BL,Not Articulated,,,
University of California Los Angeles,College of San Mateo,ENGCOMP 3,ENGL 100 (3.00),,,
University of California Los Angeles,College of San Mateo,,ENGL 110 (3.00),ENGL 165 (3.00),,
University of California Los Angeles,College of San Mateo,,Not Articulated,,,
University of California Merced,College of San Mateo,CSE 022,CIS 117 (4.00),CIS 254 (4.00),,
University of California Merced,College of San Mateo,CSE 030,CIS 256 (4.00),CIS 279 (4.00),,
University of California Merced,College of San Mateo,MATH 021,MATH 251 (5.00),,,
University of California Merced,College of San Mateo,MATH 022,MATH 252 (5.00),,,
University of California Merced,College of San Mateo,MATH 023,MATH 253 (5.00),,,
University of California Merced,College of San Mateo,MATH 024,MATH 270 (3.00); MATH 275 (3.00),,,
University of California Merced,College of San Mateo,PHYS 008; PHYS 008L,PHYS 250 (4.00),,,
University of California Merced,College of San Mateo,PHYS 009; PHYS 009L,PHYS 260 (4.00),,,
University of California Merced,College of San Mateo,CSE 015,CIS 262 (3.00),,,
University of California Merced,College of San Mateo,CSE 022,CIS 117 (4.00),CIS 254 (4.00),,
University of California Merced,College of San Mateo,CSE 024,Not Articulated,,,
University of California Merced,College of San Mateo,CSE 030,CIS 256 (4.00),CIS 279 (4.00),,
University of California Merced,College of San Mateo,CSE 031,CIS 264 (4.00),,,
