UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
University of California Berkeley,College of the Canyons,MATH 1A,MATH 211 (5.00),,,,
University of California Berkeley,College of the Canyons,MATH 1B,MATH 212 (5.00),,,,
University of California Berkeley,College of the Canyons,MATH 53,MATH 213 (5.00),,,,
University of California Berkeley,College of the Canyons,MATH 54,MATH 214 (4.00); MATH 215 (4.00),,,,
University of California Berkeley,College of the Canyons,PHYSICS 7A,PHYSIC 220 (4.00),,,,
University of California Berkeley,College of the Canyons,PHYSICS 7B,PHYSIC 221 (4.00),,,,
University of California Berkeley,College of the Canyons,ENGLISH R1A,ENGL 101 (4.00),ENGL 101H (4.00),,,
University of California Berkeley,College of the Canyons,ENGLISH R1B,ENGL 103 (3.00),ENGL 103H (3.00),,,
University of California Berkeley,College of the Canyons,ASTRON 7A,Not Articulated,,,,
University of California Berkeley,College of the Canyons,ASTRON 7B,Not Articulated,,,,
University of California Berkeley,College of the Canyons,BIOLOGY 1A; BIOLOGY 1AL,BIOSCI 106 (4.00); BIOSCI 107 (4.00); BIOSCI 115 (4.00),,,,
University of California Berkeley,College of the Canyons,BIOLOGY 1B,BIOSCI 106 (4.00); BIOSCI 115 (4.00); BIOSCI 116 (4.00),,,,
University of California Berkeley,College of the Canyons,CHEM 1A; CHEM 1AL,CHEM 201 (5.00),CHEM 201H (5.00),,,
University of California Berkeley,College of the Canyons,CHEM 1B,CHEM 202 (5.00),,,,
University of California Berkeley,College of the Canyons,CHEM 3A; CHEM 3AL,CHEM 255 (5.00),,,,
University of California Berkeley,College of the Canyons,CHEM 3B; CHEM 3BL,CHEM 256 (5.00),,,,
University of California Berkeley,College of the Canyons,MCELLBI 32; MCELLBI 32L,Not Articulated,,,,
University of California Berkeley,College of the Canyons,PHYSICS 7C,PHYSIC 222 (4.00),,,,
University of California Berkeley,College of the Canyons,COMPSCI 61A,Not Articulated,,,,
University of California Berkeley,College of the Canyons,COMPSCI 61B,CMPSCI 182 (3.00); CMPSCI 182L (1.00); CMPSCI 236 (3.00),,,,
University of California Berkeley,College of the Canyons,COMPSCI 61C,Not Articulated,,,,
University of California Berkeley,College of the Canyons,COMPSCI 70,Not Articulated,,,,
University of California Berkeley,College of the Canyons,EECS 16A,Not Articulated,,,,
University of California Berkeley,College of the Canyons,EECS 16B,Not Articulated,,,,
University of California Davis,College of the Canyons,ECS 020,CMPSCI 256 (3.00),,,,
University of California Davis,College of the Canyons,ECS 036A,CMPSCI 235 (3.00),,,,
University of California Davis,College of the Canyons,ECS 036B,CMPSCI 236 (3.00),,,,
University of California Davis,College of the Canyons,ECS 036C,Not Articulated,,,,
University of California Davis,College of the Canyons,ECS 050,Not Articulated,,,,
University of California Davis,College of the Canyons,MAT 021A,MATH 211 (5.00),,,,
University of California Davis,College of the Canyons,MAT 021B,MATH 212 (5.00),,,,
University of California Davis,College of the Canyons,MAT 021C,MATH 213 (5.00),,,,
University of California Davis,College of the Canyons,MAT 022A,MATH 214 (4.00),,,,
University of California Davis,College of the Canyons,MAT 027A,Not Articulated,,,,
University of California Davis,College of the Canyons,MAT 067,Not Articulated,,,,
University of California Davis,College of the Canyons,BIS 002A,BIOSCI 107 (4.00),BIOSCI 107H (4.00),,,
University of California Davis,College of the Canyons,BIS 002B,BIOSCI 106 (4.00),,,,
University of California Davis,College of the Canyons,BIS 002C,BIOSCI 106 (4.00),,,,
University of California Davis,College of the Canyons,CHE 002A; CHE 002B; CHE 002C,CHEM 201 (5.00); CHEM 202 (5.00),CHEM 201H (5.00); CHEM 202 (5.00),,,
University of California Davis,College of the Canyons,CHE 004A,CHEM 201H (5.00),,,,
University of California Davis,College of the Canyons,CHE 004B,Not Articulated,,,,
University of California Davis,College of the Canyons,CHE 004C,Not Articulated,,,,
University of California Davis,College of the Canyons,PHY 009A,PHYSIC 220 (4.00); PHYSIC 221 (4.00); PHYSIC 222 (4.00),,,,
University of California Davis,College of the Canyons,PHY 009B,PHYSIC 220 (4.00); PHYSIC 221 (4.00); PHYSIC 222 (4.00),,,,
University of California Davis,College of the Canyons,PHY 009C,PHYSIC 220 (4.00); PHYSIC 221 (4.00); PHYSIC 222 (4.00),,,,
University of California Irvine,College of the Canyons,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,,,
University of California Irvine,College of the Canyons,MATH 2A,MATH 211 (5.00); MATH 240 (5.00),,,,
University of California Irvine,College of the Canyons,MATH 2B,MATH 212 (5.00),,,,
University of California Irvine,College of the Canyons,MATH 3A,MATH 214 (4.00),,,,
University of California Irvine,College of the Canyons,I&C SCI 6N,Not Articulated,,,,
University of California Irvine,College of the Canyons,I&C SCI 6B,Not Articulated,,,,
University of California Irvine,College of the Canyons,I&C SCI 6D,Not Articulated,,,,
University of California Irvine,College of the Canyons,I&C SCI 45C,Not Articulated,,,,
University of California Irvine,College of the Canyons,I&C SCI 46,Not Articulated,,,,
University of California Irvine,College of the Canyons,I&C SCI 51,Not Articulated,,,,
University of California Irvine,College of the Canyons,I&C SCI 53,Not Articulated,,,,
University of California Irvine,College of the Canyons,IN4MATX 43,Not Articulated,,,,
University of California Irvine,College of the Canyons,STATS 67,Not Articulated,,,,
University of California Los Angeles,College of the Canyons,COM SCI 31,CMPSCI 236 (3.00),,,,
University of California Los Angeles,College of the Canyons,COM SCI 32,CMPSCI 236 (3.00),,,,
University of California Los Angeles,College of the Canyons,COM SCI 33,CMPSCI 122 (3.00),,,,
University of California Los Angeles,College of the Canyons,COM SCI 35L,Not Articulated,,,,
University of California Los Angeles,College of the Canyons,COM SCI M51A,Not Articulated,,,,
University of California Los Angeles,College of the Canyons,EC ENGR M16,Not Articulated,,,,
University of California Los Angeles,College of the Canyons,MATH 31A,MATH 211 (5.00),,,,
University of California Los Angeles,College of the Canyons,MATH 31B,MATH 212 (5.00),,,,
University of California Los Angeles,College of the Canyons,MATH 32A,MATH 213 (5.00),,,,
University of California Los Angeles,College of the Canyons,MATH 32B,MATH 213 (5.00),,,,
University of California Los Angeles,College of the Canyons,MATH 33A,MATH 214 (4.00),,,,
University of California Los Angeles,College of the Canyons,MATH 33B,MATH 215 (4.00),,,,
University of California Los Angeles,College of the Canyons,MATH 61,CMPSCI 256 (3.00),,,,
University of California Los Angeles,College of the Canyons,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYSIC 220 (4.00); PHYSIC 221 (4.00); PHYSIC 222 (4.00),,,,
University of California Los Angeles,College of the Canyons,PHYSICS 4AL,Not Articulated,,,,
University of California Los Angeles,College of the Canyons,PHYSICS 4BL,Not Articulated,,,,
University of California Los Angeles,College of the Canyons,ENGCOMP 3,ENGL 101 (4.00),ENGL 101H (4.00),,,
University of California Los Angeles,College of the Canyons,,ENGL 103 (3.00),ENGL 103H (3.00),,,
University of California Los Angeles,College of the Canyons,,CMPSCI 236 (3.00),,,,
University of California Merced,College of the Canyons,CSE 022,CMPSCI 111 (3.00); CMPSCI 111L (1.00),CMPSCI 235 (3.00),,,
University of California Merced,College of the Canyons,CSE 030,CMPSCI 182 (3.00); CMPSCI 182L (1.00),,,,
University of California Merced,College of the Canyons,MATH 021,MATH 211 (5.00),,,,
University of California Merced,College of the Canyons,MATH 022,MATH 212 (5.00),,,,
University of California Merced,College of the Canyons,MATH 023,MATH 213 (5.00),,,,
University of California Merced,College of the Canyons,MATH 024,MATH 214 (4.00); MATH 215 (4.00),,,,
University of California Merced,College of the Canyons,PHYS 008; PHYS 008L,PHYSIC 220 (4.00),,,,
University of California Merced,College of the Canyons,PHYS 009; PHYS 009L,PHYSIC 221 (4.00),,,,
University of California Merced,College of the Canyons,CSE 015,Not Articulated,,,,
University of California Merced,College of the Canyons,CSE 022,CMPSCI 111 (3.00); CMPSCI 111L (1.00),CMPSCI 235 (3.00),,,
University of California Merced,College of the Canyons,CSE 024,Not Articulated,,,,
University of California Merced,College of the Canyons,CSE 030,CMPSCI 182 (3.00); CMPSCI 182L (1.00),,,,
University of California Merced,College of the Canyons,CSE 031,CMPSCI 122 (3.00),,,,
University of California Merced,College of the Canyons,ENGR 065,ENGR 260 (3.00); ENGR 260L (1.00); MATH 215 (4.00),,,,
University of California Merced,College of the Canyons,ENGR 091,Not Articulated,,,,
University of California Merced,College of the Canyons,MATH 032,Not Articulated,,,,
University of California Merced,College of the Canyons,ENGR 080,Not Articulated,,,,
University of California Merced,College of the Canyons,WRI 001,ENGL 101 (4.00),ENGL 101H (4.00),,,
University of California Merced,College of the Canyons,WRI 010,COMS 227 (3.00),ENGL 103 (3.00),ENGL 103H (3.00),ENGL 112 (4.00),PHILOS 206 (3.00)
University of California Riverside,College of the Canyons,CS 10A,CMPSCI 111 (3.00); CMPSCI 111L (1.00),CMPSCI 235 (3.00),,,
University of California Riverside,College of the Canyons,CS 10B,CMPSCI 236 (3.00),,,,
