UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,College of the Desert,MATH 1A,MATH 1A (4.00),,
University of California Berkeley,College of the Desert,MATH 1B,MATH 1B (4.00),,
University of California Berkeley,College of the Desert,MATH 53,MATH 2A (4.00),,
University of California Berkeley,College of the Desert,MATH 54,MATH 2B (4.00); MATH 2C (4.00),,
University of California Berkeley,College of the Desert,PHYSICS 7A,PH 3A (4.00),,
University of California Berkeley,College of the Desert,PHYSICS 7B,PH 3B (4.00),,
University of California Berkeley,College of the Desert,ENGLISH R1A,ENG 1A (4.00),,
University of California Berkeley,College of the Desert,ENGLISH R1B,ENG 2 (4.00),,
University of California Berkeley,College of the Desert,ASTRON 7A,Not Articulated,,
University of California Berkeley,College of the Desert,ASTRON 7B,Not Articulated,,
University of California Berkeley,College of the Desert,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BI 5 (5.00); BI 6 (5.00),,
University of California Berkeley,College of the Desert,CHEM 1A; CHEM 1AL,CH 1A (5.00),,
University of California Berkeley,College of the Desert,CHEM 1B,CH 1B (5.00),,
University of California Berkeley,College of the Desert,CHEM 3A; CHEM 3AL,CH 10A (5.00),,
University of California Berkeley,College of the Desert,CHEM 3B; CHEM 3BL,CH 10B (5.00),,
University of California Berkeley,College of the Desert,MCELLBI 32; MCELLBI 32L,Not Articulated,,
University of California Berkeley,College of the Desert,PHYSICS 7C,Not Articulated,,
University of California Berkeley,College of the Desert,COMPSCI 61A,Not Articulated,,
University of California Berkeley,College of the Desert,COMPSCI 61B,Not Articulated,,
University of California Berkeley,College of the Desert,COMPSCI 61C,Not Articulated,,
University of California Berkeley,College of the Desert,COMPSCI 70,Not Articulated,,
University of California Berkeley,College of the Desert,EECS 16A,Not Articulated,,
University of California Berkeley,College of the Desert,EECS 16B,Not Articulated,,
University of California Davis,College of the Desert,ECS 020,MATH 15 (4.00),,
University of California Davis,College of the Desert,ECS 036A,Not Articulated,,
University of California Davis,College of the Desert,ECS 036B,Not Articulated,,
University of California Davis,College of the Desert,ECS 036C,CS 9 (4.00),,
University of California Davis,College of the Desert,ECS 050,CS 8 (3.00),,
University of California Davis,College of the Desert,MAT 021A,MATH 1A (4.00),,
University of California Davis,College of the Desert,MAT 021B,MATH 1B (4.00),,
University of California Davis,College of the Desert,MAT 021C,MATH 2A (4.00),,
University of California Davis,College of the Desert,MAT 022A,MATH 2B (4.00),,
University of California Davis,College of the Desert,MAT 027A,Not Articulated,,
University of California Davis,College of the Desert,MAT 067,Not Articulated,,
University of California Davis,College of the Desert,BIS 002A,BI 5 (5.00),,
University of California Davis,College of the Desert,BIS 002B,BI 6 (5.00),,
