UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,College of the Redwoods,MATH 1A,MATH 50A (4.00),,
University of California Berkeley,College of the Redwoods,MATH 1B,MATH 50B (4.00),,
University of California Berkeley,College of the Redwoods,MATH 53,MATH 50C (4.00),,
University of California Berkeley,College of the Redwoods,MATH 54,MATH 45 (4.00); MATH 55 (4.00),,
University of California Berkeley,College of the Redwoods,PHYSICS 7A,PHYS 4A (4.00),,
University of California Berkeley,College of the Redwoods,PHYSICS 7B,PHYS 4B (4.00),,
University of California Berkeley,College of the Redwoods,ENGLISH R1A,ENGL 1A (4.00),,
University of California Berkeley,College of the Redwoods,ENGLISH R1B,ENGL 1B (3.00),ENGL 2A (3.00),ENGL 2B (4.00)
University of California Berkeley,College of the Redwoods,ASTRON 7A,Not Articulated,,
University of California Berkeley,College of the Redwoods,ASTRON 7B,Not Articulated,,
University of California Berkeley,College of the Redwoods,BIOLOGY 1A; BIOLOGY 1AL,BIOL 3 (4.00); BIOL 4 (4.00),,
University of California Berkeley,College of the Redwoods,BIOLOGY 1B,BIOL 5 (4.00),,
University of California Berkeley,College of the Redwoods,CHEM 1A; CHEM 1AL,CHEM 1A (5.00),,
University of California Berkeley,College of the Redwoods,CHEM 1B,CHEM 1B (5.00),,
University of California Berkeley,College of the Redwoods,CHEM 3A; CHEM 3AL,Not Articulated,,
University of California Berkeley,College of the Redwoods,CHEM 3B; CHEM 3BL,Not Articulated,,
University of California Berkeley,College of the Redwoods,MCELLBI 32; MCELLBI 32L,BIOL 7 (4.00),,
University of California Berkeley,College of the Redwoods,PHYSICS 7C,PHYS 4C (4.00),,
University of California Berkeley,College of the Redwoods,COMPSCI 61A,Not Articulated,,
University of California Berkeley,College of the Redwoods,COMPSCI 61B,Not Articulated,,
University of California Berkeley,College of the Redwoods,COMPSCI 61C,Not Articulated,,
University of California Berkeley,College of the Redwoods,COMPSCI 70,Not Articulated,,
University of California Berkeley,College of the Redwoods,EECS 16A,Not Articulated,,
University of California Berkeley,College of the Redwoods,EECS 16B,Not Articulated,,
University of California Davis,College of the Redwoods,ECS 020,Not Articulated,,
University of California Davis,College of the Redwoods,ECS 036A,CIS 18 (4.00),,
University of California Davis,College of the Redwoods,ECS 036B,Not Articulated,,
University of California Davis,College of the Redwoods,ECS 036C,Not Articulated,,
University of California Davis,College of the Redwoods,ECS 050,Not Articulated,,
University of California Davis,College of the Redwoods,MAT 021A,MATH 50A (4.00),,
University of California Davis,College of the Redwoods,MAT 021B,MATH 50B (4.00),,
University of California Davis,College of the Redwoods,MAT 021C,MATH 50C (4.00),,
University of California Davis,College of the Redwoods,MAT 022A,MATH 45 (4.00),,
University of California Davis,College of the Redwoods,MAT 027A,Not Articulated,,
University of California Davis,College of the Redwoods,MAT 067,Not Articulated,,
University of California Davis,College of the Redwoods,BIS 002A,BIOL 3 (4.00),,
University of California Davis,College of the Redwoods,BIS 002B,Not Articulated,,
University of California Davis,College of the Redwoods,BIS 002C,BIOL 4 (4.00); BIOL 5 (4.00),,
University of California Davis,College of the Redwoods,CHE 002A; CHE 002B; CHE 002C,CHEM 1A (5.00); CHEM 1B (5.00),,
University of California Davis,College of the Redwoods,CHE 004A,Not Articulated,,
University of California Davis,College of the Redwoods,CHE 004B,Not Articulated,,
University of California Davis,College of the Redwoods,CHE 004C,Not Articulated,,
University of California Davis,College of the Redwoods,PHY 009A,PHYS 4A (4.00),,
University of California Davis,College of the Redwoods,PHY 009B,PHYS 4C (4.00),,
University of California Davis,College of the Redwoods,PHY 009C,PHYS 4B (4.00),,
University of California Irvine,College of the Redwoods,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,
University of California Irvine,College of the Redwoods,MATH 2A,MATH 50A (4.00),,
University of California Irvine,College of the Redwoods,MATH 2B,MATH 50B (4.00),,
University of California Irvine,College of the Redwoods,MATH 3A,MATH 45 (4.00),,
University of California Irvine,College of the Redwoods,I&C SCI 6N,Not Articulated,,
University of California Irvine,College of the Redwoods,I&C SCI 6B,Not Articulated,,
University of California Irvine,College of the Redwoods,I&C SCI 6D,Not Articulated,,
University of California Irvine,College of the Redwoods,I&C SCI 45C,Not Articulated,,
University of California Irvine,College of the Redwoods,I&C SCI 46,Not Articulated,,
University of California Irvine,College of the Redwoods,I&C SCI 51,Not Articulated,,
University of California Irvine,College of the Redwoods,I&C SCI 53,Not Articulated,,
University of California Irvine,College of the Redwoods,IN4MATX 43,Not Articulated,,
University of California Irvine,College of the Redwoods,STATS 67,Not Articulated,,
University of California Los Angeles,College of the Redwoods,COM SCI 31,Not Articulated,,
University of California Los Angeles,College of the Redwoods,COM SCI 32,Not Articulated,,
University of California Los Angeles,College of the Redwoods,COM SCI 33,Not Articulated,,
University of California Los Angeles,College of the Redwoods,COM SCI 35L,Not Articulated,,
University of California Los Angeles,College of the Redwoods,COM SCI M51A,Not Articulated,,
University of California Los Angeles,College of the Redwoods,EC ENGR M16,Not Articulated,,
University of California Los Angeles,College of the Redwoods,MATH 31A,MATH 50A (4.00),,
University of California Los Angeles,College of the Redwoods,MATH 31B,MATH 50B (4.00),,
University of California Los Angeles,College of the Redwoods,MATH 32A,MATH 50C (4.00),,
University of California Los Angeles,College of the Redwoods,MATH 32B,MATH 50C (4.00),,
University of California Los Angeles,College of the Redwoods,MATH 33A,MATH 45 (4.00),,
University of California Los Angeles,College of the Redwoods,MATH 33B,MATH 55 (4.00),,
University of California Los Angeles,College of the Redwoods,MATH 61,Not Articulated,,
University of California Los Angeles,College of the Redwoods,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 4A (4.00); PHYS 4B (4.00); PHYS 4C (4.00),,
University of California Los Angeles,College of the Redwoods,PHYSICS 4AL,Not Articulated,,
University of California Los Angeles,College of the Redwoods,PHYSICS 4BL,Not Articulated,,
University of California Los Angeles,College of the Redwoods,ENGCOMP 3,ENGL 1A (4.00),,
University of California Los Angeles,College of the Redwoods,,ENGL 1B (3.00),,
University of California Los Angeles,College of the Redwoods,,Not Articulated,,
University of California Merced,College of the Redwoods,CSE 022,CIS 18 (4.00),,
University of California Merced,College of the Redwoods,CSE 030,Not Articulated,,
University of California Merced,College of the Redwoods,MATH 021,MATH 50A (4.00),,
University of California Merced,College of the Redwoods,MATH 022,MATH 50B (4.00),,
University of California Merced,College of the Redwoods,MATH 023,MATH 50C (4.00),,
University of California Merced,College of the Redwoods,MATH 024,MATH 45 (4.00); MATH 55 (4.00),,
University of California Merced,College of the Redwoods,PHYS 008; PHYS 008L,PHYS 4A (4.00),,
University of California Merced,College of the Redwoods,PHYS 009; PHYS 009L,PHYS 4B (4.00),,
University of California Merced,College of the Redwoods,CSE 015,Not Articulated,,
University of California Merced,College of the Redwoods,CSE 022,CIS 18 (4.00),,
University of California Merced,College of the Redwoods,CSE 024,Not Articulated,,
University of California Merced,College of the Redwoods,CSE 030,Not Articulated,,
University of California Merced,College of the Redwoods,CSE 031,Not Articulated,,
University of California Merced,College of the Redwoods,ENGR 065,Not Articulated,,
University of California Merced,College of the Redwoods,ENGR 091,Not Articulated,,
University of California Merced,College of the Redwoods,MATH 032,Not Articulated,,
University of California Merced,College of the Redwoods,ENGR 080,Not Articulated,,
University of California Merced,College of the Redwoods,WRI 001,ENGL 1A (4.00),,
University of California Merced,College of the Redwoods,WRI 010,ENGL 1B (3.00),ENGL 2A (3.00),ENGL 2B (4.00)
University of California Riverside,College of the Redwoods,CS 10A,CIS 12 (4.00),CIS 18 (4.00),
University of California Riverside,College of the Redwoods,CS 10B,Not Articulated,,
University of California Riverside,College of the Redwoods,MATH 9A; MATH 9B; MATH 9C,MATH 50A (4.00); MATH 50B (4.00),,
University of California Riverside,College of the Redwoods,PHYS 40A,PHYS 4A (4.00),,
University of California Riverside,College of the Redwoods,CS 11,Not Articulated,,
University of California Riverside,College of the Redwoods,CS 10C,Not Articulated,,
University of California Riverside,College of the Redwoods,CS 61,Not Articulated,,
University of California Riverside,College of the Redwoods,MATH 10A,MATH 50C (4.00),,
University of California Riverside,College of the Redwoods,PHYS 40B,PHYS 4A (4.00); PHYS 4C (4.00),,
University of California Riverside,College of the Redwoods,PHYS 40C,PHYS 4B (4.00),,
University of California Riverside,College of the Redwoods,EE 20B,Not Articulated,,
University of California Riverside,College of the Redwoods,MATH 31,MATH 45 (4.00),,
University of California San Diego,College of the Redwoods,CSE 8A,Not Articulated,,
University of California San Diego,College of the Redwoods,CSE 8B,Not Articulated,,
University of California San Diego,College of the Redwoods,CSE 11,Not Articulated,,
University of California San Diego,College of the Redwoods,CSE 12,Not Articulated,,
University of California San Diego,College of the Redwoods,CSE 15L,Not Articulated,,
University of California San Diego,College of the Redwoods,CSE 20,Not Articulated,,
University of California San Diego,College of the Redwoods,CSE 21,Not Articulated,,
University of California San Diego,College of the Redwoods,CSE 30,Not Articulated,,
University of California San Diego,College of the Redwoods,MATH 18,MATH 45 (4.00),,
University of California San Diego,College of the Redwoods,MATH 20A,MATH 50A (4.00),,
University of California San Diego,College of the Redwoods,MATH 20B,MATH 50B (4.00),,
University of California San Diego,College of the Redwoods,MATH 20C,MATH 50C (4.00),,
University of California San Diego,College of the Redwoods,BILD 1,BIOL 3 (4.00); BIOL 4 (4.00); BIOL 5 (4.00),,
University of California San Diego,College of the Redwoods,BILD 2,BIOL 3 (4.00); BIOL 4 (4.00); BIOL 5 (4.00),,
University of California San Diego,College of the Redwoods,BILD 3,BIOL 3 (4.00); BIOL 4 (4.00); BIOL 5 (4.00),,
University of California San Diego,College of the Redwoods,CHEM 6A,CHEM 1A (5.00),,
University of California San Diego,College of the Redwoods,CHEM 6B,CHEM 1A (5.00); CHEM 1B (5.00),,
University of California San Diego,College of the Redwoods,PHYS 2A,PHYS 4A (4.00),,
University of California San Diego,College of the Redwoods,PHYS 2B,PHYS 4B (4.00),,
University of California San Diego,College of the Redwoods,PHYS 4A,Not Articulated,,
University of California San Diego,College of the Redwoods,PHYS 4B,Not Articulated,,
University of California Santa Barbara,College of the Redwoods,MATH 3A,MATH 50A (4.00),,
University of California Santa Barbara,College of the Redwoods,MATH 3B,MATH 50B (4.00),,
University of California Santa Barbara,College of the Redwoods,MATH 4A,MATH 45 (4.00),,
University of California Santa Barbara,College of the Redwoods,MATH 4B,MATH 55 (4.00),,
University of California Santa Barbara,College of the Redwoods,CMPSC 16,Not Articulated,,
University of California Santa Barbara,College of the Redwoods,CMPSC 24,Not Articulated,,
University of California Santa Barbara,College of the Redwoods,CMPSC 40,Not Articulated,,
University of California Santa Barbara,College of the Redwoods,CMPSC 32,Not Articulated,,
University of California Santa Barbara,College of the Redwoods,CMPSC 64,Not Articulated,,
University of California Santa Barbara,College of the Redwoods,MATH 6A,MATH 50C (4.00),,
University of California Santa Barbara,College of the Redwoods,PHYS 1,PHYS 4A (4.00),,
University of California Santa Barbara,College of the Redwoods,PHYS 2,PHYS 4A (4.00); PHYS 4B (4.00),,
University of California Santa Barbara,College of the Redwoods,PHYS 3; PHYS 3L,PHYS 4B (4.00); PHYS 4C (4.00),,
University of California Santa Barbara,College of the Redwoods,PHYS 6A; PHYS 6AL; PHYS 6B; PHYS 6BL; PHYS 6C; PHYS 6CL,PHYS 2A (4.00); PHYS 2B (4.00),,
University of California Santa Barbara,College of the Redwoods,PHYS 7A,PHYS 4A (4.00),,
University of California Santa Barbara,College of the Redwoods,PHYS 7B,PHYS 4A (4.00); PHYS 4B (4.00); PHYS 4C (4.00),,
University of California Santa Barbara,College of the Redwoods,PHYS 7C,PHYS 4B (4.00); PHYS 4C (4.00),,
University of California Santa Barbara,College of the Redwoods,PHYS 7D,PHYS 4C (4.00),,
University of California Santa Barbara,College of the Redwoods,PHYS 7L,PHYS 4A (4.00); PHYS 4B (4.00),,
University of California Santa Barbara,College of the Redwoods,CHEM 1A; CHEM 1AL; CHEM 1B; CHEM 1BL; CHEM 1C; CHEM 1CL,CHEM 1A (5.00); CHEM 1B (5.00),,
University of California Santa Barbara,College of the Redwoods,MCDB 1A; MCDB 1LL,BIOL 3 (4.00); BIOL 4 (4.00); BIOL 5 (4.00),,
University of California Santa Barbara,College of the Redwoods,MCDB 1B,BIOL 3 (4.00); BIOL 4 (4.00); BIOL 5 (4.00),,
University of California Santa Barbara,College of the Redwoods,PSTAT 120A,Not Articulated,,
University of California Santa Cruz,College of the Redwoods,CSE 12,Not Articulated,,
University of California Santa Cruz,College of the Redwoods,CSE 16,Not Articulated,,
University of California Santa Cruz,College of the Redwoods,CSE 30,Not Articulated,,
University of California Santa Cruz,College of the Redwoods,MATH 19A,MATH 50A (4.00),,
University of California Santa Cruz,College of the Redwoods,MATH 19B,MATH 50B (4.00),,
University of California Santa Cruz,College of the Redwoods,AM 10,MATH 45 (4.00),,
University of California Santa Cruz,College of the Redwoods,MATH 21,MATH 45 (4.00),,
University of California Santa Cruz,College of the Redwoods,AM 30,MATH 50C (4.00),,
University of California Santa Cruz,College of the Redwoods,MATH 23A,MATH 50C (4.00),,
