UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,College of the Sequoias,MATH 1A,MATH 065 (4.00),,
University of California Berkeley,College of the Sequoias,MATH 1B,MATH 066 (4.00),,
University of California Berkeley,College of the Sequoias,MATH 53,MATH 067 (4.00),,
University of California Berkeley,College of the Sequoias,MATH 54,MATH 080 (4.00); MATH 081 (5.00),,
University of California Berkeley,College of the Sequoias,PHYSICS 7A,PHYS 055 (4.00),,
University of California Berkeley,College of the Sequoias,PHYSICS 7B,PHYS 056 (4.00),,
University of California Berkeley,College of the Sequoias,ENGLISH R1A,ENGL 001 (4.00),,
University of California Berkeley,College of the Sequoias,ENGLISH R1B,ENGL 002 (3.00),,
University of California Berkeley,College of the Sequoias,ASTRON 7A,Not Articulated,,
University of California Berkeley,College of the Sequoias,ASTRON 7B,Not Articulated,,
University of California Berkeley,College of the Sequoias,BIOLOGY 1A; BIOLOGY 1AL,BIOL 001 (5.00),,
University of California Berkeley,College of the Sequoias,BIOLOGY 1B,BIOL 002 (5.00),,
University of California Berkeley,College of the Sequoias,CHEM 1A; CHEM 1AL,CHEM 001 (5.00),,
University of California Berkeley,College of the Sequoias,CHEM 1B,CHEM 002 (5.00),,
University of California Berkeley,College of the Sequoias,CHEM 3A; CHEM 3AL,CHEM 012 (5.00),,
University of California Berkeley,College of the Sequoias,CHEM 3B; CHEM 3BL,CHEM 013 (5.00),,
University of California Berkeley,College of the Sequoias,MCELLBI 32; MCELLBI 32L,BIOL 031 (4.00),,
University of California Berkeley,College of the Sequoias,PHYSICS 7C,PHYS 056 (4.00); PHYS 057 (5.00),,
University of California Berkeley,College of the Sequoias,COMPSCI 61A,Not Articulated,,
University of California Berkeley,College of the Sequoias,COMPSCI 61B,Not Articulated,,
University of California Berkeley,College of the Sequoias,COMPSCI 61C,Not Articulated,,
University of California Berkeley,College of the Sequoias,COMPSCI 70,Not Articulated,,
University of California Berkeley,College of the Sequoias,EECS 16A,Not Articulated,,
University of California Berkeley,College of the Sequoias,EECS 16B,Not Articulated,,
University of California Davis,College of the Sequoias,ECS 020,Not Articulated,,
University of California Davis,College of the Sequoias,ECS 036A,COMP 008 (4.00),CSCI 001 (4.00),
University of California Davis,College of the Sequoias,ECS 036B,CSCI 002 (4.00),,
University of California Davis,College of the Sequoias,ECS 036C,Not Articulated,,
University of California Davis,College of the Sequoias,ECS 050,CSCI 005 (3.00),,
University of California Davis,College of the Sequoias,MAT 021A,MATH 065 (4.00),,
University of California Davis,College of the Sequoias,MAT 021B,MATH 066 (4.00),,
University of California Davis,College of the Sequoias,MAT 021C,MATH 067 (4.00),,
University of California Davis,College of the Sequoias,MAT 022A,MATH 080 (4.00),,
University of California Davis,College of the Sequoias,MAT 027A,Not Articulated,,
University of California Davis,College of the Sequoias,MAT 067,Not Articulated,,
University of California Davis,College of the Sequoias,BIS 002A,BIOL 001 (5.00),,
University of California Davis,College of the Sequoias,BIS 002B,BIOL 001 (5.00); BIOL 002 (5.00),,
University of California Davis,College of the Sequoias,BIS 002C,BIOL 001 (5.00); BIOL 002 (5.00),,
University of California Davis,College of the Sequoias,CHE 002A; CHE 002B; CHE 002C,CHEM 001 (5.00); CHEM 002 (5.00),,
University of California Davis,College of the Sequoias,CHE 004A,Not Articulated,,
University of California Davis,College of the Sequoias,CHE 004B,Not Articulated,,
University of California Davis,College of the Sequoias,CHE 004C,Not Articulated,,
University of California Davis,College of the Sequoias,PHY 009A,PHYS 055 (4.00),,
University of California Davis,College of the Sequoias,PHY 009B,PHYS 055 (4.00); PHYS 056 (4.00); PHYS 057 (5.00),,
University of California Davis,College of the Sequoias,PHY 009C,PHYS 056 (4.00),,
University of California Irvine,College of the Sequoias,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 001 (4.00); CSCI 002 (4.00),,
University of California Irvine,College of the Sequoias,MATH 2A,MATH 065 (4.00),,
University of California Irvine,College of the Sequoias,MATH 2B,MATH 066 (4.00),,
University of California Irvine,College of the Sequoias,MATH 3A,MATH 080 (4.00),,
University of California Irvine,College of the Sequoias,I&C SCI 6N,Not Articulated,,
University of California Irvine,College of the Sequoias,I&C SCI 6B,Not Articulated,,
University of California Irvine,College of the Sequoias,I&C SCI 6D,Not Articulated,,
University of California Irvine,College of the Sequoias,I&C SCI 45C,Not Articulated,,
University of California Irvine,College of the Sequoias,I&C SCI 46,Not Articulated,,
University of California Irvine,College of the Sequoias,I&C SCI 51,Not Articulated,,
University of California Irvine,College of the Sequoias,I&C SCI 53,Not Articulated,,
University of California Irvine,College of the Sequoias,IN4MATX 43,Not Articulated,,
University of California Irvine,College of the Sequoias,STATS 67,Not Articulated,,
University of California Los Angeles,College of the Sequoias,COM SCI 31,Not Articulated,,
University of California Los Angeles,College of the Sequoias,COM SCI 32,Not Articulated,,
University of California Los Angeles,College of the Sequoias,COM SCI 33,Not Articulated,,
University of California Los Angeles,College of the Sequoias,COM SCI 35L,Not Articulated,,
University of California Los Angeles,College of the Sequoias,COM SCI M51A,Not Articulated,,
University of California Los Angeles,College of the Sequoias,EC ENGR M16,Not Articulated,,
University of California Los Angeles,College of the Sequoias,MATH 31A,MATH 065 (4.00),,
University of California Los Angeles,College of the Sequoias,MATH 31B,MATH 066 (4.00),,
University of California Los Angeles,College of the Sequoias,MATH 32A,MATH 067 (4.00),,
University of California Los Angeles,College of the Sequoias,MATH 32B,MATH 067 (4.00),,
University of California Los Angeles,College of the Sequoias,MATH 33A,MATH 080 (4.00),,
University of California Los Angeles,College of the Sequoias,MATH 33B,MATH 081 (5.00),,
University of California Los Angeles,College of the Sequoias,MATH 61,MATH 067 (4.00),,
University of California Los Angeles,College of the Sequoias,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 055 (4.00); PHYS 056 (4.00); PHYS 057 (5.00),,
University of California Los Angeles,College of the Sequoias,PHYSICS 4AL,Not Articulated,,
University of California Los Angeles,College of the Sequoias,PHYSICS 4BL,Not Articulated,,
University of California Los Angeles,College of the Sequoias,ENGCOMP 3,ENGL 001 (4.00),,
University of California Los Angeles,College of the Sequoias,,ENGL 002 (3.00),ENGL 004 (3.00),PHIL 025 (3.00)
University of California Los Angeles,College of the Sequoias,,CSCI 001 (4.00); CSCI 002 (4.00),,
University of California Merced,College of the Sequoias,CSE 022,Not Articulated,,
University of California Merced,College of the Sequoias,CSE 030,CSCI 002 (4.00),,
University of California Merced,College of the Sequoias,MATH 021,MATH 065 (4.00),,
University of California Merced,College of the Sequoias,MATH 022,MATH 066 (4.00),,
University of California Merced,College of the Sequoias,MATH 023,MATH 067 (4.00),,
University of California Merced,College of the Sequoias,MATH 024,MATH 080 (4.00); MATH 081 (5.00),,
University of California Merced,College of the Sequoias,PHYS 008; PHYS 008L,PHYS 055 (4.00),,
University of California Merced,College of the Sequoias,PHYS 009; PHYS 009L,PHYS 056 (4.00),,
University of California Merced,College of the Sequoias,CSE 015,CSCI 006 (3.00),,
University of California Merced,College of the Sequoias,CSE 022,Not Articulated,,
University of California Merced,College of the Sequoias,CSE 024,Not Articulated,,
University of California Merced,College of the Sequoias,CSE 030,CSCI 002 (4.00),,
University of California Merced,College of the Sequoias,CSE 031,Not Articulated,,
University of California Merced,College of the Sequoias,ENGR 065,ENGR 004 (4.00); MATH 081 (5.00),,
University of California Merced,College of the Sequoias,ENGR 091,Not Articulated,,
University of California Merced,College of the Sequoias,MATH 032,Not Articulated,,
University of California Merced,College of the Sequoias,ENGR 080,Not Articulated,,
University of California Merced,College of the Sequoias,WRI 001,ENGL 001 (4.00),,
University of California Merced,College of the Sequoias,WRI 010,ENGL 002 (3.00),ENGL 004 (3.00),PHIL 025 (3.00)
University of California Riverside,College of the Sequoias,CS 10A,COMP 008 (4.00),CSCI 001 (4.00),
University of California Riverside,College of the Sequoias,CS 10B,CSCI 002 (4.00),,
University of California Riverside,College of the Sequoias,MATH 9A; MATH 9B; MATH 9C,MATH 065 (4.00); MATH 066 (4.00),,
University of California Riverside,College of the Sequoias,PHYS 40A,PHYS 055 (4.00),,
University of California Riverside,College of the Sequoias,CS 11,Not Articulated,,
University of California Riverside,College of the Sequoias,CS 10C,Not Articulated,,
University of California Riverside,College of the Sequoias,CS 61,Not Articulated,,
University of California Riverside,College of the Sequoias,MATH 10A,MATH 067 (4.00),,
University of California Riverside,College of the Sequoias,PHYS 40B,PHYS 055 (4.00); PHYS 056 (4.00),,
University of California Riverside,College of the Sequoias,PHYS 40C,PHYS 056 (4.00),,
University of California Riverside,College of the Sequoias,EE 20B,Not Articulated,,
University of California Riverside,College of the Sequoias,MATH 31,MATH 080 (4.00),,
University of California San Diego,College of the Sequoias,CSE 8A,Not Articulated,,
University of California San Diego,College of the Sequoias,CSE 8B,Not Articulated,,
University of California San Diego,College of the Sequoias,CSE 11,Not Articulated,,
University of California San Diego,College of the Sequoias,CSE 12,Not Articulated,,
University of California San Diego,College of the Sequoias,CSE 15L,Not Articulated,,
University of California San Diego,College of the Sequoias,CSE 20,Not Articulated,,
University of California San Diego,College of the Sequoias,CSE 21,Not Articulated,,
University of California San Diego,College of the Sequoias,CSE 30,Not Articulated,,
University of California San Diego,College of the Sequoias,MATH 18,MATH 080 (4.00),,
University of California San Diego,College of the Sequoias,MATH 20A,MATH 065 (4.00),,
University of California San Diego,College of the Sequoias,MATH 20B,MATH 066 (4.00),,
University of California San Diego,College of the Sequoias,MATH 20C,MATH 067 (4.00),,
University of California San Diego,College of the Sequoias,BILD 1,BIOL 001 (5.00); BIOL 002 (5.00),,
University of California San Diego,College of the Sequoias,BILD 2,BIOL 001 (5.00); BIOL 002 (5.00),,
University of California San Diego,College of the Sequoias,BILD 3,BIOL 001 (5.00); BIOL 002 (5.00),,
University of California San Diego,College of the Sequoias,CHEM 6A,CHEM 001 (5.00),,
University of California San Diego,College of the Sequoias,CHEM 6B,CHEM 001 (5.00); CHEM 002 (5.00),,
University of California San Diego,College of the Sequoias,PHYS 2A,PHYS 055 (4.00),,
University of California San Diego,College of the Sequoias,PHYS 2B,PHYS 056 (4.00),,
University of California San Diego,College of the Sequoias,PHYS 4A,Not Articulated,,
University of California San Diego,College of the Sequoias,PHYS 4B,Not Articulated,,
University of California Santa Barbara,College of the Sequoias,MATH 3A,MATH 065 (4.00),,
University of California Santa Barbara,College of the Sequoias,MATH 3B,MATH 066 (4.00),,
University of California Santa Barbara,College of the Sequoias,MATH 4A,MATH 080 (4.00),,
University of California Santa Barbara,College of the Sequoias,MATH 4B,MATH 081 (5.00),,
University of California Santa Barbara,College of the Sequoias,CMPSC 16,CSCI 001 (4.00),,
University of California Santa Barbara,College of the Sequoias,CMPSC 24,CSCI 002 (4.00),,
University of California Santa Barbara,College of the Sequoias,CMPSC 40,CSCI 006 (3.00),,
University of California Santa Barbara,College of the Sequoias,CMPSC 32,Not Articulated,,
University of California Santa Barbara,College of the Sequoias,CMPSC 64,Not Articulated,,
University of California Santa Barbara,College of the Sequoias,MATH 6A,MATH 067 (4.00),,
University of California Santa Barbara,College of the Sequoias,PHYS 1,PHYS 055 (4.00),,
University of California Santa Barbara,College of the Sequoias,PHYS 2,PHYS 055 (4.00); PHYS 056 (4.00),,
University of California Santa Barbara,College of the Sequoias,PHYS 3; PHYS 3L,PHYS 056 (4.00); PHYS 057 (5.00),,
University of California Santa Barbara,College of the Sequoias,PHYS 6A; PHYS 6AL; PHYS 6B; PHYS 6BL; PHYS 6C; PHYS 6CL,PHYS 020 (5.00); PHYS 021 (5.00),,
University of California Santa Barbara,College of the Sequoias,PHYS 7A,PHYS 055 (4.00),,
University of California Santa Barbara,College of the Sequoias,PHYS 7B,PHYS 055 (4.00); PHYS 056 (4.00),,
University of California Santa Barbara,College of the Sequoias,PHYS 7C,PHYS 056 (4.00); PHYS 057 (5.00),,
University of California Santa Barbara,College of the Sequoias,PHYS 7D,PHYS 056 (4.00); PHYS 057 (5.00),,
University of California Santa Barbara,College of the Sequoias,PHYS 7L,PHYS 056 (4.00); PHYS 057 (5.00),,
University of California Santa Barbara,College of the Sequoias,CHEM 1A; CHEM 1AL; CHEM 1B; CHEM 1BL; CHEM 1C; CHEM 1CL,CHEM 001 (5.00); CHEM 002 (5.00),,
University of California Santa Barbara,College of the Sequoias,MCDB 1A; MCDB 1LL,BIOL 001 (5.00); BIOL 002 (5.00),,
University of California Santa Barbara,College of the Sequoias,MCDB 1B,BIOL 001 (5.00); BIOL 002 (5.00),,
University of California Santa Barbara,College of the Sequoias,PSTAT 120A,Not Articulated,,
University of California Santa Cruz,College of the Sequoias,CSE 12,Not Articulated,,
University of California Santa Cruz,College of the Sequoias,CSE 16,Not Articulated,,
University of California Santa Cruz,College of the Sequoias,CSE 30,CSCI 002 (4.00),,
University of California Santa Cruz,College of the Sequoias,MATH 19A,MATH 065 (4.00),,
University of California Santa Cruz,College of the Sequoias,MATH 19B,MATH 066 (4.00),,
University of California Santa Cruz,College of the Sequoias,AM 10,MATH 080 (4.00),,
University of California Santa Cruz,College of the Sequoias,MATH 21,MATH 080 (4.00),,
University of California Santa Cruz,College of the Sequoias,AM 30,MATH 067 (4.00),,
University of California Santa Cruz,College of the Sequoias,MATH 23A,MATH 067 (4.00),,
