UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2
University of California Berkeley,College of the Siskiyous,MATH 1A,MATH 1400 (4.00),
University of California Berkeley,College of the Siskiyous,MATH 1B,MATH 1500 (4.00),
University of California Berkeley,College of the Siskiyous,MATH 53,MATH 2400 (4.00),
University of California Berkeley,College of the Siskiyous,MATH 54,MATH 2500 (3.00); MATH 2600 (3.00),
University of California Berkeley,College of the Siskiyous,PHYSICS 7A,PHYS 2105 (4.00),
University of California Berkeley,College of the Siskiyous,PHYSICS 7B,PHYS 2110 (4.00); PHYS 2115 (4.00),
University of California Berkeley,College of the Siskiyous,ENGLISH R1A,ENGL 1001 (4.00),
University of California Berkeley,College of the Siskiyous,ENGLISH R1B,ENGL 1501 (3.00),ENGL 1502 (3.00)
University of California Berkeley,College of the Siskiyous,ASTRON 7A,Not Articulated,
University of California Berkeley,College of the Siskiyous,ASTRON 7B,Not Articulated,
University of California Berkeley,College of the Siskiyous,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIO 2100 (5.00); BIO 2200 (5.00),
University of California Berkeley,College of the Siskiyous,CHEM 1A; CHEM 1AL,CHEM 2000 (5.00),
University of California Berkeley,College of the Siskiyous,CHEM 1B,CHEM 2100 (5.00),
University of California Berkeley,College of the Siskiyous,CHEM 3A; CHEM 3AL,Not Articulated,
University of California Berkeley,College of the Siskiyous,CHEM 3B; CHEM 3BL,Not Articulated,
University of California Berkeley,College of the Siskiyous,MCELLBI 32; MCELLBI 32L,BIO 2800 (5.00),
University of California Berkeley,College of the Siskiyous,PHYSICS 7C,Not Articulated,
University of California Berkeley,College of the Siskiyous,COMPSCI 61A,Not Articulated,
University of California Berkeley,College of the Siskiyous,COMPSCI 61B,Not Articulated,
University of California Berkeley,College of the Siskiyous,COMPSCI 61C,Not Articulated,
University of California Berkeley,College of the Siskiyous,COMPSCI 70,Not Articulated,
University of California Berkeley,College of the Siskiyous,EECS 16A,Not Articulated,
University of California Berkeley,College of the Siskiyous,EECS 16B,Not Articulated,
University of California Davis,College of the Siskiyous,ECS 020,Not Articulated,
University of California Davis,College of the Siskiyous,ECS 036A,CSCI 1007 (3.00),
University of California Davis,College of the Siskiyous,ECS 036B,CSCI 1507 (3.00),
University of California Davis,College of the Siskiyous,ECS 036C,Not Articulated,
University of California Davis,College of the Siskiyous,ECS 050,CSCI 2006 (3.00),
University of California Davis,College of the Siskiyous,MAT 021A,MATH 1400 (4.00),
University of California Davis,College of the Siskiyous,MAT 021B,MATH 1500 (4.00),
University of California Davis,College of the Siskiyous,MAT 021C,MATH 2400 (4.00),
University of California Davis,College of the Siskiyous,MAT 022A,MATH 2600 (3.00),
University of California Davis,College of the Siskiyous,MAT 027A,Not Articulated,
University of California Davis,College of the Siskiyous,MAT 067,Not Articulated,
University of California Davis,College of the Siskiyous,BIS 002A,BIO 2100 (5.00),
University of California Davis,College of the Siskiyous,BIS 002B,BIO 2100 (5.00); BIO 2200 (5.00),
University of California Davis,College of the Siskiyous,BIS 002C,BIO 2200 (5.00),
University of California Davis,College of the Siskiyous,CHE 002A; CHE 002B; CHE 002C,CHEM 2000 (5.00); CHEM 2100 (5.00),
University of California Davis,College of the Siskiyous,CHE 004A,Not Articulated,
University of California Davis,College of the Siskiyous,CHE 004B,Not Articulated,
University of California Davis,College of the Siskiyous,CHE 004C,Not Articulated,
University of California Davis,College of the Siskiyous,PHY 009A,PHYS 2105 (4.00),
University of California Davis,College of the Siskiyous,PHY 009B,PHYS 2115 (4.00),
University of California Davis,College of the Siskiyous,PHY 009C,PHYS 2110 (4.00),
University of California Irvine,College of the Siskiyous,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
University of California Irvine,College of the Siskiyous,MATH 2A,MATH 1400 (4.00),
University of California Irvine,College of the Siskiyous,MATH 2B,MATH 1500 (4.00),
University of California Irvine,College of the Siskiyous,MATH 3A,MATH 2600 (3.00),
University of California Irvine,College of the Siskiyous,I&C SCI 6N,Not Articulated,
University of California Irvine,College of the Siskiyous,I&C SCI 6B,Not Articulated,
University of California Irvine,College of the Siskiyous,I&C SCI 6D,Not Articulated,
University of California Irvine,College of the Siskiyous,I&C SCI 45C,Not Articulated,
University of California Irvine,College of the Siskiyous,I&C SCI 46,Not Articulated,
University of California Irvine,College of the Siskiyous,I&C SCI 51,Not Articulated,
University of California Irvine,College of the Siskiyous,I&C SCI 53,Not Articulated,
University of California Irvine,College of the Siskiyous,IN4MATX 43,Not Articulated,
University of California Irvine,College of the Siskiyous,STATS 67,Not Articulated,
University of California Los Angeles,College of the Siskiyous,COM SCI 31,Not Articulated,
University of California Los Angeles,College of the Siskiyous,COM SCI 32,Not Articulated,
University of California Los Angeles,College of the Siskiyous,COM SCI 33,Not Articulated,
University of California Los Angeles,College of the Siskiyous,COM SCI 35L,Not Articulated,
University of California Los Angeles,College of the Siskiyous,COM SCI M51A,Not Articulated,
University of California Los Angeles,College of the Siskiyous,EC ENGR M16,Not Articulated,
University of California Los Angeles,College of the Siskiyous,MATH 31A,MATH 1400 (4.00),
University of California Los Angeles,College of the Siskiyous,MATH 31B,MATH 1500 (4.00),
University of California Los Angeles,College of the Siskiyous,MATH 32A,MATH 2400 (4.00),
University of California Los Angeles,College of the Siskiyous,MATH 32B,MATH 2400 (4.00),
University of California Los Angeles,College of the Siskiyous,MATH 33A,MATH 2600 (3.00),
University of California Los Angeles,College of the Siskiyous,MATH 33B,MATH 2500 (3.00),
University of California Los Angeles,College of the Siskiyous,MATH 61,Not Articulated,
University of California Los Angeles,College of the Siskiyous,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 2105 (4.00); PHYS 2110 (4.00),
University of California Los Angeles,College of the Siskiyous,PHYSICS 4AL,Not Articulated,
University of California Los Angeles,College of the Siskiyous,PHYSICS 4BL,Not Articulated,
University of California Los Angeles,College of the Siskiyous,ENGCOMP 3,ENGL 1001 (4.00),
University of California Los Angeles,College of the Siskiyous,,ENGL 1501 (3.00),ENGL 1502 (3.00)
University of California Los Angeles,College of the Siskiyous,,Not Articulated,
University of California Merced,College of the Siskiyous,CSE 022,CSCI 1007 (3.00),
University of California Merced,College of the Siskiyous,CSE 030,CSCI 1507 (3.00),
University of California Merced,College of the Siskiyous,MATH 021,MATH 1400 (4.00),
University of California Merced,College of the Siskiyous,MATH 022,MATH 1500 (4.00),
University of California Merced,College of the Siskiyous,MATH 023,MATH 2400 (4.00),
University of California Merced,College of the Siskiyous,MATH 024,MATH 2500 (3.00); MATH 2600 (3.00),
University of California Merced,College of the Siskiyous,PHYS 008; PHYS 008L,PHYS 2105 (4.00),
University of California Merced,College of the Siskiyous,PHYS 009; PHYS 009L,PHYS 2110 (4.00),
University of California Merced,College of the Siskiyous,CSE 015,Not Articulated,
University of California Merced,College of the Siskiyous,CSE 022,CSCI 1007 (3.00),
University of California Merced,College of the Siskiyous,CSE 024,Not Articulated,
University of California Merced,College of the Siskiyous,CSE 030,CSCI 1507 (3.00),
University of California Merced,College of the Siskiyous,CSE 031,Not Articulated,
University of California Merced,College of the Siskiyous,ENGR 065,ENGR 2017 (4.00),
University of California Merced,College of the Siskiyous,ENGR 091,Not Articulated,
University of California Merced,College of the Siskiyous,MATH 032,Not Articulated,
University of California Merced,College of the Siskiyous,ENGR 080,Not Articulated,
University of California Merced,College of the Siskiyous,WRI 001,ENGL 1001 (4.00),
University of California Merced,College of the Siskiyous,WRI 010,ENGL 1501 (3.00),ENGL 1502 (3.00)
University of California Riverside,College of the Siskiyous,CS 10A,CSCI 1007 (3.00),
University of California Riverside,College of the Siskiyous,CS 10B,CSCI 1507 (3.00),
University of California Riverside,College of the Siskiyous,MATH 9A; MATH 9B; MATH 9C,MATH 1400 (4.00); MATH 1500 (4.00),
University of California Riverside,College of the Siskiyous,PHYS 40A,PHYS 2105 (4.00),
University of California Riverside,College of the Siskiyous,CS 11,Not Articulated,
University of California Riverside,College of the Siskiyous,CS 10C,Not Articulated,
University of California Riverside,College of the Siskiyous,CS 61,CSCI 2006 (3.00),CSCI 2010 (3.00)
University of California Riverside,College of the Siskiyous,MATH 10A,MATH 2400 (4.00),
University of California Riverside,College of the Siskiyous,PHYS 40B,PHYS 2105 (4.00); PHYS 2110 (4.00); PHYS 2115 (4.00),
University of California Riverside,College of the Siskiyous,PHYS 40C,PHYS 2110 (4.00),
University of California Riverside,College of the Siskiyous,EE 20B,Not Articulated,
University of California Riverside,College of the Siskiyous,MATH 31,MATH 2600 (3.00),
University of California San Diego,College of the Siskiyous,CSE 8A,Not Articulated,
University of California San Diego,College of the Siskiyous,CSE 8B,Not Articulated,
University of California San Diego,College of the Siskiyous,CSE 11,Not Articulated,
University of California San Diego,College of the Siskiyous,CSE 12,Not Articulated,
University of California San Diego,College of the Siskiyous,CSE 15L,Not Articulated,
University of California San Diego,College of the Siskiyous,CSE 20,Not Articulated,
University of California San Diego,College of the Siskiyous,CSE 21,Not Articulated,
University of California San Diego,College of the Siskiyous,CSE 30,Not Articulated,
University of California San Diego,College of the Siskiyous,MATH 18,MATH 2600 (3.00),
University of California San Diego,College of the Siskiyous,MATH 20A,MATH 1400 (4.00),
University of California San Diego,College of the Siskiyous,MATH 20B,MATH 1500 (4.00),
University of California San Diego,College of the Siskiyous,MATH 20C,MATH 2400 (4.00),
University of California San Diego,College of the Siskiyous,BILD 1,BIO 2100 (5.00); BIO 2200 (5.00),
University of California San Diego,College of the Siskiyous,BILD 2,BIO 2100 (5.00); BIO 2200 (5.00),
University of California San Diego,College of the Siskiyous,BILD 3,BIO 2100 (5.00); BIO 2200 (5.00),
University of California San Diego,College of the Siskiyous,CHEM 6A,CHEM 2000 (5.00),
University of California San Diego,College of the Siskiyous,CHEM 6B,CHEM 2000 (5.00); CHEM 2100 (5.00),
University of California San Diego,College of the Siskiyous,PHYS 2A,PHYS 2105 (4.00),
University of California San Diego,College of the Siskiyous,PHYS 2B,PHYS 2110 (4.00),
University of California San Diego,College of the Siskiyous,PHYS 4A,Not Articulated,
University of California San Diego,College of the Siskiyous,PHYS 4B,Not Articulated,
University of California Santa Barbara,College of the Siskiyous,MATH 3A,MATH 1400 (4.00),
University of California Santa Barbara,College of the Siskiyous,MATH 3B,MATH 1500 (4.00),
University of California Santa Barbara,College of the Siskiyous,MATH 4A,MATH 2600 (3.00),
University of California Santa Barbara,College of the Siskiyous,MATH 4B,MATH 2500 (3.00),
University of California Santa Barbara,College of the Siskiyous,CMPSC 16,Not Articulated,
University of California Santa Barbara,College of the Siskiyous,CMPSC 24,Not Articulated,
University of California Santa Barbara,College of the Siskiyous,CMPSC 40,CSCI 2010 (3.00),
University of California Santa Barbara,College of the Siskiyous,CMPSC 32,Not Articulated,
University of California Santa Barbara,College of the Siskiyous,CMPSC 64,Not Articulated,
University of California Santa Barbara,College of the Siskiyous,MATH 6A,MATH 2400 (4.00),
University of California Santa Barbara,College of the Siskiyous,PHYS 1,PHYS 2105 (4.00),
University of California Santa Barbara,College of the Siskiyous,PHYS 2,PHYS 2105 (4.00); PHYS 2115 (4.00),
University of California Santa Barbara,College of the Siskiyous,PHYS 3; PHYS 3L,PHYS 2110 (4.00); PHYS 2115 (4.00),
University of California Santa Barbara,College of the Siskiyous,PHYS 6A; PHYS 6AL; PHYS 6B; PHYS 6BL; PHYS 6C; PHYS 6CL,Not Articulated,
University of California Santa Barbara,College of the Siskiyous,PHYS 7A,PHYS 2105 (4.00),
University of California Santa Barbara,College of the Siskiyous,PHYS 7B,PHYS 2105 (4.00); PHYS 2110 (4.00),
University of California Santa Barbara,College of the Siskiyous,PHYS 7C,PHYS 2110 (4.00),
University of California Santa Barbara,College of the Siskiyous,PHYS 7D,PHYS 2115 (4.00),
University of California Santa Barbara,College of the Siskiyous,PHYS 7L,PHYS 2105 (4.00); PHYS 2110 (4.00),
University of California Santa Barbara,College of the Siskiyous,CHEM 1A; CHEM 1AL; CHEM 1B; CHEM 1BL; CHEM 1C; CHEM 1CL,CHEM 2000 (5.00); CHEM 2100 (5.00),
University of California Santa Barbara,College of the Siskiyous,MCDB 1A; MCDB 1LL,BIO 2100 (5.00); BIO 2200 (5.00),
University of California Santa Barbara,College of the Siskiyous,MCDB 1B,BIO 2100 (5.00); BIO 2200 (5.00),
University of California Santa Barbara,College of the Siskiyous,PSTAT 120A,Not Articulated,
University of California Santa Cruz,College of the Siskiyous,CSE 12,CSCI 2006 (3.00),
University of California Santa Cruz,College of the Siskiyous,CSE 16,Not Articulated,
University of California Santa Cruz,College of the Siskiyous,CSE 30,CSCI 1507 (3.00),
University of California Santa Cruz,College of the Siskiyous,MATH 19A,MATH 1400 (4.00),
University of California Santa Cruz,College of the Siskiyous,MATH 19B,MATH 1500 (4.00),
University of California Santa Cruz,College of the Siskiyous,AM 10,MATH 2600 (3.00),
University of California Santa Cruz,College of the Siskiyous,MATH 21,MATH 2600 (3.00),
University of California Santa Cruz,College of the Siskiyous,AM 30,MATH 2400 (4.00),
University of California Santa Cruz,College of the Siskiyous,MATH 23A,MATH 2400 (4.00),
