UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,Columbia College,MATH 1A,MATH 18A (4.00),,,
University of California Berkeley,Columbia College,MATH 1B,MATH 18B (4.00),,,
University of California Berkeley,Columbia College,MATH 53,MATH 18C (5.00),,,
University of California Berkeley,Columbia College,MATH 54,MATH 26 (3.00); MATH 28 (3.00),,,
University of California Berkeley,Columbia College,PHYSICS 7A,PHYCS 5A (4.00),,,
University of California Berkeley,Columbia College,PHYSICS 7B,PHYCS 5B (4.00),,,
University of California Berkeley,Columbia College,ENGLISH R1A,ENGL 1A (3.00),,,
University of California Berkeley,Columbia College,ENGLISH R1B,ENGL 1B (3.00),,,
University of California Berkeley,Columbia College,ASTRON 7A,Not Articulated,,,
University of California Berkeley,Columbia College,ASTRON 7B,Not Articulated,,,
University of California Berkeley,Columbia College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 2 (4.00); BIOL 4 (4.00),,,
University of California Berkeley,Columbia College,BIOLOGY 1B,BIOL 2 (4.00); BIOL 4 (4.00); BIOL 6 (4.00),,,
University of California Berkeley,Columbia College,CHEM 1A; CHEM 1AL; CHEM 1B,CHEM 2A (3.00); CHEM 2AL (2.00); CHEM 2B (3.00); CHEM 2BL (2.00),,,
University of California Berkeley,Columbia College,CHEM 3A; CHEM 3AL,CHEM 4A (3.00); CHEM 4AL (2.00),,,
University of California Berkeley,Columbia College,CHEM 3B; CHEM 3BL,CHEM 4B (3.00); CHEM 4BL (2.00),,,
University of California Berkeley,Columbia College,MCELLBI 32; MCELLBI 32L,BIOL 60 (4.00),,,
University of California Berkeley,Columbia College,PHYSICS 7C,Not Articulated,,,
University of California Berkeley,Columbia College,COMPSCI 61A,Not Articulated,,,
University of California Berkeley,Columbia College,COMPSCI 61B,Not Articulated,,,
University of California Berkeley,Columbia College,COMPSCI 61C,Not Articulated,,,
University of California Berkeley,Columbia College,COMPSCI 70,Not Articulated,,,
University of California Berkeley,Columbia College,EECS 16A,Not Articulated,,,
University of California Berkeley,Columbia College,EECS 16B,Not Articulated,,,
University of California Davis,Columbia College,ECS 020,Not Articulated,,,
University of California Davis,Columbia College,ECS 036A,COMP 11P (4.00),,,
University of California Davis,Columbia College,ECS 036B,COMP 12J (4.00),,,
University of California Davis,Columbia College,ECS 036C,Not Articulated,,,
University of California Davis,Columbia College,ECS 050,Not Articulated,,,
University of California Davis,Columbia College,MAT 021A,MATH 18A (4.00),,,
University of California Davis,Columbia College,MAT 021B,MATH 18B (4.00),,,
University of California Davis,Columbia College,MAT 021C,MATH 18B (4.00); MATH 18C (5.00),,,
University of California Davis,Columbia College,MAT 022A,MATH 26 (3.00),,,
University of California Davis,Columbia College,MAT 027A,Not Articulated,,,
University of California Davis,Columbia College,MAT 067,Not Articulated,,,
University of California Davis,Columbia College,BIS 002A,BIOL 2 (4.00),,,
University of California Davis,Columbia College,BIS 002B,BIOL 4 (4.00); BIOL 6 (4.00),,,
University of California Davis,Columbia College,BIS 002C,BIOL 4 (4.00); BIOL 6 (4.00),,,
University of California Davis,Columbia College,CHE 002A; CHE 002B; CHE 002C,CHEM 2A (3.00); CHEM 2AL (2.00); CHEM 2B (3.00); CHEM 2BL (2.00),,,
University of California Davis,Columbia College,CHE 004A,Not Articulated,,,
University of California Davis,Columbia College,CHE 004B,Not Articulated,,,
University of California Davis,Columbia College,CHE 004C,Not Articulated,,,
University of California Davis,Columbia College,PHY 009A,PHYCS 5A (4.00),,,
University of California Davis,Columbia College,PHY 009B; PHY 009C,PHYCS 5B (4.00); PHYCS 5C (4.00),,,
University of California Irvine,Columbia College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,,
University of California Irvine,Columbia College,MATH 2A,MATH 18A (4.00),,,
University of California Irvine,Columbia College,MATH 2B,MATH 18B (4.00),,,
University of California Irvine,Columbia College,MATH 3A,MATH 26 (3.00),,,
University of California Irvine,Columbia College,I&C SCI 6N,Not Articulated,,,
University of California Irvine,Columbia College,I&C SCI 6B,Not Articulated,,,
University of California Irvine,Columbia College,I&C SCI 6D,Not Articulated,,,
University of California Irvine,Columbia College,I&C SCI 45C,Not Articulated,,,
University of California Irvine,Columbia College,I&C SCI 46,Not Articulated,,,
University of California Irvine,Columbia College,I&C SCI 51,Not Articulated,,,
University of California Irvine,Columbia College,I&C SCI 53,Not Articulated,,,
University of California Irvine,Columbia College,IN4MATX 43,Not Articulated,,,
University of California Irvine,Columbia College,STATS 67,Not Articulated,,,
University of California Los Angeles,Columbia College,COM SCI 31,COMP 11P (4.00); COMP 12P (4.00),,,
University of California Los Angeles,Columbia College,COM SCI 32,COMP 11P (4.00),COMP 12P (4.00),,
University of California Los Angeles,Columbia College,COM SCI 33,Not Articulated,,,
University of California Los Angeles,Columbia College,COM SCI 35L,Not Articulated,,,
University of California Los Angeles,Columbia College,COM SCI M51A,Not Articulated,,,
University of California Los Angeles,Columbia College,EC ENGR M16,Not Articulated,,,
University of California Los Angeles,Columbia College,MATH 31A,MATH 18A (4.00),,,
University of California Los Angeles,Columbia College,MATH 31B,MATH 18B (4.00),,,
University of California Los Angeles,Columbia College,MATH 32A,Not Articulated,,,
University of California Los Angeles,Columbia College,MATH 32B,Not Articulated,,,
University of California Los Angeles,Columbia College,MATH 33A,MATH 26 (3.00),,,
University of California Los Angeles,Columbia College,MATH 33B,Not Articulated,,,
University of California Los Angeles,Columbia College,MATH 61,Not Articulated,,,
University of California Los Angeles,Columbia College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYCS 5A (4.00); PHYCS 5B (4.00); PHYCS 5C (4.00),,,
University of California Los Angeles,Columbia College,PHYSICS 4AL,Not Articulated,,,
University of California Los Angeles,Columbia College,PHYSICS 4BL,Not Articulated,,,
University of California Los Angeles,Columbia College,ENGCOMP 3,ENGL 1A (3.00),,,
University of California Los Angeles,Columbia College,,ENGL 1B (3.00),ENGL 1C (3.00),,
University of California Los Angeles,Columbia College,,COMP 11P (4.00); COMP 12P (4.00),,,
University of California Merced,Columbia College,CSE 022,COMP 11J (4.00),COMP 11P (4.00),,
University of California Merced,Columbia College,CSE 030,COMP 12J (4.00),COMP 12P (4.00),,
University of California Merced,Columbia College,MATH 021,MATH 18A (4.00),,,
