UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
University of California Berkeley,Compton College,MATH 1A,MATH 190 (5.00),,,,
University of California Berkeley,Compton College,MATH 1B,MATH 191 (5.00),,,,
University of California Berkeley,Compton College,MATH 53,MATH 220 (5.00),,,,
University of California Berkeley,Compton College,MATH 54,MATH 270 (5.00),,,,
University of California Berkeley,Compton College,PHYSICS 7A,PHYS 150 (4.00); PHYS 152 (4.00),,,,
University of California Berkeley,Compton College,PHYSICS 7B,PHYS 152 (4.00); PHYS 250 (4.00),,,,
University of California Berkeley,Compton College,PHYSICS 7A; PHYSICS 7B; PHYSICS 7C,PHYS 101 (5.00); PHYS 102 (5.00); PHYS 103 (5.00),,,,
University of California Berkeley,Compton College,ENGLISH R1A,ENGL 101 (4.00),ENGL 101H (4.00),,,
University of California Berkeley,Compton College,ENGLISH R1B,ENGL 102 (3.00),ENGL 102H (3.00),,,
University of California Berkeley,Compton College,ASTRON 7A,Not Articulated,,,,
University of California Berkeley,Compton College,ASTRON 7B,Not Articulated,,,,
University of California Berkeley,Compton College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOL 101 (5.00); BIOL 102 (5.00); BIOL 103 (3.00),,,,
University of California Berkeley,Compton College,CHEM 1A; CHEM 1AL,CHEM 150 (5.00),,,,
University of California Berkeley,Compton College,CHEM 1B,CHEM 152 (5.00),,,,
University of California Berkeley,Compton College,CHEM 3A; CHEM 3AL,Not Articulated,,,,
University of California Berkeley,Compton College,CHEM 3B; CHEM 3BL,Not Articulated,,,,
University of California Berkeley,Compton College,MCELLBI 32; MCELLBI 32L,PHYO 131 (4.00),,,,
University of California Berkeley,Compton College,PHYSICS 7C,PHYS 252 (4.00),,,,
University of California Berkeley,Compton College,PHYSICS 7A; PHYSICS 7B; PHYSICS 7C,PHYS 101 (5.00); PHYS 102 (5.00); PHYS 103 (5.00),,,,
University of California Berkeley,Compton College,COMPSCI 61A,Not Articulated,,,,
University of California Berkeley,Compton College,COMPSCI 61B,Not Articulated,,,,
University of California Berkeley,Compton College,COMPSCI 61C,Not Articulated,,,,
University of California Berkeley,Compton College,COMPSCI 70,Not Articulated,,,,
University of California Berkeley,Compton College,EECS 16A,Not Articulated,,,,
University of California Berkeley,Compton College,EECS 16B,Not Articulated,,,,
University of California Davis,Compton College,ECS 020,MATH 210 (5.00),,,,
University of California Davis,Compton College,ECS 036A,Not Articulated,,,,
University of California Davis,Compton College,ECS 036B,Not Articulated,,,,
University of California Davis,Compton College,ECS 036C,Not Articulated,,,,
University of California Davis,Compton College,ECS 050,Not Articulated,,,,
University of California Davis,Compton College,MAT 021A,MATH 190 (5.00),,,,
University of California Davis,Compton College,MAT 021B,MATH 190 (5.00); MATH 191 (5.00),,,,
University of California Davis,Compton College,MAT 021C,MATH 191 (5.00); MATH 220 (5.00),,,,
University of California Davis,Compton College,MAT 022A,MATH 270 (5.00),,,,
University of California Davis,Compton College,MAT 027A,Not Articulated,,,,
University of California Davis,Compton College,MAT 067,Not Articulated,,,,
University of California Davis,Compton College,BIS 002A,BIOL 102 (5.00),BIOL 102H (5.00),,,
University of California Davis,Compton College,BIS 002B,Not Articulated,,,,
University of California Davis,Compton College,BIS 002C,BIOL 101 (5.00); BIOL 102 (5.00),BIOL 101 (5.00); BIOL 102H (5.00),BIOL 101H (5.00); BIOL 102 (5.00),BIOL 101H (5.00); BIOL 102H (5.00),
University of California Davis,Compton College,CHE 002A; CHE 002B; CHE 002C,CHEM 150 (5.00); CHEM 152 (5.00),,,,
University of California Davis,Compton College,CHE 004A,Not Articulated,,,,
University of California Davis,Compton College,CHE 004B,Not Articulated,,,,
University of California Davis,Compton College,CHE 004C,Not Articulated,,,,
University of California Davis,Compton College,PHY 009A,Not Articulated,,,,
University of California Davis,Compton College,PHY 009B,Not Articulated,,,,
University of California Davis,Compton College,PHY 009C,Not Articulated,,,,
University of California Irvine,Compton College,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 101 (4.00); CSCI 102 (5.00),,,,
University of California Irvine,Compton College,MATH 2A,MATH 190 (5.00),,,,
University of California Irvine,Compton College,MATH 2B,MATH 191 (5.00),,,,
University of California Irvine,Compton College,MATH 3A,MATH 270 (5.00),,,,
University of California Irvine,Compton College,I&C SCI 6N,Not Articulated,,,,
University of California Irvine,Compton College,I&C SCI 6B,Not Articulated,,,,
University of California Irvine,Compton College,I&C SCI 6D,MATH 210 (5.00),,,,
University of California Irvine,Compton College,I&C SCI 45C,Not Articulated,,,,
University of California Irvine,Compton College,I&C SCI 46,Not Articulated,,,,
University of California Irvine,Compton College,I&C SCI 51,Not Articulated,,,,
