UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,Contra Costa College,MATH 1A,MATH 190 (5.00),,,
University of California Berkeley,Contra Costa College,MATH 1B,MATH 191 (4.00),,,
University of California Berkeley,Contra Costa College,MATH 53,MATH 290 (5.00),,,
University of California Berkeley,Contra Costa College,MATH 54,MATH 200 (4.00); MATH 292 (4.00),,,
University of California Berkeley,Contra Costa College,PHYSICS 7A,PHYS 130 (4.00),,,
University of California Berkeley,Contra Costa College,PHYSICS 7B,PHYS 230 (4.00),,,
University of California Berkeley,Contra Costa College,ENGLISH R1A,ENGL 001A (4.00),ENGL 001AX (5.00),,
University of California Berkeley,Contra Costa College,ENGLISH R1B,ENGL 001C (3.00),ENGL 002B (4.00),PHILO 130 (3.00),
University of California Berkeley,Contra Costa College,ASTRON 7A,Not Articulated,,,
University of California Berkeley,Contra Costa College,ASTRON 7B,Not Articulated,,,
University of California Berkeley,Contra Costa College,BIOLOGY 1A; BIOLOGY 1AL,BIOSC 147 (4.50),,,
University of California Berkeley,Contra Costa College,BIOLOGY 1B,BIOSC 145 (4.50),,,
University of California Berkeley,Contra Costa College,CHEM 1A; CHEM 1AL,CHEM 120 (5.00),,,
University of California Berkeley,Contra Costa College,CHEM 1B,CHEM 121 (5.00),,,
University of California Berkeley,Contra Costa College,CHEM 3A; CHEM 3AL,CHEM 226 (5.00),,,
University of California Berkeley,Contra Costa College,CHEM 3B; CHEM 3BL,CHEM 227 (5.00),,,
University of California Berkeley,Contra Costa College,MCELLBI 32; MCELLBI 32L,BIOSC 134 (4.00),,,
University of California Berkeley,Contra Costa College,PHYSICS 7C,PHYS 231 (4.00),,,
University of California Berkeley,Contra Costa College,COMPSCI 61A,Not Articulated,,,
University of California Berkeley,Contra Costa College,COMPSCI 61B,COMP 210 (4.00),,,
University of California Berkeley,Contra Costa College,COMPSCI 61C,COMP 265 (4.00),,,
University of California Berkeley,Contra Costa College,COMPSCI 70,Not Articulated,,,
University of California Berkeley,Contra Costa College,EECS 16A,ENGIN 230 (4.00); MATH 200 (4.00),,,
University of California Berkeley,Contra Costa College,EECS 16B,Not Articulated,,,
University of California Davis,Contra Costa College,ECS 020,MATH 185 (3.00),,,
