UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,Copper Mountain College,MATH 1A,MATH 001A (4.00),,,
University of California Berkeley,Copper Mountain College,MATH 1B,MATH 001B (4.00),,,
University of California Berkeley,Copper Mountain College,MATH 53,MATH 002A (5.00),,,
University of California Berkeley,Copper Mountain College,MATH 54,MATH 002B (4.00); MATH 002C (4.00),,,
University of California Berkeley,Copper Mountain College,PHYSICS 7A,PH 004A (4.00),,,
University of California Berkeley,Copper Mountain College,PHYSICS 7B,PH 004B (4.00),,,
University of California Berkeley,Copper Mountain College,ENGLISH R1A,ENG 003A (3.00),,,
University of California Berkeley,Copper Mountain College,ENGLISH R1B,ENG 001B (3.00),ENG 001C (3.00),,
University of California Berkeley,Copper Mountain College,ASTRON 7A,Not Articulated,,,
University of California Berkeley,Copper Mountain College,ASTRON 7B,Not Articulated,,,
University of California Berkeley,Copper Mountain College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BI 005 (5.00); BI 006 (5.00),,,
University of California Berkeley,Copper Mountain College,CHEM 1A; CHEM 1AL,CH 001A (5.00),,,
University of California Berkeley,Copper Mountain College,CHEM 1B,CH 001B (5.00),,,
University of California Berkeley,Copper Mountain College,CHEM 3A; CHEM 3AL,CH 010A (5.00),,,
University of California Berkeley,Copper Mountain College,CHEM 3B; CHEM 3BL,CH 010B (5.00),,,
University of California Berkeley,Copper Mountain College,MCELLBI 32; MCELLBI 32L,BI 023 (5.00),,,
University of California Berkeley,Copper Mountain College,PHYSICS 7C,Not Articulated,,,
University of California Berkeley,Copper Mountain College,COMPSCI 61A,Not Articulated,,,
University of California Berkeley,Copper Mountain College,COMPSCI 61B,Not Articulated,,,
University of California Berkeley,Copper Mountain College,COMPSCI 61C,Not Articulated,,,
University of California Berkeley,Copper Mountain College,COMPSCI 70,Not Articulated,,,
University of California Berkeley,Copper Mountain College,EECS 16A,Not Articulated,,,
University of California Berkeley,Copper Mountain College,EECS 16B,Not Articulated,,,
University of California Davis,Copper Mountain College,ECS 020,MATH 004 (3.00),,,
University of California Davis,Copper Mountain College,ECS 036A,CS 089 (3.00),,,
University of California Davis,Copper Mountain College,ECS 036B,CS 089A (3.00),,,
University of California Davis,Copper Mountain College,ECS 036C,Not Articulated,,,
University of California Davis,Copper Mountain College,ECS 050,CS 087 (3.00),,,
University of California Davis,Copper Mountain College,MAT 021A,MATH 001A (4.00),,,
University of California Davis,Copper Mountain College,MAT 021B,MATH 001B (4.00),,,
University of California Davis,Copper Mountain College,MAT 021C; MAT 021D,MATH 002A (5.00),,,
University of California Davis,Copper Mountain College,MAT 022A,MATH 002B (4.00),,,
University of California Davis,Copper Mountain College,MAT 027A,Not Articulated,,,
University of California Davis,Copper Mountain College,MAT 067,Not Articulated,,,
University of California Davis,Copper Mountain College,BIS 002A,BI 005 (5.00),,,
University of California Davis,Copper Mountain College,BIS 002B,BI 005 (5.00); BI 006 (5.00),,,
University of California Davis,Copper Mountain College,BIS 002C,BI 005 (5.00); BI 006 (5.00),,,
University of California Davis,Copper Mountain College,CHE 002A; CHE 002B; CHE 002C,CH 001A (5.00); CH 001B (5.00),,,
University of California Davis,Copper Mountain College,CHE 004A,Not Articulated,,,
University of California Davis,Copper Mountain College,CHE 004B,Not Articulated,,,
University of California Davis,Copper Mountain College,CHE 004C,Not Articulated,,,
University of California Davis,Copper Mountain College,PHY 009A,PH 004A (4.00); PH 004B (4.00),,,
University of California Davis,Copper Mountain College,PHY 009B,PH 004A (4.00); PH 004B (4.00),,,
University of California Davis,Copper Mountain College,PHY 009C,PH 004A (4.00); PH 004B (4.00),,,
University of California Irvine,Copper Mountain College,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 089 (3.00); CS 089A (3.00),,,
University of California Irvine,Copper Mountain College,MATH 2A,MATH 001A (4.00),,,
University of California Irvine,Copper Mountain College,MATH 2B,MATH 001B (4.00),,,
University of California Irvine,Copper Mountain College,MATH 3A,MATH 002B (4.00),,,
University of California Irvine,Copper Mountain College,I&C SCI 6N,Not Articulated,,,
University of California Irvine,Copper Mountain College,I&C SCI 6B,MATH 004 (3.00),,,
University of California Irvine,Copper Mountain College,I&C SCI 6D,Not Articulated,,,
University of California Irvine,Copper Mountain College,I&C SCI 45C,Not Articulated,,,
University of California Irvine,Copper Mountain College,I&C SCI 46,Not Articulated,,,
University of California Irvine,Copper Mountain College,I&C SCI 51,Not Articulated,,,
University of California Irvine,Copper Mountain College,I&C SCI 53,Not Articulated,,,
University of California Irvine,Copper Mountain College,IN4MATX 43,Not Articulated,,,
University of California Irvine,Copper Mountain College,STATS 67,Not Articulated,,,
University of California Los Angeles,Copper Mountain College,COM SCI 31,Not Articulated,,,
University of California Los Angeles,Copper Mountain College,COM SCI 32,Not Articulated,,,
University of California Los Angeles,Copper Mountain College,COM SCI 33,Not Articulated,,,
University of California Los Angeles,Copper Mountain College,COM SCI 35L,Not Articulated,,,
University of California Los Angeles,Copper Mountain College,COM SCI M51A,Not Articulated,,,
University of California Los Angeles,Copper Mountain College,EC ENGR M16,Not Articulated,,,
University of California Los Angeles,Copper Mountain College,MATH 31A,MATH 001A (4.00),,,
University of California Los Angeles,Copper Mountain College,MATH 31B,MATH 001B (4.00),,,
University of California Los Angeles,Copper Mountain College,MATH 32A,MATH 002A (5.00),,,
University of California Los Angeles,Copper Mountain College,MATH 32B,MATH 002A (5.00),,,
University of California Los Angeles,Copper Mountain College,MATH 33A,MATH 002B (4.00),,,
University of California Los Angeles,Copper Mountain College,MATH 33B,MATH 002C (4.00),,,
University of California Los Angeles,Copper Mountain College,MATH 61,Not Articulated,,,
University of California Los Angeles,Copper Mountain College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PH 004A (4.00); PH 004B (4.00),,,
University of California Los Angeles,Copper Mountain College,PHYSICS 4AL,Not Articulated,,,
University of California Los Angeles,Copper Mountain College,PHYSICS 4BL,Not Articulated,,,
University of California Los Angeles,Copper Mountain College,ENGCOMP 3,ENG 003A (3.00),,,
University of California Los Angeles,Copper Mountain College,,ENG 001B (3.00),SOC 004 (3.00),,
University of California Los Angeles,Copper Mountain College,,CS 089 (3.00); CS 089A (3.00),,,
University of California Merced,Copper Mountain College,CSE 022,CS 089 (3.00),PH 005 (3.00),,
University of California Merced,Copper Mountain College,CSE 030,CS 089A (3.00),,,
University of California Merced,Copper Mountain College,MATH 021,MATH 001A (4.00),,,
University of California Merced,Copper Mountain College,MATH 022,MATH 001B (4.00),,,
University of California Merced,Copper Mountain College,MATH 023,MATH 002A (5.00),,,
University of California Merced,Copper Mountain College,MATH 024,MATH 002B (4.00); MATH 002C (4.00),,,
University of California Merced,Copper Mountain College,PHYS 008; PHYS 008L,PH 004A (4.00),,,
University of California Merced,Copper Mountain College,PHYS 009; PHYS 009L,PH 004B (4.00),,,
University of California Merced,Copper Mountain College,CSE 015,MATH 004 (3.00),,,
University of California Merced,Copper Mountain College,CSE 022,CS 089 (3.00),PH 005 (3.00),,
University of California Merced,Copper Mountain College,CSE 024,Not Articulated,,,
University of California Merced,Copper Mountain College,CSE 030,CS 089A (3.00),,,
University of California Merced,Copper Mountain College,CSE 031,CS 087 (3.00),,,
University of California Merced,Copper Mountain College,ENGR 065,Not Articulated,,,
University of California Merced,Copper Mountain College,ENGR 091,Not Articulated,,,
University of California Merced,Copper Mountain College,MATH 032,Not Articulated,,,
University of California Merced,Copper Mountain College,ENGR 080,Not Articulated,,,
University of California Merced,Copper Mountain College,WRI 001,ENG 003A (3.00),,,
University of California Merced,Copper Mountain College,WRI 010,ENG 001B (3.00),ENG 001C (3.00),SOC 004 (3.00),SP 007 (3.00)
University of California Riverside,Copper Mountain College,CS 10A,CS 089 (3.00),PH 005 (3.00),,
University of California Riverside,Copper Mountain College,CS 10B,CS 089A (3.00),,,
University of California Riverside,Copper Mountain College,MATH 9A; MATH 9B; MATH 9C,MATH 001A (4.00); MATH 001B (4.00),,,
University of California Riverside,Copper Mountain College,PHYS 40A,PH 004A (4.00),,,
University of California Riverside,Copper Mountain College,CS 11,MATH 004 (3.00),,,
University of California Riverside,Copper Mountain College,CS 10C,Not Articulated,,,
University of California Riverside,Copper Mountain College,CS 61,CS 087 (3.00),,,
University of California Riverside,Copper Mountain College,MATH 10A,MATH 002A (5.00),,,
University of California Riverside,Copper Mountain College,PHYS 40B,PH 004A (4.00); PH 004B (4.00),,,
University of California Riverside,Copper Mountain College,PHYS 40C,PH 004B (4.00),,,
University of California Riverside,Copper Mountain College,EE 20B,Not Articulated,,,
University of California Riverside,Copper Mountain College,MATH 31,MATH 002B (4.00),,,
