UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,Crafton Hills College,MATH 1A,MATH 250 (4.00),,,
University of California Berkeley,Crafton Hills College,MATH 1B,MATH 251 (4.00),,,
University of California Berkeley,Crafton Hills College,MATH 53,MATH 252 (5.00),,,
University of California Berkeley,Crafton Hills College,MATH 54,MATH 265 (4.00); MATH 266 (4.00),,,
University of California Berkeley,Crafton Hills College,PHYSICS 7A,PHYSIC 250 (4.00),,,
University of California Berkeley,Crafton Hills College,ENGLISH R1A,ENGL 101 (4.00),ENGL 101H (4.00),,
University of California Berkeley,Crafton Hills College,ENGLISH R1B,ENGL 102 (4.00),ENGL 102H (4.00),,
University of California Berkeley,Crafton Hills College,PHYSICS 7B,Not Articulated,,,
University of California Berkeley,Crafton Hills College,,PHYSIC 251 (4.00); PHYSIC 252 (4.00),,,
University of California Berkeley,Crafton Hills College,ASTRON 7A,Not Articulated,,,
University of California Berkeley,Crafton Hills College,ASTRON 7B,Not Articulated,,,
University of California Berkeley,Crafton Hills College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 130 (4.00),BIOL 130H (4.00),,
University of California Berkeley,Crafton Hills College,BIOLOGY 1B,BIOL 130 (4.00); BIOL 131 (4.00),BIOL 130H (4.00); BIOL 131H (4.00),,
University of California Berkeley,Crafton Hills College,CHEM 1A; CHEM 1AL; CHEM 1B,CHEM 150 (5.00); CHEM 151 (5.00),,,
University of California Berkeley,Crafton Hills College,CHEM 3A; CHEM 3AL,CHEM 212 (5.00),,,
University of California Berkeley,Crafton Hills College,CHEM 3B; CHEM 3BL,CHEM 213 (5.00),,,
University of California Berkeley,Crafton Hills College,MCELLBI 32; MCELLBI 32L,ANAT 150 (4.00); ANAT 151 (4.00),,,
University of California Berkeley,Crafton Hills College,PHYSICS 7C,Not Articulated,,,
University of California Berkeley,Crafton Hills College,,PHYSIC 251 (4.00); PHYSIC 252 (4.00),,,
University of California Berkeley,Crafton Hills College,COMPSCI 61A,Not Articulated,,,
University of California Berkeley,Crafton Hills College,COMPSCI 61B,CSCI 230 (3.00),,,
University of California Berkeley,Crafton Hills College,COMPSCI 61C,Not Articulated,,,
University of California Berkeley,Crafton Hills College,COMPSCI 70,Not Articulated,,,
University of California Berkeley,Crafton Hills College,EECS 16A,Not Articulated,,,
University of California Berkeley,Crafton Hills College,EECS 16B,Not Articulated,,,
University of California Davis,Crafton Hills College,ECS 020,CSCI 200 (4.00),MATH 200 (4.00),,
University of California Davis,Crafton Hills College,ECS 036A,CIS 113 (3.00),CSCI 110 (4.00),,
University of California Davis,Crafton Hills College,ECS 036B,CSCI 120 (3.00),,,
University of California Davis,Crafton Hills College,ECS 036C,CSCI 230 (3.00),,,
University of California Davis,Crafton Hills College,ECS 050,CSCI 240 (3.00),,,
University of California Davis,Crafton Hills College,MAT 021A,MATH 250 (4.00),,,
University of California Davis,Crafton Hills College,MAT 021B,MATH 251 (4.00),,,
University of California Davis,Crafton Hills College,MAT 021C,MATH 252 (5.00),,,
University of California Davis,Crafton Hills College,MAT 022A,MATH 265 (4.00),,,
University of California Davis,Crafton Hills College,MAT 027A,Not Articulated,,,
University of California Davis,Crafton Hills College,MAT 067,Not Articulated,,,
University of California Davis,Crafton Hills College,BIS 002A,BIOL 130 (4.00),BIOL 130H (4.00),,
University of California Davis,Crafton Hills College,BIS 002B,BIOL 131 (4.00),BIOL 131H (4.00),,
University of California Davis,Crafton Hills College,BIS 002C,BIOL 131 (4.00),BIOL 131H (4.00),,
University of California Davis,Crafton Hills College,CHE 002A; CHE 002B; CHE 002C,CHEM 150 (5.00); CHEM 151 (5.00),,,
University of California Davis,Crafton Hills College,CHE 004A,Not Articulated,,,
University of California Davis,Crafton Hills College,CHE 004B,Not Articulated,,,
University of California Davis,Crafton Hills College,CHE 004C,Not Articulated,,,
University of California Davis,Crafton Hills College,PHY 009A,PHYSIC 250 (4.00),,,
University of California Davis,Crafton Hills College,PHY 009B,PHYSIC 250 (4.00); PHYSIC 251 (4.00); PHYSIC 252 (4.00),,,
University of California Davis,Crafton Hills College,PHY 009C,PHYSIC 251 (4.00),,,
University of California Irvine,Crafton Hills College,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 110 (4.00); CSCI 120 (3.00),,,
University of California Irvine,Crafton Hills College,MATH 2A,MATH 250 (4.00),,,
University of California Irvine,Crafton Hills College,MATH 2B,MATH 251 (4.00),,,
University of California Irvine,Crafton Hills College,MATH 3A,MATH 265 (4.00),,,
University of California Irvine,Crafton Hills College,I&C SCI 6N,Not Articulated,,,
University of California Irvine,Crafton Hills College,I&C SCI 6B,Not Articulated,,,
University of California Irvine,Crafton Hills College,I&C SCI 6D,CSCI 200 (4.00),MATH 200 (4.00),,
University of California Irvine,Crafton Hills College,I&C SCI 45C,Not Articulated,,,
University of California Irvine,Crafton Hills College,I&C SCI 46,Not Articulated,,,
University of California Irvine,Crafton Hills College,I&C SCI 51,CSCI 240 (3.00),,,
University of California Irvine,Crafton Hills College,I&C SCI 53,Not Articulated,,,
University of California Irvine,Crafton Hills College,IN4MATX 43,Not Articulated,,,
University of California Irvine,Crafton Hills College,STATS 67,Not Articulated,,,
University of California Los Angeles,Crafton Hills College,COM SCI 31,Not Articulated,,,
University of California Los Angeles,Crafton Hills College,COM SCI 32,CSCI 120 (3.00),,,
University of California Los Angeles,Crafton Hills College,COM SCI 33,Not Articulated,,,
University of California Los Angeles,Crafton Hills College,COM SCI 35L,Not Articulated,,,
University of California Los Angeles,Crafton Hills College,COM SCI M51A,Not Articulated,,,
University of California Los Angeles,Crafton Hills College,EC ENGR M16,Not Articulated,,,
University of California Los Angeles,Crafton Hills College,MATH 31A,MATH 250 (4.00),,,
University of California Los Angeles,Crafton Hills College,MATH 31B,MATH 251 (4.00),,,
University of California Los Angeles,Crafton Hills College,MATH 32A,MATH 252 (5.00),,,
University of California Los Angeles,Crafton Hills College,MATH 32B,MATH 252 (5.00),,,
University of California Los Angeles,Crafton Hills College,MATH 33A,MATH 265 (4.00),,,
University of California Los Angeles,Crafton Hills College,MATH 33B,MATH 266 (4.00),,,
University of California Los Angeles,Crafton Hills College,MATH 61,CSCI 200 (4.00),MATH 200 (4.00),,
University of California Los Angeles,Crafton Hills College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYSIC 250 (4.00); PHYSIC 251 (4.00); PHYSIC 252 (4.00),,,
University of California Los Angeles,Crafton Hills College,PHYSICS 4AL,Not Articulated,,,
University of California Los Angeles,Crafton Hills College,PHYSICS 4BL,Not Articulated,,,
University of California Los Angeles,Crafton Hills College,ENGCOMP 3,ENGL 101 (4.00); ENGL 101H (4.00),,,
University of California Los Angeles,Crafton Hills College,,ENGL 102 (4.00),ENGL 102H (4.00),ENGL 152 (4.00),ENGL 152H (4.00)
University of California Los Angeles,Crafton Hills College,,CSCI 110 (4.00),CSCI 120 (3.00),,
University of California Merced,Crafton Hills College,CSE 022,CIS 113 (3.00),CSCI 110 (4.00),,
University of California Merced,Crafton Hills College,CSE 030,CSCI 230 (3.00),,,
University of California Merced,Crafton Hills College,MATH 021,MATH 250 (4.00),,,
University of California Merced,Crafton Hills College,MATH 022,MATH 251 (4.00),,,
University of California Merced,Crafton Hills College,MATH 023,MATH 252 (5.00),,,
University of California Merced,Crafton Hills College,MATH 024,MATH 265 (4.00); MATH 266 (4.00),,,
University of California Merced,Crafton Hills College,PHYS 008; PHYS 008L,PHYSIC 250 (4.00),,,
University of California Merced,Crafton Hills College,PHYS 009; PHYS 009L,PHYSIC 251 (4.00),,,
University of California Merced,Crafton Hills College,CSE 015,Not Articulated,,,
University of California Merced,Crafton Hills College,CSE 022,CIS 113 (3.00),CSCI 110 (4.00),,
University of California Merced,Crafton Hills College,CSE 024,CSCI 120 (3.00),,,
University of California Merced,Crafton Hills College,CSE 030,CSCI 230 (3.00),,,
University of California Merced,Crafton Hills College,CSE 031,CSCI 240 (3.00),,,
University of California Merced,Crafton Hills College,ENGR 065,Not Articulated,,,
University of California Merced,Crafton Hills College,ENGR 091,Not Articulated,,,
University of California Merced,Crafton Hills College,MATH 032,Not Articulated,,,
University of California Merced,Crafton Hills College,ENGR 080,Not Articulated,,,
University of California Merced,Crafton Hills College,WRI 001,ENGL 101 (4.00),ENGL 101H (4.00),,
University of California Merced,Crafton Hills College,WRI 010,ENGL 102 (4.00),ENGL 102H (4.00),ENGL 152 (4.00),PHIL 103 (4.00)
University of California Riverside,Crafton Hills College,CS 10A,CSCI 110 (4.00),,,
University of California Riverside,Crafton Hills College,CS 10B,CSCI 120 (3.00),,,
University of California Riverside,Crafton Hills College,MATH 9A; MATH 9B; MATH 9C,MATH 250 (4.00); MATH 251 (4.00),,,
University of California Riverside,Crafton Hills College,PHYS 40A,PHYSIC 250 (4.00),,,
University of California Riverside,Crafton Hills College,CS 11,MATH 200 (4.00),,,
University of California Riverside,Crafton Hills College,CS 10C,CSCI 230 (3.00),,,
University of California Riverside,Crafton Hills College,CS 61,CSCI 240 (3.00),,,
University of California Riverside,Crafton Hills College,MATH 10A,MATH 252 (5.00),,,
University of California Riverside,Crafton Hills College,PHYS 40B,PHYSIC 250 (4.00); PHYSIC 252 (4.00),,,
University of California Riverside,Crafton Hills College,PHYS 40C,PHYSIC 251 (4.00),,,
University of California Riverside,Crafton Hills College,EE 20B,Not Articulated,,,
University of California Riverside,Crafton Hills College,MATH 31,MATH 265 (4.00),,,
University of California San Diego,Crafton Hills College,CSE 8A,CIS 113 (3.00),,,
University of California San Diego,Crafton Hills College,CSE 8B,Not Articulated,,,
University of California San Diego,Crafton Hills College,CSE 11,Not Articulated,,,
University of California San Diego,Crafton Hills College,CSE 12,Not Articulated,,,
University of California San Diego,Crafton Hills College,CSE 15L,Not Articulated,,,
University of California San Diego,Crafton Hills College,CSE 20,Not Articulated,,,
University of California San Diego,Crafton Hills College,CSE 21,Not Articulated,,,
University of California San Diego,Crafton Hills College,CSE 30,Not Articulated,,,
University of California San Diego,Crafton Hills College,MATH 18,MATH 265 (4.00),,,
University of California San Diego,Crafton Hills College,MATH 20A,MATH 250 (4.00),,,
University of California San Diego,Crafton Hills College,MATH 20B,MATH 251 (4.00),,,
