UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2
University of California Berkeley,Cuesta College,MATH 1A,MATH 265A (5.00),
University of California Berkeley,Cuesta College,MATH 1B,MATH 265B (5.00),
University of California Berkeley,Cuesta College,MATH 53,MATH 283 (5.00),
University of California Berkeley,Cuesta College,MATH 54,MATH 287 (5.00),
University of California Berkeley,Cuesta College,PHYSICS 7A,PHYS 208A (5.00),
University of California Berkeley,Cuesta College,PHYSICS 7B,PHYS 208B (5.00),
University of California Berkeley,Cuesta College,ENGLISH R1A,ENGL 201A (4.00),
University of California Berkeley,Cuesta College,ENGLISH R1B,ENGL 201B (4.00),ENGL 201C (4.00)
University of California Berkeley,Cuesta College,ASTRON 7A,Not Articulated,
University of California Berkeley,Cuesta College,ASTRON 7B,Not Articulated,
University of California Berkeley,Cuesta College,BIOLOGY 1A; BIOLOGY 1AL,BIO 201A (5.00),
University of California Berkeley,Cuesta College,BIOLOGY 1B,BIO 201B (5.00),
University of California Berkeley,Cuesta College,CHEM 1A; CHEM 1AL,CHEM 201A (5.00),
University of California Berkeley,Cuesta College,CHEM 1B,CHEM 201B (5.00),
University of California Berkeley,Cuesta College,CHEM 3A; CHEM 3AL,CHEM 212A (5.00),
University of California Berkeley,Cuesta College,CHEM 3B; CHEM 3BL,CHEM 212B (5.00),
University of California Berkeley,Cuesta College,MCELLBI 32; MCELLBI 32L,BIO 206 (5.00),
University of California Berkeley,Cuesta College,PHYSICS 7C,PHYS 208C (4.00),
University of California Berkeley,Cuesta College,COMPSCI 61A,Not Articulated,
University of California Berkeley,Cuesta College,COMPSCI 61B,Not Articulated,
University of California Berkeley,Cuesta College,COMPSCI 61C,Not Articulated,
University of California Berkeley,Cuesta College,COMPSCI 70,Not Articulated,
University of California Berkeley,Cuesta College,EECS 16A,Not Articulated,
University of California Berkeley,Cuesta College,EECS 16B,Not Articulated,
University of California Davis,Cuesta College,ECS 020,CIS 241 (3.00),
University of California Davis,Cuesta College,ECS 036A; ECS 036B; ECS 036C,CIS 232 (2.00); CIS 233 (2.00),
University of California Davis,Cuesta College,ECS 050,CIS 240 (3.00),
University of California Davis,Cuesta College,MAT 021A,MATH 265A (5.00),
University of California Davis,Cuesta College,MAT 021B,MATH 265B (5.00),
University of California Davis,Cuesta College,MAT 021C,MATH 283 (5.00),
University of California Davis,Cuesta College,MAT 022A,MATH 287 (5.00),
University of California Davis,Cuesta College,MAT 027A,Not Articulated,
University of California Davis,Cuesta College,MAT 067,Not Articulated,
University of California Davis,Cuesta College,BIS 002A,BIO 201A (5.00),
University of California Davis,Cuesta College,BIS 002B,BIO 201B (5.00),
University of California Davis,Cuesta College,BIS 002C,BIO 201A (5.00); BIO 201B (5.00),
University of California Davis,Cuesta College,CHE 002A; CHE 002B; CHE 002C,CHEM 201A (5.00); CHEM 201B (5.00),
University of California Davis,Cuesta College,CHE 004A,Not Articulated,
University of California Davis,Cuesta College,CHE 004B,Not Articulated,
University of California Davis,Cuesta College,CHE 004C,Not Articulated,
University of California Davis,Cuesta College,PHY 009A,PHYS 208A (5.00),
University of California Davis,Cuesta College,PHY 009B,PHYS 208A (5.00); PHYS 208B (5.00),
University of California Davis,Cuesta College,PHY 009C,PHYS 208A (5.00); PHYS 208B (5.00),
University of California Irvine,Cuesta College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
University of California Irvine,Cuesta College,MATH 2A,MATH 265A (5.00),
University of California Irvine,Cuesta College,MATH 2B,MATH 265B (5.00),
University of California Irvine,Cuesta College,MATH 3A,MATH 287 (5.00),
University of California Irvine,Cuesta College,I&C SCI 6N,Not Articulated,
University of California Irvine,Cuesta College,I&C SCI 6B,Not Articulated,
University of California Irvine,Cuesta College,I&C SCI 6D,CIS 241 (3.00),
University of California Irvine,Cuesta College,I&C SCI 45C,Not Articulated,
University of California Irvine,Cuesta College,I&C SCI 46,CIS 233 (2.00),
University of California Irvine,Cuesta College,I&C SCI 51,Not Articulated,
University of California Irvine,Cuesta College,I&C SCI 53,Not Articulated,
University of California Irvine,Cuesta College,IN4MATX 43,Not Articulated,
University of California Irvine,Cuesta College,STATS 67,Not Articulated,
University of California Los Angeles,Cuesta College,COM SCI 31,Not Articulated,
University of California Los Angeles,Cuesta College,COM SCI 32,Not Articulated,
University of California Los Angeles,Cuesta College,COM SCI 33,CIS 240 (3.00),
