UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7
University of California Berkeley,Cypress College,MATH 1A,MATH 150AC (4.00),,,,,,
University of California Berkeley,Cypress College,MATH 1B,MATH 150BC (4.00),,,,,,
University of California Berkeley,Cypress College,MATH 53,MATH 250AC (4.00),,,,,,
University of California Berkeley,Cypress College,MATH 54,MATH 250BC (5.00),,,,,,
University of California Berkeley,Cypress College,PHYSICS 7A,PHYS 221 C (4.00),,,,,,
University of California Berkeley,Cypress College,PHYSICS 7B,PHYS 222 C (4.00),,,,,,
University of California Berkeley,Cypress College,ENGLISH R1A,ENGL 100 C (4.00),ENGL 100HC (4.00),ENGL 101 C (5.00),,,,
University of California Berkeley,Cypress College,ENGLISH R1B,ENGL 102 C (3.00),ENGL 102HC (3.00),ENGL 103 C (4.00),ENGL 103HC (4.00),ENGL 104 C (4.00),ENGL 104HC (4.00),
University of California Berkeley,Cypress College,ASTRON 7A,Not Articulated,,,,,,
University of California Berkeley,Cypress College,ASTRON 7B,Not Articulated,,,,,,
University of California Berkeley,Cypress College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOL 135AC (5.00); BIOL 135BC (5.00),,,,,,
University of California Berkeley,Cypress College,CHEM 1A; CHEM 1AL,CHEM 111 AC (5.00),,,,,,
University of California Berkeley,Cypress College,CHEM 1B,CHEM 111 BC (5.00),,,,,,
University of California Berkeley,Cypress College,CHEM 3A; CHEM 3AL,CHEM 211 AC (5.00),,,,,,
University of California Berkeley,Cypress College,CHEM 3B; CHEM 3BL,CHEM 211BC (5.00),,,,,,
University of California Berkeley,Cypress College,MCELLBI 32; MCELLBI 32L,Not Articulated,,,,,,
University of California Berkeley,Cypress College,PHYSICS 7C,PHYS 223 C (4.00),,,,,,
University of California Berkeley,Cypress College,COMPSCI 61A,Not Articulated,,,,,,
University of California Berkeley,Cypress College,COMPSCI 61B,CSCI 133 C (3.00),CIS 234 C (3.00),,,,,
University of California Berkeley,Cypress College,COMPSCI 61C,Not Articulated,,,,,,
University of California Berkeley,Cypress College,COMPSCI 70,Not Articulated,,,,,,
University of California Berkeley,Cypress College,EECS 16A,Not Articulated,,,,,,
University of California Berkeley,Cypress College,EECS 16B,Not Articulated,,,,,,
University of California Davis,Cypress College,ECS 020,Not Articulated,,,,,,
University of California Davis,Cypress College,ECS 036A,CIS 223 C (3.00),CIS 226 C (3.00),,,,,
University of California Davis,Cypress College,ECS 036B,Not Articulated,,,,,,
University of California Davis,Cypress College,ECS 036C,CSCI 133 C (3.00),,,,,,
University of California Davis,Cypress College,ECS 050,Not Articulated,,,,,,
University of California Davis,Cypress College,MAT 021A,MATH 150AC (4.00),,,,,,
University of California Davis,Cypress College,MAT 021B,MATH 150BC (4.00),,,,,,
University of California Davis,Cypress College,MAT 021C; MAT 021D,MATH 250AC (4.00),,,,,,
University of California Davis,Cypress College,MAT 022A,Not Articulated,,,,,,
University of California Davis,Cypress College,MAT 027A,Not Articulated,,,,,,
University of California Davis,Cypress College,MAT 067,Not Articulated,,,,,,
University of California Davis,Cypress College,BIS 002A; BIS 002B; BIS 002C,BIOL 135AC (5.00); BIOL 135BC (5.00),,,,,,
University of California Davis,Cypress College,CHE 002A; CHE 002B; CHE 002C,CHEM 111 AC (5.00); CHEM 111 BC (5.00),,,,,,
University of California Davis,Cypress College,CHE 004A,Not Articulated,,,,,,
University of California Davis,Cypress College,CHE 004B,Not Articulated,,,,,,
University of California Davis,Cypress College,CHE 004C,Not Articulated,,,,,,
University of California Davis,Cypress College,PHY 009A,PHYS 221 C (4.00); PHYS 222 C (4.00); PHYS 223 C (4.00),,,,,,
University of California Davis,Cypress College,PHY 009B,PHYS 221 C (4.00); PHYS 222 C (4.00); PHYS 223 C (4.00),,,,,,
University of California Davis,Cypress College,PHY 009C,PHYS 221 C (4.00); PHYS 222 C (4.00); PHYS 223 C (4.00),,,,,,
University of California Irvine,Cypress College,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 123 C (3.00); CSCI 133 C (3.00),CIS 226 C (3.00); CIS 234 C (3.00),CIS 247 C (3.00); CIS 275 C (3.00),,,,
University of California Irvine,Cypress College,MATH 2A,MATH 150AC (4.00),,,,,,
University of California Irvine,Cypress College,MATH 2B,MATH 150BC (4.00),,,,,,
University of California Irvine,Cypress College,MATH 3A,MATH 250BC (5.00),,,,,,
University of California Irvine,Cypress College,I&C SCI 6N,Not Articulated,,,,,,
University of California Irvine,Cypress College,I&C SCI 6B,CSCI 252 C (3.00),,,,,,
University of California Irvine,Cypress College,I&C SCI 6D,Not Articulated,,,,,,
University of California Irvine,Cypress College,I&C SCI 45C,CSCI 123 C (3.00); CSCI 133 C (3.00); CIS 247 C (3.00),,,,,,
University of California Irvine,Cypress College,I&C SCI 46,Not Articulated,,,,,,
University of California Irvine,Cypress College,I&C SCI 51,CSCI 242 C (3.00),,,,,,
University of California Irvine,Cypress College,I&C SCI 53,Not Articulated,,,,,,
University of California Irvine,Cypress College,IN4MATX 43,Not Articulated,,,,,,
University of California Irvine,Cypress College,STATS 67,Not Articulated,,,,,,
