UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7,Courses Group 8
University of California Berkeley,De Anza College,MATH 1A,MATH 1A (5.00); MATH 1B (5.00),MATH 1AH (5.00); MATH 1BH (5.00),,,,,,
University of California Berkeley,De Anza College,MATH 1B,MATH 1B (5.00); MATH 1C (5.00),MATH 1BH (5.00); MATH 1CH (5.00),,,,,,
University of California Berkeley,De Anza College,MATH 53,MATH 1C (5.00); MATH 1D (5.00),MATH 1CH (5.00); MATH 1DH (5.00),,,,,,
University of California Berkeley,De Anza College,MATH 54,MATH 2A (5.00); MATH 2B (5.00),MATH 2AH (5.00); MATH 2BH (5.00),,,,,,
University of California Berkeley,De Anza College,PHYSICS 7A,PHYS 4A (6.00),,,,,,,
University of California Berkeley,De Anza College,PHYSICS 7B,PHYS 4B (6.00); PHYS 4C (6.00),,,,,,,
University of California Berkeley,De Anza College,ENGLISH R1A,EWRT 1A (5.00),EWRT 1AH (5.00),ESL 5 (5.00),,,,,
University of California Berkeley,De Anza College,ENGLISH R1B,EWRT 1B (5.00),EWRT 2 (5.00),EWRT 1BH (5.00),EWRT 2H (5.00),,,,
University of California Berkeley,De Anza College,ASTRON 7A,Not Articulated,,,,,,,
University of California Berkeley,De Anza College,ASTRON 7B,Not Articulated,,,,,,,
University of California Berkeley,De Anza College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 6A (6.00); BIOL 6B (6.00),BIOL 6AH (6.00); BIOL 6B (6.00),,,,,,
University of California Berkeley,De Anza College,BIOLOGY 1B,BIOL 6A (6.00); BIOL 6C (6.00),BIOL 6AH (6.00); BIOL 6C (6.00),BIOL 6A (6.00); BIOL 6CH (6.00),BIOL 6AH (6.00); BIOL 6CH (6.00),,,,
University of California Berkeley,De Anza College,CHEM 1A; CHEM 1AL; CHEM 1B,CHEM 1A (5.00); CHEM 1B (5.00); CHEM 1C (5.00),CHEM 1AH (5.00); CHEM 1BH (5.00); CHEM 1CH (5.00),,,,,,
University of California Berkeley,De Anza College,CHEM 3A; CHEM 3AL,CHEM 12A (5.00); CHEM 12B (5.00),,,,,,,
University of California Berkeley,De Anza College,CHEM 3B; CHEM 3BL,CHEM 12B (5.00); CHEM 12C (5.00),,,,,,,
University of California Berkeley,De Anza College,MCELLBI 32; MCELLBI 32L,BIOL 40A (5.00); BIOL 40B (5.00); BIOL 40C (5.00),,,,,,,
University of California Berkeley,De Anza College,PHYSICS 7C,PHYS 4C (6.00); PHYS 4D (6.00),,,,,,,
University of California Berkeley,De Anza College,COMPSCI 61A,Not Articulated,,,,,,,
University of California Berkeley,De Anza College,COMPSCI 61B,CIS 22C (4.50),CIS 22CH (4.50),CIS 26B (4.50),,,,,
University of California Berkeley,De Anza College,COMPSCI 61C,Not Articulated,,,,,,,
University of California Berkeley,De Anza College,COMPSCI 70,Not Articulated,,,,,,,
University of California Berkeley,De Anza College,EECS 16A,ENGR 37 (5.00); MATH 2A (5.00); MATH 2B (5.00),ENGR 37 (5.00); MATH 2AH (5.00); MATH 2BH (5.00),,,,,,
University of California Berkeley,De Anza College,EECS 16B,Not Articulated,,,,,,,
University of California Davis,De Anza College,ECS 020,MATH 22 (5.00),MATH 22H (5.00),,,,,,
University of California Davis,De Anza College,ECS 036A,CIS 22A (4.50),CIS 22B (4.50),CIS 22BH (4.50),CIS 26A (4.50),CIS 26B (4.50),CIS 27 (4.50),CIS 35A (4.50),CIS 36A (4.50)
University of California Davis,De Anza College,ECS 036B,CIS 22B (4.50),CIS 22BH (4.50),CIS 29 (4.50),CIS 35A (4.50),CIS 36B (4.50),,,
University of California Davis,De Anza College,ECS 036C,CIS 22C (4.50),CIS 22CH (4.50),,,,,,
University of California Davis,De Anza College,ECS 050,CIS 21JA (4.50),,,,,,,
University of California Davis,De Anza College,MAT 021A,MATH 1A (5.00),MATH 1AH (5.00),,,,,,
University of California Davis,De Anza College,MAT 021B,MATH 1B (5.00),MATH 1BH (5.00),,,,,,
University of California Davis,De Anza College,MAT 021C,MATH 1C (5.00),MATH 1CH (5.00),,,,,,
University of California Davis,De Anza College,MAT 022A,MATH 2B (5.00),MATH 2BH (5.00),,,,,,
University of California Davis,De Anza College,MAT 027A,Not Articulated,,,,,,,
University of California Davis,De Anza College,MAT 067,Not Articulated,,,,,,,
University of California Davis,De Anza College,BIS 002A,BIOL 6B (6.00),,,,,,,
University of California Davis,De Anza College,BIS 002B,BIOL 6C (6.00),BIOL 6CH (6.00),,,,,,
University of California Davis,De Anza College,BIS 002C,BIOL 6A (6.00),BIOL 6AH (6.00),,,,,,
University of California Davis,De Anza College,CHE 002A; CHE 002B,CHEM 1A (5.00); CHEM 1B (5.00),CHEM 1A (5.00); CHEM 1BH (5.00),CHEM 1AH (5.00); CHEM 1B (5.00),CHEM 1AH (5.00); CHEM 1BH (5.00),,,,
University of California Davis,De Anza College,CHE 002C,CHEM 1C (5.00),CHEM 1CH (5.00),,,,,,
University of California Davis,De Anza College,CHE 004A,CHEM 1AH (5.00),,,,,,,
University of California Davis,De Anza College,CHE 004B,CHEM 1BH (5.00),,,,,,,
University of California Davis,De Anza College,CHE 004C,CHEM 1CH (5.00),,,,,,,
University of California Davis,De Anza College,PHY 009A,PHYS 4A (6.00),,,,,,,
University of California Davis,De Anza College,PHY 009B,PHYS 4C (6.00),,,,,,,
University of California Davis,De Anza College,PHY 009C,PHYS 4B (6.00),,,,,,,
University of California Irvine,De Anza College,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 40 (4.50); CIS 41A (4.50); CIS 41B (4.50),,,,,,,
University of California Irvine,De Anza College,MATH 2A,MATH 1A (5.00),MATH 1AH (5.00),,,,,,
University of California Irvine,De Anza College,MATH 2B,MATH 1B (5.00),MATH 1BH (5.00),,,,,,
University of California Irvine,De Anza College,MATH 3A,MATH 2B (5.00),MATH 2BH (5.00),,,,,,
University of California Irvine,De Anza College,I&C SCI 6N,Not Articulated,,,,,,,
University of California Irvine,De Anza College,I&C SCI 6B,MATH 22 (5.00); MATH 22H (5.00),,,,,,,
University of California Irvine,De Anza College,I&C SCI 6D,MATH 22 (5.00); MATH 22H (5.00),,,,,,,
University of California Irvine,De Anza College,I&C SCI 45C,CIS 22A (4.50); CIS 22B (4.50),CIS 29 (4.50),,,,,,
University of California Irvine,De Anza College,I&C SCI 46,CIS 22A (4.50); CIS 22B (4.50); CIS 22C (4.50),,,,,,,
University of California Irvine,De Anza College,I&C SCI 51,Not Articulated,,,,,,,
University of California Irvine,De Anza College,I&C SCI 53,Not Articulated,,,,,,,
University of California Irvine,De Anza College,IN4MATX 43,Not Articulated,,,,,,,
University of California Irvine,De Anza College,STATS 67,MATH 23 (5.00),,,,,,,
University of California Los Angeles,De Anza College,COM SCI 31,CIS 22B (4.50); CIS 22BH (4.50); CIS 29 (4.50),CIS 27 (4.50),CIS 22A (4.50),,,,,
University of California Los Angeles,De Anza College,COM SCI 32,CIS 22C (4.50),CIS 22CH (4.50),,,,,,
University of California Los Angeles,De Anza College,COM SCI 33,CIS 21JA (4.50),,,,,,,
University of California Los Angeles,De Anza College,COM SCI 35L,Not Articulated,,,,,,,
University of California Los Angeles,De Anza College,COM SCI M51A,Not Articulated,,,,,,,
University of California Los Angeles,De Anza College,EC ENGR M16,Not Articulated,,,,,,,
University of California Los Angeles,De Anza College,MATH 31A,MATH 1A (5.00),,,,,,,
University of California Los Angeles,De Anza College,MATH 31B,MATH 1B (5.00); MATH 1C (5.00),MATH 1B (5.00); MATH 1CH (5.00),MATH 1BH (5.00); MATH 1C (5.00),MATH 1BH (5.00); MATH 1CH (5.00),,,,
University of California Los Angeles,De Anza College,MATH 32A,MATH 1C (5.00),,,,,,,
University of California Los Angeles,De Anza College,MATH 32B,MATH 1D (5.00),,,,,,,
University of California Los Angeles,De Anza College,MATH 33A,MATH 2B (5.00),,,,,,,
University of California Los Angeles,De Anza College,MATH 33B,MATH 2A (5.00),,,,,,,
University of California Los Angeles,De Anza College,MATH 61,MATH 22 (5.00),,,,,,,
University of California Los Angeles,De Anza College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 4A (6.00); PHYS 4B (6.00); PHYS 4C (6.00),,,,,,,
University of California Los Angeles,De Anza College,PHYSICS 4AL,Not Articulated,,,,,,,
University of California Los Angeles,De Anza College,PHYSICS 4BL,Not Articulated,,,,,,,
University of California Los Angeles,De Anza College,ENGCOMP 3,EWRT 1A (5.00),EWRT 1AH (5.00),,,,,,
University of California Los Angeles,De Anza College,,COMM 9 (5.00),EWRT 1B (5.00),EWRT 1BH (5.00),EWRT 1C (5.00),EWRT 2 (5.00),PHIL 3 (5.00),,
University of California Los Angeles,De Anza College,,CIS 27 (4.50),CIS 29 (4.50),CIS 22A (4.50),CIS 22B (4.50),CIS 22BH (4.50),,,
University of California Merced,De Anza College,CSE 022,CIS 22A (4.50); CIS 22B (4.50),CIS 22A (4.50); CIS 22BH (4.50),CIS 36A (4.50); CIS 36B (4.50),CIS 26A (4.50),CIS 27 (4.50),CIS 41A (4.50),,
University of California Merced,De Anza College,CSE 030,CIS 22C (4.50),,,,,,,
University of California Merced,De Anza College,MATH 021,MATH 1A (5.00); MATH 1B (5.00),MATH 1AH (5.00); MATH 1BH (5.00),,,,,,
University of California Merced,De Anza College,MATH 022,MATH 1B (5.00); MATH 1C (5.00),MATH 1BH (5.00); MATH 1CH (5.00),,,,,,
University of California Merced,De Anza College,MATH 023,MATH 1C (5.00); MATH 1D (5.00),MATH 1CH (5.00); MATH 1DH (5.00),,,,,,
University of California Merced,De Anza College,MATH 024,MATH 2A (5.00); MATH 2B (5.00),,,,,,,
University of California Merced,De Anza College,PHYS 008; PHYS 008L,PHYS 4A (6.00),,,,,,,
