UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,East Los Angeles College,MATH 1A,MATH 261 (5.00),,,
University of California Berkeley,East Los Angeles College,MATH 1B,MATH 262 (5.00),,,
University of California Berkeley,East Los Angeles College,MATH 53,MATH 263 (5.00),,,
University of California Berkeley,East Los Angeles College,MATH 54,MATH 270 (3.00); MATH 275 (3.00),,,
University of California Berkeley,East Los Angeles College,ENGLISH R1A,ENGLISH 101 (3.00); ENGLISH 101X (3.00); ENGLISH 101Y (3.50); ENGLISH 101Z (4.00); E.S.L. 110 (4.00),,,
University of California Berkeley,East Los Angeles College,ENGLISH R1B,ENGLISH 102 (3.00),,,
University of California Berkeley,East Los Angeles College,PHYSICS 7A,Not Articulated,,,
University of California Berkeley,East Los Angeles College,,PHYSICS 101 (5.00); PHYSICS 102 (5.00); PHYSICS 103 (5.00),,,
University of California Berkeley,East Los Angeles College,PHYSICS 7B,Not Articulated,,,
University of California Berkeley,East Los Angeles College,,PHYSICS 101 (5.00); PHYSICS 102 (5.00); PHYSICS 103 (5.00),,,
University of California Berkeley,East Los Angeles College,ASTRON 7A,Not Articulated,,,
University of California Berkeley,East Los Angeles College,ASTRON 7B,Not Articulated,,,
University of California Berkeley,East Los Angeles College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOLOGY 006 (5.00); BIOLOGY 007 (5.00),,,
University of California Berkeley,East Los Angeles College,CHEM 1A; CHEM 1AL; CHEM 1B,CHEM 101 (5.00); CHEM 102 (5.00),,,
University of California Berkeley,East Los Angeles College,CHEM 3A; CHEM 3AL; CHEM 3B; CHEM 3BL,CHEM 211 (5.00); CHEM 212 (5.00),,,
University of California Berkeley,East Los Angeles College,MCELLBI 32; MCELLBI 32L,PHYSIOL 001 (4.00),,,
University of California Berkeley,East Los Angeles College,PHYSICS 7C,Not Articulated,,,
University of California Berkeley,East Los Angeles College,,PHYSICS 101 (5.00); PHYSICS 102 (5.00); PHYSICS 103 (5.00),,,
University of California Berkeley,East Los Angeles College,COMPSCI 61A,Not Articulated,,,
University of California Berkeley,East Los Angeles College,COMPSCI 61B,MATH 273 (4.00),,,
University of California Berkeley,East Los Angeles College,COMPSCI 61C,Not Articulated,,,
University of California Berkeley,East Los Angeles College,COMPSCI 70,Not Articulated,,,
University of California Berkeley,East Los Angeles College,EECS 16A,Not Articulated,,,
University of California Berkeley,East Los Angeles College,EECS 16B,Not Articulated,,,
University of California Davis,East Los Angeles College,ECS 020,MATH 272 (5.00),,,
University of California Davis,East Los Angeles College,ECS 036A,CS 113 (3.00),MATH 173 (4.00),MATH 273 (4.00),
University of California Davis,East Los Angeles College,ECS 036B,CS 116 (3.00),,,
University of California Davis,East Los Angeles College,ECS 036C,Not Articulated,,,
University of California Davis,East Los Angeles College,ECS 050,Not Articulated,,,
University of California Davis,East Los Angeles College,MAT 021A,MATH 261 (5.00),,,
University of California Davis,East Los Angeles College,MAT 021B,MATH 262 (5.00),,,
University of California Davis,East Los Angeles College,MAT 021C,MATH 263 (5.00),,,
University of California Davis,East Los Angeles College,MAT 022A,MATH 270 (3.00),,,
