UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7
University of California Berkeley,El Camino College,MATH 1A,MATH 190 (5.00),,,,,,
University of California Berkeley,El Camino College,MATH 1B,MATH 191 (5.00),,,,,,
University of California Berkeley,El Camino College,MATH 53,MATH 220 (5.00),,,,,,
University of California Berkeley,El Camino College,MATH 54,MATH 270 (5.00),,,,,,
University of California Berkeley,El Camino College,PHYSICS 7A,PHYS 1A (4.00); PHYS 1B (3.00),,,,,,
University of California Berkeley,El Camino College,PHYSICS 7B,PHYS 1B (3.00); PHYS 1C (4.00),,,,,,
University of California Berkeley,El Camino College,ENGLISH R1A,ENGL 1A (4.00),ENGL 1AH (4.00),,,,,
University of California Berkeley,El Camino College,ENGLISH R1B,ENGL 1B (3.00),ENGL 1BH (3.00),,,,,
University of California Berkeley,El Camino College,ASTRON 7A,Not Articulated,,,,,,
University of California Berkeley,El Camino College,ASTRON 7B,Not Articulated,,,,,,
University of California Berkeley,El Camino College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOL 120 (5.00); BIOL 110 (5.00); BIOL 130 (3.00),,,,,,
University of California Berkeley,El Camino College,CHEM 1A; CHEM 1AL,CHEM 1A (5.00),,,,,,
University of California Berkeley,El Camino College,CHEM 1B,CHEM 1B (5.00),,,,,,
University of California Berkeley,El Camino College,CHEM 3A; CHEM 3AL,CHEM 7A (5.00),,,,,,
University of California Berkeley,El Camino College,CHEM 3B; CHEM 3BL,CHEM 7B (5.00),,,,,,
University of California Berkeley,El Camino College,MCELLBI 32; MCELLBI 32L,PHYO 31 (4.00),,,,,,
University of California Berkeley,El Camino College,PHYSICS 7C,PHYS 1D (4.00),,,,,,
University of California Berkeley,El Camino College,COMPSCI 61A,Not Articulated,,,,,,
University of California Berkeley,El Camino College,COMPSCI 61B,CSCI 2 (5.00); CSCI 30 (4.00),,,,,,
University of California Berkeley,El Camino College,COMPSCI 61C,Not Articulated,,,,,,
University of California Berkeley,El Camino College,COMPSCI 70,Not Articulated,,,,,,
University of California Berkeley,El Camino College,EECS 16A,Not Articulated,,,,,,
University of California Berkeley,El Camino College,EECS 16B,Not Articulated,,,,,,
University of California Davis,El Camino College,ECS 020,MATH 210 (5.00),,,,,,
University of California Davis,El Camino College,ECS 036A,CSCI 1 (4.00),CSCI 3 (4.00),,,,,
University of California Davis,El Camino College,ECS 036B,CSCI 30 (4.00),,,,,,
University of California Davis,El Camino College,ECS 036C,CSCI 2 (5.00),,,,,,
University of California Davis,El Camino College,ECS 050,Not Articulated,,,,,,
University of California Davis,El Camino College,MAT 021A,MATH 190 (5.00),,,,,,
University of California Davis,El Camino College,MAT 021B,MATH 190 (5.00); MATH 191 (5.00),,,,,,
University of California Davis,El Camino College,MAT 021C,MATH 191 (5.00); MATH 220 (5.00),,,,,,
University of California Davis,El Camino College,MAT 022A,MATH 270 (5.00),,,,,,
University of California Davis,El Camino College,MAT 027A,Not Articulated,,,,,,
University of California Davis,El Camino College,MAT 067,Not Articulated,,,,,,
University of California Davis,El Camino College,BIS 002A,BIOL 110 (5.00),BIOL 110H (5.00),,,,,
University of California Davis,El Camino College,BIS 002B,BIOL 120 (5.00),BIOL 120H (5.00),,,,,
University of California Davis,El Camino College,BIS 002C,BIOL 120 (5.00); BIOL 110 (5.00),BIOL 110H (5.00); BIOL 120H (5.00),,,,,
University of California Davis,El Camino College,CHE 002A; CHE 002B; CHE 002C,CHEM 1A (5.00); CHEM 1B (5.00),,,,,,
University of California Davis,El Camino College,CHE 004A,Not Articulated,,,,,,
University of California Davis,El Camino College,CHE 004B,Not Articulated,,,,,,
University of California Davis,El Camino College,CHE 004C,Not Articulated,,,,,,
University of California Davis,El Camino College,PHY 009A,PHYS 1A (4.00),,,,,,
University of California Davis,El Camino College,PHY 009B,PHYS 1B (3.00); PHYS 1D (4.00),,,,,,
University of California Davis,El Camino College,PHY 009C,PHYS 1C (4.00),,,,,,
University of California Irvine,El Camino College,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 1 (4.00); CSCI 30 (4.00),,,,,,
University of California Irvine,El Camino College,MATH 2A,MATH 190 (5.00),,,,,,
University of California Irvine,El Camino College,MATH 2B,MATH 191 (5.00),,,,,,
University of California Irvine,El Camino College,MATH 3A,MATH 270 (5.00),,,,,,
University of California Irvine,El Camino College,I&C SCI 6N,Not Articulated,,,,,,
University of California Irvine,El Camino College,I&C SCI 6B,Not Articulated,,,,,,
University of California Irvine,El Camino College,I&C SCI 6D,MATH 210 (5.00),,,,,,
University of California Irvine,El Camino College,I&C SCI 45C,Not Articulated,,,,,,
University of California Irvine,El Camino College,I&C SCI 46,CSCI 2 (5.00),,,,,,
University of California Irvine,El Camino College,I&C SCI 51,Not Articulated,,,,,,
University of California Irvine,El Camino College,I&C SCI 53,Not Articulated,,,,,,
University of California Irvine,El Camino College,IN4MATX 43,Not Articulated,,,,,,
University of California Irvine,El Camino College,STATS 67,Not Articulated,,,,,,
University of California Los Angeles,El Camino College,COM SCI 31,CSCI 1 (4.00); CSCI 2 (5.00),CSCI 30 (4.00),,,,,
University of California Los Angeles,El Camino College,COM SCI 32,CSCI 2 (5.00),,,,,,
University of California Los Angeles,El Camino College,COM SCI 33,CSCI 16 (4.00),,,,,,
University of California Los Angeles,El Camino College,COM SCI 35L,Not Articulated,,,,,,
University of California Los Angeles,El Camino College,COM SCI M51A,Not Articulated,,,,,,
University of California Los Angeles,El Camino College,EC ENGR M16,Not Articulated,,,,,,
University of California Los Angeles,El Camino College,MATH 31A,MATH 190 (5.00),,,,,,
University of California Los Angeles,El Camino College,MATH 31B,MATH 191 (5.00),,,,,,
University of California Los Angeles,El Camino College,MATH 32A,MATH 220 (5.00),,,,,,
University of California Los Angeles,El Camino College,MATH 32B,MATH 220 (5.00),,,,,,
University of California Los Angeles,El Camino College,MATH 33A,MATH 270 (5.00),,,,,,
University of California Los Angeles,El Camino College,MATH 33B,MATH 270 (5.00),,,,,,
University of California Los Angeles,El Camino College,MATH 61,MATH 210 (5.00),,,,,,
University of California Los Angeles,El Camino College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 1A (4.00); PHYS 1C (4.00); PHYS 1D (4.00),,,,,,
University of California Los Angeles,El Camino College,PHYSICS 4AL,Not Articulated,,,,,,
University of California Los Angeles,El Camino College,PHYSICS 4BL,Not Articulated,,,,,,
University of California Los Angeles,El Camino College,ENGCOMP 3,ENGL 1A (4.00),,,,,,
University of California Los Angeles,El Camino College,,ENGL 1B (3.00),ENGL 1BH (3.00),ENGL 1C (4.00),ENGL 1CH (4.00),PHIL 105 (3.00),PSYC 103 (3.00),
University of California Los Angeles,El Camino College,,CSCI 2 (5.00); CSCI 3 (4.00),CSCI 1 (4.00),CSCI 30 (4.00),,,,
University of California Merced,El Camino College,CSE 022,CSCI 1 (4.00),CSCI 3 (4.00),CSCI 14 (4.00),,,,
University of California Merced,El Camino College,CSE 030,CSCI 2 (5.00),,,,,,
University of California Merced,El Camino College,MATH 021,MATH 190 (5.00),,,,,,
University of California Merced,El Camino College,MATH 022,MATH 191 (5.00),,,,,,
University of California Merced,El Camino College,MATH 023,MATH 220 (5.00),,,,,,
University of California Merced,El Camino College,MATH 024,MATH 270 (5.00),,,,,,
University of California Merced,El Camino College,PHYS 008; PHYS 008L,PHYS 1A (4.00); PHYS 1B (3.00),,,,,,
University of California Merced,El Camino College,PHYS 009; PHYS 009L,PHYS 1B (3.00); PHYS 1C (4.00),,,,,,
University of California Merced,El Camino College,CSE 015,MATH 210 (5.00),,,,,,
University of California Merced,El Camino College,CSE 022,CSCI 1 (4.00),CSCI 3 (4.00),CSCI 14 (4.00),,,,
University of California Merced,El Camino College,CSE 024,CSCI 30 (4.00),,,,,,
University of California Merced,El Camino College,CSE 030,CSCI 2 (5.00),,,,,,
University of California Merced,El Camino College,CSE 031,Not Articulated,,,,,,
University of California Merced,El Camino College,ENGR 065,ENGR 11 (3.00); ENGR 12 (1.00); MATH 270 (5.00),,,,,,
University of California Merced,El Camino College,ENGR 091,Not Articulated,,,,,,
University of California Merced,El Camino College,MATH 032,Not Articulated,,,,,,
University of California Merced,El Camino College,ENGR 080,Not Articulated,,,,,,
University of California Merced,El Camino College,WRI 001,ENGL 1A (4.00),ENGL 1AH (4.00),,,,,
University of California Merced,El Camino College,WRI 010,ENGL 1B (3.00),ENGL 1C (4.00),ENGL 1CH (4.00),PHIL 105 (3.00),PHIL 105H (3.00),PSYC 103 (3.00),PSYC 103H (3.00)
University of California Riverside,El Camino College,CS 10A,CSCI 1 (4.00),CSCI 3 (4.00),,,,,
University of California Riverside,El Camino College,CS 10B,CSCI 30 (4.00),,,,,,
University of California Riverside,El Camino College,MATH 9A; MATH 9B; MATH 9C,MATH 190 (5.00); MATH 191 (5.00),,,,,,
University of California Riverside,El Camino College,PHYS 40A,PHYS 1A (4.00),,,,,,
University of California Riverside,El Camino College,CS 11,MATH 210 (5.00),,,,,,
University of California Riverside,El Camino College,CS 10C,CSCI 2 (5.00),,,,,,
University of California Riverside,El Camino College,CS 61,Not Articulated,,,,,,
University of California Riverside,El Camino College,MATH 10A,MATH 220 (5.00),,,,,,
University of California Riverside,El Camino College,PHYS 40B,PHYS 1B (3.00),,,,,,
University of California Riverside,El Camino College,PHYS 40C,PHYS 1C (4.00),,,,,,
University of California Riverside,El Camino College,EE 20B,Not Articulated,,,,,,
University of California Riverside,El Camino College,MATH 31,MATH 270 (5.00),,,,,,
University of California San Diego,El Camino College,CSE 8A,CSCI 1 (4.00),,,,,,
University of California San Diego,El Camino College,CSE 8B,Not Articulated,,,,,,
University of California San Diego,El Camino College,CSE 11,CSCI 3 (4.00),,,,,,
University of California San Diego,El Camino College,CSE 12,CSCI 2 (5.00),,,,,,
University of California San Diego,El Camino College,CSE 15L,Not Articulated,,,,,,
University of California San Diego,El Camino College,CSE 20,MATH 210 (5.00),,,,,,
University of California San Diego,El Camino College,CSE 21,Not Articulated,,,,,,
University of California San Diego,El Camino College,CSE 30,Not Articulated,,,,,,
University of California San Diego,El Camino College,MATH 18,MATH 270 (5.00),,,,,,
University of California San Diego,El Camino College,MATH 20A,MATH 190 (5.00),,,,,,
University of California San Diego,El Camino College,MATH 20B,MATH 191 (5.00),,,,,,
University of California San Diego,El Camino College,MATH 20C,MATH 220 (5.00),,,,,,
University of California San Diego,El Camino College,BILD 1,BIOL 110 (5.00); BIOL 120 (5.00),BIOL 110H (5.00); BIOL 120H (5.00),,,,,
University of California San Diego,El Camino College,BILD 2,BIOL 110 (5.00); BIOL 120 (5.00),BIOL 110H (5.00); BIOL 120H (5.00),,,,,
University of California San Diego,El Camino College,BILD 3,BIOL 110 (5.00); BIOL 120 (5.00),BIOL 110H (5.00); BIOL 120H (5.00),,,,,
University of California San Diego,El Camino College,CHEM 6A,CHEM 1A (5.00),,,,,,
University of California San Diego,El Camino College,CHEM 6B,CHEM 1A (5.00); CHEM 1B (5.00),,,,,,
University of California San Diego,El Camino College,PHYS 2A,PHYS 1A (4.00),,,,,,
University of California San Diego,El Camino College,PHYS 2B,PHYS 1C (4.00),,,,,,
University of California San Diego,El Camino College,PHYS 4A,Not Articulated,,,,,,
University of California San Diego,El Camino College,PHYS 4B,Not Articulated,,,,,,
University of California Santa Barbara,El Camino College,MATH 3A,MATH 190 (5.00),,,,,,
University of California Santa Barbara,El Camino College,MATH 3B,MATH 191 (5.00),,,,,,
University of California Santa Barbara,El Camino College,MATH 4A,MATH 270 (5.00),,,,,,
University of California Santa Barbara,El Camino College,MATH 4B,MATH 270 (5.00),,,,,,
University of California Santa Barbara,El Camino College,CMPSC 16,CSCI 1 (4.00),CSCI 1H (4.00),,,,,
University of California Santa Barbara,El Camino College,CMPSC 24,CSCI 2 (5.00),,,,,,
University of California Santa Barbara,El Camino College,CMPSC 40,MATH 210 (5.00),,,,,,
University of California Santa Barbara,El Camino College,CMPSC 32,CSCI 30 (4.00),,,,,,
University of California Santa Barbara,El Camino College,CMPSC 64,CSCI 16 (4.00),,,,,,
University of California Santa Barbara,El Camino College,MATH 6A,MATH 220 (5.00),,,,,,
University of California Santa Barbara,El Camino College,PHYS 1,PHYS 1A (4.00),,,,,,
University of California Santa Barbara,El Camino College,PHYS 2,PHYS 1A (4.00); PHYS 1B (3.00),,,,,,
University of California Santa Barbara,El Camino College,PHYS 3; PHYS 3L,PHYS 1A (4.00); PHYS 1B (3.00); PHYS 1C (4.00),,,,,,
University of California Santa Barbara,El Camino College,PHYS 6A; PHYS 6AL; PHYS 6B; PHYS 6BL; PHYS 6C; PHYS 6CL,PHYS 3A (5.00); PHYS 3B (5.00),PHYS 2A (4.00); PHYS 2B (4.00),,,,,
University of California Santa Barbara,El Camino College,PHYS 7A,PHYS 1A (4.00),,,,,,
University of California Santa Barbara,El Camino College,PHYS 7B,PHYS 1A (4.00); PHYS 1B (3.00); PHYS 1C (4.00),,,,,,
University of California Santa Barbara,El Camino College,PHYS 7C,PHYS 1C (4.00); PHYS 1D (4.00),,,,,,
University of California Santa Barbara,El Camino College,PHYS 7D,PHYS 1B (3.00); PHYS 1D (4.00),,,,,,
University of California Santa Barbara,El Camino College,PHYS 7L,PHYS 1A (4.00); PHYS 1C (4.00),,,,,,
University of California Santa Barbara,El Camino College,CHEM 1A; CHEM 1AL; CHEM 1B; CHEM 1BL; CHEM 1C; CHEM 1CL,CHEM 1A (5.00); CHEM 1B (5.00),,,,,,
University of California Santa Barbara,El Camino College,MCDB 1A; MCDB 1LL,BIOL 110 (5.00); BIOL 110H (5.00),BIOL 120 (5.00); BIOL 120H (5.00),BIOL 130 (3.00),,,,
University of California Santa Barbara,El Camino College,MCDB 1B,BIOL 110 (5.00); BIOL 110H (5.00),BIOL 120 (5.00); BIOL 120H (5.00),BIOL 130 (3.00),,,,
University of California Santa Barbara,El Camino College,PSTAT 120A,Not Articulated,,,,,,
University of California Santa Cruz,El Camino College,CSE 12,CSCI 16 (4.00),,,,,,
University of California Santa Cruz,El Camino College,CSE 16,MATH 210 (5.00),,,,,,
University of California Santa Cruz,El Camino College,CSE 30,CSCI 2 (5.00),,,,,,
University of California Santa Cruz,El Camino College,MATH 19A,MATH 190 (5.00),,,,,,
University of California Santa Cruz,El Camino College,MATH 19B,MATH 191 (5.00),,,,,,
University of California Santa Cruz,El Camino College,AM 10,MATH 270 (5.00),,,,,,
University of California Santa Cruz,El Camino College,MATH 21,MATH 270 (5.00),,,,,,
University of California Santa Cruz,El Camino College,AM 30,MATH 220 (5.00),,,,,,
University of California Santa Cruz,El Camino College,MATH 23A,MATH 220 (5.00),,,,,,
