UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
University of California Berkeley,Evergreen Valley College,MATH 1A,MATH 071 (5.00),MATH 066 (4.00),,,
University of California Berkeley,Evergreen Valley College,MATH 1B,MATH 072 (5.00),MATH 067 (4.00),,,
University of California Berkeley,Evergreen Valley College,MATH 53,MATH 073 (5.00),,,,
University of California Berkeley,Evergreen Valley College,MATH 54,MATH 078 (4.00); MATH 079 (3.00),,,,
University of California Berkeley,Evergreen Valley College,PHYSICS 7A,PHYS 004A (5.00),PHYS 007A (4.00),,,
University of California Berkeley,Evergreen Valley College,PHYSICS 7B,PHYS 004B (5.00),PHYS 007B (4.00),,,
University of California Berkeley,Evergreen Valley College,ENGLISH R1A,ENGL 001A (3.00),,,,
University of California Berkeley,Evergreen Valley College,ENGLISH R1B,ENGL 001B (3.00),ENGL 001C (3.00),,,
University of California Berkeley,Evergreen Valley College,ASTRON 7A,Not Articulated,,,,
University of California Berkeley,Evergreen Valley College,ASTRON 7B,Not Articulated,,,,
University of California Berkeley,Evergreen Valley College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 004A (5.00); BIOL 004B (5.00),,,,
University of California Berkeley,Evergreen Valley College,BIOLOGY 1B,BIOL 004B (5.00),,,,
University of California Berkeley,Evergreen Valley College,CHEM 1A; CHEM 1AL,CHEM 001A (5.00),,,,
University of California Berkeley,Evergreen Valley College,CHEM 1B,CHEM 001B (5.00),,,,
University of California Berkeley,Evergreen Valley College,CHEM 3A; CHEM 3AL,CHEM 012A (5.00),,,,
University of California Berkeley,Evergreen Valley College,CHEM 3B; CHEM 3BL,CHEM 012B (5.00),,,,
University of California Berkeley,Evergreen Valley College,MCELLBI 32; MCELLBI 32L,Not Articulated,,,,
University of California Berkeley,Evergreen Valley College,PHYSICS 7C,PHYS 004C (5.00),,,,
University of California Berkeley,Evergreen Valley College,COMPSCI 61A,COMSC 078 (4.00),,,,
University of California Berkeley,Evergreen Valley College,COMPSCI 61B,COMSC 076 (3.00),,,,
University of California Berkeley,Evergreen Valley College,COMPSCI 61C,Not Articulated,,,,
University of California Berkeley,Evergreen Valley College,COMPSCI 70,Not Articulated,,,,
University of California Berkeley,Evergreen Valley College,EECS 16A,Not Articulated,,,,
University of California Berkeley,Evergreen Valley College,EECS 16B,Not Articulated,,,,
University of California Davis,Evergreen Valley College,ECS 020,COMSC 080 (3.00),MATH 070 (4.00),,,
University of California Davis,Evergreen Valley College,ECS 036A,ENGR 050 (4.00),,,,
University of California Davis,Evergreen Valley College,ECS 036B,Not Articulated,,,,
University of California Davis,Evergreen Valley College,ECS 036C,Not Articulated,,,,
