UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2
University of California Berkeley,Feather River College,MATH 1A,MATH 218 (4.00),
University of California Berkeley,Feather River College,MATH 1B,MATH 220 (4.00),
University of California Berkeley,Feather River College,MATH 53,MATH 222 (4.00),
University of California Berkeley,Feather River College,MATH 54,Not Articulated,
University of California Berkeley,Feather River College,PHYSICS 7A,PHYS 202 (4.00),
University of California Berkeley,Feather River College,ENGLISH R1A,ENGL 101 (3.00),
University of California Berkeley,Feather River College,ENGLISH R1B,ENGL 102 (3.00),ENGL 103 (3.00)
University of California Berkeley,Feather River College,PHYSICS 7B,Not Articulated,
University of California Berkeley,Feather River College,,PHYS 204 (4.00); PHYS 206 (4.00),
University of California Berkeley,Feather River College,ASTRON 7A,Not Articulated,
University of California Berkeley,Feather River College,ASTRON 7B,Not Articulated,
University of California Berkeley,Feather River College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 102 (4.00); BIOL 104 (4.00),
University of California Berkeley,Feather River College,BIOLOGY 1B,BIOL 102 (4.00); BIOL 106 (4.00),
University of California Berkeley,Feather River College,CHEM 1A; CHEM 1AL,CHEM 102 (5.00),
University of California Berkeley,Feather River College,CHEM 1B,CHEM 104 (5.00),
University of California Berkeley,Feather River College,CHEM 3A; CHEM 3AL,Not Articulated,
University of California Berkeley,Feather River College,CHEM 3B; CHEM 3BL,Not Articulated,
University of California Berkeley,Feather River College,MCELLBI 32; MCELLBI 32L,Not Articulated,
University of California Berkeley,Feather River College,PHYSICS 7C,Not Articulated,
University of California Berkeley,Feather River College,,PHYS 204 (4.00); PHYS 206 (4.00),
University of California Berkeley,Feather River College,COMPSCI 61A,Not Articulated,
University of California Berkeley,Feather River College,COMPSCI 61B,Not Articulated,
University of California Berkeley,Feather River College,COMPSCI 61C,Not Articulated,
University of California Berkeley,Feather River College,COMPSCI 70,Not Articulated,
University of California Berkeley,Feather River College,EECS 16A,Not Articulated,
University of California Berkeley,Feather River College,EECS 16B,Not Articulated,
University of California Davis,Feather River College,ECS 020,Not Articulated,
University of California Davis,Feather River College,ECS 036A,Not Articulated,
University of California Davis,Feather River College,ECS 036B,Not Articulated,
University of California Davis,Feather River College,ECS 036C,Not Articulated,
University of California Davis,Feather River College,ECS 050,Not Articulated,
University of California Davis,Feather River College,MAT 021A,MATH 218 (4.00),
University of California Davis,Feather River College,MAT 021B,MATH 220 (4.00),
University of California Davis,Feather River College,MAT 021C,Not Articulated,
University of California Davis,Feather River College,MAT 022A,Not Articulated,
University of California Davis,Feather River College,MAT 027A,Not Articulated,
University of California Davis,Feather River College,MAT 067,Not Articulated,
University of California Davis,Feather River College,BIS 002A,BIOL 102 (4.00),
University of California Davis,Feather River College,BIS 002B,BIOL 102 (4.00); BIOL 104 (4.00); BIOL 106 (4.00),
University of California Davis,Feather River College,BIS 002C,BIOL 104 (4.00); BIOL 106 (4.00),
University of California Davis,Feather River College,CHE 002A; CHE 002B; CHE 002C,CHEM 102 (5.00); CHEM 104 (5.00),
University of California Davis,Feather River College,CHE 004A,Not Articulated,
University of California Davis,Feather River College,CHE 004B,Not Articulated,
University of California Davis,Feather River College,CHE 004C,Not Articulated,
University of California Davis,Feather River College,PHY 009A,Not Articulated,
University of California Davis,Feather River College,PHY 009B,Not Articulated,
University of California Davis,Feather River College,PHY 009C,Not Articulated,
