UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
University of California Berkeley,Folsom Lake College,MATH 1A,MATH 400 (5.00),,,,
University of California Berkeley,Folsom Lake College,MATH 1B,MATH 401 (5.00),,,,
University of California Berkeley,Folsom Lake College,MATH 53,MATH 402 (5.00),,,,
University of California Berkeley,Folsom Lake College,MATH 54,MATH 410 (3.00); MATH 420 (4.00),,,,
University of California Berkeley,Folsom Lake College,PHYSICS 7A,PHYS 411 (4.00),,,,
University of California Berkeley,Folsom Lake College,PHYSICS 7B,PHYS 421 (4.00),,,,
University of California Berkeley,Folsom Lake College,ENGLISH R1A,ENGWR 300 (3.00),,,,
University of California Berkeley,Folsom Lake College,ENGLISH R1B,ENGWR 301 (3.00),ENGWR 302 (3.00),,,
University of California Berkeley,Folsom Lake College,ASTRON 7A,Not Articulated,,,,
University of California Berkeley,Folsom Lake College,ASTRON 7B,Not Articulated,,,,
University of California Berkeley,Folsom Lake College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 400 (5.00); BIOL 420 (5.00),,,,
University of California Berkeley,Folsom Lake College,BIOLOGY 1B,BIOL 400 (5.00); BIOL 410 (5.00),BIOL 400 (5.00); BIOL 411 (4.00),,,
University of California Berkeley,Folsom Lake College,CHEM 1A; CHEM 1AL; CHEM 1B,CHEM 400 (5.00); CHEM 401 (5.00),,,,
University of California Berkeley,Folsom Lake College,CHEM 3A; CHEM 3AL,CHEM 420 (5.00),,,,
University of California Berkeley,Folsom Lake College,CHEM 3B; CHEM 3BL,CHEM 421 (5.00),,,,
University of California Berkeley,Folsom Lake College,MCELLBI 32; MCELLBI 32L,BIOL 430 (5.00); BIOL 431 (5.00),,,,
University of California Berkeley,Folsom Lake College,PHYSICS 7C,PHYS 431 (4.00),,,,
University of California Berkeley,Folsom Lake College,COMPSCI 61A,Not Articulated,,,,
University of California Berkeley,Folsom Lake College,COMPSCI 61B,CISP 430 (4.00),,,,
University of California Berkeley,Folsom Lake College,COMPSCI 61C,Not Articulated,,,,
University of California Berkeley,Folsom Lake College,COMPSCI 70,Not Articulated,,,,
University of California Berkeley,Folsom Lake College,EECS 16A,Not Articulated,,,,
University of California Berkeley,Folsom Lake College,EECS 16B,Not Articulated,,,,
University of California Davis,Folsom Lake College,ECS 020,CISP 440 (3.00),,,,
University of California Davis,Folsom Lake College,ECS 036A,CISP 360 (4.00),,,,
University of California Davis,Folsom Lake College,ECS 036B,CISP 400 (4.00),CISP 401 (4.00),,,
University of California Davis,Folsom Lake College,ECS 036C,CISP 430 (4.00),,,,
University of California Davis,Folsom Lake College,ECS 050,CISP 310 (4.00),,,,
University of California Davis,Folsom Lake College,MAT 021A,MATH 400 (5.00),,,,
University of California Davis,Folsom Lake College,MAT 021B,MATH 401 (5.00),,,,
University of California Davis,Folsom Lake College,MAT 021C; MAT 021D,MATH 402 (5.00),,,,
University of California Davis,Folsom Lake College,MAT 022A,MATH 410 (3.00),,,,
University of California Davis,Folsom Lake College,MAT 027A,Not Articulated,,,,
University of California Davis,Folsom Lake College,MAT 067,Not Articulated,,,,
University of California Davis,Folsom Lake College,BIS 002A; BIS 002B; BIS 002C,BIOL 400 (5.00); BIOL 410 (5.00); BIOL 420 (5.00),BIOL 400 (5.00); BIOL 411 (4.00); BIOL 420 (5.00),,,
University of California Davis,Folsom Lake College,CHE 002A; CHE 002B; CHE 002C,CHEM 400 (5.00); CHEM 401 (5.00),,,,
University of California Davis,Folsom Lake College,CHE 004A,Not Articulated,,,,
University of California Davis,Folsom Lake College,CHE 004B,Not Articulated,,,,
University of California Davis,Folsom Lake College,CHE 004C,Not Articulated,,,,
University of California Davis,Folsom Lake College,PHY 009A,PHYS 411 (4.00),,,,
University of California Davis,Folsom Lake College,PHY 009B,PHYS 431 (4.00),,,,
University of California Davis,Folsom Lake College,PHY 009C,PHYS 421 (4.00),,,,
University of California Irvine,Folsom Lake College,I&C SCI 31; I&C SCI 32; I&C SCI 33,CISP 360 (4.00); CISP 400 (4.00); CISP 430 (4.00),,,,
University of California Irvine,Folsom Lake College,MATH 2A,MATH 400 (5.00),,,,
University of California Irvine,Folsom Lake College,MATH 2B,MATH 401 (5.00),,,,
University of California Irvine,Folsom Lake College,MATH 3A,MATH 410 (3.00),,,,
University of California Irvine,Folsom Lake College,I&C SCI 6N,Not Articulated,,,,
University of California Irvine,Folsom Lake College,I&C SCI 6B,CISP 440 (3.00),,,,
University of California Irvine,Folsom Lake College,I&C SCI 6D,Not Articulated,,,,
University of California Irvine,Folsom Lake College,I&C SCI 45C,CISP 360 (4.00); CISP 400 (4.00); CISP 430 (4.00),,,,
University of California Irvine,Folsom Lake College,I&C SCI 46,Not Articulated,,,,
University of California Irvine,Folsom Lake College,I&C SCI 51,Not Articulated,,,,
University of California Irvine,Folsom Lake College,I&C SCI 53,Not Articulated,,,,
University of California Irvine,Folsom Lake College,IN4MATX 43,Not Articulated,,,,
University of California Irvine,Folsom Lake College,STATS 67,Not Articulated,,,,
University of California Los Angeles,Folsom Lake College,COM SCI 31,CISP 360 (4.00),CISP 400 (4.00),,,
University of California Los Angeles,Folsom Lake College,COM SCI 32,CISP 430 (4.00),,,,
University of California Los Angeles,Folsom Lake College,COM SCI 33,CISP 310 (4.00),,,,
University of California Los Angeles,Folsom Lake College,COM SCI 35L,Not Articulated,,,,
University of California Los Angeles,Folsom Lake College,COM SCI M51A,ENGR 303 (4.00),,,,
University of California Los Angeles,Folsom Lake College,EC ENGR M16,Not Articulated,,,,
University of California Los Angeles,Folsom Lake College,MATH 31A,MATH 400 (5.00),,,,
University of California Los Angeles,Folsom Lake College,MATH 31B,MATH 401 (5.00),,,,
University of California Los Angeles,Folsom Lake College,MATH 32A,MATH 402 (5.00),,,,
University of California Los Angeles,Folsom Lake College,MATH 32B,MATH 402 (5.00),,,,
University of California Los Angeles,Folsom Lake College,MATH 33A,MATH 410 (3.00),,,,
University of California Los Angeles,Folsom Lake College,MATH 33B,MATH 420 (4.00),,,,
University of California Los Angeles,Folsom Lake College,MATH 61,CISP 440 (3.00),,,,
University of California Los Angeles,Folsom Lake College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 411 (4.00); PHYS 421 (4.00); PHYS 431 (4.00),,,,
University of California Los Angeles,Folsom Lake College,PHYSICS 4AL,Not Articulated,,,,
University of California Los Angeles,Folsom Lake College,PHYSICS 4BL,Not Articulated,,,,
University of California Los Angeles,Folsom Lake College,ENGCOMP 3,ENGWR 300 (3.00),,,,
University of California Los Angeles,Folsom Lake College,,ENGWR 301 (3.00),ENGWR 302 (3.00),,,
University of California Los Angeles,Folsom Lake College,,Not Articulated,,,,
University of California Merced,Folsom Lake College,CSE 022,CISP 360 (4.00),,,,
University of California Merced,Folsom Lake College,CSE 030,CISP 430 (4.00),,,,
University of California Merced,Folsom Lake College,MATH 021,MATH 400 (5.00),,,,
University of California Merced,Folsom Lake College,MATH 022,MATH 401 (5.00),,,,
University of California Merced,Folsom Lake College,MATH 023,MATH 402 (5.00),,,,
University of California Merced,Folsom Lake College,MATH 024,MATH 410 (3.00); MATH 420 (4.00),,,,
University of California Merced,Folsom Lake College,PHYS 008; PHYS 008L,PHYS 411 (4.00),,,,
University of California Merced,Folsom Lake College,PHYS 009; PHYS 009L,PHYS 421 (4.00),,,,
