UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
University of California Berkeley,Foothill College,MATH 1A,MATH 1A (5.00),MATH 1AH (5.00),,,
University of California Berkeley,Foothill College,MATH 1B,MATH 1B (5.00); MATH 1C (5.00),,,,
University of California Berkeley,Foothill College,MATH 53,MATH 1C (5.00); MATH 1D (5.00),,,,
University of California Berkeley,Foothill College,MATH 54,MATH 2A (5.00); MATH 2B (5.00),,,,
University of California Berkeley,Foothill College,PHYSICS 7A,PHYS 4A (6.00),,,,
University of California Berkeley,Foothill College,PHYSICS 7B,PHYS 4B (6.00); PHYS 4C (6.00),,,,
University of California Berkeley,Foothill College,ENGLISH R1A,ENGL 1A (5.00); ENGL 1B (5.00),ENGL 1AH (5.00); ENGL 1BH (5.00),ESLL 26 (5.00); ENGL 1B (5.00),ESLL 26 (5.00); ENGL 1BH (5.00),
University of California Berkeley,Foothill College,ENGLISH R1B,ENGL 1B (5.00); ENGL 1C (5.00),ENGL 1BH (5.00); ENGL 1CH (5.00),,,
University of California Berkeley,Foothill College,ASTRON 7A,Not Articulated,,,,
University of California Berkeley,Foothill College,ASTRON 7B,Not Articulated,,,,
University of California Berkeley,Foothill College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 1A (6.00); BIOL 1B (6.00),,,,
University of California Berkeley,Foothill College,BIOLOGY 1B,BIOL 1B (6.00); BIOL 1C (6.00),,,,
University of California Berkeley,Foothill College,CHEM 1A; CHEM 1AL,CHEM 1A (5.00); CHEM 1B (5.00),,,,
University of California Berkeley,Foothill College,CHEM 1B,CHEM 1B (5.00); CHEM 1C (5.00),,,,
University of California Berkeley,Foothill College,CHEM 3A; CHEM 3AL,CHEM 12A (4.00); CHEM 12AL (2.00); CHEM 12B (4.00); CHEM 12BL (2.00),,,,
University of California Berkeley,Foothill College,CHEM 3B; CHEM 3BL,CHEM 12B (4.00); CHEM 12BL (2.00); CHEM 12C (4.00); CHEM 12CL (2.00),,,,
University of California Berkeley,Foothill College,MCELLBI 32; MCELLBI 32L,BIOL 40A (5.00); BIOL 40B (5.00); BIOL 40C (5.00),,,,
University of California Berkeley,Foothill College,PHYSICS 7C,PHYS 4C (6.00); PHYS 4D (6.00),,,,
University of California Berkeley,Foothill College,COMPSCI 61A,Not Articulated,,,,
University of California Berkeley,Foothill College,COMPSCI 61B,C S 1B (4.50),C S 1C (4.50),C S 2C (4.50),,
University of California Berkeley,Foothill College,COMPSCI 61C,Not Articulated,,,,
University of California Berkeley,Foothill College,COMPSCI 70,Not Articulated,,,,
University of California Berkeley,Foothill College,EECS 16A,Not Articulated,,,,
University of California Berkeley,Foothill College,EECS 16B,Not Articulated,,,,
University of California Davis,Foothill College,ECS 020,C S 18 (5.00),MATH 22 (5.00),,,
University of California Davis,Foothill College,ECS 036A,C S 1A (4.50),C S 2A (4.50),,,
University of California Davis,Foothill College,ECS 036B,C S 1B (4.50),C S 2B (4.50),,,
University of California Davis,Foothill College,ECS 036C,C S 1C (4.50),C S 2C (4.50),,,
University of California Davis,Foothill College,ECS 050,C S 10 (4.50),,,,
University of California Davis,Foothill College,MAT 021A,MATH 1AH (5.00); MATH 1AHP (1.00),MATH 1A (5.00),,,
University of California Davis,Foothill College,MAT 021B,MATH 1B (5.00),,,,
University of California Davis,Foothill College,MAT 021C,MATH 1C (5.00),,,,
University of California Davis,Foothill College,MAT 022A,MATH 2B (5.00),,,,
University of California Davis,Foothill College,MAT 027A,Not Articulated,,,,
University of California Davis,Foothill College,MAT 067,Not Articulated,,,,
University of California Davis,Foothill College,BIS 002A,BIOL 1A (6.00),,,,
University of California Davis,Foothill College,BIS 002B,BIOL 1B (6.00); BIOL 1C (6.00),,,,
University of California Davis,Foothill College,BIS 002C,BIOL 1B (6.00); BIOL 1C (6.00),,,,
University of California Davis,Foothill College,CHE 002A; CHE 002B; CHE 002C,CHEM 1A (5.00); CHEM 1B (5.00); CHEM 1C (5.00),,,,
University of California Davis,Foothill College,CHE 004A,Not Articulated,,,,
University of California Davis,Foothill College,CHE 004B,Not Articulated,,,,
