UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6
University of California Berkeley,Fullerton College,MATH 1A,MATH 151 F (4.00),MATH 151HF (4.00),,,,
University of California Berkeley,Fullerton College,MATH 1B,MATH 152 F (4.00),MATH 152HF (4.00),,,,
University of California Berkeley,Fullerton College,MATH 53,MATH 251 F (4.00),,,,,
University of California Berkeley,Fullerton College,MATH 54,MATH 255 F (3.00); MATH 260 F (3.00),MATH 252 F (4.00),,,,
University of California Berkeley,Fullerton College,PHYSICS 7A,PHYS 221 F (4.00),,,,,
University of California Berkeley,Fullerton College,PHYSICS 7B,PHYS 222 F (4.00),,,,,
University of California Berkeley,Fullerton College,ENGLISH R1A,ENGL 100 F (4.00),ENGL 100HF (4.00),ENGL 101 F (5.00),,,
University of California Berkeley,Fullerton College,ENGLISH R1B,ENGL 103 F (4.00),ENGL 103HF (4.00),ENGL 201 F (3.00),,,
University of California Berkeley,Fullerton College,ASTRON 7A,Not Articulated,,,,,
University of California Berkeley,Fullerton College,ASTRON 7B,Not Articulated,,,,,
University of California Berkeley,Fullerton College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOL 170 F (5.00); BIOL 272 F (4.00); BIOL 274 F (4.00); BIOL 276 F (4.00),,,,,
University of California Berkeley,Fullerton College,CHEM 1A; CHEM 1AL,CHEM 111AF (5.00),,,,,
University of California Berkeley,Fullerton College,CHEM 1B,CHEM 111BF (5.00),,,,,
University of California Berkeley,Fullerton College,CHEM 3A; CHEM 3AL; CHEM 3B; CHEM 3BL,CHEM 211AF (5.00); CHEM 211BF (5.00),,,,,
University of California Berkeley,Fullerton College,MCELLBI 32; MCELLBI 32L,ANAT 240 F (5.00),,,,,
University of California Berkeley,Fullerton College,PHYSICS 7C,PHYS 223 F (4.00),,,,,
University of California Berkeley,Fullerton College,COMPSCI 61A,Not Articulated,,,,,
University of California Berkeley,Fullerton College,COMPSCI 61B,CSCI 133 F (4.00),,,,,
University of California Berkeley,Fullerton College,COMPSCI 61C,Not Articulated,,,,,
University of California Berkeley,Fullerton College,COMPSCI 70,Not Articulated,,,,,
University of California Berkeley,Fullerton College,EECS 16A,Not Articulated,,,,,
University of California Berkeley,Fullerton College,EECS 16B,Not Articulated,,,,,
University of California Davis,Fullerton College,ECS 020,MATH 171 F (4.00),MATH 172 F (4.00),,,,
University of California Davis,Fullerton College,ECS 036A,CSCI 123 F (4.00),CIS 223 F (3.00),CSCI 223 F (4.00),,,
University of California Davis,Fullerton College,ECS 036B,CSCI 133 F (4.00),,,,,
University of California Davis,Fullerton College,ECS 036C,Not Articulated,,,,,
University of California Davis,Fullerton College,ECS 050,CSCI 241 F (4.00),,,,,
University of California Davis,Fullerton College,MAT 021A,MATH 151 F (4.00),MATH 151HF (4.00),,,,
University of California Davis,Fullerton College,MAT 021B,MATH 152 F (4.00),,,,,
University of California Davis,Fullerton College,MAT 021C,MATH 251 F (4.00),,,,,
University of California Davis,Fullerton College,MAT 022A,MATH 252 F (4.00),MATH 255 F (3.00),,,,
University of California Davis,Fullerton College,MAT 027A,Not Articulated,,,,,
University of California Davis,Fullerton College,MAT 067,Not Articulated,,,,,
University of California Davis,Fullerton College,BIS 002A,BIOL 272 F (4.00),,,,,
University of California Davis,Fullerton College,BIS 002B,BIOL 170 F (5.00); BIOL 274 F (4.00),,,,,
University of California Davis,Fullerton College,BIS 002C,BIOL 170 F (5.00),,,,,
University of California Davis,Fullerton College,CHE 002A; CHE 002B; CHE 002C,CHEM 111AF (5.00); CHEM 111BF (5.00),,,,,
University of California Davis,Fullerton College,CHE 004A,Not Articulated,,,,,
University of California Davis,Fullerton College,CHE 004B,Not Articulated,,,,,
University of California Davis,Fullerton College,CHE 004C,Not Articulated,,,,,
University of California Davis,Fullerton College,PHY 009A,PHYS 221 F (4.00),,,,,
University of California Davis,Fullerton College,PHY 009B,PHYS 223 F (4.00),,,,,
University of California Davis,Fullerton College,PHY 009C,PHYS 222 F (4.00),,,,,
University of California Irvine,Fullerton College,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 123 F (4.00); CSCI 133 F (4.00),,,,,
University of California Irvine,Fullerton College,MATH 2A,MATH 151 F (4.00),MATH 151HF (4.00),,,,
University of California Irvine,Fullerton College,MATH 2B,MATH 152 F (4.00),MATH 152HF (4.00),,,,
University of California Irvine,Fullerton College,MATH 3A,MATH 172 F (4.00),MATH 252 F (4.00),MATH 253 F (2.00),MATH 255 F (3.00),,
University of California Irvine,Fullerton College,I&C SCI 6N,Not Articulated,,,,,
University of California Irvine,Fullerton College,I&C SCI 6B,Not Articulated,,,,,
University of California Irvine,Fullerton College,I&C SCI 6D,MATH 170 F (4.00); MATH 171 F (4.00),,,,,
University of California Irvine,Fullerton College,I&C SCI 45C,CSCI 123 F (4.00); CSCI 133 F (4.00); CSCI 223 F (4.00),,,,,
University of California Irvine,Fullerton College,I&C SCI 46,CSCI 123 F (4.00); CSCI 133 F (4.00); CSCI 223 F (4.00),,,,,
University of California Irvine,Fullerton College,I&C SCI 51,Not Articulated,,,,,
