UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,Glendale Community College,MATH 1A,MATH 103E (5.00),MATH 103EH (5.00),MATH 103E+ (6.00),
University of California Berkeley,Glendale Community College,MATH 1B,MATH 104E (5.00),MATH 104EH (5.00),,
University of California Berkeley,Glendale Community College,MATH 53,MATH 105 (5.00),MATH 105H (5.00),,
University of California Berkeley,Glendale Community College,MATH 54,MATH 107 (5.00); MATH 108 (5.00),MATH 107H (5.00); MATH 108H (5.00),,
University of California Berkeley,Glendale Community College,PHYSICS 7A,PHY 101 (5.00),PHY 101H (5.00),,
University of California Berkeley,Glendale Community College,PHYSICS 7B,PHY 102 (5.00); PHY 103 (5.00),,,
University of California Berkeley,Glendale Community College,ENGLISH R1A,ENGL 101 (4.00),ENGL 101H (4.00),ENGL 101+ (4.50),
University of California Berkeley,Glendale Community College,ENGLISH R1B,ENGL 102 (3.00),ENGL 102H (3.00),ENGL 104 (3.00),
University of California Berkeley,Glendale Community College,ASTRON 7A,Not Articulated,,,
University of California Berkeley,Glendale Community College,ASTRON 7B,Not Articulated,,,
University of California Berkeley,Glendale Community College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 101 (4.00); BIOL 102 (5.00),,,
University of California Berkeley,Glendale Community College,BIOLOGY 1B,BIOL 101 (4.00); BIOL 102 (5.00),,,
University of California Berkeley,Glendale Community College,CHEM 1A; CHEM 1AL,CHEM 101 (5.00),,,
University of California Berkeley,Glendale Community College,CHEM 1B,CHEM 102 (5.00),,,
University of California Berkeley,Glendale Community College,CHEM 3A; CHEM 3AL,CHEM 105 (5.00),,,
University of California Berkeley,Glendale Community College,CHEM 3B; CHEM 3BL,CHEM 106 (5.00),,,
University of California Berkeley,Glendale Community College,MCELLBI 32; MCELLBI 32L,BIOL 120 (5.00),BIOL 121 (4.00),,
University of California Berkeley,Glendale Community College,PHYSICS 7C,PHY 102 (5.00); PHY 103 (5.00),,,
University of California Berkeley,Glendale Community College,COMPSCI 61A,Not Articulated,,,
