UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Golden West College,MATH 1A,MATH G180 (4.00),,
University of California Berkeley,Golden West College,MATH 1B,MATH G185 (4.00),,
University of California Berkeley,Golden West College,MATH 53,MATH G280 (4.00),,
University of California Berkeley,Golden West College,MATH 54,MATH G285 (5.00),,
University of California Berkeley,Golden West College,PHYSICS 7A,PHYS G185 (4.00),,
University of California Berkeley,Golden West College,PHYSICS 7B,PHYS G280 (4.00),,
University of California Berkeley,Golden West College,ENGLISH R1A,ENGL G100 (4.00),ENGL G100S (6.00),
University of California Berkeley,Golden West College,ENGLISH R1B,ENGL G110 (4.00),PSYC G130 (3.00),
University of California Berkeley,Golden West College,ASTRON 7A,Not Articulated,,
University of California Berkeley,Golden West College,ASTRON 7B,Not Articulated,,
University of California Berkeley,Golden West College,BIOLOGY 1A; BIOLOGY 1AL,BIOL G180 (5.00); BIOL G182 (4.00),,
University of California Berkeley,Golden West College,BIOLOGY 1B,BIOL G182 (4.00); BIOL G183 (4.00),,
University of California Berkeley,Golden West College,CHEM 1A; CHEM 1AL,CHEM G180 (5.00),,
University of California Berkeley,Golden West College,CHEM 1B,CHEM G185 (5.00),,
University of California Berkeley,Golden West College,CHEM 3A; CHEM 3AL,CHEM G220 (5.00),,
University of California Berkeley,Golden West College,CHEM 3B; CHEM 3BL,CHEM G225 (5.00),,
University of California Berkeley,Golden West College,MCELLBI 32; MCELLBI 32L,BIOL G225 (4.00),,
University of California Berkeley,Golden West College,PHYSICS 7C,PHYS G285 (4.00),,
University of California Berkeley,Golden West College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,Golden West College,COMPSCI 61B,CS G154 (3.00),CS G189 (3.00),
University of California Berkeley,Golden West College,COMPSCI 61C,Not Articulated,,
University of California Berkeley,Golden West College,COMPSCI 70,Not Articulated,,
University of California Berkeley,Golden West College,EECS 16A,Not Articulated,,
University of California Berkeley,Golden West College,EECS 16B,Not Articulated,,
University of California Davis,Golden West College,ECS 020,CS G262 (3.00),,
University of California Davis,Golden West College,ECS 036A,CS G153 (3.00),CS G175 (3.00),
University of California Davis,Golden West College,ECS 036B,CS G189 (3.00),,
University of California Davis,Golden West College,ECS 036C,Not Articulated,,
University of California Davis,Golden West College,ECS 050,Not Articulated,,
University of California Davis,Golden West College,MAT 021A,MATH G180 (4.00),,
University of California Davis,Golden West College,MAT 021B; MAT 021C; MAT 021D,MATH G185 (4.00); MATH G280 (4.00),,
University of California Davis,Golden West College,MAT 022A,MATH G235 (4.00),MATH G285 (5.00),
University of California Davis,Golden West College,MAT 027A,Not Articulated,,
University of California Davis,Golden West College,MAT 067,Not Articulated,,
University of California Davis,Golden West College,BIS 002A,BIOL G180 (5.00),,
University of California Davis,Golden West College,BIS 002B,BIOL G182 (4.00); BIOL G183 (4.00),,
University of California Davis,Golden West College,BIS 002C,BIOL G182 (4.00); BIOL G183 (4.00),,
University of California Davis,Golden West College,CHE 002A; CHE 002B; CHE 002C,CHEM G180 (5.00); CHEM G185 (5.00),,
University of California Davis,Golden West College,CHE 004A,Not Articulated,,
University of California Davis,Golden West College,CHE 004B,Not Articulated,,
University of California Davis,Golden West College,CHE 004C,Not Articulated,,
University of California Davis,Golden West College,PHY 009A,PHYS G185 (4.00),,
University of California Davis,Golden West College,PHY 009B,PHYS G285 (4.00),,
University of California Davis,Golden West College,PHY 009C,PHYS G280 (4.00),,
University of California Irvine,Golden West College,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS G175 (3.00); CS G179 (4.00); CS G189 (3.00); CS G131 (3.00),,
University of California Irvine,Golden West College,MATH 2A,MATH G180 (4.00),,
University of California Irvine,Golden West College,MATH 2B,MATH G185 (4.00),,
University of California Irvine,Golden West College,MATH 3A,MATH G235 (4.00),MATH G285 (5.00),
University of California Irvine,Golden West College,I&C SCI 6N,Not Articulated,,
University of California Irvine,Golden West College,I&C SCI 6B,Not Articulated,,
University of California Irvine,Golden West College,I&C SCI 6D,CS G262 (3.00),,
University of California Irvine,Golden West College,I&C SCI 45C,CS G175 (3.00); CS G179 (4.00); CS G189 (3.00); CS G131 (3.00),,
University of California Irvine,Golden West College,I&C SCI 46,Not Articulated,,
University of California Irvine,Golden West College,I&C SCI 51,CS G242 (3.00),,
University of California Irvine,Golden West College,I&C SCI 53,Not Articulated,,
University of California Irvine,Golden West College,IN4MATX 43,Not Articulated,,
University of California Irvine,Golden West College,STATS 67,Not Articulated,,
University of California Los Angeles,Golden West College,COM SCI 31,CS G175 (3.00),,
University of California Los Angeles,Golden West College,COM SCI 32,Not Articulated,,
University of California Los Angeles,Golden West College,COM SCI 33,CS G242 (3.00),,
University of California Los Angeles,Golden West College,COM SCI 35L,Not Articulated,,
University of California Los Angeles,Golden West College,COM SCI M51A,Not Articulated,,
University of California Los Angeles,Golden West College,EC ENGR M16,Not Articulated,,
University of California Los Angeles,Golden West College,MATH 31A,MATH G180 (4.00),,
University of California Los Angeles,Golden West College,MATH 31B,MATH G185 (4.00),,
University of California Los Angeles,Golden West College,MATH 32A,MATH G280 (4.00),,
University of California Los Angeles,Golden West College,MATH 32B,MATH G280 (4.00),,
University of California Los Angeles,Golden West College,MATH 33A,MATH G235 (4.00),MATH G285 (5.00),
University of California Los Angeles,Golden West College,MATH 33B,MATH G285 (5.00),,
University of California Los Angeles,Golden West College,MATH 61,CS G262 (3.00),,
University of California Los Angeles,Golden West College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS G185 (4.00); PHYS G280 (4.00); PHYS G285 (4.00),,
University of California Los Angeles,Golden West College,PHYSICS 4AL,Not Articulated,,
University of California Los Angeles,Golden West College,PHYSICS 4BL,Not Articulated,,
University of California Los Angeles,Golden West College,ENGCOMP 3,ENGL G100 (4.00),,
University of California Los Angeles,Golden West College,,ENGL G110 (4.00),,
University of California Los Angeles,Golden West College,,CS G175 (3.00),,
University of California Merced,Golden West College,CSE 022,CS G131 (3.00),CS G153 (3.00),CS G175 (3.00)
University of California Merced,Golden West College,CSE 030,CS G189 (3.00),,
University of California Merced,Golden West College,MATH 021,MATH G180 (4.00),,
University of California Merced,Golden West College,MATH 022,MATH G185 (4.00),,
University of California Merced,Golden West College,MATH 023,MATH G280 (4.00),,
University of California Merced,Golden West College,MATH 024,MATH G285 (5.00),,
University of California Merced,Golden West College,PHYS 008; PHYS 008L,PHYS G185 (4.00),,
University of California Merced,Golden West College,PHYS 009; PHYS 009L,PHYS G280 (4.00),,
University of California Merced,Golden West College,CSE 015,CS G262 (3.00),,
University of California Merced,Golden West College,CSE 022,CS G131 (3.00),CS G153 (3.00),CS G175 (3.00)
University of California Merced,Golden West College,CSE 024,CS G179 (4.00),,
University of California Merced,Golden West College,CSE 030,CS G189 (3.00),,
University of California Merced,Golden West College,CSE 031,Not Articulated,,
University of California Merced,Golden West College,ENGR 065,Not Articulated,,
University of California Merced,Golden West College,ENGR 091,Not Articulated,,
University of California Merced,Golden West College,MATH 032,Not Articulated,,
University of California Merced,Golden West College,ENGR 080,Not Articulated,,
University of California Merced,Golden West College,WRI 001,ENGL G100 (4.00),ENGL G100S (6.00),
University of California Merced,Golden West College,WRI 010,ENGL G110 (4.00),PHIL G125 (3.00),PSYC G130 (3.00)
University of California Riverside,Golden West College,CS 10A,CS G153 (3.00),CS G175 (3.00),
University of California Riverside,Golden West College,CS 10B,CS G189 (3.00),,
University of California Riverside,Golden West College,MATH 9A; MATH 9B; MATH 9C,MATH G180 (4.00); MATH G185 (4.00),,
University of California Riverside,Golden West College,PHYS 40A,PHYS G185 (4.00),,
University of California Riverside,Golden West College,CS 11,CS G262 (3.00),,
University of California Riverside,Golden West College,CS 10C,Not Articulated,,
University of California Riverside,Golden West College,CS 61,Not Articulated,,
University of California Riverside,Golden West College,MATH 10A,MATH G280 (4.00),,
University of California Riverside,Golden West College,PHYS 40B,PHYS G185 (4.00); PHYS G285 (4.00),,
University of California Riverside,Golden West College,PHYS 40C,PHYS G280 (4.00),,
University of California Riverside,Golden West College,EE 20B,Not Articulated,,
University of California Riverside,Golden West College,MATH 31,MATH G235 (4.00),,
University of California San Diego,Golden West College,CSE 8A,CS G153 (3.00),CS G175 (3.00),
University of California San Diego,Golden West College,CSE 8B,CS G154 (3.00),,
University of California San Diego,Golden West College,CSE 11,CS G153 (3.00),,
University of California San Diego,Golden West College,CSE 12,CS G189 (3.00),,
University of California San Diego,Golden West College,CSE 15L,Not Articulated,,
University of California San Diego,Golden West College,CSE 20,CS G262 (3.00),,
University of California San Diego,Golden West College,CSE 21,Not Articulated,,
University of California San Diego,Golden West College,CSE 30,CS G242 (3.00),,
University of California San Diego,Golden West College,MATH 18,MATH G235 (4.00),MATH G285 (5.00),
University of California San Diego,Golden West College,MATH 20A,MATH G180 (4.00),,
University of California San Diego,Golden West College,MATH 20B,MATH G185 (4.00),,
University of California San Diego,Golden West College,MATH 20C,MATH G280 (4.00),,
University of California San Diego,Golden West College,BILD 1,BIOL G180 (5.00); BIOL G182 (4.00); BIOL G183 (4.00),BIOL G180 (5.00); BIOL G186 (5.00),
University of California San Diego,Golden West College,BILD 2,BIOL G180 (5.00); BIOL G182 (4.00); BIOL G183 (4.00),BIOL G180 (5.00); BIOL G186 (5.00),
University of California San Diego,Golden West College,BILD 3,BIOL G180 (5.00); BIOL G182 (4.00); BIOL G183 (4.00),BIOL G180 (5.00); BIOL G186 (5.00),
University of California San Diego,Golden West College,CHEM 6A,CHEM G180 (5.00),,
University of California San Diego,Golden West College,CHEM 6B,CHEM G180 (5.00); CHEM G185 (5.00),,
University of California San Diego,Golden West College,PHYS 2A,PHYS G185 (4.00),,
University of California San Diego,Golden West College,PHYS 2B,PHYS G280 (4.00),,
University of California San Diego,Golden West College,PHYS 4A,Not Articulated,,
University of California San Diego,Golden West College,PHYS 4B,Not Articulated,,
University of California Santa Barbara,Golden West College,MATH 3A,MATH G180 (4.00),,
University of California Santa Barbara,Golden West College,MATH 3B,MATH G185 (4.00),,
University of California Santa Barbara,Golden West College,MATH 4A,MATH G235 (4.00),MATH G285 (5.00),
University of California Santa Barbara,Golden West College,MATH 4B,MATH G285 (5.00),,
University of California Santa Barbara,Golden West College,CMPSC 16,CS G175 (3.00),,
University of California Santa Barbara,Golden West College,CMPSC 24,CS G189 (3.00),,
University of California Santa Barbara,Golden West College,CMPSC 40,CS G262 (3.00),,
University of California Santa Barbara,Golden West College,CMPSC 32,CS G179 (4.00),,
University of California Santa Barbara,Golden West College,CMPSC 64,Not Articulated,,
University of California Santa Barbara,Golden West College,MATH 6A,MATH G280 (4.00),,
University of California Santa Barbara,Golden West College,PHYS 1,PHYS G185 (4.00),,
University of California Santa Barbara,Golden West College,PHYS 2,PHYS G185 (4.00); PHYS G285 (4.00),,
University of California Santa Barbara,Golden West College,PHYS 3; PHYS 3L,PHYS G185 (4.00); PHYS G280 (4.00),,
University of California Santa Barbara,Golden West College,PHYS 6A; PHYS 6AL; PHYS 6B; PHYS 6BL; PHYS 6C; PHYS 6CL,PHYS G120 (4.00); PHYS G125 (4.00),,
University of California Santa Barbara,Golden West College,PHYS 7A,PHYS G185 (4.00),,
University of California Santa Barbara,Golden West College,PHYS 7B,PHYS G185 (4.00); PHYS G280 (4.00),,
University of California Santa Barbara,Golden West College,PHYS 7C,PHYS G280 (4.00); PHYS G285 (4.00),,
University of California Santa Barbara,Golden West College,PHYS 7D,PHYS G285 (4.00),,
University of California Santa Barbara,Golden West College,PHYS 7L,PHYS G185 (4.00); PHYS G280 (4.00),,
University of California Santa Barbara,Golden West College,CHEM 1A; CHEM 1AL; CHEM 1B; CHEM 1BL; CHEM 1C; CHEM 1CL,CHEM G180 (5.00); CHEM G185 (5.00),,
University of California Santa Barbara,Golden West College,MCDB 1A; MCDB 1LL,BIOL G180 (5.00); BIOL G182 (4.00); BIOL G183 (4.00),,
University of California Santa Barbara,Golden West College,MCDB 1B,BIOL G180 (5.00); BIOL G182 (4.00); BIOL G183 (4.00),,
University of California Santa Barbara,Golden West College,PSTAT 120A,Not Articulated,,
University of California Santa Cruz,Golden West College,CSE 12,Not Articulated,,
University of California Santa Cruz,Golden West College,CSE 16,CS G262 (3.00),,
University of California Santa Cruz,Golden West College,CSE 30,CS G189 (3.00),,
University of California Santa Cruz,Golden West College,MATH 19A,MATH G180 (4.00),,
University of California Santa Cruz,Golden West College,MATH 19B,MATH G185 (4.00),,
University of California Santa Cruz,Golden West College,AM 10,MATH G235 (4.00),MATH G285 (5.00),
