UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Hartnell College,MATH 1A,MAT 3A (4.00),,
University of California Berkeley,Hartnell College,MATH 1B,MAT 3B (4.00),,
University of California Berkeley,Hartnell College,MATH 53,MAT 3C (4.00),,
University of California Berkeley,Hartnell College,MATH 54,MAT 4 (3.00); MAT 5 (3.00),,
University of California Berkeley,Hartnell College,PHYSICS 7A,PHY 4A (4.00); PHY 4B (4.00),,
University of California Berkeley,Hartnell College,PHYSICS 7B,PHY 4B (4.00); PHY 4C (4.00),,
University of California Berkeley,Hartnell College,ENGLISH R1A,ENG 1A (3.00),ENG 1AX (4.00),
University of California Berkeley,Hartnell College,ENGLISH R1B,ENG 1B (3.00),ENG 2 (3.00),
University of California Berkeley,Hartnell College,ASTRON 7A,Not Articulated,,
University of California Berkeley,Hartnell College,ASTRON 7B,Not Articulated,,
University of California Berkeley,Hartnell College,BIOLOGY 1A; BIOLOGY 1AL,BIO 1 (5.00); BIO 2 (5.00),,
University of California Berkeley,Hartnell College,BIOLOGY 1B,BIO 2 (5.00); BIO 3 (5.00),,
University of California Berkeley,Hartnell College,CHEM 1A; CHEM 1AL; CHEM 1B,CHM 1A (5.00); CHM 1B (5.00),,
University of California Berkeley,Hartnell College,CHEM 3A; CHEM 3AL; CHEM 3B; CHEM 3BL,CHM 12A (5.00); CHM 12B (5.00),,
University of California Berkeley,Hartnell College,MCELLBI 32; MCELLBI 32L,BIO 6 (3.00); BIO 6L (2.00),,
University of California Berkeley,Hartnell College,PHYSICS 7C,PHY 4C (4.00),,
University of California Berkeley,Hartnell College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,Hartnell College,COMPSCI 61B,CSS 2B (4.00),,
University of California Berkeley,Hartnell College,COMPSCI 61C,Not Articulated,,
University of California Berkeley,Hartnell College,COMPSCI 70,Not Articulated,,
University of California Berkeley,Hartnell College,EECS 16A,Not Articulated,,
University of California Berkeley,Hartnell College,EECS 16B,Not Articulated,,
University of California Davis,Hartnell College,ECS 020,CSS 7 (4.00),MAT 7 (4.00),
University of California Davis,Hartnell College,ECS 036A,Not Articulated,,
University of California Davis,Hartnell College,ECS 036B,CSS 2A (4.00),CSS 2B (4.00),
University of California Davis,Hartnell College,ECS 036C,Not Articulated,,
University of California Davis,Hartnell College,ECS 050,Not Articulated,,
University of California Davis,Hartnell College,MAT 021A,MAT 3A (4.00),,
University of California Davis,Hartnell College,MAT 021B,MAT 3B (4.00),,
University of California Davis,Hartnell College,MAT 021C,MAT 3C (4.00),,
University of California Davis,Hartnell College,MAT 022A,MAT 4 (3.00),,
University of California Davis,Hartnell College,MAT 027A,Not Articulated,,
University of California Davis,Hartnell College,MAT 067,Not Articulated,,
University of California Davis,Hartnell College,BIS 002A,BIO 1 (5.00),,
University of California Davis,Hartnell College,BIS 002B,BIO 2 (5.00); BIO 3 (5.00),,
University of California Davis,Hartnell College,BIS 002C,BIO 2 (5.00); BIO 3 (5.00),,
University of California Davis,Hartnell College,CHE 002A; CHE 002B; CHE 002C,CHM 1A (5.00); CHM 1B (5.00),,
University of California Davis,Hartnell College,CHE 004A,Not Articulated,,
University of California Davis,Hartnell College,CHE 004B,Not Articulated,,
University of California Davis,Hartnell College,CHE 004C,Not Articulated,,
University of California Davis,Hartnell College,PHY 009A,PHY 4A (4.00),,
University of California Davis,Hartnell College,PHY 009B,PHY 4C (4.00),,
University of California Davis,Hartnell College,PHY 009C,PHY 4B (4.00),,
University of California Irvine,Hartnell College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,
University of California Irvine,Hartnell College,MATH 2A,MAT 3A (4.00),,
University of California Irvine,Hartnell College,MATH 2B,MAT 3B (4.00),,
University of California Irvine,Hartnell College,MATH 3A,MAT 4 (3.00),,
University of California Irvine,Hartnell College,I&C SCI 6N,Not Articulated,,
University of California Irvine,Hartnell College,I&C SCI 6B,Not Articulated,,
University of California Irvine,Hartnell College,I&C SCI 6D,Not Articulated,,
University of California Irvine,Hartnell College,I&C SCI 45C,Not Articulated,,
University of California Irvine,Hartnell College,I&C SCI 46,Not Articulated,,
University of California Irvine,Hartnell College,I&C SCI 51,Not Articulated,,
University of California Irvine,Hartnell College,I&C SCI 53,Not Articulated,,
University of California Irvine,Hartnell College,IN4MATX 43,Not Articulated,,
University of California Irvine,Hartnell College,STATS 67,Not Articulated,,
University of California Los Angeles,Hartnell College,COM SCI 31,CSS 2A (4.00),,
University of California Los Angeles,Hartnell College,COM SCI 32,Not Articulated,,
University of California Los Angeles,Hartnell College,COM SCI 33,CSS 3 (4.00),,
University of California Los Angeles,Hartnell College,COM SCI 35L,Not Articulated,,
University of California Los Angeles,Hartnell College,COM SCI M51A,Not Articulated,,
University of California Los Angeles,Hartnell College,EC ENGR M16,Not Articulated,,
University of California Los Angeles,Hartnell College,MATH 31A,MAT 3A (4.00),,
University of California Los Angeles,Hartnell College,MATH 31B,MAT 3B (4.00),,
University of California Los Angeles,Hartnell College,MATH 32A,MAT 3C (4.00),,
University of California Los Angeles,Hartnell College,MATH 32B,MAT 3C (4.00),,
University of California Los Angeles,Hartnell College,MATH 33A,MAT 4 (3.00),,
University of California Los Angeles,Hartnell College,MATH 33B,MAT 5 (3.00),,
University of California Los Angeles,Hartnell College,MATH 61,CSS 7 (4.00),,
University of California Los Angeles,Hartnell College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHY 4A (4.00); PHY 4B (4.00); PHY 4C (4.00),,
University of California Los Angeles,Hartnell College,PHYSICS 4AL,Not Articulated,,
University of California Los Angeles,Hartnell College,PHYSICS 4BL,Not Articulated,,
University of California Los Angeles,Hartnell College,ENGCOMP 3,ENG 1A (3.00),,
University of California Los Angeles,Hartnell College,,ENG 1B (3.00),ENG 2 (3.00),
University of California Los Angeles,Hartnell College,,CSS 2A (4.00),,
University of California Merced,Hartnell College,CSE 022,CSS 1 (4.00),CSS 2A (4.00),CSS 4 (4.00)
University of California Merced,Hartnell College,CSE 030,CSS 2B (4.00),,
University of California Merced,Hartnell College,MATH 021,MAT 3A (4.00),,
University of California Merced,Hartnell College,MATH 022,MAT 3B (4.00),,
University of California Merced,Hartnell College,MATH 023,MAT 3C (4.00),,
University of California Merced,Hartnell College,MATH 024,MAT 4 (3.00); MAT 5 (3.00),,
University of California Merced,Hartnell College,PHYS 008; PHYS 008L,PHY 4A (4.00),,
University of California Merced,Hartnell College,PHYS 009; PHYS 009L,PHY 4B (4.00),,
University of California Merced,Hartnell College,CSE 015,CSS 7 (4.00),,
University of California Merced,Hartnell College,CSE 022,CSS 1 (4.00),CSS 2A (4.00),CSS 4 (4.00)
University of California Merced,Hartnell College,CSE 024,Not Articulated,,
University of California Merced,Hartnell College,CSE 030,CSS 2B (4.00),,
University of California Merced,Hartnell College,CSE 031,CSS 3 (4.00),,
University of California Merced,Hartnell College,ENGR 065,EGN 6 (4.00),,
University of California Merced,Hartnell College,ENGR 091,Not Articulated,,
University of California Merced,Hartnell College,MATH 032,Not Articulated,,
University of California Merced,Hartnell College,ENGR 080,Not Articulated,,
University of California Merced,Hartnell College,WRI 001,ENG 1A (3.00),ENG 1AX (4.00),
