UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Imperial Valley College,MATH 1A,MATH 192 (4.00),,
University of California Berkeley,Imperial Valley College,MATH 1B,MATH 194 (4.00),,
University of California Berkeley,Imperial Valley College,MATH 53,MATH 210 (4.00),,
University of California Berkeley,Imperial Valley College,MATH 54,MATH 220 (3.00); MATH 230 (3.00),,
University of California Berkeley,Imperial Valley College,PHYSICS 7A,PHYS 200 (4.00),,
University of California Berkeley,Imperial Valley College,PHYSICS 7B,PHYS 202 (4.00),,
University of California Berkeley,Imperial Valley College,ENGLISH R1A,ENGL 105 (5.00),ENGL 110 (4.00),
University of California Berkeley,Imperial Valley College,ENGLISH R1B,ENGL 201 (3.00),,
University of California Berkeley,Imperial Valley College,ASTRON 7A,Not Articulated,,
University of California Berkeley,Imperial Valley College,ASTRON 7B,Not Articulated,,
University of California Berkeley,Imperial Valley College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 180 (4.00); BIOL 182 (4.00),,
University of California Berkeley,Imperial Valley College,BIOLOGY 1B,Not Articulated,,
University of California Berkeley,Imperial Valley College,CHEM 1A; CHEM 1AL,CHEM 200 (5.00),,
University of California Berkeley,Imperial Valley College,CHEM 1B,CHEM 202 (5.00),,
University of California Berkeley,Imperial Valley College,CHEM 3A; CHEM 3AL,CHEM 204 (5.00),,
University of California Berkeley,Imperial Valley College,CHEM 3B; CHEM 3BL,CHEM 206 (5.00),,
University of California Berkeley,Imperial Valley College,MCELLBI 32; MCELLBI 32L,BIOL 206 (4.00),,
University of California Berkeley,Imperial Valley College,PHYSICS 7C,PHYS 204 (4.00),,
University of California Berkeley,Imperial Valley College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,Imperial Valley College,COMPSCI 61B,Not Articulated,,
University of California Berkeley,Imperial Valley College,COMPSCI 61C,Not Articulated,,
University of California Berkeley,Imperial Valley College,COMPSCI 70,Not Articulated,,
University of California Berkeley,Imperial Valley College,EECS 16A,Not Articulated,,
University of California Berkeley,Imperial Valley College,EECS 16B,Not Articulated,,
University of California Davis,Imperial Valley College,ECS 020,MATH 240 (3.00),,
University of California Davis,Imperial Valley College,ECS 036A,CIS 210 (3.00),,
University of California Davis,Imperial Valley College,ECS 036B,Not Articulated,,
University of California Davis,Imperial Valley College,ECS 036C,Not Articulated,,
University of California Davis,Imperial Valley College,ECS 050,Not Articulated,,
University of California Davis,Imperial Valley College,MAT 021A,MATH 192 (4.00),,
University of California Davis,Imperial Valley College,MAT 021B,MATH 194 (4.00),,
University of California Davis,Imperial Valley College,MAT 021C,MATH 210 (4.00),,
University of California Davis,Imperial Valley College,MAT 022A,MATH 230 (3.00),,
University of California Davis,Imperial Valley College,MAT 027A,Not Articulated,,
University of California Davis,Imperial Valley College,MAT 067,Not Articulated,,
University of California Davis,Imperial Valley College,BIS 002A,BIOL 180 (4.00),,
University of California Davis,Imperial Valley College,BIS 002B,Not Articulated,,
