UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,Irvine Valley College,MATH 1A,MATH 3A (5.00),MATH 3AH (5.00),,
University of California Berkeley,Irvine Valley College,MATH 1B,MATH 3B (5.00),MATH 3BH (5.00),,
University of California Berkeley,Irvine Valley College,MATH 53,MATH 4A (5.00),,,
University of California Berkeley,Irvine Valley College,MATH 54,MATH 24 (4.00); MATH 26 (4.00),MATH 24H (4.00); MATH 26 (4.00),,
University of California Berkeley,Irvine Valley College,PHYSICS 7A,PHYS 4A (4.00),,,
University of California Berkeley,Irvine Valley College,PHYSICS 7B,PHYS 4B (4.00),,,
University of California Berkeley,Irvine Valley College,ENGLISH R1A,ESL 1 (4.00),WR 1 (4.00),WR 1H (4.00),
University of California Berkeley,Irvine Valley College,ENGLISH R1B,LIB 20 (3.00),LIB 20H (3.00),WR 2 (4.00),WR 2H (4.00)
University of California Berkeley,Irvine Valley College,ASTRON 7A,Not Articulated,,,
University of California Berkeley,Irvine Valley College,ASTRON 7B,Not Articulated,,,
University of California Berkeley,Irvine Valley College,BIOLOGY 1A; BIOLOGY 1AL,BIO 81 (4.00),BIO 81H (4.00),,
University of California Berkeley,Irvine Valley College,BIOLOGY 1B,BIO 80 (4.00),BIO 80H (4.00),,
University of California Berkeley,Irvine Valley College,CHEM 1A; CHEM 1AL,CHEM 1A (5.00),CHEM 1AH (5.00),,
University of California Berkeley,Irvine Valley College,CHEM 1B,CHEM 1B (5.00),,,
University of California Berkeley,Irvine Valley College,CHEM 3A; CHEM 3AL,CHEM 12A (5.00),,,
University of California Berkeley,Irvine Valley College,CHEM 3B; CHEM 3BL,CHEM 12B (5.00),,,
University of California Berkeley,Irvine Valley College,MCELLBI 32; MCELLBI 32L,BIO 12 (4.00),,,
University of California Berkeley,Irvine Valley College,PHYSICS 7C,PHYS 4C (4.00),,,
University of California Berkeley,Irvine Valley College,COMPSCI 61A,Not Articulated,,,
University of California Berkeley,Irvine Valley College,COMPSCI 61B,CS 41 (3.00),,,
University of California Berkeley,Irvine Valley College,COMPSCI 61C,Not Articulated,,,
University of California Berkeley,Irvine Valley College,COMPSCI 70,Not Articulated,,,
University of California Berkeley,Irvine Valley College,EECS 16A,Not Articulated,,,
University of California Berkeley,Irvine Valley College,EECS 16B,Not Articulated,,,
University of California Davis,Irvine Valley College,ECS 020,CS 6A (3.00),MATH 6A (3.00),,
University of California Davis,Irvine Valley College,ECS 036A,CS 36 (3.00),CS 38 (3.00),,
University of California Davis,Irvine Valley College,ECS 036B,CS 37 (3.00),,,
University of California Davis,Irvine Valley College,ECS 036C,CS 41 (3.00),,,
University of California Davis,Irvine Valley College,ECS 050,CS 40A (3.00),CS 40B (3.00),,
University of California Davis,Irvine Valley College,MAT 021A,MATH 3A (5.00),MATH 3AH (5.00),,
University of California Davis,Irvine Valley College,MAT 021B,MATH 3B (5.00),MATH 3BH (5.00),,
University of California Davis,Irvine Valley College,MAT 021C,MATH 4A (5.00),,,
University of California Davis,Irvine Valley College,MAT 022A,MATH 26 (4.00),,,
University of California Davis,Irvine Valley College,MAT 027A,Not Articulated,,,
University of California Davis,Irvine Valley College,MAT 067,Not Articulated,,,
University of California Davis,Irvine Valley College,BIS 002A,BIO 16 (4.00),BIO 81 (4.00),BIO 81H (4.00),
University of California Davis,Irvine Valley College,BIS 002B,BIO 80 (4.00),BIO 80H (4.00),,
University of California Davis,Irvine Valley College,BIS 002C,BIO 2 (4.00); BIO 5 (4.00),BIO 80 (4.00),,
University of California Davis,Irvine Valley College,CHE 002A; CHE 002B; CHE 002C,CHEM 1A (5.00); CHEM 1B (5.00),CHEM 1AH (5.00); CHEM 1B (5.00),,
University of California Davis,Irvine Valley College,CHE 004A,CHEM 1AH (5.00),,,
University of California Davis,Irvine Valley College,CHE 004B,Not Articulated,,,
University of California Davis,Irvine Valley College,CHE 004C,Not Articulated,,,
University of California Davis,Irvine Valley College,PHY 009A,PHYS 4A (4.00),,,
University of California Davis,Irvine Valley College,PHY 009B,PHYS 4C (4.00),,,
University of California Davis,Irvine Valley College,PHY 009C,PHYS 4B (4.00),,,
University of California Irvine,Irvine Valley College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,,
University of California Irvine,Irvine Valley College,I&C SCI 31; I&C SCI 32,CS 37 (3.00); CS 41 (3.00); CS 10 (3.00),,,
University of California Irvine,Irvine Valley College,MATH 2A,MATH 3A (5.00),MATH 3AH (5.00),,
University of California Irvine,Irvine Valley College,MATH 2B,MATH 3B (5.00),MATH 3BH (5.00),,
University of California Irvine,Irvine Valley College,MATH 3A,MATH 26 (4.00),,,
University of California Irvine,Irvine Valley College,I&C SCI 6N,Not Articulated,,,
University of California Irvine,Irvine Valley College,I&C SCI 6B,CS 6B (3.00),,,
University of California Irvine,Irvine Valley College,I&C SCI 6D,CS 6A (3.00),,,
University of California Irvine,Irvine Valley College,I&C SCI 45C,Not Articulated,,,
