UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2
University of California Berkeley,Lake Tahoe Community College,MATH 1A,MAT 105 (5.00),
University of California Berkeley,Lake Tahoe Community College,MATH 1B,MAT 106 (5.00); MAT 107 (5.00),
University of California Berkeley,Lake Tahoe Community College,MATH 53,MAT 202 (5.00),
University of California Berkeley,Lake Tahoe Community College,MATH 54,MAT 203 (5.00); MAT 204 (5.00),
University of California Berkeley,Lake Tahoe Community College,PHYSICS 7A,PHY 107 (6.00); PHY 108 (6.00),
University of California Berkeley,Lake Tahoe Community College,PHYSICS 7B,PHY 108 (6.00); PHY 207 (6.00),
University of California Berkeley,Lake Tahoe Community College,ENGLISH R1A,ENG 101 (5.00),
University of California Berkeley,Lake Tahoe Community College,ENGLISH R1B,ENG 102 (4.00),ENG 103 (5.00)
University of California Berkeley,Lake Tahoe Community College,ASTRON 7A,Not Articulated,
University of California Berkeley,Lake Tahoe Community College,ASTRON 7B,Not Articulated,
University of California Berkeley,Lake Tahoe Community College,BIOLOGY 1A; BIOLOGY 1AL,BIO 101 (5.00); BIO 103 (5.00),
University of California Berkeley,Lake Tahoe Community College,BIOLOGY 1B,BIO 101 (5.00); BIO 102 (5.00); BIO 103 (5.00),
University of California Berkeley,Lake Tahoe Community College,CHEM 1A; CHEM 1AL; CHEM 1B,CHM 101 (5.75); CHM 102 (5.75); CHM 103 (5.75),
University of California Berkeley,Lake Tahoe Community College,CHEM 3A; CHEM 3AL; CHEM 3B; CHEM 3BL,CHM 221 (4.00); CHM 221L (1.00); CHM 222 (4.00); CHM 222L (1.00); CHM 223 (4.00); CHM 223L (1.00),
University of California Berkeley,Lake Tahoe Community College,MCELLBI 32; MCELLBI 32L,BIO 203 (5.00); BIO 204 (5.00); BIO 205 (5.00),
University of California Berkeley,Lake Tahoe Community College,PHYSICS 7C,PHY 207 (6.00); PHY 208 (6.00),
University of California Berkeley,Lake Tahoe Community College,COMPSCI 61A,Not Articulated,
University of California Berkeley,Lake Tahoe Community College,COMPSCI 61B,Not Articulated,
University of California Berkeley,Lake Tahoe Community College,COMPSCI 61C,Not Articulated,
University of California Berkeley,Lake Tahoe Community College,COMPSCI 70,Not Articulated,
University of California Berkeley,Lake Tahoe Community College,EECS 16A,Not Articulated,
University of California Berkeley,Lake Tahoe Community College,EECS 16B,Not Articulated,
University of California Davis,Lake Tahoe Community College,ECS 020,Not Articulated,
University of California Davis,Lake Tahoe Community College,ECS 036A,Not Articulated,
University of California Davis,Lake Tahoe Community College,ECS 036B,Not Articulated,
University of California Davis,Lake Tahoe Community College,ECS 036C,Not Articulated,
University of California Davis,Lake Tahoe Community College,ECS 050,Not Articulated,
University of California Davis,Lake Tahoe Community College,MAT 021A,MAT 105 (5.00),
University of California Davis,Lake Tahoe Community College,MAT 021B,MAT 106 (5.00),
University of California Davis,Lake Tahoe Community College,MAT 021C,MAT 107 (5.00),
University of California Davis,Lake Tahoe Community College,MAT 022A,MAT 203 (5.00),
University of California Davis,Lake Tahoe Community College,MAT 027A,Not Articulated,
University of California Davis,Lake Tahoe Community College,MAT 067,Not Articulated,
University of California Davis,Lake Tahoe Community College,BIS 002A,BIO 101 (5.00),
University of California Davis,Lake Tahoe Community College,BIS 002B,BIO 102 (5.00),
University of California Davis,Lake Tahoe Community College,BIS 002C,BIO 102 (5.00); BIO 103 (5.00),
University of California Davis,Lake Tahoe Community College,CHE 002A; CHE 002B; CHE 002C,CHM 101 (5.75); CHM 102 (5.75); CHM 103 (5.75),
University of California Davis,Lake Tahoe Community College,CHE 004A,Not Articulated,
University of California Davis,Lake Tahoe Community College,CHE 004B,Not Articulated,
University of California Davis,Lake Tahoe Community College,CHE 004C,Not Articulated,
University of California Davis,Lake Tahoe Community College,PHY 009A,PHY 107 (6.00),
University of California Davis,Lake Tahoe Community College,PHY 009B,PHY 108 (6.00),
University of California Davis,Lake Tahoe Community College,PHY 009C,PHY 207 (6.00),
University of California Irvine,Lake Tahoe Community College,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 120A (4.00); CIS 120B (4.00); CIS 120C (4.00),
University of California Irvine,Lake Tahoe Community College,MATH 2A,MAT 105 (5.00),
University of California Irvine,Lake Tahoe Community College,MATH 2B,MAT 106 (5.00),
University of California Irvine,Lake Tahoe Community College,MATH 3A,MAT 203 (5.00),
University of California Irvine,Lake Tahoe Community College,I&C SCI 6N,Not Articulated,
University of California Irvine,Lake Tahoe Community College,I&C SCI 6B,Not Articulated,
University of California Irvine,Lake Tahoe Community College,I&C SCI 6D,Not Articulated,
University of California Irvine,Lake Tahoe Community College,I&C SCI 45C,Not Articulated,
University of California Irvine,Lake Tahoe Community College,I&C SCI 46,Not Articulated,
University of California Irvine,Lake Tahoe Community College,I&C SCI 51,Not Articulated,
University of California Irvine,Lake Tahoe Community College,I&C SCI 53,Not Articulated,
University of California Irvine,Lake Tahoe Community College,IN4MATX 43,Not Articulated,
University of California Irvine,Lake Tahoe Community College,STATS 67,Not Articulated,
University of California Los Angeles,Lake Tahoe Community College,COM SCI 31,Not Articulated,
University of California Los Angeles,Lake Tahoe Community College,COM SCI 32,Not Articulated,
University of California Los Angeles,Lake Tahoe Community College,COM SCI 33,Not Articulated,
University of California Los Angeles,Lake Tahoe Community College,COM SCI 35L,Not Articulated,
University of California Los Angeles,Lake Tahoe Community College,COM SCI M51A,Not Articulated,
University of California Los Angeles,Lake Tahoe Community College,EC ENGR M16,Not Articulated,
University of California Los Angeles,Lake Tahoe Community College,MATH 31A,MAT 105 (5.00),
University of California Los Angeles,Lake Tahoe Community College,MATH 31B,MAT 106 (5.00),
University of California Los Angeles,Lake Tahoe Community College,MATH 32A,MAT 107 (5.00),
University of California Los Angeles,Lake Tahoe Community College,MATH 32B,MAT 202 (5.00),
University of California Los Angeles,Lake Tahoe Community College,MATH 33A,MAT 203 (5.00),
University of California Los Angeles,Lake Tahoe Community College,MATH 33B,MAT 204 (5.00),
University of California Los Angeles,Lake Tahoe Community College,MATH 61,Not Articulated,
University of California Los Angeles,Lake Tahoe Community College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHY 107 (6.00); PHY 108 (6.00); PHY 207 (6.00),
University of California Los Angeles,Lake Tahoe Community College,PHYSICS 4AL,Not Articulated,
University of California Los Angeles,Lake Tahoe Community College,PHYSICS 4BL,Not Articulated,
University of California Los Angeles,Lake Tahoe Community College,ENGCOMP 3,ENG 101 (5.00),
University of California Los Angeles,Lake Tahoe Community College,,ENG 102 (4.00),ENG 103 (5.00)
University of California Los Angeles,Lake Tahoe Community College,,CIS 120A (4.00),
University of California Merced,Lake Tahoe Community College,CSE 022,CIS 120A (4.00); CIS 120B (4.00),
University of California Merced,Lake Tahoe Community College,CSE 030,CIS 120C (4.00),
University of California Merced,Lake Tahoe Community College,MATH 021,MAT 105 (5.00),
University of California Merced,Lake Tahoe Community College,MATH 022,MAT 106 (5.00); MAT 107 (5.00),
University of California Merced,Lake Tahoe Community College,MATH 023,MAT 202 (5.00),
University of California Merced,Lake Tahoe Community College,MATH 024,MAT 203 (5.00); MAT 204 (5.00),
University of California Merced,Lake Tahoe Community College,PHYS 008; PHYS 008L,PHY 107 (6.00),
University of California Merced,Lake Tahoe Community College,PHYS 009; PHYS 009L,PHY 108 (6.00); PHY 207 (6.00),
University of California Merced,Lake Tahoe Community College,CSE 015,Not Articulated,
University of California Merced,Lake Tahoe Community College,CSE 022,CIS 120A (4.00); CIS 120B (4.00),
University of California Merced,Lake Tahoe Community College,CSE 024,Not Articulated,
University of California Merced,Lake Tahoe Community College,CSE 030,CIS 120C (4.00),
University of California Merced,Lake Tahoe Community College,CSE 031,Not Articulated,
University of California Merced,Lake Tahoe Community College,ENGR 065,Not Articulated,
University of California Merced,Lake Tahoe Community College,ENGR 091,Not Articulated,
University of California Merced,Lake Tahoe Community College,MATH 032,Not Articulated,
University of California Merced,Lake Tahoe Community College,ENGR 080,Not Articulated,
University of California Merced,Lake Tahoe Community College,WRI 001,ENG 101 (5.00),
University of California Merced,Lake Tahoe Community College,WRI 010,ENG 102 (4.00),ENG 103 (5.00)
University of California Riverside,Lake Tahoe Community College,CS 10A,CIS 120A (4.00),
University of California Riverside,Lake Tahoe Community College,CS 10B,CIS 120B (4.00); CIS 120C (4.00),
University of California Riverside,Lake Tahoe Community College,MATH 9A; MATH 9B; MATH 9C,MAT 105 (5.00); MAT 106 (5.00); MAT 107 (5.00),
University of California Riverside,Lake Tahoe Community College,PHYS 40A,PHY 107 (6.00),
University of California Riverside,Lake Tahoe Community College,CS 11,Not Articulated,
University of California Riverside,Lake Tahoe Community College,CS 10C,CIS 120C (4.00),
University of California Riverside,Lake Tahoe Community College,CS 61,Not Articulated,
University of California Riverside,Lake Tahoe Community College,MATH 10A,MAT 202 (5.00),
University of California Riverside,Lake Tahoe Community College,PHYS 40B,PHY 108 (6.00),
University of California Riverside,Lake Tahoe Community College,PHYS 40C,PHY 207 (6.00),
University of California Riverside,Lake Tahoe Community College,EE 20B,Not Articulated,
University of California Riverside,Lake Tahoe Community College,MATH 31,MAT 203 (5.00),
University of California San Diego,Lake Tahoe Community College,CSE 8A,CIS 120A (4.00),
University of California San Diego,Lake Tahoe Community College,CSE 8B,CIS 120B (4.00),
University of California San Diego,Lake Tahoe Community College,CSE 11,Not Articulated,
University of California San Diego,Lake Tahoe Community College,CSE 12,CIS 120C (4.00),
University of California San Diego,Lake Tahoe Community College,CSE 15L,Not Articulated,
University of California San Diego,Lake Tahoe Community College,CSE 20,Not Articulated,
University of California San Diego,Lake Tahoe Community College,CSE 21,Not Articulated,
University of California San Diego,Lake Tahoe Community College,CSE 30,Not Articulated,
University of California San Diego,Lake Tahoe Community College,MATH 18,MAT 203 (5.00),
University of California San Diego,Lake Tahoe Community College,MATH 20A,MAT 105 (5.00),
University of California San Diego,Lake Tahoe Community College,MATH 20B,MAT 106 (5.00),
University of California San Diego,Lake Tahoe Community College,MATH 20C,MAT 202 (5.00),
University of California San Diego,Lake Tahoe Community College,BILD 1,BIO 101 (5.00); BIO 102 (5.00); BIO 103 (5.00),
University of California San Diego,Lake Tahoe Community College,BILD 2,BIO 101 (5.00); BIO 102 (5.00); BIO 103 (5.00),
University of California San Diego,Lake Tahoe Community College,BILD 3,BIO 101 (5.00); BIO 102 (5.00); BIO 103 (5.00),
University of California San Diego,Lake Tahoe Community College,CHEM 6A,CHM 101 (5.75); CHM 102 (5.75); CHM 103 (5.75),
University of California San Diego,Lake Tahoe Community College,CHEM 6B,CHM 101 (5.75); CHM 102 (5.75); CHM 103 (5.75),
University of California San Diego,Lake Tahoe Community College,PHYS 2A,PHY 107 (6.00),
University of California San Diego,Lake Tahoe Community College,PHYS 2B,PHY 207 (6.00),
University of California San Diego,Lake Tahoe Community College,PHYS 4A,Not Articulated,
University of California San Diego,Lake Tahoe Community College,PHYS 4B,Not Articulated,
University of California Santa Barbara,Lake Tahoe Community College,MATH 3A,MAT 105 (5.00),
University of California Santa Barbara,Lake Tahoe Community College,MATH 3B,MAT 106 (5.00),
University of California Santa Barbara,Lake Tahoe Community College,MATH 4A,MAT 203 (5.00),
University of California Santa Barbara,Lake Tahoe Community College,MATH 4B,MAT 204 (5.00),
University of California Santa Barbara,Lake Tahoe Community College,CMPSC 16,Not Articulated,
University of California Santa Barbara,Lake Tahoe Community College,CMPSC 24,Not Articulated,
University of California Santa Barbara,Lake Tahoe Community College,CMPSC 40,Not Articulated,
University of California Santa Barbara,Lake Tahoe Community College,CMPSC 32,Not Articulated,
University of California Santa Barbara,Lake Tahoe Community College,CMPSC 64,Not Articulated,
University of California Santa Barbara,Lake Tahoe Community College,MATH 6A,MAT 202 (5.00),
University of California Santa Barbara,Lake Tahoe Community College,PHYS 1,PHY 107 (6.00),
University of California Santa Barbara,Lake Tahoe Community College,PHYS 2,PHY 107 (6.00); PHY 108 (6.00),
University of California Santa Barbara,Lake Tahoe Community College,PHYS 3; PHYS 3L,PHY 107 (6.00); PHY 108 (6.00); PHY 207 (6.00),
University of California Santa Barbara,Lake Tahoe Community College,PHYS 6A; PHYS 6AL; PHYS 6B; PHYS 6BL; PHYS 6C; PHYS 6CL,PHY 104 (5.00); PHY 105 (5.00); PHY 106 (5.00),
University of California Santa Barbara,Lake Tahoe Community College,PHYS 7A,PHY 107 (6.00),
University of California Santa Barbara,Lake Tahoe Community College,PHYS 7B,PHY 107 (6.00); PHY 108 (6.00); PHY 207 (6.00),
University of California Santa Barbara,Lake Tahoe Community College,PHYS 7C,PHY 207 (6.00); PHY 208 (6.00),
University of California Santa Barbara,Lake Tahoe Community College,PHYS 7D,PHY 108 (6.00); PHY 208 (6.00),
University of California Santa Barbara,Lake Tahoe Community College,PHYS 7L,PHY 107 (6.00); PHY 108 (6.00),
University of California Santa Barbara,Lake Tahoe Community College,CHEM 1A; CHEM 1AL; CHEM 1B; CHEM 1BL; CHEM 1C; CHEM 1CL,CHM 101 (5.75); CHM 102 (5.75); CHM 103 (5.75),
University of California Santa Barbara,Lake Tahoe Community College,MCDB 1A; MCDB 1LL,BIO 101 (5.00); BIO 102 (5.00); BIO 103 (5.00),
University of California Santa Barbara,Lake Tahoe Community College,MCDB 1B,BIO 101 (5.00); BIO 102 (5.00); BIO 103 (5.00),
University of California Santa Barbara,Lake Tahoe Community College,PSTAT 120A,Not Articulated,
University of California Santa Cruz,Lake Tahoe Community College,CSE 12,Not Articulated,
University of California Santa Cruz,Lake Tahoe Community College,CSE 16,Not Articulated,
University of California Santa Cruz,Lake Tahoe Community College,CSE 30,CIS 120C (4.00),
University of California Santa Cruz,Lake Tahoe Community College,MATH 19A,MAT 105 (5.00),
University of California Santa Cruz,Lake Tahoe Community College,MATH 19B,MAT 106 (5.00); MAT 107 (5.00),
University of California Santa Cruz,Lake Tahoe Community College,AM 10,MAT 203 (5.00),
University of California Santa Cruz,Lake Tahoe Community College,MATH 21,MAT 203 (5.00),
University of California Santa Cruz,Lake Tahoe Community College,AM 30,Not Articulated,
University of California Santa Cruz,Lake Tahoe Community College,MATH 23A,MAT 106 (5.00); MAT 107 (5.00),
