UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,Las Positas College,MATH 1A,MATH 1 (5.00),,,
University of California Berkeley,Las Positas College,MATH 1B,MATH 2 (5.00),,,
University of California Berkeley,Las Positas College,MATH 53,MATH 3 (5.00),,,
University of California Berkeley,Las Positas College,MATH 54,MATH 5 (3.50); MATH 7 (3.50),,,
University of California Berkeley,Las Positas College,PHYSICS 7A,PHYS 1A (5.00); PHYS 1B (5.00),,,
University of California Berkeley,Las Positas College,PHYSICS 7B,PHYS 1B (5.00); PHYS 1C (5.00),,,
University of California Berkeley,Las Positas College,ENGLISH R1A,ENG 1A (3.00),ENG 1AEX (4.00),,
University of California Berkeley,Las Positas College,ENGLISH R1B,ENG 4 (3.00),ENG 7 (3.00),,
University of California Berkeley,Las Positas College,ASTRON 7A,Not Articulated,,,
University of California Berkeley,Las Positas College,ASTRON 7B,Not Articulated,,,
University of California Berkeley,Las Positas College,BIOLOGY 1A; BIOLOGY 1AL,BIO 1B (5.00); BIO 1C (5.00),,,
University of California Berkeley,Las Positas College,BIOLOGY 1B,BIO 1A (5.00); BIO 1C (5.00),,,
University of California Berkeley,Las Positas College,CHEM 1A; CHEM 1AL,CHEM 1A (5.00),,,
University of California Berkeley,Las Positas College,CHEM 1B,CHEM 1B (5.00),,,
University of California Berkeley,Las Positas College,CHEM 3A; CHEM 3AL,CHEM 12A (5.00),,,
University of California Berkeley,Las Positas College,CHEM 3B; CHEM 3BL,CHEM 12B (5.00),,,
University of California Berkeley,Las Positas College,MCELLBI 32; MCELLBI 32L,BIO 7B (5.00),,,
University of California Berkeley,Las Positas College,PHYSICS 7C,PHYS 1B (5.00); PHYS 1D (3.00),,,
University of California Berkeley,Las Positas College,COMPSCI 61A,Not Articulated,,,
University of California Berkeley,Las Positas College,COMPSCI 61B,CS 20 (4.00),,,
University of California Berkeley,Las Positas College,COMPSCI 61C,CS 21 (4.00),,,
University of California Berkeley,Las Positas College,COMPSCI 70,Not Articulated,,,
University of California Berkeley,Las Positas College,EECS 16A,Not Articulated,,,
University of California Berkeley,Las Positas College,EECS 16B,Not Articulated,,,
University of California Davis,Las Positas College,ECS 020,CS 17 (4.00),MATH 10 (4.00),,
University of California Davis,Las Positas College,ECS 036A,CS 1 (4.00),,,
University of California Davis,Las Positas College,ECS 036B,CS 2 (4.00),CS 31 (4.00),,
University of California Davis,Las Positas College,ECS 036C,CS 20 (4.00),,,
University of California Davis,Las Positas College,ECS 050,CS 21 (4.00),,,
University of California Davis,Las Positas College,MAT 021A,MATH 1 (5.00),,,
University of California Davis,Las Positas College,MAT 021B,MATH 2 (5.00),,,
University of California Davis,Las Positas College,MAT 021C,MATH 3 (5.00),,,
University of California Davis,Las Positas College,MAT 022A,MATH 7 (3.50),,,
University of California Davis,Las Positas College,MAT 027A,Not Articulated,,,
University of California Davis,Las Positas College,MAT 067,Not Articulated,,,
University of California Davis,Las Positas College,BIS 002A,BIO 1C (5.00),,,
University of California Davis,Las Positas College,BIS 002B,BIO 1C (5.00); BIO 1B (5.00); BIO 1A (5.00),,,
University of California Davis,Las Positas College,BIS 002C,BIO 1B (5.00); BIO 1A (5.00),,,
University of California Davis,Las Positas College,CHE 002A; CHE 002B; CHE 002C,CHEM 1A (5.00); CHEM 1B (5.00),,,
University of California Davis,Las Positas College,CHE 004A,Not Articulated,,,
University of California Davis,Las Positas College,CHE 004B,Not Articulated,,,
University of California Davis,Las Positas College,CHE 004C,Not Articulated,,,
University of California Davis,Las Positas College,PHY 009A,PHYS 1A (5.00),,,
University of California Davis,Las Positas College,PHY 009B,PHYS 1B (5.00),,,
University of California Davis,Las Positas College,PHY 009C,PHYS 1C (5.00),,,
University of California Irvine,Las Positas College,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 1 (4.00); CS 2 (4.00); CS 20 (4.00),,,
University of California Irvine,Las Positas College,MATH 2A,MATH 1 (5.00),,,
University of California Irvine,Las Positas College,MATH 2B,MATH 2 (5.00),,,
University of California Irvine,Las Positas College,MATH 3A,MATH 7 (3.50),,,
University of California Irvine,Las Positas College,I&C SCI 6N,Not Articulated,,,
University of California Irvine,Las Positas College,I&C SCI 6B,CS 17 (4.00),,,
University of California Irvine,Las Positas College,I&C SCI 6D,Not Articulated,,,
University of California Irvine,Las Positas College,I&C SCI 45C,CS 1 (4.00); CS 2 (4.00); CS 20 (4.00),,,
University of California Irvine,Las Positas College,I&C SCI 46,Not Articulated,,,
University of California Irvine,Las Positas College,I&C SCI 51,CS 21 (4.00),,,
University of California Irvine,Las Positas College,I&C SCI 53,Not Articulated,,,
University of California Irvine,Las Positas College,IN4MATX 43,Not Articulated,,,
University of California Irvine,Las Positas College,STATS 67,Not Articulated,,,
University of California Los Angeles,Las Positas College,COM SCI 31,CS 1 (4.00); CS 2 (4.00),CS 2 (4.00),,
University of California Los Angeles,Las Positas College,COM SCI 32,CS 20 (4.00),,,
University of California Los Angeles,Las Positas College,COM SCI 33,CS 21 (4.00),,,
University of California Los Angeles,Las Positas College,COM SCI 35L,Not Articulated,,,
University of California Los Angeles,Las Positas College,COM SCI M51A,Not Articulated,,,
University of California Los Angeles,Las Positas College,EC ENGR M16,Not Articulated,,,
University of California Los Angeles,Las Positas College,MATH 31A,MATH 1 (5.00),,,
University of California Los Angeles,Las Positas College,MATH 31B,MATH 2 (5.00),,,
University of California Los Angeles,Las Positas College,MATH 32A,MATH 3 (5.00),,,
University of California Los Angeles,Las Positas College,MATH 32B,MATH 3 (5.00),,,
University of California Los Angeles,Las Positas College,MATH 33A,MATH 7 (3.50),,,
University of California Los Angeles,Las Positas College,MATH 33B,MATH 5 (3.50),,,
University of California Los Angeles,Las Positas College,MATH 61,MATH 10 (4.00),,,
University of California Los Angeles,Las Positas College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 1A (5.00); PHYS 1B (5.00); PHYS 1C (5.00),,,
University of California Los Angeles,Las Positas College,PHYSICS 4AL,Not Articulated,,,
University of California Los Angeles,Las Positas College,PHYSICS 4BL,Not Articulated,,,
