UC Campus,CC,UC Course Requirement,Courses Group 1
University of California Berkeley,Lassen Community College,MATH 1A,MATH 1A (5.00)
University of California Berkeley,Lassen Community College,MATH 1B,MATH 1B (5.00)
University of California Berkeley,Lassen Community College,MATH 53,Not Articulated
University of California Berkeley,Lassen Community College,MATH 54,Not Articulated
University of California Berkeley,Lassen Community College,PHYSICS 7A,Not Articulated
University of California Berkeley,Lassen Community College,PHYSICS 7B,Not Articulated
University of California Berkeley,Lassen Community College,ENGLISH R1A,ENGL 1 (3.00)
University of California Berkeley,Lassen Community College,ENGLISH R1B,ENGL 9 (3.00)
University of California Berkeley,Lassen Community College,ASTRON 7A,Not Articulated
University of California Berkeley,Lassen Community College,ASTRON 7B,Not Articulated
University of California Berkeley,Lassen Community College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOL 1 (4.00); BIOL 4 (5.00)
University of California Berkeley,Lassen Community College,CHEM 1A; CHEM 1AL,CHEM 1A (5.00)
University of California Berkeley,Lassen Community College,CHEM 1B,CHEM 1B (5.00)
University of California Berkeley,Lassen Community College,CHEM 3A; CHEM 3AL,Not Articulated
University of California Berkeley,Lassen Community College,CHEM 3B; CHEM 3BL,Not Articulated
University of California Berkeley,Lassen Community College,MCELLBI 32; MCELLBI 32L,BIOL 25 (4.00); BIOL 26 (4.00)
University of California Berkeley,Lassen Community College,PHYSICS 7C,Not Articulated
University of California Berkeley,Lassen Community College,COMPSCI 61A,Not Articulated
University of California Berkeley,Lassen Community College,COMPSCI 61B,Not Articulated
University of California Berkeley,Lassen Community College,COMPSCI 61C,Not Articulated
University of California Berkeley,Lassen Community College,COMPSCI 70,Not Articulated
University of California Berkeley,Lassen Community College,EECS 16A,Not Articulated
University of California Berkeley,Lassen Community College,EECS 16B,Not Articulated
University of California Davis,Lassen Community College,ECS 020,Not Articulated
University of California Davis,Lassen Community College,ECS 036A,Not Articulated
University of California Davis,Lassen Community College,ECS 036B,Not Articulated
University of California Davis,Lassen Community College,ECS 036C,Not Articulated
University of California Davis,Lassen Community College,ECS 050,Not Articulated
University of California Davis,Lassen Community College,MAT 021A,MATH 1A (5.00)
University of California Davis,Lassen Community College,MAT 021B,MATH 1B (5.00)
University of California Davis,Lassen Community College,MAT 021C,Not Articulated
University of California Davis,Lassen Community College,MAT 022A,Not Articulated
University of California Davis,Lassen Community College,MAT 027A,Not Articulated
University of California Davis,Lassen Community College,MAT 067,Not Articulated
University of California Davis,Lassen Community College,BIS 002A,BIOL 1 (4.00)
University of California Davis,Lassen Community College,BIS 002B,Not Articulated
University of California Davis,Lassen Community College,BIS 002C,BIOL 4 (5.00)
University of California Davis,Lassen Community College,CHE 002A; CHE 002B; CHE 002C,CHEM 1A (5.00); CHEM 1B (5.00)
University of California Davis,Lassen Community College,CHE 004A,Not Articulated
University of California Davis,Lassen Community College,CHE 004B,Not Articulated
University of California Davis,Lassen Community College,CHE 004C,Not Articulated
University of California Davis,Lassen Community College,PHY 009A,Not Articulated
University of California Davis,Lassen Community College,PHY 009B,Not Articulated
University of California Davis,Lassen Community College,PHY 009C,Not Articulated
University of California Irvine,Lassen Community College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
University of California Irvine,Lassen Community College,MATH 2A,MATH 1A (5.00)
University of California Irvine,Lassen Community College,MATH 2B,MATH 1B (5.00)
University of California Irvine,Lassen Community College,MATH 3A,Not Articulated
University of California Irvine,Lassen Community College,I&C SCI 6N,Not Articulated
University of California Irvine,Lassen Community College,I&C SCI 6B,Not Articulated
University of California Irvine,Lassen Community College,I&C SCI 6D,Not Articulated
University of California Irvine,Lassen Community College,I&C SCI 45C,Not Articulated
University of California Irvine,Lassen Community College,I&C SCI 46,Not Articulated
University of California Irvine,Lassen Community College,I&C SCI 51,Not Articulated
University of California Irvine,Lassen Community College,I&C SCI 53,Not Articulated
University of California Irvine,Lassen Community College,IN4MATX 43,Not Articulated
University of California Irvine,Lassen Community College,STATS 67,Not Articulated
University of California Los Angeles,Lassen Community College,COM SCI 31,Not Articulated
University of California Los Angeles,Lassen Community College,COM SCI 32,Not Articulated
University of California Los Angeles,Lassen Community College,COM SCI 33,Not Articulated
University of California Los Angeles,Lassen Community College,COM SCI 35L,Not Articulated
University of California Los Angeles,Lassen Community College,COM SCI M51A,Not Articulated
University of California Los Angeles,Lassen Community College,EC ENGR M16,Not Articulated
University of California Los Angeles,Lassen Community College,MATH 31A,MATH 1A (5.00)
University of California Los Angeles,Lassen Community College,MATH 31B,MATH 1B (5.00)
University of California Los Angeles,Lassen Community College,MATH 32A,Not Articulated
University of California Los Angeles,Lassen Community College,MATH 32B,Not Articulated
University of California Los Angeles,Lassen Community College,MATH 33A,Not Articulated
University of California Los Angeles,Lassen Community College,MATH 33B,Not Articulated
University of California Los Angeles,Lassen Community College,MATH 61,Not Articulated
University of California Los Angeles,Lassen Community College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,Not Articulated
University of California Los Angeles,Lassen Community College,PHYSICS 4AL,Not Articulated
University of California Los Angeles,Lassen Community College,PHYSICS 4BL,Not Articulated
University of California Los Angeles,Lassen Community College,ENGCOMP 3,ENGL 1 (3.00)
University of California Los Angeles,Lassen Community College,,ENGL 9 (3.00)
University of California Los Angeles,Lassen Community College,,Not Articulated
University of California Merced,Lassen Community College,CSE 022,Not Articulated
University of California Merced,Lassen Community College,CSE 030,Not Articulated
University of California Merced,Lassen Community College,MATH 021,MATH 1A (5.00)
University of California Merced,Lassen Community College,MATH 022,MATH 1B (5.00)
University of California Merced,Lassen Community College,MATH 023,Not Articulated
University of California Merced,Lassen Community College,MATH 024,Not Articulated
University of California Merced,Lassen Community College,PHYS 008; PHYS 008L,Not Articulated
University of California Merced,Lassen Community College,PHYS 009; PHYS 009L,Not Articulated
University of California Merced,Lassen Community College,CSE 015,Not Articulated
University of California Merced,Lassen Community College,CSE 022,Not Articulated
University of California Merced,Lassen Community College,CSE 024,Not Articulated
University of California Merced,Lassen Community College,CSE 030,Not Articulated
University of California Merced,Lassen Community College,CSE 031,Not Articulated
University of California Merced,Lassen Community College,ENGR 065,Not Articulated
University of California Merced,Lassen Community College,ENGR 091,Not Articulated
University of California Merced,Lassen Community College,MATH 032,Not Articulated
University of California Merced,Lassen Community College,ENGR 080,Not Articulated
University of California Merced,Lassen Community College,WRI 001,ENGL 1 (3.00)
University of California Merced,Lassen Community College,WRI 010,ENGL 9 (3.00)
University of California Riverside,Lassen Community College,CS 10A,Not Articulated
University of California Riverside,Lassen Community College,CS 10B,Not Articulated
University of California Riverside,Lassen Community College,MATH 9A; MATH 9B; MATH 9C,MATH 1A (5.00); MATH 1B (5.00)
University of California Riverside,Lassen Community College,PHYS 40A,Not Articulated
University of California Riverside,Lassen Community College,CS 11,Not Articulated
University of California Riverside,Lassen Community College,CS 10C,Not Articulated
