UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7
University of California Berkeley,Long Beach City College,MATH 1A,MATH 60 (5.00),MATH 60H (5.00),,,,,
University of California Berkeley,Long Beach City College,MATH 1B,MATH 70 (5.00),MATH 70H (5.00),,,,,
University of California Berkeley,Long Beach City College,MATH 53,MATH 80 (5.00),,,,,,
University of California Berkeley,Long Beach City College,MATH 54,MATH 84 (5.00),,,,,,
University of California Berkeley,Long Beach City College,PHYSICS 7A,PHYS 3A (5.50),,,,,,
University of California Berkeley,Long Beach City College,PHYSICS 7B,PHYS 3B (4.50),,,,,,
University of California Berkeley,Long Beach City College,ENGLISH R1A,ENGL 1 (4.00),ENGL 1H (4.00),ENGL 1S (5.00),ESL 1S (5.00),,,
University of California Berkeley,Long Beach City College,ENGLISH R1B,ENGL 3 (4.00),ENGL 3H (4.00),,,,,
University of California Berkeley,Long Beach City College,ASTRON 7A,Not Articulated,,,,,,
University of California Berkeley,Long Beach City College,ASTRON 7B,Not Articulated,,,,,,
University of California Berkeley,Long Beach City College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIO 1A (5.00); BIO 1B (5.00),,,,,,
University of California Berkeley,Long Beach City College,CHEM 1A; CHEM 1AL,CHEM 1A (5.50),,,,,,
University of California Berkeley,Long Beach City College,CHEM 1B,CHEM 1B (5.50),,,,,,
University of California Berkeley,Long Beach City College,CHEM 3A; CHEM 3AL,CHEM 12A (5.50),,,,,,
University of California Berkeley,Long Beach City College,CHEM 3B; CHEM 3BL,CHEM 12B (5.50),,,,,,
University of California Berkeley,Long Beach City College,MCELLBI 32; MCELLBI 32L,PHYSI 1 (5.00),,,,,,
University of California Berkeley,Long Beach City College,PHYSICS 7C,PHYS 3C (4.50),,,,,,
University of California Berkeley,Long Beach City College,COMPSCI 61A,Not Articulated,,,,,,
University of California Berkeley,Long Beach City College,COMPSCI 61B,Not Articulated,,,,,,
University of California Berkeley,Long Beach City College,COMPSCI 61C,Not Articulated,,,,,,
University of California Berkeley,Long Beach City College,COMPSCI 70,Not Articulated,,,,,,
University of California Berkeley,Long Beach City College,EECS 16A,Not Articulated,,,,,,
University of California Berkeley,Long Beach City College,EECS 16B,Not Articulated,,,,,,
University of California Davis,Long Beach City College,ECS 020,MATH 55 (4.00),,,,,,
University of California Davis,Long Beach City College,ECS 036A,CS 11 (3.00),CS 21 (3.00),,,,,
