UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Los Angeles Pierce College,MATH 1A,MATH 261 (5.00),,
University of California Berkeley,Los Angeles Pierce College,MATH 1B,MATH 262 (5.00),,
University of California Berkeley,Los Angeles Pierce College,MATH 53,MATH 263 (5.00),,
University of California Berkeley,Los Angeles Pierce College,MATH 54,MATH 270 (3.00); MATH 275 (3.00),,
University of California Berkeley,Los Angeles Pierce College,PHYSICS 7A,PHYSICS 101 (5.00),,
University of California Berkeley,Los Angeles Pierce College,PHYSICS 7B,PHYSICS 102 (5.00),,
University of California Berkeley,Los Angeles Pierce College,ENGLISH R1A,ENGLISH 101 (3.00),,
University of California Berkeley,Los Angeles Pierce College,ENGLISH R1B,ENGLISH 102 (3.00),ENGLISH 103 (3.00),PHILOS 005 (3.00)
University of California Berkeley,Los Angeles Pierce College,ASTRON 7A,Not Articulated,,
University of California Berkeley,Los Angeles Pierce College,ASTRON 7B,Not Articulated,,
University of California Berkeley,Los Angeles Pierce College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOLOGY 006 (5.00); BIOLOGY 007 (5.00),,
University of California Berkeley,Los Angeles Pierce College,CHEM 1A; CHEM 1AL,CHEM 101 (5.00),,
University of California Berkeley,Los Angeles Pierce College,CHEM 1B,CHEM 102 (5.00),,
University of California Berkeley,Los Angeles Pierce College,CHEM 3A; CHEM 3AL,CHEM 211 (5.00),,
University of California Berkeley,Los Angeles Pierce College,CHEM 3B; CHEM 3BL,CHEM 211 (5.00); CHEM 212 (5.00),,
University of California Berkeley,Los Angeles Pierce College,MCELLBI 32; MCELLBI 32L,PHYSIOL 001 (4.00),,
University of California Berkeley,Los Angeles Pierce College,PHYSICS 7C,PHYSICS 103 (5.00),,
University of California Berkeley,Los Angeles Pierce College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,Los Angeles Pierce College,COMPSCI 61B,CS 136 (3.00); CS 216 (3.00),CS 216 (3.00); CS 236 (3.00),
University of California Berkeley,Los Angeles Pierce College,COMPSCI 61C,CS 130 (3.00); CS 230 (3.00),CS 130 (3.00),
University of California Berkeley,Los Angeles Pierce College,COMPSCI 70,Not Articulated,,
University of California Berkeley,Los Angeles Pierce College,EECS 16A,Not Articulated,,
University of California Berkeley,Los Angeles Pierce College,EECS 16B,Not Articulated,,
University of California Davis,Los Angeles Pierce College,ECS 020,CS 131 (3.00),,
University of California Davis,Los Angeles Pierce College,ECS 036A,CS 114 (3.00),CS 213 (3.00),
University of California Davis,Los Angeles Pierce College,ECS 036B,CS 216 (3.00),,
University of California Davis,Los Angeles Pierce College,ECS 036C,CS 136 (3.00),,
