UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2
University of California Berkeley,Los Angeles Southwest College,MATH 1A,MATH 265 (5.00),
University of California Berkeley,Los Angeles Southwest College,MATH 1B,MATH 266 (5.00),
University of California Berkeley,Los Angeles Southwest College,MATH 53,MATH 267 (5.00),
University of California Berkeley,Los Angeles Southwest College,MATH 54,MATH 270 (3.00); MATH 275 (3.00),
University of California Berkeley,Los Angeles Southwest College,PHYSICS 7A,PHYSICS 037 (5.00),
University of California Berkeley,Los Angeles Southwest College,PHYSICS 7B,PHYSICS 038 (5.00),
University of California Berkeley,Los Angeles Southwest College,ENGLISH R1A,ENGLISH 101 (3.00),
University of California Berkeley,Los Angeles Southwest College,ENGLISH R1B,ENGLISH 102 (3.00),
University of California Berkeley,Los Angeles Southwest College,ASTRON 7A,Not Articulated,
University of California Berkeley,Los Angeles Southwest College,ASTRON 7B,Not Articulated,
University of California Berkeley,Los Angeles Southwest College,BIOLOGY 1A; BIOLOGY 1AL,Not Articulated,
University of California Berkeley,Los Angeles Southwest College,BIOLOGY 1B,Not Articulated,
University of California Berkeley,Los Angeles Southwest College,CHEM 1A; CHEM 1AL,CHEM 101 (5.00),
University of California Berkeley,Los Angeles Southwest College,CHEM 1B,CHEM 102 (5.00),
University of California Berkeley,Los Angeles Southwest College,CHEM 3A; CHEM 3AL,CHEM 211 (5.00),
University of California Berkeley,Los Angeles Southwest College,CHEM 3B; CHEM 3BL,CHEM 212 (5.00),
University of California Berkeley,Los Angeles Southwest College,MCELLBI 32; MCELLBI 32L,PHYSIOL 001 (4.00),
University of California Berkeley,Los Angeles Southwest College,PHYSICS 7C,PHYSICS 039 (5.00),
University of California Berkeley,Los Angeles Southwest College,COMPSCI 61A,Not Articulated,
University of California Berkeley,Los Angeles Southwest College,COMPSCI 61B,Not Articulated,
University of California Berkeley,Los Angeles Southwest College,COMPSCI 61C,Not Articulated,
University of California Berkeley,Los Angeles Southwest College,COMPSCI 70,Not Articulated,
University of California Berkeley,Los Angeles Southwest College,EECS 16A,Not Articulated,
University of California Berkeley,Los Angeles Southwest College,EECS 16B,Not Articulated,
University of California Davis,Los Angeles Southwest College,ECS 020,Not Articulated,
University of California Davis,Los Angeles Southwest College,ECS 036A,CS 114 (3.00),
University of California Davis,Los Angeles Southwest College,ECS 036B,Not Articulated,
University of California Davis,Los Angeles Southwest College,ECS 036C,Not Articulated,
University of California Davis,Los Angeles Southwest College,ECS 050,CS 118 (3.00),
University of California Davis,Los Angeles Southwest College,MAT 021A,MATH 265 (5.00),
University of California Davis,Los Angeles Southwest College,MAT 021B,MATH 266 (5.00),
University of California Davis,Los Angeles Southwest College,MAT 021C,MATH 267 (5.00),
University of California Davis,Los Angeles Southwest College,MAT 022A,MATH 270 (3.00),
University of California Davis,Los Angeles Southwest College,MAT 027A,Not Articulated,
University of California Davis,Los Angeles Southwest College,MAT 067,Not Articulated,
University of California Davis,Los Angeles Southwest College,BIS 002A,BIOLOGY 006 (5.00),
University of California Davis,Los Angeles Southwest College,BIS 002B,BIOLOGY 006 (5.00); BIOLOGY 007 (5.00),
University of California Davis,Los Angeles Southwest College,BIS 002C,BIOLOGY 006 (5.00); BIOLOGY 007 (5.00),
University of California Davis,Los Angeles Southwest College,CHE 002A; CHE 002B; CHE 002C,CHEM 101 (5.00); CHEM 102 (5.00),
University of California Davis,Los Angeles Southwest College,CHE 004A,Not Articulated,
University of California Davis,Los Angeles Southwest College,CHE 004B,Not Articulated,
University of California Davis,Los Angeles Southwest College,CHE 004C,Not Articulated,
University of California Davis,Los Angeles Southwest College,PHY 009A,PHYSICS 037 (5.00),
University of California Davis,Los Angeles Southwest College,PHY 009B,PHYSICS 039 (5.00),
University of California Davis,Los Angeles Southwest College,PHY 009C,PHYSICS 038 (5.00),
University of California Irvine,Los Angeles Southwest College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
University of California Irvine,Los Angeles Southwest College,MATH 2A,MATH 265 (5.00),
University of California Irvine,Los Angeles Southwest College,MATH 2B,MATH 266 (5.00),
University of California Irvine,Los Angeles Southwest College,MATH 3A,MATH 270 (3.00),
University of California Irvine,Los Angeles Southwest College,I&C SCI 6N,Not Articulated,
University of California Irvine,Los Angeles Southwest College,I&C SCI 6B,Not Articulated,
University of California Irvine,Los Angeles Southwest College,I&C SCI 6D,Not Articulated,
University of California Irvine,Los Angeles Southwest College,I&C SCI 45C,Not Articulated,
University of California Irvine,Los Angeles Southwest College,I&C SCI 46,Not Articulated,
University of California Irvine,Los Angeles Southwest College,I&C SCI 51,Not Articulated,
University of California Irvine,Los Angeles Southwest College,I&C SCI 53,Not Articulated,
University of California Irvine,Los Angeles Southwest College,IN4MATX 43,Not Articulated,
University of California Irvine,Los Angeles Southwest College,STATS 67,Not Articulated,
University of California Los Angeles,Los Angeles Southwest College,COM SCI 31,Not Articulated,
University of California Los Angeles,Los Angeles Southwest College,COM SCI 32,Not Articulated,
University of California Los Angeles,Los Angeles Southwest College,COM SCI 33,CS 118 (3.00),
University of California Los Angeles,Los Angeles Southwest College,COM SCI 35L,Not Articulated,
University of California Los Angeles,Los Angeles Southwest College,COM SCI M51A,Not Articulated,
University of California Los Angeles,Los Angeles Southwest College,EC ENGR M16,Not Articulated,
University of California Los Angeles,Los Angeles Southwest College,MATH 31A,MATH 265 (5.00),
University of California Los Angeles,Los Angeles Southwest College,MATH 31B,MATH 266 (5.00),
University of California Los Angeles,Los Angeles Southwest College,MATH 32A,MATH 267 (5.00),
University of California Los Angeles,Los Angeles Southwest College,MATH 32B,MATH 267 (5.00),
University of California Los Angeles,Los Angeles Southwest College,MATH 33A,MATH 270 (3.00),
University of California Los Angeles,Los Angeles Southwest College,MATH 33B,MATH 275 (3.00),
University of California Los Angeles,Los Angeles Southwest College,MATH 61,Not Articulated,
University of California Los Angeles,Los Angeles Southwest College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYSICS 037 (5.00); PHYSICS 038 (5.00); PHYSICS 039 (5.00),
University of California Los Angeles,Los Angeles Southwest College,PHYSICS 4AL,Not Articulated,
University of California Los Angeles,Los Angeles Southwest College,PHYSICS 4BL,Not Articulated,
University of California Los Angeles,Los Angeles Southwest College,ENGCOMP 3,ENGLISH 101 (3.00),
University of California Los Angeles,Los Angeles Southwest College,,ENGLISH 102 (3.00),ENGLISH 103 (3.00)
University of California Los Angeles,Los Angeles Southwest College,,Not Articulated,
University of California Merced,Los Angeles Southwest College,CSE 022,CS 113 (3.00),
University of California Merced,Los Angeles Southwest College,CSE 030,CS 136 (3.00),
University of California Merced,Los Angeles Southwest College,MATH 021,MATH 265 (5.00),
University of California Merced,Los Angeles Southwest College,MATH 022,MATH 266 (5.00),
University of California Merced,Los Angeles Southwest College,MATH 023,MATH 267 (5.00),
University of California Merced,Los Angeles Southwest College,MATH 024,MATH 270 (3.00); MATH 275 (3.00),
University of California Merced,Los Angeles Southwest College,PHYS 008; PHYS 008L,PHYSICS 037 (5.00),
University of California Merced,Los Angeles Southwest College,PHYS 009; PHYS 009L,PHYSICS 038 (5.00),
University of California Merced,Los Angeles Southwest College,CSE 015,Not Articulated,
University of California Merced,Los Angeles Southwest College,CSE 022,CS 113 (3.00),
University of California Merced,Los Angeles Southwest College,CSE 024,Not Articulated,
University of California Merced,Los Angeles Southwest College,CSE 030,CS 136 (3.00),
University of California Merced,Los Angeles Southwest College,CSE 031,Not Articulated,
University of California Merced,Los Angeles Southwest College,ENGR 065,Not Articulated,
University of California Merced,Los Angeles Southwest College,ENGR 091,Not Articulated,
University of California Merced,Los Angeles Southwest College,MATH 032,Not Articulated,
University of California Merced,Los Angeles Southwest College,ENGR 080,Not Articulated,
University of California Merced,Los Angeles Southwest College,WRI 001,ENGLISH 101 (3.00),
University of California Merced,Los Angeles Southwest College,WRI 010,ENGLISH 102 (3.00),ENGLISH 103 (3.00)
University of California Riverside,Los Angeles Southwest College,CS 10A,CS 114 (3.00),
University of California Riverside,Los Angeles Southwest College,CS 10B,Not Articulated,
University of California Riverside,Los Angeles Southwest College,MATH 9A; MATH 9B; MATH 9C,MATH 265 (5.00); MATH 266 (5.00),
University of California Riverside,Los Angeles Southwest College,PHYS 40A,PHYSICS 037 (5.00),
University of California Riverside,Los Angeles Southwest College,CS 11,Not Articulated,
University of California Riverside,Los Angeles Southwest College,CS 10C,CS 136 (3.00),
University of California Riverside,Los Angeles Southwest College,CS 61,CS 118 (3.00),
University of California Riverside,Los Angeles Southwest College,MATH 10A,MATH 267 (5.00),
University of California Riverside,Los Angeles Southwest College,PHYS 40B,PHYSICS 037 (5.00); PHYSICS 039 (5.00),
University of California Riverside,Los Angeles Southwest College,PHYS 40C,PHYSICS 038 (5.00),
University of California Riverside,Los Angeles Southwest College,EE 20B,Not Articulated,
University of California Riverside,Los Angeles Southwest College,MATH 31,MATH 270 (3.00),
University of California San Diego,Los Angeles Southwest College,CSE 8A,Not Articulated,
University of California San Diego,Los Angeles Southwest College,CSE 8B,Not Articulated,
University of California San Diego,Los Angeles Southwest College,CSE 11,CS 113 (3.00); CS 136 (3.00),
University of California San Diego,Los Angeles Southwest College,CSE 12,CS 136 (3.00),
University of California San Diego,Los Angeles Southwest College,CSE 15L,Not Articulated,
University of California San Diego,Los Angeles Southwest College,CSE 20,Not Articulated,
University of California San Diego,Los Angeles Southwest College,CSE 21,Not Articulated,
University of California San Diego,Los Angeles Southwest College,CSE 30,Not Articulated,
University of California San Diego,Los Angeles Southwest College,MATH 18,MATH 270 (3.00),
University of California San Diego,Los Angeles Southwest College,MATH 20A,MATH 265 (5.00),
University of California San Diego,Los Angeles Southwest College,MATH 20B,MATH 266 (5.00),
University of California San Diego,Los Angeles Southwest College,MATH 20C,MATH 267 (5.00),
University of California San Diego,Los Angeles Southwest College,BILD 1,BIOLOGY 006 (5.00); BIOLOGY 007 (5.00),
University of California San Diego,Los Angeles Southwest College,BILD 2,BIOLOGY 006 (5.00); BIOLOGY 007 (5.00),
University of California San Diego,Los Angeles Southwest College,BILD 3,BIOLOGY 006 (5.00); BIOLOGY 007 (5.00),
University of California San Diego,Los Angeles Southwest College,CHEM 6A,CHEM 101 (5.00),
University of California San Diego,Los Angeles Southwest College,CHEM 6B,CHEM 101 (5.00); CHEM 102 (5.00),
University of California San Diego,Los Angeles Southwest College,PHYS 2A,PHYSICS 037 (5.00),
University of California San Diego,Los Angeles Southwest College,PHYS 2B,PHYSICS 038 (5.00),
University of California San Diego,Los Angeles Southwest College,PHYS 4A,Not Articulated,
University of California San Diego,Los Angeles Southwest College,PHYS 4B,Not Articulated,
University of California Santa Barbara,Los Angeles Southwest College,MATH 3A,MATH 265 (5.00),
University of California Santa Barbara,Los Angeles Southwest College,MATH 3B,MATH 266 (5.00),
University of California Santa Barbara,Los Angeles Southwest College,MATH 4A,MATH 270 (3.00),
University of California Santa Barbara,Los Angeles Southwest College,MATH 4B,MATH 275 (3.00),
University of California Santa Barbara,Los Angeles Southwest College,CMPSC 16,CS 114 (3.00),
University of California Santa Barbara,Los Angeles Southwest College,CMPSC 24,CS 136 (3.00),
University of California Santa Barbara,Los Angeles Southwest College,CMPSC 40,Not Articulated,
University of California Santa Barbara,Los Angeles Southwest College,CMPSC 32,Not Articulated,
University of California Santa Barbara,Los Angeles Southwest College,CMPSC 64,CS 130 (3.00),CS 118 (3.00)
University of California Santa Barbara,Los Angeles Southwest College,MATH 6A,MATH 267 (5.00),
University of California Santa Barbara,Los Angeles Southwest College,PHYS 1,PHYSICS 037 (5.00),
University of California Santa Barbara,Los Angeles Southwest College,PHYS 2,PHYSICS 037 (5.00),
University of California Santa Barbara,Los Angeles Southwest College,PHYS 3; PHYS 3L,PHYSICS 038 (5.00),
University of California Santa Barbara,Los Angeles Southwest College,PHYS 6A; PHYS 6AL; PHYS 6B; PHYS 6BL; PHYS 6C; PHYS 6CL,PHYSICS 006 (4.00); PHYSICS 007 (4.00),
University of California Santa Barbara,Los Angeles Southwest College,PHYS 7A,PHYSICS 037 (5.00),
University of California Santa Barbara,Los Angeles Southwest College,PHYS 7B,PHYSICS 037 (5.00); PHYSICS 038 (5.00),
University of California Santa Barbara,Los Angeles Southwest College,PHYS 7C,PHYSICS 038 (5.00); PHYSICS 039 (5.00),
University of California Santa Barbara,Los Angeles Southwest College,PHYS 7D,PHYSICS 039 (5.00),
University of California Santa Barbara,Los Angeles Southwest College,PHYS 7L,PHYSICS 037 (5.00); PHYSICS 038 (5.00),
University of California Santa Barbara,Los Angeles Southwest College,CHEM 1A; CHEM 1AL; CHEM 1B; CHEM 1BL; CHEM 1C; CHEM 1CL,CHEM 101 (5.00); CHEM 102 (5.00),
University of California Santa Barbara,Los Angeles Southwest College,MCDB 1A; MCDB 1LL,BIOLOGY 006 (5.00); BIOLOGY 007 (5.00),
University of California Santa Barbara,Los Angeles Southwest College,MCDB 1B,BIOLOGY 006 (5.00); BIOLOGY 007 (5.00),
University of California Santa Barbara,Los Angeles Southwest College,PSTAT 120A,Not Articulated,
University of California Santa Cruz,Los Angeles Southwest College,CSE 12,Not Articulated,
University of California Santa Cruz,Los Angeles Southwest College,CSE 16,Not Articulated,
University of California Santa Cruz,Los Angeles Southwest College,CSE 30,CS 136 (3.00),
University of California Santa Cruz,Los Angeles Southwest College,MATH 19A,MATH 265 (5.00),
University of California Santa Cruz,Los Angeles Southwest College,MATH 19B,MATH 266 (5.00),
University of California Santa Cruz,Los Angeles Southwest College,AM 10,MATH 270 (3.00),
University of California Santa Cruz,Los Angeles Southwest College,MATH 21,MATH 270 (3.00),
University of California Santa Cruz,Los Angeles Southwest College,AM 30,MATH 267 (5.00),
University of California Santa Cruz,Los Angeles Southwest College,MATH 23A,MATH 267 (5.00),
