UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Los Medanos College,MATH 1A,MATH 210 (4.00),,
University of California Berkeley,Los Medanos College,MATH 1B,MATH 220 (4.00),,
University of California Berkeley,Los Medanos College,MATH 53,MATH 230 (4.00),,
University of California Berkeley,Los Medanos College,MATH 54,MATH 250 (3.00); MATH 240 (3.00),,
University of California Berkeley,Los Medanos College,PHYSICS 7A,PHYS 040 (4.00),,
University of California Berkeley,Los Medanos College,PHYSICS 7B,PHYS 041 (4.00),,
University of California Berkeley,Los Medanos College,ENGLISH R1A,ENGL 100 (3.00),,
University of California Berkeley,Los Medanos College,ENGLISH R1B,ENGL 230 (3.00),,
University of California Berkeley,Los Medanos College,ASTRON 7A,Not Articulated,,
University of California Berkeley,Los Medanos College,ASTRON 7B,Not Articulated,,
University of California Berkeley,Los Medanos College,BIOLOGY 1A; BIOLOGY 1AL,BIOSC 020 (5.00),,
University of California Berkeley,Los Medanos College,BIOLOGY 1B,BIOSC 021 (5.00),,
University of California Berkeley,Los Medanos College,CHEM 1A; CHEM 1AL,CHEM 025 (5.00),,
University of California Berkeley,Los Medanos College,CHEM 1B,CHEM 026 (5.00),,
University of California Berkeley,Los Medanos College,CHEM 3A; CHEM 3AL,CHEM 028 (5.00),,
University of California Berkeley,Los Medanos College,CHEM 3B; CHEM 3BL,CHEM 029 (5.00),,
University of California Berkeley,Los Medanos College,MCELLBI 32; MCELLBI 32L,BIOSC 045 (5.00),,
University of California Berkeley,Los Medanos College,PHYSICS 7C,PHYS 042 (4.00),,
University of California Berkeley,Los Medanos College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,Los Medanos College,COMPSCI 61B,COMSC 132 (3.00),,
University of California Berkeley,Los Medanos College,COMPSCI 61C,Not Articulated,,
University of California Berkeley,Los Medanos College,COMPSCI 70,Not Articulated,,
University of California Berkeley,Los Medanos College,EECS 16A,Not Articulated,,
University of California Berkeley,Los Medanos College,EECS 16B,Not Articulated,,
University of California Davis,Los Medanos College,ECS 020,MATH 160 (4.00),,
University of California Davis,Los Medanos College,ECS 036A,COMSC 044 (3.00),COMSC 122 (3.00),ENGIN 020 (4.00)
University of California Davis,Los Medanos College,ECS 036B,Not Articulated,,
University of California Davis,Los Medanos College,ECS 036C,COMSC 132 (3.00),,
University of California Davis,Los Medanos College,ECS 050,COMSC 142 (3.00),,
University of California Davis,Los Medanos College,MAT 021A,MATH 210 (4.00),,
University of California Davis,Los Medanos College,MAT 021B,MATH 220 (4.00),,
University of California Davis,Los Medanos College,MAT 021C; MAT 021D,MATH 230 (4.00),,
University of California Davis,Los Medanos College,MAT 022A,MATH 250 (3.00),,
University of California Davis,Los Medanos College,MAT 027A,Not Articulated,,
University of California Davis,Los Medanos College,MAT 067,Not Articulated,,
University of California Davis,Los Medanos College,BIS 002A,BIOSC 020 (5.00),,
University of California Davis,Los Medanos College,BIS 002B,BIOSC 021 (5.00),,
University of California Davis,Los Medanos College,BIS 002C,BIOSC 021 (5.00),,
University of California Davis,Los Medanos College,CHE 002A; CHE 002B; CHE 002C,CHEM 025 (5.00); CHEM 026 (5.00),,
University of California Davis,Los Medanos College,CHE 004A,Not Articulated,,
University of California Davis,Los Medanos College,CHE 004B,Not Articulated,,
University of California Davis,Los Medanos College,CHE 004C,Not Articulated,,
University of California Davis,Los Medanos College,PHY 009A,PHYS 040 (4.00),,
University of California Davis,Los Medanos College,PHY 009B,PHYS 042 (4.00),,
University of California Davis,Los Medanos College,PHY 009C,PHYS 041 (4.00),,
University of California Irvine,Los Medanos College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,
University of California Irvine,Los Medanos College,MATH 2A,MATH 210 (4.00),,
University of California Irvine,Los Medanos College,MATH 2B,MATH 220 (4.00),,
University of California Irvine,Los Medanos College,MATH 3A,MATH 250 (3.00),,
University of California Irvine,Los Medanos College,I&C SCI 6N,Not Articulated,,
University of California Irvine,Los Medanos College,I&C SCI 6B,Not Articulated,,
University of California Irvine,Los Medanos College,I&C SCI 6D,MATH 160 (4.00),,
University of California Irvine,Los Medanos College,I&C SCI 45C,Not Articulated,,
University of California Irvine,Los Medanos College,I&C SCI 46,Not Articulated,,
University of California Irvine,Los Medanos College,I&C SCI 51,Not Articulated,,
University of California Irvine,Los Medanos College,I&C SCI 53,Not Articulated,,
University of California Irvine,Los Medanos College,IN4MATX 43,Not Articulated,,
University of California Irvine,Los Medanos College,STATS 67,Not Articulated,,
University of California Los Angeles,Los Medanos College,COM SCI 31,Not Articulated,,
University of California Los Angeles,Los Medanos College,COM SCI 32,Not Articulated,,
University of California Los Angeles,Los Medanos College,COM SCI 33,COMSC 142 (3.00),,
