UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7,Courses Group 8
University of California Berkeley,Madera Community College,MATH 1A,MATH  5A (5.00),,,,,,,
University of California Berkeley,Madera Community College,MATH 1B,MATH  5B (4.00); MATH  17 (5.00),,,,,,,
University of California Berkeley,Madera Community College,MATH 53,MATH  6 (5.00),,,,,,,
University of California Berkeley,Madera Community College,MATH 54,MATH  17 (5.00),,,,,,,
University of California Berkeley,Madera Community College,PHYSICS 7A,PHYS  4A (4.00),,,,,,,
University of California Berkeley,Madera Community College,PHYSICS 7B,PHYS  4B (4.00),,,,,,,
University of California Berkeley,Madera Community College,ENGLISH R1A,ENGL  1A (4.00),ENGL  1AH (4.00),,,,,,
University of California Berkeley,Madera Community College,ENGLISH R1B,ENGL  1B (3.00),ENGL  1BH (3.00),ENGL  2 (3.00),ENGL  2H (3.00),ENGL  3 (3.00),ENGL  3H (3.00),,
University of California Berkeley,Madera Community College,ASTRON 7A,Not Articulated,,,,,,,
University of California Berkeley,Madera Community College,ASTRON 7B,Not Articulated,,,,,,,
University of California Berkeley,Madera Community College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOL  11A (5.00); BIOL  11B (5.00),,,,,,,
University of California Berkeley,Madera Community College,CHEM 1A; CHEM 1AL,CHEM  1A (5.00),,,,,,,
University of California Berkeley,Madera Community College,CHEM 1B,CHEM  1B (5.00),,,,,,,
University of California Berkeley,Madera Community College,CHEM 3A; CHEM 3AL,CHEM  28A (3.00); CHEM  29A (2.00),,,,,,,
University of California Berkeley,Madera Community College,CHEM 3B; CHEM 3BL,CHEM  28B (3.00); CHEM  29B (2.00),,,,,,,
University of California Berkeley,Madera Community College,MCELLBI 32; MCELLBI 32L,BIOL  22 (5.00),,,,,,,
University of California Berkeley,Madera Community College,PHYSICS 7C,PHYS  4C (4.00),,,,,,,
University of California Berkeley,Madera Community College,COMPSCI 61A,Not Articulated,,,,,,,
University of California Berkeley,Madera Community College,COMPSCI 61B,CSCI  41 (4.00),,,,,,,
University of California Berkeley,Madera Community College,COMPSCI 61C,Not Articulated,,,,,,,
University of California Berkeley,Madera Community College,COMPSCI 70,Not Articulated,,,,,,,
University of California Berkeley,Madera Community College,EECS 16A,Not Articulated,,,,,,,
University of California Berkeley,Madera Community College,EECS 16B,Not Articulated,,,,,,,
University of California Davis,Madera Community College,ECS 020,CSCI  26 (4.00),,,,,,,
University of California Davis,Madera Community College,ECS 036A,CSCI  40 (4.00),ENGR  40 (4.00),,,,,,
University of California Davis,Madera Community College,ECS 036B,CSCI  41 (4.00),,,,,,,
University of California Davis,Madera Community College,ECS 036C,CSCI  41 (4.00),,,,,,,
University of California Davis,Madera Community College,ECS 050,CSCI  45 (4.00),,,,,,,
University of California Davis,Madera Community College,MAT 021A,MATH  5A (5.00),,,,,,,
University of California Davis,Madera Community College,MAT 021B,MATH  5B (4.00),,,,,,,
University of California Davis,Madera Community College,MAT 021C,MATH  5B (4.00); MATH  6 (5.00),,,,,,,
University of California Davis,Madera Community College,MAT 022A,MATH  17 (5.00),,,,,,,
University of California Davis,Madera Community College,MAT 027A,Not Articulated,,,,,,,
University of California Davis,Madera Community College,MAT 067,Not Articulated,,,,,,,
University of California Davis,Madera Community College,BIS 002A,BIOL  11A (5.00),,,,,,,
University of California Davis,Madera Community College,BIS 002B,Not Articulated,,,,,,,
University of California Davis,Madera Community College,BIS 002C,BIOL  11B (5.00),,,,,,,
University of California Davis,Madera Community College,CHE 002A; CHE 002B; CHE 002C,CHEM  1A (5.00); CHEM  1B (5.00),,,,,,,
University of California Davis,Madera Community College,CHE 004A,Not Articulated,,,,,,,
University of California Davis,Madera Community College,CHE 004B,Not Articulated,,,,,,,
University of California Davis,Madera Community College,CHE 004C,Not Articulated,,,,,,,
University of California Davis,Madera Community College,PHY 009A; PHY 009B; PHY 009C,PHYS  4A (4.00); PHYS  4B (4.00); PHYS  4C (4.00),,,,,,,
University of California Irvine,Madera Community College,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI  40 (4.00); CSCI  41 (4.00),,,,,,,
University of California Irvine,Madera Community College,MATH 2A,MATH  5A (5.00),,,,,,,
University of California Irvine,Madera Community College,MATH 2B,MATH  5B (4.00),,,,,,,
University of California Irvine,Madera Community College,MATH 3A,MATH  17 (5.00),,,,,,,
University of California Irvine,Madera Community College,I&C SCI 6N,Not Articulated,,,,,,,
University of California Irvine,Madera Community College,I&C SCI 6B,Not Articulated,,,,,,,
University of California Irvine,Madera Community College,I&C SCI 6D,Not Articulated,,,,,,,
University of California Irvine,Madera Community College,I&C SCI 45C,Not Articulated,,,,,,,
University of California Irvine,Madera Community College,I&C SCI 46,Not Articulated,,,,,,,
University of California Irvine,Madera Community College,I&C SCI 51,Not Articulated,,,,,,,
University of California Irvine,Madera Community College,I&C SCI 53,Not Articulated,,,,,,,
University of California Irvine,Madera Community College,IN4MATX 43,Not Articulated,,,,,,,
University of California Irvine,Madera Community College,STATS 67,Not Articulated,,,,,,,
University of California Los Angeles,Madera Community College,COM SCI 31,ENGR  40 (4.00),,,,,,,
University of California Los Angeles,Madera Community College,COM SCI 32,CSCI  41 (4.00),,,,,,,
University of California Los Angeles,Madera Community College,COM SCI 33,CSCI  45 (4.00),,,,,,,
University of California Los Angeles,Madera Community College,COM SCI 35L,Not Articulated,,,,,,,
University of California Los Angeles,Madera Community College,COM SCI M51A,Not Articulated,,,,,,,
University of California Los Angeles,Madera Community College,EC ENGR M16,Not Articulated,,,,,,,
University of California Los Angeles,Madera Community College,MATH 31A,MATH  5A (5.00),,,,,,,
University of California Los Angeles,Madera Community College,MATH 31B,MATH  5B (4.00),,,,,,,
University of California Los Angeles,Madera Community College,MATH 32A,MATH  6 (5.00),,,,,,,
University of California Los Angeles,Madera Community College,MATH 32B,MATH  6 (5.00),,,,,,,
University of California Los Angeles,Madera Community College,MATH 33A,MATH  17 (5.00),,,,,,,
University of California Los Angeles,Madera Community College,MATH 33B,MATH  17 (5.00),,,,,,,
University of California Los Angeles,Madera Community College,MATH 61,CSCI  26 (4.00),,,,,,,
University of California Los Angeles,Madera Community College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS  4A (4.00); PHYS  4B (4.00); PHYS  4C (4.00),,,,,,,
University of California Los Angeles,Madera Community College,PHYSICS 4AL,Not Articulated,,,,,,,
University of California Los Angeles,Madera Community College,PHYSICS 4BL,Not Articulated,,,,,,,
University of California Los Angeles,Madera Community College,ENGCOMP 3,ENGL  1A (4.00),ENGL  1AH (4.00),,,,,,
University of California Los Angeles,Madera Community College,,ENGL  1B (3.00),ENGL  1BH (3.00),ENGL  2 (3.00),ENGL  2H (3.00),ENGL  3 (3.00),ENGL  3H (3.00),PHIL  2 (3.00),
University of California Los Angeles,Madera Community College,,ENGR  40 (4.00),,,,,,,
