UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Mendocino College,MATH 1A,MTH 210 (5.00),,
University of California Berkeley,Mendocino College,MATH 1B,MTH 211 (5.00); MTH 212 (5.00),,
University of California Berkeley,Mendocino College,MATH 53,MTH 212 (5.00),,
University of California Berkeley,Mendocino College,MATH 54,MTH 214 (4.00); MTH 215 (3.00),,
University of California Berkeley,Mendocino College,ENGLISH R1A,ENG 200 (4.00),,
University of California Berkeley,Mendocino College,ENGLISH R1B,ENG 201 (4.00),,
University of California Berkeley,Mendocino College,PHYSICS 7A,Not Articulated,,
University of California Berkeley,Mendocino College,,PHY 220 (4.00),,
University of California Berkeley,Mendocino College,PHYSICS 7B,Not Articulated,,
University of California Berkeley,Mendocino College,,PHY 221 (4.00); PHY 222 (4.00),,
University of California Berkeley,Mendocino College,ASTRON 7A,Not Articulated,,
University of California Berkeley,Mendocino College,ASTRON 7B,Not Articulated,,
University of California Berkeley,Mendocino College,BIOLOGY 1A; BIOLOGY 1AL,BIO 250 (4.00); BIO 257 (4.00),,
University of California Berkeley,Mendocino College,BIOLOGY 1B,BIO 255 (4.00); BIO 257 (4.00),,
University of California Berkeley,Mendocino College,CHEM 1A; CHEM 1AL; CHEM 1B,CHM 250 (5.00); CHM 251 (5.00),,
University of California Berkeley,Mendocino College,CHEM 3A; CHEM 3AL,CHM 255 (5.00); CHM 256 (5.00),,
University of California Berkeley,Mendocino College,CHEM 3B; CHEM 3BL,CHM 255 (5.00); CHM 256 (5.00),,
University of California Berkeley,Mendocino College,MCELLBI 32; MCELLBI 32L,BIO 231 (5.00),,
University of California Berkeley,Mendocino College,PHYSICS 7C,Not Articulated,,
University of California Berkeley,Mendocino College,,PHY 221 (4.00); PHY 222 (4.00),,
University of California Berkeley,Mendocino College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,Mendocino College,COMPSCI 61B,Not Articulated,,
University of California Berkeley,Mendocino College,COMPSCI 61C,Not Articulated,,
University of California Berkeley,Mendocino College,COMPSCI 70,Not Articulated,,
University of California Berkeley,Mendocino College,EECS 16A,Not Articulated,,
University of California Berkeley,Mendocino College,EECS 16B,Not Articulated,,
University of California Davis,Mendocino College,ECS 020,Not Articulated,,
University of California Davis,Mendocino College,ECS 036A,CSC 221 (3.00),,
University of California Davis,Mendocino College,ECS 036B,Not Articulated,,
University of California Davis,Mendocino College,ECS 036C,Not Articulated,,
University of California Davis,Mendocino College,ECS 050,CSC 210 (3.00),,
University of California Davis,Mendocino College,MAT 021A,MTH 210 (5.00),,
University of California Davis,Mendocino College,MAT 021B,MTH 211 (5.00),,
University of California Davis,Mendocino College,MAT 021C,MTH 212 (5.00),,
University of California Davis,Mendocino College,MAT 022A,MTH 214 (4.00),,
University of California Davis,Mendocino College,MAT 027A,Not Articulated,,
University of California Davis,Mendocino College,MAT 067,Not Articulated,,
University of California Davis,Mendocino College,BIS 002A,BIO 250 (4.00),,
University of California Davis,Mendocino College,BIS 002B,BIO 255 (4.00); BIO 257 (4.00),,
University of California Davis,Mendocino College,BIS 002C,BIO 255 (4.00); BIO 257 (4.00),,
University of California Davis,Mendocino College,CHE 002A; CHE 002B; CHE 002C,CHM 250 (5.00); CHM 251 (5.00),,
University of California Davis,Mendocino College,CHE 004A,Not Articulated,,
University of California Davis,Mendocino College,CHE 004B,Not Articulated,,
University of California Davis,Mendocino College,CHE 004C,Not Articulated,,
University of California Davis,Mendocino College,PHY 009A,PHY 220 (4.00); PHY 221 (4.00); PHY 222 (4.00),,
University of California Davis,Mendocino College,PHY 009B,PHY 220 (4.00); PHY 221 (4.00); PHY 222 (4.00),,
University of California Davis,Mendocino College,PHY 009C,PHY 220 (4.00); PHY 221 (4.00); PHY 222 (4.00),,
University of California Irvine,Mendocino College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,
University of California Irvine,Mendocino College,MATH 2A,MTH 210 (5.00),,
University of California Irvine,Mendocino College,MATH 2B,MTH 211 (5.00),,
University of California Irvine,Mendocino College,MATH 3A,MTH 214 (4.00),,
University of California Irvine,Mendocino College,I&C SCI 6N,Not Articulated,,
University of California Irvine,Mendocino College,I&C SCI 6B,Not Articulated,,
University of California Irvine,Mendocino College,I&C SCI 6D,Not Articulated,,
University of California Irvine,Mendocino College,I&C SCI 45C,Not Articulated,,
University of California Irvine,Mendocino College,I&C SCI 46,Not Articulated,,
University of California Irvine,Mendocino College,I&C SCI 51,Not Articulated,,
University of California Irvine,Mendocino College,I&C SCI 53,Not Articulated,,
University of California Irvine,Mendocino College,IN4MATX 43,Not Articulated,,
University of California Irvine,Mendocino College,STATS 67,Not Articulated,,
University of California Los Angeles,Mendocino College,COM SCI 31,Not Articulated,,
University of California Los Angeles,Mendocino College,COM SCI 32,Not Articulated,,
University of California Los Angeles,Mendocino College,COM SCI 33,Not Articulated,,
University of California Los Angeles,Mendocino College,COM SCI 35L,Not Articulated,,
University of California Los Angeles,Mendocino College,COM SCI M51A,Not Articulated,,
University of California Los Angeles,Mendocino College,EC ENGR M16,Not Articulated,,
University of California Los Angeles,Mendocino College,MATH 31A,MTH 210 (5.00),,
University of California Los Angeles,Mendocino College,MATH 31B,MTH 211 (5.00),,
University of California Los Angeles,Mendocino College,MATH 32A,MTH 212 (5.00),,
University of California Los Angeles,Mendocino College,MATH 32B,MTH 212 (5.00),,
University of California Los Angeles,Mendocino College,MATH 33A,MTH 214 (4.00),,
University of California Los Angeles,Mendocino College,MATH 33B,MTH 215 (3.00),,
University of California Los Angeles,Mendocino College,MATH 61,Not Articulated,,
University of California Los Angeles,Mendocino College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHY 220 (4.00); PHY 221 (4.00); PHY 222 (4.00),,
University of California Los Angeles,Mendocino College,PHYSICS 4AL,Not Articulated,,
University of California Los Angeles,Mendocino College,PHYSICS 4BL,Not Articulated,,
University of California Los Angeles,Mendocino College,ENGCOMP 3,ENG 200 (4.00),,
University of California Los Angeles,Mendocino College,,ENG 201 (4.00),ENG 205 (3.00),
University of California Los Angeles,Mendocino College,,Not Articulated,,
University of California Merced,Mendocino College,CSE 022,CSC 221 (3.00); CSC 221L (1.00),,
University of California Merced,Mendocino College,CSE 030,CSC 222 (3.00); CSC 222L (1.00),,
University of California Merced,Mendocino College,MATH 021,MTH 210 (5.00),,
University of California Merced,Mendocino College,MATH 022,MTH 211 (5.00),,
University of California Merced,Mendocino College,MATH 023,MTH 212 (5.00),,
University of California Merced,Mendocino College,MATH 024,MTH 214 (4.00); MTH 215 (3.00),,
University of California Merced,Mendocino College,PHYS 008; PHYS 008L,PHY 220 (4.00),,
University of California Merced,Mendocino College,PHYS 009; PHYS 009L,PHY 221 (4.00),,
University of California Merced,Mendocino College,CSE 015,CSC 240 (3.00),,
University of California Merced,Mendocino College,CSE 022,CSC 221 (3.00); CSC 221L (1.00),,
University of California Merced,Mendocino College,CSE 024,Not Articulated,,
University of California Merced,Mendocino College,CSE 030,CSC 222 (3.00); CSC 222L (1.00),,
University of California Merced,Mendocino College,CSE 031,CSC 210 (3.00); CSC 210L (1.00),,
University of California Merced,Mendocino College,ENGR 065,Not Articulated,,
University of California Merced,Mendocino College,ENGR 091,Not Articulated,,
University of California Merced,Mendocino College,MATH 032,Not Articulated,,
University of California Merced,Mendocino College,ENGR 080,Not Articulated,,
University of California Merced,Mendocino College,WRI 001,ENG 200 (4.00),,
University of California Merced,Mendocino College,WRI 010,COM 202 (3.00),ENG 201 (4.00),ENG 205 (3.00)
University of California Riverside,Mendocino College,CS 10A,CSC 221 (3.00),,
University of California Riverside,Mendocino College,CS 10B,CSC 222 (3.00),,
University of California Riverside,Mendocino College,MATH 9A; MATH 9B; MATH 9C,MTH 210 (5.00); MTH 211 (5.00),,
University of California Riverside,Mendocino College,PHYS 40A,PHY 220 (4.00),,
University of California Riverside,Mendocino College,CS 11,Not Articulated,,
University of California Riverside,Mendocino College,CS 10C,Not Articulated,,
University of California Riverside,Mendocino College,CS 61,Not Articulated,,
University of California Riverside,Mendocino College,MATH 10A,MTH 212 (5.00),,
University of California Riverside,Mendocino College,PHYS 40B,PHY 222 (4.00),,
University of California Riverside,Mendocino College,PHYS 40C,PHY 221 (4.00),,
University of California Riverside,Mendocino College,EE 20B,Not Articulated,,
University of California Riverside,Mendocino College,MATH 31,MTH 214 (4.00),,
University of California San Diego,Mendocino College,CSE 8A,CSC 221 (3.00),,
University of California San Diego,Mendocino College,CSE 8B,CSC 222 (3.00),,
University of California San Diego,Mendocino College,CSE 11,Not Articulated,,
University of California San Diego,Mendocino College,CSE 12,Not Articulated,,
University of California San Diego,Mendocino College,CSE 15L,Not Articulated,,
University of California San Diego,Mendocino College,CSE 20,Not Articulated,,
University of California San Diego,Mendocino College,CSE 21,Not Articulated,,
University of California San Diego,Mendocino College,CSE 30,Not Articulated,,
University of California San Diego,Mendocino College,MATH 18,MTH 214 (4.00),,
University of California San Diego,Mendocino College,MATH 20A,MTH 210 (5.00),,
University of California San Diego,Mendocino College,MATH 20B,MTH 211 (5.00),,
University of California San Diego,Mendocino College,MATH 20C,MTH 212 (5.00),,
University of California San Diego,Mendocino College,BILD 1,Not Articulated,,
University of California San Diego,Mendocino College,BILD 2,Not Articulated,,
University of California San Diego,Mendocino College,BILD 3,Not Articulated,,
University of California San Diego,Mendocino College,CHEM 6A,CHM 250 (5.00); CHM 251 (5.00),,
University of California San Diego,Mendocino College,CHEM 6B,CHM 250 (5.00); CHM 251 (5.00),,
University of California San Diego,Mendocino College,PHYS 2A,PHY 220 (4.00),,
University of California San Diego,Mendocino College,PHYS 2B,PHY 221 (4.00),,
University of California San Diego,Mendocino College,PHYS 4A,Not Articulated,,
University of California San Diego,Mendocino College,PHYS 4B,Not Articulated,,
University of California Santa Barbara,Mendocino College,MATH 3A,MTH 210 (5.00),,
University of California Santa Barbara,Mendocino College,MATH 3B,MTH 211 (5.00),,
University of California Santa Barbara,Mendocino College,MATH 4A,MTH 214 (4.00),,
University of California Santa Barbara,Mendocino College,MATH 4B,MTH 215 (3.00),,
University of California Santa Barbara,Mendocino College,CMPSC 16,Not Articulated,,
University of California Santa Barbara,Mendocino College,CMPSC 24,Not Articulated,,
University of California Santa Barbara,Mendocino College,CMPSC 40,CSC 240 (3.00),,
University of California Santa Barbara,Mendocino College,CMPSC 32,Not Articulated,,
University of California Santa Barbara,Mendocino College,CMPSC 64,CSC 210 (3.00); CSC 210L (1.00),,
University of California Santa Barbara,Mendocino College,MATH 6A,MTH 212 (5.00),,
University of California Santa Barbara,Mendocino College,PHYS 1,PHY 220 (4.00),,
University of California Santa Barbara,Mendocino College,PHYS 2,PHY 220 (4.00); PHY 222 (4.00),,
University of California Santa Barbara,Mendocino College,PHYS 3; PHYS 3L,PHY 221 (4.00); PHY 222 (4.00),,
University of California Santa Barbara,Mendocino College,PHYS 6A; PHYS 6AL; PHYS 6B; PHYS 6BL; PHYS 6C; PHYS 6CL,PHY 210 (4.00); PHY 211 (4.00),,
University of California Santa Barbara,Mendocino College,PHYS 7A,PHY 220 (4.00),,
University of California Santa Barbara,Mendocino College,PHYS 7B,PHY 220 (4.00); PHY 221 (4.00); PHY 222 (4.00),,
University of California Santa Barbara,Mendocino College,PHYS 7C,PHY 221 (4.00); PHY 222 (4.00),,
University of California Santa Barbara,Mendocino College,PHYS 7D,PHY 221 (4.00); PHY 222 (4.00),,
University of California Santa Barbara,Mendocino College,PHYS 7L,PHY 220 (4.00); PHY 221 (4.00),,
University of California Santa Barbara,Mendocino College,CHEM 1A; CHEM 1AL; CHEM 1B; CHEM 1BL; CHEM 1C; CHEM 1CL,CHM 250 (5.00); CHM 251 (5.00),,
University of California Santa Barbara,Mendocino College,MCDB 1A; MCDB 1LL,BIO 250 (4.00); BIO 255 (4.00); BIO 257 (4.00),,
University of California Santa Barbara,Mendocino College,MCDB 1B,BIO 250 (4.00); BIO 255 (4.00); BIO 257 (4.00),,
University of California Santa Barbara,Mendocino College,PSTAT 120A,Not Articulated,,
University of California Santa Cruz,Mendocino College,CSE 12,Not Articulated,,
University of California Santa Cruz,Mendocino College,CSE 16,Not Articulated,,
University of California Santa Cruz,Mendocino College,CSE 30,Not Articulated,,
University of California Santa Cruz,Mendocino College,MATH 19A,MTH 210 (5.00),,
University of California Santa Cruz,Mendocino College,MATH 19B,MTH 211 (5.00),,
University of California Santa Cruz,Mendocino College,AM 10,MTH 214 (4.00),,
University of California Santa Cruz,Mendocino College,MATH 21,MTH 214 (4.00),,
University of California Santa Cruz,Mendocino College,AM 30,MTH 212 (5.00),,
University of California Santa Cruz,Mendocino College,MATH 23A,MTH 212 (5.00),,
