UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7
University of California Berkeley,Merced College,MATH 1A,MATH -04A (4.00),,,,,,
University of California Berkeley,Merced College,MATH 1B,MATH -04B (4.00),,,,,,
University of California Berkeley,Merced College,MATH 53,MATH -04C (4.00),,,,,,
University of California Berkeley,Merced College,MATH 54,MATH -06 (3.00); MATH -08 (3.00),,,,,,
University of California Berkeley,Merced College,PHYSICS 7A,PHYS -04A (4.00),,,,,,
University of California Berkeley,Merced College,PHYSICS 7B,PHYS -04B (4.00),,,,,,
University of California Berkeley,Merced College,ENGLISH R1A,ENGL -01A (4.00),,,,,,
University of California Berkeley,Merced College,ENGLISH R1B,ENGL -01B (3.00),,,,,,
University of California Berkeley,Merced College,ASTRON 7A,Not Articulated,,,,,,
University of California Berkeley,Merced College,ASTRON 7B,Not Articulated,,,,,,
University of California Berkeley,Merced College,BIOLOGY 1A; BIOLOGY 1AL,BIOL -04A (4.00); BIOL -04B (5.00),,,,,,
University of California Berkeley,Merced College,BIOLOGY 1B,BIOL -04A (4.00); BIOL -04B (5.00),,,,,,
University of California Berkeley,Merced College,CHEM 1A; CHEM 1AL,CHEM -04A (5.00),,,,,,
University of California Berkeley,Merced College,CHEM 1B,CHEM -04B (5.00),,,,,,
University of California Berkeley,Merced College,CHEM 3A; CHEM 3AL,CHEM -13A (3.00); CHEM -13AL (2.00),,,,,,
University of California Berkeley,Merced College,CHEM 3B; CHEM 3BL,CHEM -13B (3.00); CHEM -13BL (2.00),,,,,,
University of California Berkeley,Merced College,MCELLBI 32; MCELLBI 32L,BIOL -18 (4.00),,,,,,
University of California Berkeley,Merced College,PHYSICS 7C,PHYS -04C (4.00),,,,,,
University of California Berkeley,Merced College,COMPSCI 61A,Not Articulated,,,,,,
University of California Berkeley,Merced College,COMPSCI 61B,Not Articulated,,,,,,
University of California Berkeley,Merced College,COMPSCI 61C,Not Articulated,,,,,,
University of California Berkeley,Merced College,COMPSCI 70,Not Articulated,,,,,,
University of California Berkeley,Merced College,EECS 16A,Not Articulated,,,,,,
University of California Berkeley,Merced College,EECS 16B,Not Articulated,,,,,,
University of California Davis,Merced College,ECS 020,CPSC -07 (3.00),MATH -07 (3.00),,,,,
University of California Davis,Merced College,ECS 036A,CPSC -06 (3.00),CPSC -14 (3.00),ENGR -14 (3.00),,,,
University of California Davis,Merced College,ECS 036B,CPSC -39 (4.00),,,,,,
University of California Davis,Merced College,ECS 036C,Not Articulated,,,,,,
University of California Davis,Merced College,ECS 050,CPSC -42 (3.00),,,,,,
University of California Davis,Merced College,MAT 021A,MATH -04A (4.00),,,,,,
University of California Davis,Merced College,MAT 021B,MATH -04B (4.00),,,,,,
University of California Davis,Merced College,MAT 021C; MAT 021D,MATH -04C (4.00),,,,,,
University of California Davis,Merced College,MAT 022A,MATH -08 (3.00),,,,,,
University of California Davis,Merced College,MAT 027A,Not Articulated,,,,,,
University of California Davis,Merced College,MAT 067,Not Articulated,,,,,,
University of California Davis,Merced College,BIS 002A,BIOL -04A (4.00),,,,,,
University of California Davis,Merced College,BIS 002B,BIOL -04A (4.00); BIOL -04B (5.00),,,,,,
University of California Davis,Merced College,BIS 002C,BIOL -04B (5.00),,,,,,
University of California Davis,Merced College,CHE 002A; CHE 002B; CHE 002C,CHEM -04A (5.00); CHEM -04B (5.00),,,,,,
University of California Davis,Merced College,CHE 004A,Not Articulated,,,,,,
University of California Davis,Merced College,CHE 004B,Not Articulated,,,,,,
University of California Davis,Merced College,CHE 004C,Not Articulated,,,,,,
University of California Davis,Merced College,PHY 009A,PHYS -04A (4.00); PHYS -04B (4.00); PHYS -04C (4.00),,,,,,
University of California Davis,Merced College,PHY 009B,PHYS -04A (4.00); PHYS -04B (4.00); PHYS -04C (4.00),,,,,,
University of California Davis,Merced College,PHY 009C,PHYS -04A (4.00); PHYS -04B (4.00); PHYS -04C (4.00),,,,,,
