UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Merritt College,MATH 1A,MATH 3A (5.00),,
University of California Berkeley,Merritt College,MATH 1B,MATH 3B (5.00),,
University of California Berkeley,Merritt College,MATH 53,MATH 3C (5.00),,
University of California Berkeley,Merritt College,MATH 54,MATH 3E (3.00); MATH 3F (3.00),,
University of California Berkeley,Merritt College,PHYSICS 7A,PHYS 4A (5.00),,
University of California Berkeley,Merritt College,PHYSICS 7B,PHYS 4B (5.00),,
University of California Berkeley,Merritt College,ENGLISH R1A,ENGL 1A (4.00),,
University of California Berkeley,Merritt College,ENGLISH R1B,ENGL 1B (4.00),,
University of California Berkeley,Merritt College,ASTRON 7A,Not Articulated,,
University of California Berkeley,Merritt College,ASTRON 7B,Not Articulated,,
University of California Berkeley,Merritt College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 1A (5.00),,
University of California Berkeley,Merritt College,BIOLOGY 1B,BIOL 1B (5.00),,
University of California Berkeley,Merritt College,CHEM 1A; CHEM 1AL,CHEM 1A (5.00),,
University of California Berkeley,Merritt College,CHEM 1B,CHEM 1B (5.00),,
University of California Berkeley,Merritt College,CHEM 3A; CHEM 3AL,CHEM 12A (5.00),,
University of California Berkeley,Merritt College,CHEM 3B; CHEM 3BL,CHEM 12B (5.00),,
University of California Berkeley,Merritt College,MCELLBI 32; MCELLBI 32L,BIOL 20A (5.00); BIOL 20B (5.00),BIOL 4 (5.00),
University of California Berkeley,Merritt College,PHYSICS 7C,PHYS 4C (5.00),,
University of California Berkeley,Merritt College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,Merritt College,COMPSCI 61B,CIS 33 (4.00),,
University of California Berkeley,Merritt College,COMPSCI 61C,Not Articulated,,
University of California Berkeley,Merritt College,COMPSCI 70,Not Articulated,,
University of California Berkeley,Merritt College,EECS 16A,Not Articulated,,
University of California Berkeley,Merritt College,EECS 16B,Not Articulated,,
University of California Davis,Merritt College,ECS 020,CIS 11 (4.00),,
University of California Davis,Merritt College,ECS 036A,Not Articulated,,
University of California Davis,Merritt College,ECS 036B,CIS 33 (4.00),,
University of California Davis,Merritt College,ECS 036C,Not Articulated,,
University of California Davis,Merritt College,ECS 050,Not Articulated,,
University of California Davis,Merritt College,MAT 021A,MATH 3B (5.00); MATH 3A (5.00),,
University of California Davis,Merritt College,MAT 021B,MATH 3B (5.00),,
University of California Davis,Merritt College,MAT 021C,MATH 3B (5.00); MATH 3C (5.00),,
University of California Davis,Merritt College,MAT 022A,MATH 3E (3.00),,
University of California Davis,Merritt College,MAT 027A,Not Articulated,,
University of California Davis,Merritt College,MAT 067,Not Articulated,,
University of California Davis,Merritt College,BIS 002A,BIOL 1A (5.00),,
University of California Davis,Merritt College,BIS 002B,BIOL 1B (5.00),,
University of California Davis,Merritt College,BIS 002C,Not Articulated,,
University of California Davis,Merritt College,CHE 002A; CHE 002B; CHE 002C,CHEM 1A (5.00); CHEM 1B (5.00),,
University of California Davis,Merritt College,CHE 004A,Not Articulated,,
University of California Davis,Merritt College,CHE 004B,Not Articulated,,
University of California Davis,Merritt College,CHE 004C,Not Articulated,,
University of California Davis,Merritt College,PHY 009A,PHYS 4A (5.00); PHYS 4B (5.00); PHYS 4C (5.00),,
University of California Davis,Merritt College,PHY 009B,PHYS 4A (5.00); PHYS 4B (5.00); PHYS 4C (5.00),,
University of California Davis,Merritt College,PHY 009C,PHYS 4A (5.00); PHYS 4B (5.00); PHYS 4C (5.00),,
University of California Irvine,Merritt College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,
University of California Irvine,Merritt College,MATH 2A,MATH 3A (5.00),,
University of California Irvine,Merritt College,MATH 2B,MATH 3B (5.00),,
University of California Irvine,Merritt College,MATH 3A,MATH 3E (3.00),,
University of California Irvine,Merritt College,I&C SCI 6N,Not Articulated,,
University of California Irvine,Merritt College,I&C SCI 6B,Not Articulated,,
University of California Irvine,Merritt College,I&C SCI 6D,Not Articulated,,
University of California Irvine,Merritt College,I&C SCI 45C,Not Articulated,,
University of California Irvine,Merritt College,I&C SCI 46,Not Articulated,,
University of California Irvine,Merritt College,I&C SCI 51,Not Articulated,,
University of California Irvine,Merritt College,I&C SCI 53,Not Articulated,,
University of California Irvine,Merritt College,IN4MATX 43,Not Articulated,,
University of California Irvine,Merritt College,STATS 67,Not Articulated,,
University of California Los Angeles,Merritt College,COM SCI 31,Not Articulated,,
University of California Los Angeles,Merritt College,COM SCI 32,Not Articulated,,
University of California Los Angeles,Merritt College,COM SCI 33,Not Articulated,,
University of California Los Angeles,Merritt College,COM SCI 35L,Not Articulated,,
University of California Los Angeles,Merritt College,COM SCI M51A,Not Articulated,,
University of California Los Angeles,Merritt College,EC ENGR M16,Not Articulated,,
University of California Los Angeles,Merritt College,MATH 31A,MATH 3A (5.00),,
University of California Los Angeles,Merritt College,MATH 31B,MATH 3B (5.00),,
University of California Los Angeles,Merritt College,MATH 32A,MATH 3C (5.00),,
University of California Los Angeles,Merritt College,MATH 32B,MATH 3C (5.00),,
University of California Los Angeles,Merritt College,MATH 33A,MATH 3E (3.00),,
University of California Los Angeles,Merritt College,MATH 33B,MATH 3F (3.00),,
University of California Los Angeles,Merritt College,MATH 61,Not Articulated,,
University of California Los Angeles,Merritt College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 4A (5.00); PHYS 4B (5.00); PHYS 4C (5.00),,
University of California Los Angeles,Merritt College,PHYSICS 4AL,Not Articulated,,
University of California Los Angeles,Merritt College,PHYSICS 4BL,Not Articulated,,
University of California Los Angeles,Merritt College,ENGCOMP 3,ENGL 1A (4.00),,
University of California Los Angeles,Merritt College,,ENGL 1B (4.00),ENGL 5 (3.00),
University of California Los Angeles,Merritt College,,Not Articulated,,
University of California Merced,Merritt College,CSE 022,CIS 6 (5.00),,
University of California Merced,Merritt College,CSE 030,Not Articulated,,
University of California Merced,Merritt College,MATH 021,MATH 3A (5.00),,
University of California Merced,Merritt College,MATH 022,MATH 3B (5.00),,
University of California Merced,Merritt College,MATH 023,MATH 3C (5.00),,
University of California Merced,Merritt College,MATH 024,MATH 3E (3.00); MATH 3F (3.00),,
University of California Merced,Merritt College,PHYS 008; PHYS 008L,PHYS 4A (5.00),,
University of California Merced,Merritt College,PHYS 009; PHYS 009L,PHYS 4B (5.00),,
University of California Merced,Merritt College,CSE 015,Not Articulated,,
University of California Merced,Merritt College,CSE 022,CIS 6 (5.00),,
University of California Merced,Merritt College,CSE 024,Not Articulated,,
University of California Merced,Merritt College,CSE 030,Not Articulated,,
University of California Merced,Merritt College,CSE 031,Not Articulated,,
University of California Merced,Merritt College,ENGR 065,Not Articulated,,
University of California Merced,Merritt College,ENGR 091,Not Articulated,,
University of California Merced,Merritt College,MATH 032,Not Articulated,,
University of California Merced,Merritt College,ENGR 080,Not Articulated,,
University of California Merced,Merritt College,WRI 001,ENGL 1A (4.00),ENGL 1AS (5.00),
University of California Merced,Merritt College,WRI 010,ENGL 1B (4.00),ENGL 5 (3.00),
University of California Riverside,Merritt College,CS 10A,CIS 6 (5.00),,
University of California Riverside,Merritt College,CS 10B,CIS 7 (4.00); CIS 33 (4.00),,
University of California Riverside,Merritt College,MATH 9A; MATH 9B; MATH 9C,MATH 3A (5.00); MATH 3B (5.00),,
University of California Riverside,Merritt College,PHYS 40A,PHYS 4A (5.00),,
University of California Riverside,Merritt College,CS 11,CIS 11 (4.00),,
University of California Riverside,Merritt College,CS 10C,Not Articulated,,
University of California Riverside,Merritt College,CS 61,CIS 78 (4.00),,
University of California Riverside,Merritt College,MATH 10A,Not Articulated,,
University of California Riverside,Merritt College,PHYS 40B,PHYS 4A (5.00); PHYS 4B (5.00),,
University of California Riverside,Merritt College,PHYS 40C,PHYS 4B (5.00),,
University of California Riverside,Merritt College,EE 20B,Not Articulated,,
University of California Riverside,Merritt College,MATH 31,MATH 3E (3.00),,
University of California San Diego,Merritt College,CSE 8A,CIS 6 (5.00),CIS 7 (4.00),CIS 6 (5.00)
University of California San Diego,Merritt College,CSE 8B,CIS 33 (4.00),,
University of California San Diego,Merritt College,CSE 11,Not Articulated,,
University of California San Diego,Merritt College,CSE 12,Not Articulated,,
University of California San Diego,Merritt College,CSE 15L,Not Articulated,,
University of California San Diego,Merritt College,CSE 20,CIS 11 (4.00),,
University of California San Diego,Merritt College,CSE 21,Not Articulated,,
University of California San Diego,Merritt College,CSE 30,Not Articulated,,
University of California San Diego,Merritt College,MATH 18,MATH 3E (3.00),,
University of California San Diego,Merritt College,MATH 20A,MATH 3A (5.00),,
University of California San Diego,Merritt College,MATH 20B,MATH 3B (5.00),,
University of California San Diego,Merritt College,MATH 20C,MATH 3C (5.00),,
University of California San Diego,Merritt College,BILD 1,BIOL 1A (5.00); BIOL 1B (5.00),,
University of California San Diego,Merritt College,BILD 2,BIOL 1A (5.00); BIOL 1B (5.00),,
University of California San Diego,Merritt College,BILD 3,BIOL 1A (5.00); BIOL 1B (5.00),,
University of California San Diego,Merritt College,CHEM 6A,CHEM 1A (5.00),,
University of California San Diego,Merritt College,CHEM 6B,CHEM 1A (5.00); CHEM 1B (5.00),,
University of California San Diego,Merritt College,PHYS 2A,PHYS 4A (5.00),,
University of California San Diego,Merritt College,PHYS 2B,PHYS 4B (5.00),,
University of California San Diego,Merritt College,PHYS 4A,Not Articulated,,
University of California San Diego,Merritt College,PHYS 4B,Not Articulated,,
