UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,MiraCosta College,MATH 1A,MATH 150 (5.00),MATH 150H (5.00),,
University of California Berkeley,MiraCosta College,MATH 1B,MATH 155 (4.00),,,
University of California Berkeley,MiraCosta College,MATH 53,MATH 260 (4.00),MATH 260H (4.00),,
University of California Berkeley,MiraCosta College,MATH 54,MATH 265 (4.00); MATH 270 (4.00),MATH 265 (4.00); MATH 270H (4.00),,
University of California Berkeley,MiraCosta College,PHYSICS 7A,PHYS 151 (4.00),,,
University of California Berkeley,MiraCosta College,PHYSICS 7B,PHYS 152 (4.00),,,
University of California Berkeley,MiraCosta College,ENGLISH R1A,ENGL 100 (4.00),ENGL 100H (4.00),,
University of California Berkeley,MiraCosta College,ENGLISH R1B,ENGL 201 (4.00),ENGL 201H (4.00),ENGL 202 (4.00),ENGL 202H (4.00)
University of California Berkeley,MiraCosta College,ASTRON 7A,Not Articulated,,,
University of California Berkeley,MiraCosta College,ASTRON 7B,Not Articulated,,,
University of California Berkeley,MiraCosta College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIO 202 (4.00); BIO 204 (4.00),,,
University of California Berkeley,MiraCosta College,CHEM 1A; CHEM 1AL; CHEM 1B,CHEM 150 (5.00); CHEM 151 (5.00),CHEM 150H (5.00); CHEM 151H (5.00),,
University of California Berkeley,MiraCosta College,CHEM 3A; CHEM 3AL,CHEM 210 (5.00),CHEM 210H (5.00),,
University of California Berkeley,MiraCosta College,CHEM 3B; CHEM 3BL,CHEM 211 (5.00),CHEM 211H (5.00),,
University of California Berkeley,MiraCosta College,MCELLBI 32; MCELLBI 32L,BIO 220 (4.00),,,
University of California Berkeley,MiraCosta College,PHYSICS 7C,PHYS 253 (4.00),,,
University of California Berkeley,MiraCosta College,COMPSCI 61A,Not Articulated,,,
University of California Berkeley,MiraCosta College,COMPSCI 61B,CS 112 (3.00); CS 113 (3.00),,,
