UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
University of California Berkeley,Mission College,MATH 1A,MAT 003A (5.00),,,,
University of California Berkeley,Mission College,MATH 1B,MAT 003B (5.00),,,,
University of California Berkeley,Mission College,MATH 53,MAT 004A (5.00),,,,
University of California Berkeley,Mission College,MATH 54,MAT 004B (4.00); MAT 004C (4.00),,,,
University of California Berkeley,Mission College,PHYSICS 7A,PHY 004A (5.00),,,,
University of California Berkeley,Mission College,PHYSICS 7B,PHY 004B (4.00); PHY 004C (4.00),,,,
University of California Berkeley,Mission College,ENGLISH R1A,ENG 001A (3.00),ENG 001AX (5.00),,,
University of California Berkeley,Mission College,ENGLISH R1B,ENG 001B (3.00),,,,
University of California Berkeley,Mission College,ASTRON 7A,Not Articulated,,,,
University of California Berkeley,Mission College,ASTRON 7B,Not Articulated,,,,
University of California Berkeley,Mission College,BIOLOGY 1A; BIOLOGY 1AL,BIO 001A (5.00),BIO 001AH (5.00),,,
University of California Berkeley,Mission College,BIOLOGY 1B,BIO 001B (5.00),,,,
University of California Berkeley,Mission College,CHEM 1A; CHEM 1AL,CHM 001A (5.00),,,,
University of California Berkeley,Mission College,CHEM 1B,CHM 001B (5.00),,,,
University of California Berkeley,Mission College,CHEM 3A; CHEM 3AL; CHEM 3B; CHEM 3BL,CHM 012A (5.00); CHM 012B (5.00),CHM 012AH (5.00); CHM 012BH (5.00),,,
University of California Berkeley,Mission College,MCELLBI 32; MCELLBI 32L,BIO 048 (5.00),,,,
University of California Berkeley,Mission College,PHYSICS 7C,PHY 004C (4.00); PHY 004D (2.00),,,,
University of California Berkeley,Mission College,COMPSCI 61A,Not Articulated,,,,
University of California Berkeley,Mission College,COMPSCI 61B,CIS 044 (4.00),,,,
University of California Berkeley,Mission College,COMPSCI 61C,Not Articulated,,,,
University of California Berkeley,Mission College,COMPSCI 70,Not Articulated,,,,
University of California Berkeley,Mission College,EECS 16A,Not Articulated,,,,
University of California Berkeley,Mission College,EECS 16B,Not Articulated,,,,
University of California Davis,Mission College,ECS 020,MAT 019 (4.00),,,,
University of California Davis,Mission College,ECS 036A,CIS 037A (4.00),CIS 040 (4.00),CIS 043 (4.00),EGR 030 (4.00),
University of California Davis,Mission College,ECS 036B,CIS 043 (4.00),,,,
University of California Davis,Mission College,ECS 036C,CIS 044 (4.00),,,,
University of California Davis,Mission College,ECS 050,CIS 039 (4.00),,,,
University of California Davis,Mission College,MAT 021A; MAT 021B,MAT 003A (5.00); MAT 003B (5.00),MAT 003AH (5.00); MAT 003B (5.00),,,
University of California Davis,Mission College,MAT 021C,Not Articulated,,,,
University of California Davis,Mission College,MAT 021A; MAT 021B; MAT 021C; MAT 021D,MAT 003A (5.00); MAT 003B (5.00); MAT 004A (5.00),MAT 003AH (5.00); MAT 003B (5.00); MAT 004A (5.00),,,
University of California Davis,Mission College,MAT 022A,MAT 004C (4.00),,,,
University of California Davis,Mission College,MAT 027A,Not Articulated,,,,
University of California Davis,Mission College,MAT 067,Not Articulated,,,,
University of California Davis,Mission College,BIS 002A; BIS 002B; BIS 002C,BIO 001A (5.00); BIO 001B (5.00),BIO 001AH (5.00); BIO 001B (5.00),,,
