UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
University of California Berkeley,Modesto Junior College,MATH 1A,MATH 171 (5.00),,,,
University of California Berkeley,Modesto Junior College,MATH 1B,MATH 172 (4.00),,,,
University of California Berkeley,Modesto Junior College,MATH 53,MATH 173 (5.00),,,,
University of California Berkeley,Modesto Junior College,MATH 54,MATH 191 (3.00); MATH 193 (3.00),,,,
University of California Berkeley,Modesto Junior College,PHYSICS 7A,PHYS 101 (4.00),,,,
University of California Berkeley,Modesto Junior College,PHYSICS 7B,PHYS 101 (4.00); PHYS 102 (4.00); PHYS 103 (4.00),,,,
University of California Berkeley,Modesto Junior College,ENGLISH R1A,ENGL 101 (3.00),,,,
University of California Berkeley,Modesto Junior College,ENGLISH R1B,ENGL 102 (3.00),ENGL 103 (3.00),,,
University of California Berkeley,Modesto Junior College,ASTRON 7A,Not Articulated,,,,
University of California Berkeley,Modesto Junior College,ASTRON 7B,Not Articulated,,,,
University of California Berkeley,Modesto Junior College,BIOLOGY 1A; BIOLOGY 1AL,BIO 101 (4.00); ZOOL 101 (4.00),,,,
University of California Berkeley,Modesto Junior College,BIOLOGY 1B,BIO 101 (4.00); BOT 101 (4.00),,,,
University of California Berkeley,Modesto Junior College,CHEM 1A; CHEM 1AL,CHEM 101 (5.00),,,,
University of California Berkeley,Modesto Junior College,CHEM 1B,CHEM 102 (5.00),,,,
University of California Berkeley,Modesto Junior College,CHEM 3A; CHEM 3AL,CHEM 112 (5.00),CHEM 122 (4.00),,,
University of California Berkeley,Modesto Junior College,CHEM 3B; CHEM 3BL,CHEM 113 (5.00),CHEM 123 (4.00),,,
University of California Berkeley,Modesto Junior College,MCELLBI 32; MCELLBI 32L,PHYSO 101 (4.00),,,,
University of California Berkeley,Modesto Junior College,PHYSICS 7C,PHYS 102 (4.00); PHYS 103 (4.00),,,,
University of California Berkeley,Modesto Junior College,COMPSCI 61A,Not Articulated,,,,
University of California Berkeley,Modesto Junior College,COMPSCI 61B,Not Articulated,,,,
University of California Berkeley,Modesto Junior College,COMPSCI 61C,Not Articulated,,,,
University of California Berkeley,Modesto Junior College,COMPSCI 70,Not Articulated,,,,
University of California Berkeley,Modesto Junior College,EECS 16A,Not Articulated,,,,
University of California Berkeley,Modesto Junior College,EECS 16B,Not Articulated,,,,
University of California Davis,Modesto Junior College,ECS 020,CSCI 204 (3.00),,,,
University of California Davis,Modesto Junior College,ECS 036A,CSCI 271 (3.00),,,,
University of California Davis,Modesto Junior College,ECS 036B,CSCI 272 (3.00),,,,
University of California Davis,Modesto Junior College,ECS 036C,Not Articulated,,,,
University of California Davis,Modesto Junior College,ECS 050,CSCI 273 (3.00),,,,
University of California Davis,Modesto Junior College,MAT 021A,MATH 171 (5.00),,,,
University of California Davis,Modesto Junior College,MAT 021B,MATH 172 (4.00),,,,
University of California Davis,Modesto Junior College,MAT 021C,MATH 173 (5.00),,,,
University of California Davis,Modesto Junior College,MAT 022A,MATH 191 (3.00),,,,
University of California Davis,Modesto Junior College,MAT 027A,Not Articulated,,,,
