UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Monterey Peninsula College,MATH 1A,MATH 20A (4.00),,
University of California Berkeley,Monterey Peninsula College,MATH 1B,MATH 20B (4.00),,
University of California Berkeley,Monterey Peninsula College,MATH 53,MATH 20C (4.00),,
University of California Berkeley,Monterey Peninsula College,MATH 54,MATH 31 (4.00); MATH 32 (4.00),,
University of California Berkeley,Monterey Peninsula College,PHYSICS 7A,PHYS 3A (4.00),,
University of California Berkeley,Monterey Peninsula College,PHYSICS 7B,PHYS 3B (4.00),,
University of California Berkeley,Monterey Peninsula College,ENGLISH R1A,ENGL 1A (3.00),,
University of California Berkeley,Monterey Peninsula College,ENGLISH R1B,ENGL 1B (3.00),,
University of California Berkeley,Monterey Peninsula College,ASTRON 7A,Not Articulated,,
University of California Berkeley,Monterey Peninsula College,ASTRON 7B,Not Articulated,,
University of California Berkeley,Monterey Peninsula College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 21 (5.00),,
University of California Berkeley,Monterey Peninsula College,BIOLOGY 1B,BIOL 22 (5.00),,
University of California Berkeley,Monterey Peninsula College,CHEM 1A; CHEM 1AL,CHEM 1A (5.00),,
University of California Berkeley,Monterey Peninsula College,CHEM 1B,CHEM 1B (5.00),,
University of California Berkeley,Monterey Peninsula College,CHEM 3A; CHEM 3AL,CHEM 12A (5.00),,
University of California Berkeley,Monterey Peninsula College,CHEM 3B; CHEM 3BL,CHEM 12B (5.00),,
University of California Berkeley,Monterey Peninsula College,MCELLBI 32; MCELLBI 32L,PHSO 1 (3.00); PHSO 2 (2.00),,
University of California Berkeley,Monterey Peninsula College,PHYSICS 7C,PHYS 3C (4.00),,
University of California Berkeley,Monterey Peninsula College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,Monterey Peninsula College,COMPSCI 61B,CSIS 10A (4.00); CSIS 10B (4.00),,
University of California Berkeley,Monterey Peninsula College,COMPSCI 61C,Not Articulated,,
University of California Berkeley,Monterey Peninsula College,COMPSCI 70,Not Articulated,,
University of California Berkeley,Monterey Peninsula College,EECS 16A,Not Articulated,,
University of California Berkeley,Monterey Peninsula College,EECS 16B,Not Articulated,,
University of California Davis,Monterey Peninsula College,ECS 020,MATH 40 (3.00),CSIS 12 (3.00),
University of California Davis,Monterey Peninsula College,ECS 036A,CSIS 10B (4.00),,
University of California Davis,Monterey Peninsula College,ECS 036B,CSIS 10C (4.00),,
University of California Davis,Monterey Peninsula College,ECS 036C,Not Articulated,,
University of California Davis,Monterey Peninsula College,ECS 050,CSIS 11 (3.00),,
University of California Davis,Monterey Peninsula College,MAT 021A,MATH 20A (4.00),,
University of California Davis,Monterey Peninsula College,MAT 021B,MATH 20B (4.00),,
University of California Davis,Monterey Peninsula College,MAT 021C,MATH 20C (4.00),,
University of California Davis,Monterey Peninsula College,MAT 022A,MATH 31 (4.00),,
University of California Davis,Monterey Peninsula College,MAT 027A,Not Articulated,,
University of California Davis,Monterey Peninsula College,MAT 067,Not Articulated,,
University of California Davis,Monterey Peninsula College,BIS 002A,BIOL 21 (5.00),,
University of California Davis,Monterey Peninsula College,BIS 002B,BIOL 22 (5.00),,
University of California Davis,Monterey Peninsula College,BIS 002C,BIOL 22 (5.00),,
University of California Davis,Monterey Peninsula College,CHE 002A; CHE 002B; CHE 002C,CHEM 1A (5.00); CHEM 1B (5.00),,
University of California Davis,Monterey Peninsula College,CHE 004A,Not Articulated,,
University of California Davis,Monterey Peninsula College,CHE 004B,Not Articulated,,
University of California Davis,Monterey Peninsula College,CHE 004C,Not Articulated,,
University of California Davis,Monterey Peninsula College,PHY 009A,PHYS 3A (4.00),,
University of California Davis,Monterey Peninsula College,PHY 009B,PHYS 3C (4.00),,
University of California Davis,Monterey Peninsula College,PHY 009C,PHYS 3B (4.00),,
University of California Irvine,Monterey Peninsula College,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSIS 10A (4.00); CSIS 10B (4.00); CSIS 10C (4.00),,
University of California Irvine,Monterey Peninsula College,MATH 2A,MATH 20A (4.00),,
University of California Irvine,Monterey Peninsula College,MATH 2B,MATH 20B (4.00),,
University of California Irvine,Monterey Peninsula College,MATH 3A,MATH 31 (4.00),,
University of California Irvine,Monterey Peninsula College,I&C SCI 6N,Not Articulated,,
University of California Irvine,Monterey Peninsula College,I&C SCI 6B,CSIS 12 (3.00),,
University of California Irvine,Monterey Peninsula College,I&C SCI 6D,Not Articulated,,
University of California Irvine,Monterey Peninsula College,I&C SCI 45C,Not Articulated,,
University of California Irvine,Monterey Peninsula College,I&C SCI 46,Not Articulated,,
University of California Irvine,Monterey Peninsula College,I&C SCI 51,Not Articulated,,
University of California Irvine,Monterey Peninsula College,I&C SCI 53,Not Articulated,,
University of California Irvine,Monterey Peninsula College,IN4MATX 43,Not Articulated,,
University of California Irvine,Monterey Peninsula College,STATS 67,Not Articulated,,
University of California Los Angeles,Monterey Peninsula College,COM SCI 31,CSIS 10C (4.00),,
University of California Los Angeles,Monterey Peninsula College,COM SCI 32,Not Articulated,,
University of California Los Angeles,Monterey Peninsula College,COM SCI 33,CSIS 11 (3.00),,
University of California Los Angeles,Monterey Peninsula College,COM SCI 35L,Not Articulated,,
University of California Los Angeles,Monterey Peninsula College,COM SCI M51A,Not Articulated,,
University of California Los Angeles,Monterey Peninsula College,EC ENGR M16,Not Articulated,,
University of California Los Angeles,Monterey Peninsula College,MATH 31A,MATH 20A (4.00),,
University of California Los Angeles,Monterey Peninsula College,MATH 31B,MATH 20B (4.00),,
University of California Los Angeles,Monterey Peninsula College,MATH 32A,MATH 20C (4.00),,
University of California Los Angeles,Monterey Peninsula College,MATH 32B,MATH 20C (4.00),,
University of California Los Angeles,Monterey Peninsula College,MATH 33A,MATH 31 (4.00),,
University of California Los Angeles,Monterey Peninsula College,MATH 33B,MATH 32 (4.00),,
University of California Los Angeles,Monterey Peninsula College,MATH 61,MATH 40 (3.00),,
University of California Los Angeles,Monterey Peninsula College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 3A (4.00); PHYS 3B (4.00); PHYS 3C (4.00),,
University of California Los Angeles,Monterey Peninsula College,PHYSICS 4AL,Not Articulated,,
University of California Los Angeles,Monterey Peninsula College,PHYSICS 4BL,Not Articulated,,
University of California Los Angeles,Monterey Peninsula College,ENGCOMP 3,ENGL 1A (3.00),,
University of California Los Angeles,Monterey Peninsula College,,ENGL 1B (3.00),ENGL 2 (3.00),
University of California Los Angeles,Monterey Peninsula College,,CSIS 10C (4.00),,
University of California Merced,Monterey Peninsula College,CSE 022,CSIS 9 (3.00),CSIS 10A (4.00),
University of California Merced,Monterey Peninsula College,CSE 030,CSIS 10B (4.00),,
University of California Merced,Monterey Peninsula College,MATH 021,MATH 20A (4.00),,
University of California Merced,Monterey Peninsula College,MATH 022,MATH 20B (4.00),,
University of California Merced,Monterey Peninsula College,MATH 023,MATH 20C (4.00),,
University of California Merced,Monterey Peninsula College,MATH 024,MATH 31 (4.00); MATH 32 (4.00),,
University of California Merced,Monterey Peninsula College,PHYS 008; PHYS 008L,PHYS 3A (4.00),,
University of California Merced,Monterey Peninsula College,PHYS 009; PHYS 009L,PHYS 3B (4.00),,
University of California Merced,Monterey Peninsula College,CSE 015,CSIS 12 (3.00),,
University of California Merced,Monterey Peninsula College,CSE 022,CSIS 9 (3.00),CSIS 10A (4.00),
University of California Merced,Monterey Peninsula College,CSE 024,CSIS 10C (4.00),,
University of California Merced,Monterey Peninsula College,CSE 030,CSIS 10B (4.00),,
University of California Merced,Monterey Peninsula College,CSE 031,CSIS 11 (3.00),,
University of California Merced,Monterey Peninsula College,ENGR 065,Not Articulated,,
University of California Merced,Monterey Peninsula College,ENGR 091,Not Articulated,,
University of California Merced,Monterey Peninsula College,MATH 032,Not Articulated,,
University of California Merced,Monterey Peninsula College,ENGR 080,Not Articulated,,
University of California Merced,Monterey Peninsula College,WRI 001,ENGL 1A (3.00),ENGL 1AE (5.00),
University of California Merced,Monterey Peninsula College,WRI 010,ENGL 1B (3.00),ENGL 2 (3.00),PHIL 10 (3.00)
University of California Riverside,Monterey Peninsula College,CS 10A,CSIS 10A (4.00),CSIS 10C (4.00),
University of California Riverside,Monterey Peninsula College,CS 10B,CSIS 10B (4.00),,
University of California Riverside,Monterey Peninsula College,MATH 9A; MATH 9B; MATH 9C,MATH 20A (4.00); MATH 20B (4.00),,
University of California Riverside,Monterey Peninsula College,PHYS 40A,PHYS 3A (4.00),,
University of California Riverside,Monterey Peninsula College,CS 11,MATH 40 (3.00),,
University of California Riverside,Monterey Peninsula College,CS 10C,Not Articulated,,
University of California Riverside,Monterey Peninsula College,CS 61,CSIS 11 (3.00),,
University of California Riverside,Monterey Peninsula College,MATH 10A,MATH 20C (4.00),,
University of California Riverside,Monterey Peninsula College,PHYS 40B,PHYS 3A (4.00); PHYS 3C (4.00),,
University of California Riverside,Monterey Peninsula College,PHYS 40C,PHYS 3B (4.00),,
University of California Riverside,Monterey Peninsula College,EE 20B,Not Articulated,,
University of California Riverside,Monterey Peninsula College,MATH 31,MATH 31 (4.00),,
University of California San Diego,Monterey Peninsula College,CSE 8A,Not Articulated,,
University of California San Diego,Monterey Peninsula College,CSE 8B,Not Articulated,,
University of California San Diego,Monterey Peninsula College,CSE 11,Not Articulated,,
University of California San Diego,Monterey Peninsula College,CSE 12,Not Articulated,,
University of California San Diego,Monterey Peninsula College,CSE 15L,Not Articulated,,
University of California San Diego,Monterey Peninsula College,CSE 20,MATH 40 (3.00),,
University of California San Diego,Monterey Peninsula College,CSE 21,Not Articulated,,
University of California San Diego,Monterey Peninsula College,CSE 30,CSIS 11 (3.00),,
University of California San Diego,Monterey Peninsula College,MATH 18,MATH 31 (4.00),,
University of California San Diego,Monterey Peninsula College,MATH 20A,MATH 20A (4.00),,
University of California San Diego,Monterey Peninsula College,MATH 20B,MATH 20B (4.00),,
University of California San Diego,Monterey Peninsula College,MATH 20C,MATH 20C (4.00),,
University of California San Diego,Monterey Peninsula College,BILD 1,BIOL 21 (5.00); BIOL 22 (5.00),,
University of California San Diego,Monterey Peninsula College,BILD 2,BIOL 21 (5.00); BIOL 22 (5.00),,
University of California San Diego,Monterey Peninsula College,BILD 3,BIOL 21 (5.00); BIOL 22 (5.00),,
University of California San Diego,Monterey Peninsula College,CHEM 6A,CHEM 1A (5.00),,
University of California San Diego,Monterey Peninsula College,CHEM 6B,CHEM 1A (5.00); CHEM 1B (5.00),,
