UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6
University of California Berkeley,Moorpark College,MATH 1A,MATH M25A (5.00),,,,,
University of California Berkeley,Moorpark College,MATH 1B,MATH M25B (5.00),,,,,
University of California Berkeley,Moorpark College,MATH 53,MATH M25C (5.00),,,,,
University of California Berkeley,Moorpark College,MATH 54,MATH M31 (3.00); MATH M35 (3.00),,,,,
University of California Berkeley,Moorpark College,PHYSICS 7A,PHYS M20A (4.00); PHYS M20AL (1.00),,,,,
University of California Berkeley,Moorpark College,PHYSICS 7B,PHYS M20B (4.00); PHYS M20BL (1.00),,,,,
University of California Berkeley,Moorpark College,ENGLISH R1A,ENGL M01A (4.00),ENGL M01AH (4.00),,,,
University of California Berkeley,Moorpark College,ENGLISH R1B,ENGL M01B (4.00),ENGL M01BH (4.00),ENGL M01C (3.00),ENGL M01CH (3.00),,
University of California Berkeley,Moorpark College,ASTRON 7A,Not Articulated,,,,,
University of California Berkeley,Moorpark College,ASTRON 7B,Not Articulated,,,,,
University of California Berkeley,Moorpark College,BIOLOGY 1A; BIOLOGY 1AL,BIOL M02A (5.00),BIOL M02AH (5.00),,,,
University of California Berkeley,Moorpark College,BIOLOGY 1B,BIOL M02B (5.00),,,,,
University of California Berkeley,Moorpark College,CHEM 1A; CHEM 1AL,CHEM M01A (5.00); CHEM M01B (5.00),,,,,
University of California Berkeley,Moorpark College,CHEM 1B,CHEM M01B (5.00),,,,,
University of California Berkeley,Moorpark College,CHEM 3A; CHEM 3AL; CHEM 3B; CHEM 3BL,CHEM M07A (5.00); CHEM M07B (5.00),,,,,
University of California Berkeley,Moorpark College,MCELLBI 32; MCELLBI 32L,PHSO M01 (4.00),PHSO M01H (4.00),,,,
University of California Berkeley,Moorpark College,PHYSICS 7C,PHYS M20C (4.00); PHYS M20CL (1.00),,,,,
University of California Berkeley,Moorpark College,COMPSCI 61A,Not Articulated,,,,,
University of California Berkeley,Moorpark College,COMPSCI 61B,CS M135 (3.00),,,,,
University of California Berkeley,Moorpark College,COMPSCI 61C,Not Articulated,,,,,
University of California Berkeley,Moorpark College,COMPSCI 70,Not Articulated,,,,,
University of California Berkeley,Moorpark College,EECS 16A,Not Articulated,,,,,
University of California Berkeley,Moorpark College,EECS 16B,Not Articulated,,,,,
University of California Davis,Moorpark College,ECS 020,CS M155 (3.00),MATH M21 (3.00),,,,
University of California Davis,Moorpark College,ECS 036A,Not Articulated,,,,,
University of California Davis,Moorpark College,ECS 036B,CS M135 (3.00),,,,,
University of California Davis,Moorpark College,ECS 036C,Not Articulated,,,,,
University of California Davis,Moorpark College,ECS 050,CS M145 (3.00),,,,,
University of California Davis,Moorpark College,MAT 021A,MATH M25A (5.00),MATH M25AH (5.00),,,,
University of California Davis,Moorpark College,MAT 021B,MATH M25B (5.00),,,,,
University of California Davis,Moorpark College,MAT 021C,MATH M25C (5.00),,,,,
University of California Davis,Moorpark College,MAT 022A,MATH M31 (3.00),,,,,
University of California Davis,Moorpark College,MAT 027A,Not Articulated,,,,,
University of California Davis,Moorpark College,MAT 067,Not Articulated,,,,,
University of California Davis,Moorpark College,BIS 002A,BIOL M02A (5.00),BIOL M02AH (5.00),,,,
University of California Davis,Moorpark College,BIS 002B,BIOL M02A (5.00); BIOL M02B (5.00),BIOL M02AH (5.00); BIOL M02B (5.00),,,,
University of California Davis,Moorpark College,BIS 002C,BIOL M02B (5.00),,,,,
University of California Davis,Moorpark College,CHE 002A; CHE 002B; CHE 002C,CHEM M01A (5.00); CHEM M01B (5.00),CHEM M01AH (5.00); CHEM M01B (5.00),,,,
University of California Davis,Moorpark College,CHE 004A,CHEM M01AH (5.00),,,,,
University of California Davis,Moorpark College,CHE 004B,Not Articulated,,,,,
University of California Davis,Moorpark College,CHE 004C,Not Articulated,,,,,
University of California Davis,Moorpark College,PHY 009A,PHYS M20A (4.00); PHYS M20AL (1.00),,,,,
