UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,Moreno Valley College,MATH 1A,MAT 1A (4.00),,,
University of California Berkeley,Moreno Valley College,MATH 1B,MAT 1B (4.00),,,
University of California Berkeley,Moreno Valley College,MATH 53,MAT 1C (4.00),,,
University of California Berkeley,Moreno Valley College,MATH 54,MAT 2 (4.00); MAT 3 (3.00),,,
University of California Berkeley,Moreno Valley College,PHYSICS 7A,PHY 4A (4.00),,,
University of California Berkeley,Moreno Valley College,PHYSICS 7B,PHY 4B (4.00); PHY 4C (4.00),,,
University of California Berkeley,Moreno Valley College,ENGLISH R1A,ENG 1A (4.00),,,
University of California Berkeley,Moreno Valley College,ENGLISH R1B,ENG 1B (4.00),,,
University of California Berkeley,Moreno Valley College,ASTRON 7A,Not Articulated,,,
University of California Berkeley,Moreno Valley College,ASTRON 7B,Not Articulated,,,
University of California Berkeley,Moreno Valley College,BIOLOGY 1A; BIOLOGY 1AL,BIO 60 (5.00); BIO 61 (5.00),BIO 60H (5.00); BIO 61 (5.00),,
University of California Berkeley,Moreno Valley College,BIOLOGY 1B,BIO 61 (5.00),,,
University of California Berkeley,Moreno Valley College,CHEM 1A; CHEM 1AL,CHE 1A (5.00),,,
University of California Berkeley,Moreno Valley College,CHEM 1B,CHE 1B (5.00),,,
University of California Berkeley,Moreno Valley College,CHEM 3A; CHEM 3AL,Not Articulated,,,
University of California Berkeley,Moreno Valley College,CHEM 3B; CHEM 3BL,Not Articulated,,,
University of California Berkeley,Moreno Valley College,MCELLBI 32; MCELLBI 32L,Not Articulated,,,
University of California Berkeley,Moreno Valley College,PHYSICS 7C,PHY 4C (4.00); PHY 4D (4.00),,,
University of California Berkeley,Moreno Valley College,COMPSCI 61A,Not Articulated,,,
University of California Berkeley,Moreno Valley College,COMPSCI 61B,CIS 17C (3.00),CIS 18C (3.00),,
University of California Berkeley,Moreno Valley College,COMPSCI 61C,Not Articulated,,,
University of California Berkeley,Moreno Valley College,COMPSCI 70,Not Articulated,,,
University of California Berkeley,Moreno Valley College,EECS 16A,Not Articulated,,,
University of California Berkeley,Moreno Valley College,EECS 16B,Not Articulated,,,
University of California Davis,Moreno Valley College,ECS 020,CIS 7 (3.00),,,
University of California Davis,Moreno Valley College,ECS 036A,Not Articulated,,,
University of California Davis,Moreno Valley College,ECS 036B,CIS 17A (3.00),,,
