UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7
University of California Berkeley,Mount San Antonio College,MATH 1A,MATH 180 (4.00),,,,,,
University of California Berkeley,Mount San Antonio College,MATH 1B,MATH 181 (4.00),,,,,,
University of California Berkeley,Mount San Antonio College,MATH 53,MATH 280 (5.00),,,,,,
University of California Berkeley,Mount San Antonio College,MATH 54,MATH 260 (3.00); MATH 290 (4.00),ENGR 285 (4.00),MATH 285 (5.00),,,,
University of California Berkeley,Mount San Antonio College,PHYSICS 7A,PHYS 4A (5.00),,,,,,
University of California Berkeley,Mount San Antonio College,PHYSICS 7B,PHYS 4B (5.00),,,,,,
University of California Berkeley,Mount San Antonio College,ENGLISH R1A,ENGL 1A (4.00),ENGL 1AH (4.00),ENGL 1AM (4.00),,,,
University of California Berkeley,Mount San Antonio College,ENGLISH R1B,ENGL 1C (4.00),ENGL 1CH (4.00),,,,,
University of California Berkeley,Mount San Antonio College,ASTRON 7A,Not Articulated,,,,,,
University of California Berkeley,Mount San Antonio College,ASTRON 7B,Not Articulated,,,,,,
University of California Berkeley,Mount San Antonio College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 1 (4.00); BIOL 2 (4.00),BIOL 2 (4.00); BIOL 4 (4.00),BIOL 2 (4.00); BIOL 4H (4.00),,,,
University of California Berkeley,Mount San Antonio College,BIOLOGY 1B,BIOL 2 (4.00); BIOL 4 (4.00),BIOL 2 (4.00); BIOL 4H (4.00),,,,,
University of California Berkeley,Mount San Antonio College,CHEM 1A; CHEM 1AL; CHEM 1B,CHEM 50 (5.00); CHEM 51 (5.00),CHEM 50H (5.00); CHEM 51H (5.00),,,,,
University of California Berkeley,Mount San Antonio College,CHEM 3A; CHEM 3AL,CHEM 80 (5.00),,,,,,
University of California Berkeley,Mount San Antonio College,CHEM 3B; CHEM 3BL,CHEM 81 (5.00),,,,,,
University of California Berkeley,Mount San Antonio College,MCELLBI 32; MCELLBI 32L,ANAT 36 (5.00),,,,,,
University of California Berkeley,Mount San Antonio College,PHYSICS 7C,PHYS 4C (5.00),,,,,,
University of California Berkeley,Mount San Antonio College,COMPSCI 61A,Not Articulated,,,,,,
University of California Berkeley,Mount San Antonio College,COMPSCI 61B,CSCI 220 (3.50); CSCI 230 (3.50),,,,,,
University of California Berkeley,Mount San Antonio College,COMPSCI 61C,Not Articulated,,,,,,
University of California Berkeley,Mount San Antonio College,COMPSCI 70,Not Articulated,,,,,,
University of California Berkeley,Mount San Antonio College,EECS 16A,Not Articulated,,,,,,
University of California Berkeley,Mount San Antonio College,EECS 16B,Not Articulated,,,,,,
University of California Davis,Mount San Antonio College,ECS 020,CSCI 190 (4.00),,,,,,
University of California Davis,Mount San Antonio College,ECS 036A,CISP 31 (3.00),CISP 31L (0.50),,,,,
University of California Davis,Mount San Antonio College,ECS 036B,CISP 34 (3.00); CISP 34L (0.50),CSCI 140 (4.00),,,,,
University of California Davis,Mount San Antonio College,ECS 036C,Not Articulated,,,,,,
University of California Davis,Mount San Antonio College,ECS 050,Not Articulated,,,,,,
University of California Davis,Mount San Antonio College,MAT 021A,MATH 180 (4.00),,,,,,
University of California Davis,Mount San Antonio College,MAT 021B,MATH 181 (4.00),,,,,,
University of California Davis,Mount San Antonio College,MAT 021C; MAT 021D,MATH 280 (5.00),,,,,,
University of California Davis,Mount San Antonio College,MAT 022A,MATH 260 (3.00),,,,,,
University of California Davis,Mount San Antonio College,MAT 027A,Not Articulated,,,,,,
University of California Davis,Mount San Antonio College,MAT 067,Not Articulated,,,,,,
University of California Davis,Mount San Antonio College,BIS 002A,BIOL 4 (4.00),BIOL 4H (4.00),,,,,
University of California Davis,Mount San Antonio College,BIS 002B,BIOL 4 (4.00),BIOL 4H (4.00),,,,,
University of California Davis,Mount San Antonio College,BIS 002C,BIOL 2 (4.00),,,,,,
University of California Davis,Mount San Antonio College,CHE 002A; CHE 002B; CHE 002C,CHEM 50 (5.00); CHEM 51 (5.00),,,,,,
University of California Davis,Mount San Antonio College,CHE 004A; CHE 004B; CHE 004C,CHEM 50H (5.00); CHEM 51H (5.00),,,,,,
University of California Davis,Mount San Antonio College,PHY 009A,PHYS 4A (5.00); PHYS 4B (5.00); PHYS 4C (5.00),,,,,,
University of California Davis,Mount San Antonio College,PHY 009B,PHYS 4A (5.00); PHYS 4B (5.00); PHYS 4C (5.00),,,,,,
University of California Davis,Mount San Antonio College,PHY 009C,PHYS 4A (5.00); PHYS 4B (5.00); PHYS 4C (5.00),,,,,,
University of California Irvine,Mount San Antonio College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,,,,,
University of California Irvine,Mount San Antonio College,MATH 2A,MATH 180 (4.00),,,,,,
University of California Irvine,Mount San Antonio College,MATH 2B,MATH 181 (4.00),,,,,,
University of California Irvine,Mount San Antonio College,MATH 3A,ENGR 285 (4.00),MATH 260 (3.00),MATH 285 (5.00),,,,
University of California Irvine,Mount San Antonio College,I&C SCI 6N,Not Articulated,,,,,,
University of California Irvine,Mount San Antonio College,I&C SCI 6B,Not Articulated,,,,,,
University of California Irvine,Mount San Antonio College,I&C SCI 6D,CSCI 190 (4.00),,,,,,
University of California Irvine,Mount San Antonio College,I&C SCI 45C,CSCI 110 (3.50); CSCI 140 (4.00),,,,,,
University of California Irvine,Mount San Antonio College,I&C SCI 46,CSCI 140 (4.00); CSCI 240 (5.00),CSCI 220 (3.50); CSCI 230 (3.50),,,,,
University of California Irvine,Mount San Antonio College,I&C SCI 51,CSCI 150 (3.50),,,,,,
University of California Irvine,Mount San Antonio College,I&C SCI 53,Not Articulated,,,,,,
University of California Irvine,Mount San Antonio College,IN4MATX 43,Not Articulated,,,,,,
University of California Irvine,Mount San Antonio College,STATS 67,Not Articulated,,,,,,
